Original,EN,Needs Review
位在安靜的老住宅區，老闆跟空間氛圍都很棒，酒類跟無酒精的選項很多而且不貴，座位分為沙發、高腳椅兩種，還有螢幕可以唱歌，唯一缺點是廁所只有一間要等比較久。,"In the quiet old residential area, the boss and the space atmosphere are great. There are many options for alcohol and alcohol without alcohol. The seats are divided into two types: sofa, high chair, and screens to sing. One has to wait a long time.",False
等待唱歌被插了不知道幾首等了半小時 過程一直看有人插歌 想說沒關係酒伴要走了就也結帳要走了 結果等個結帳等了快20分鐘 帳算錯要等 中間有點單全部跑去處理新點單 我散客不是人？等結帳臉色很糟還沒人發現 要等到我開始放杯子大力一點才有人注意到我要結帳 對散客非常不友善,"Waiting for singing, I do n’t know if I have waited for half an hour, I have seen that someone is scoring. It ’s okay to say that it’ s okay to leave the wine companion and check the results. A little single goes to handle the new point, isn't it a person?When the checkout face is bad, no one has found that I have to wait until I start to put a cup and vigorously.",False
"小樓昨夜又薰風，薄酒入腸中。閃爍燈火照不眠，舊事不堪回首舞醉拳。

霓虹幻夢門庭間，只是故人憐。世人莫笑歡場假，猶遮愁容偏附作風雅。","Xiaolou also turned into wind last night, and thin wine entered the bowel.Flashing the lights and sleeping, and the old things couldn't look back to dance.

Neon's Dream Gate, just the old people.The world Mo Xiaohuan was vacated, and he still had elegant style.",False
Incoming是個讓人感覺很舒服很放鬆的地方，老闆娘會一一到每桌敬酒打招呼，服務人員不會像其他夜店裝酷臭臉，是家值得經常光顧的酒吧！,"Incoming is a place that makes people feel comfortable and relaxed. The boss will say hello to every table, and the service staff will not pretend to be a cool face like other nightclubs. It is a bar worth visiting frequently!",False
"看了低星的評論 覺得很中肯
酒真的偏淡
特調系列全部都很甜 但酒精濃度很低 像喝飲料 如果不喜歡喝甜的點經典款會比較合口味
Shot濃度很低

如果希望客人多消費 我覺得至少要讓客人覺得喝到的東西有一定水準
喝ㄎㄧㄤ了 場子才會熱起來 氣氛自然熱鬧 也不用靠闆娘撐場面

闆娘們真的很認真 也會每一桌聊一聊 幫忙介紹新朋友 看我們比較安靜也會一起玩遊戲
氣氛是很溫馨

如果想要安靜一點的氛圍可以早一點來 到12點過後會有來續攤的客人

整體來說還是很不錯的空間 希望日後更好","After watching the low star comments, I feel very willing
The wine is really light
All the special series are very sweet, but the concentration of alcohol is very low like drinking drinks. If you don’t like to drink sweet, classic models will be more flavored.
SHOT concentration is very low

If you want guests to spend more, I think at least let the guests feel that the things they drink are at a certain level
Drinking 才 ㄧ ㄎ will be hot when you are hot, the atmosphere is naturally lively or the scene does not need to rely on Ban Niang to support the scene.

Ban Niangs are really serious and will talk about each table to help introduce new friends to see that we are relatively quiet and they will play games together
The atmosphere is very warm

If you want a quiet atmosphere, you can come earlier to 12 o'clock.

Overall, it is still very good space, I hope it will be better in the future",False
"闆娘會一直站在你旁邊等你茫掉
一直提醒你繼續點酒哦
還要拒絕兩三次才夠耶
還有 酒精濃度很低 以及調酒不專業也很難喝","Ban Niang will always stand next to you waiting for you
Always remind you to continue ordering wine
You have to refuse two or three times to be enough
There are also low alcohol concentration and unprofessional bartending.",False
"平日適合小酌的地方
除了調酒之外也有紅白酒
週末有DJ和活動氣氛更加熱鬧","Suitable for drinking on weekdays
In addition to bartending, there are also red and white wine
There are DJs on weekends and the atmosphere of activity are more lively",False
"氣氛很好 酒也好喝 是很適合喝杯小酒跟朋友聊天的地方
我們沒有訂位路過看到進去結果遇到客滿狀態 老闆娘非常機動性的在十分鐘內幫我們安排到坐位 讓我們感受到他們對每組客人的重視
總之我和朋友會經常去光顧的 大推！","The atmosphere is very good and the wine is delicious. It is very suitable for drinking a glass of wine to chat with friends
We did n’t make a book passing by and saw it in the end, and when we encountered a full state, the boss was very mobility to help us arrange to the sitting position in ten minutes to let us feel that they attach importance to each group.
In short, my friends and I will often patronize the big push!",False
"朋友推薦而來 滿心期待
也想著可以認識圈內朋友

點了蠻多的奶酒梅酒shot
不管哪一盤都是水掉的
奶酒每杯的泡泡也比液體多

高樓大廈shot過酸想要微調甜一點
也被拒絕","Recommended by friends, come and look forward to
I also want to know friends in the circle

I ordered a lot of milk wine plum wine shot
No matter which plate is water, it is water
Milk wine is more bubbles per cup than liquid

High -rise building shot is too sour and wants to fine -tune sweet
Also rejected",False
調酒好喝，老闆娘超級好聊的整體氛圍都非常棒！！不管是想來輕鬆跟朋友聊天或是跟其他桌的人互動都很適合🫶,"The bartending is delicious, the overall atmosphere of the boss is very good!IntersectionWhether you want to chat with friends or interact with people at other tables, it is very suitable for 🫶",False
