Original,EN,Needs Review
"週五晚上自己來放鬆一下
老闆很親切，提供有趣的牌類遊戲☺️","Come and relax by yourself on Friday night
The boss is very kind and provides interesting brand games ☺️ ️ ️",False
"店家人非常親切，地點就在統一百貨二樓，交通非常方便！
酒好喝，不定時還有音樂表演，推推😆","The shopkeeper is very kind, and the location is on the second floor of the unified department store. The transportation is very convenient!
The wine is delicious, and there are music performances from time to time, push push",False
"老闆很好笑！
愛玩遊戲的一定要過來！
直接跟老闆說要玩遊戲
老闆超啊沙力～～～～～
推薦喝調酒 深夜 ！
好喝！","The boss is funny!
Those who love to play games must come over!
Tell the boss directly to play games
The boss is super sandal force ~~~~~~
Recommended drinking late at night!
Special!",False
"評論五星可以免費玩遊戲。

調酒還不錯，價格不算貴，氣氛比較「臺」一點。老闆很熱情。","Comment on five -stars to play games for free.

The bartending is not bad, the price is not expensive, and the atmosphere is more ""Taiwan"".The boss is very enthusiastic.",False
"氣氛佳 還可以看到101🤩🤩
酒也讚～～
回訪多次！","Good atmosphere can also see 101佳
Wine is also praised ~~
Visits many times!",False
"𝕏𝔻 𝔹𝕒𝕣 in  信義區
又多了一間看得到101景色的酒吧啦✨

週末放鬆去又有一個新地標可以選擇
位在統一時代百貨二樓廣場區
跟著音樂節奏變換的佈置

調酒🍸/啤酒🍺/香檳🍾️
週末還在想要去哪好好放鬆一下的嗎

今天點了1664白啤酒
淡淡的麥芽香氣
中段微苦的口感
整體喝起來清爽
好適合現在微熱的夏天

調酒-蜜桃成熟
超美的漸層色系
蜜桃酸甜味道微甜滋味
清爽不會太濃郁的酒精氣息
適合週末想要來點微醺放鬆

店家還有優惠活動⬇️

好康1️⃣
從現在起只要購買店家T-Shirt
爽爽喝 #一年份啤酒  （12杯）

好康2️⃣
每月𝕏𝔻 日
穿這件T-Shirt或是穿著便服
但證明有購買過 即贈 乙杯啤酒
( XD日會於前一個月公告於官網粉專，詳細活動依官網公告 ）","区 义 IN Xinyi District
There is another bar that can see 101 scenery.

Relax on weekends, there is another new landmark to choose from
It is located in the square area of ​​the second floor of the unified era department store
Follow the layout of the music rhythm transformation

Bartending 酒/beer 香/champagne 🍾️
Where are you still wanting to relax on the weekend?

Today I ordered 1664 White Beer
Faint malt the aroma
Mid -section slightly bitter taste
Drink the whole
It's suitable for the hot summer now

Bartending-peach mature
Super beautiful gradient color system
Peach sweet and sour taste is slightly sweet
Fresh and not too strong alcoholic atmosphere
Suitable for the weekend to relax a little bit

The store also has discount activities ️️

Haokang 1️⃣
From now on just buying a shop T-Shirt
Drink from Shuangshou #One -year beer (12 cups)

Haokang 2️⃣
每 𝕏𝔻 𝕏𝔻 𝕏𝔻 𝕏𝔻 𝕏𝔻 𝕏𝔻
Wear this T-Shirt or wear a casual dress
But it proves that I have purchased it and give it a cup of beer
(XD Day will announce it in the previous month on the official website Fan College, the detailed event is announced according to the official website)",False
"我是欸幹拎
風趣有品味的老闆
當天一開始營業就來光顧
老闆親自幫我們調酒
1.38水姑娘
2.曾經愛過
第1種超合我味，謝謝老闆
給你按個讚啊👌💯","I am dry
Funny and tasteful boss
Come and visit at the beginning of the day
The boss helps us bloom in person
1.38 water girl
2. I have loved
The first kind of super fit, thank you boss
Press you like it 个 赞 赞 赞 赞 赞",False
店員小妹妹好親切 老闆也很好客 雖然突然消失🤣 沒下雨會是個好聚會的地方,The clerk's little sister is so kind boss and a good guest.,False
環境舒適，很適合愜意的生活。 來這裡喝一杯,The environment is comfortable and suitable for a pleasant life.Come here for a cup,False
今天第一次來這裡，可以喝酒、聽音樂還可看101夜景，小孩們自己就蹦迪起來了。老闆和服務人員很親切，地點很方便、價格也很友善，推薦大家可以前往體驗一下。戶外座位氛圍很好哦！：）難得可以找到這樣大人、小孩都可以隨著音樂搖擺身體的地點真的好開心，近期一定會再約朋友一起去放鬆一下。,"For the first time today, you can drink and listen to music and watch 101 night views, and the children will jump up.The boss and the service staff are very kind, the location is very convenient, and the price is very friendly. It is recommended that everyone can go to experience.The outdoor seat atmosphere is very good!:) It is rare to find such adults and children. You can be happy with the place where the music sways the body. In the near future, you will definitely ask friends to relax together.",False
"老闆很nice，請我們喝了好喝的shot🥰
調酒很多選擇，如果有不清楚的可以問調酒師，人都很好👍🏻","The boss is very nice, please drink delicious shot🥰
There are many options for bartending. If you have unclear, you can ask the winemaker, and everyone is very good.",False
大推橙酒，還有老闆的草莓紅茶shot很讚，完全沒有酒味！,"Push orange wine, and the boss's strawberry black tea shot is very good, there is no wine flavor at all!",False
這家酒吧的服務真是一流，氣氛也十分愉悅。特別要提的是店員雯雯，她的服務態度非常出色，給人賓至如歸的感覺。而且，他們還提供了一些貼心的招待小物，讓整個體驗更加完美。下次我一定會邀請朋友一起來品嚐，絕對是一個值得推薦的地方。,"The service of this bar is really first -rate and the atmosphere is very pleasant.In particular, the clerk Wenwen, her service attitude is very good, giving the guests feel home.Moreover, they also provide some intimate entertainment small things to make the entire experience more perfect.Next time I will invite friends to taste together, it is definitely a recommended place.",False
啤酒總類多好喝，調酒夠濃。,"The total beer category is delicious, and the bartending is strong enough.",False
老闆熱情 酒好喝喔！,The boss is warm and delicious!,False
老闆人很好 超nice  酒水也好喝 推薦來,The boss is very good to be super nice.,False
直接走上階梯就好，不要懷疑👍,"Just go directly to the stairs, don't doubt it 👍",False
來玩遊戲！好開心🥳,Come to play games!So happy,False
老闆親切 東西好吃 重點酒好喝價格又便宜 不收服務費 讚,"The boss is kind and delicious, the key wine is delicious, the price is cheap and does not charge the service fee.",False
氣氛很好，外面有活動的時候就可以坐在裡面，調酒也可以以你所需要的濃淡下去調，吃完飯過來小喝一杯,The atmosphere is very good. You can sit inside when you have activities outside. You can also adjust it with the thickness you need.,False
"調酒好喝，雙醬薯條也很好吃！
店員又帥又美又熱情，店內有小遊戲可以玩還請了一杯超好喝的SHOT
無論是跟朋友一起還是想跟自己約會都很適合的一間酒吧，推推","The bartender is delicious, and the double sauce fries are also delicious!
The clerk is handsome, beautiful and enthusiastic, there are small games in the store to play and invite a super delicious Shot
Whether it is a bar that is suitable for a date with friends or dating, push push",False
