Original,EN,Needs Review
"這家是因為飯店住附近打開地圖找意外找到的店家，環境氣氛很好，調酒師也很好聊
可能因為地區的關係調酒師說很少路過客人，大部分都常客居多。
調酒師也很厲害如果不知道喝什麼可以直接跟他講想要什麼味道
做出來的特調都超好喝👍","This is because the restaurant opens the map nearby to find an unexpectedly found shop. The environmental atmosphere is very good, and the bartender is also very easy to talk about
It may be because regional alcoholics say that they rarely pass the guests, and most of them are frequent.
The bartender is also very powerful. If you don’t know what to drink, you can tell him what the taste you want
The special tunes made are super delicious 调",False
知道這間酒吧已經四五年了，卻遲遲沒有進來過，酒吧外觀簡約有質感，環境偏暗很適合來小 Chill 一下 ，Negroni 很好喝，調酒師手藝很好，可惜海鮮總匯很一般，算是唯一的小失望。,"Knowing that this bar has been four or five years old, but I have never come in. The appearance of the bar is simple and textured. The dark environment is very suitable for a small chill. Negroni is delicious, the bartender technology is very good, but unfortunately the seafood remittance is very general. It is the only little disappointment.",False
Sam哥人很好，酒很好喝，可以請他調一些經典，沒有什麼名產女朋友啦哈哈哈，台北碩果僅存幾家可以吸菸的店，店內寬敞慵懶，小心不要走過頭到設計公司了,"Brother Sam is very good, the wine is very delicious, you can ask him to adjust some classics. There is no famous girlfriend hahaha. There are only a few stores that can be smoked in Taipei.",False
"在民生社區比較安靜的角落，店內主要以經典調酒為主，也可以跟很好聊的bartender sam溝通你的需求，店內裝潢比較現代俐落，但很有設計感，空間很舒適，適合想安靜喝杯酒的人來這邊體驗。
店內目前沒有提供任何食物，所以記得墊個胃再來找熱情的店長sam。","In a relatively quiet corner of the Minsheng Community, the store is mainly based on classic bartending. You can also communicate your needs with Bartender SAM. People who drink a glass of wine quietly come here to experience.
There is no food in the store, so remember to put a stomach and look for the enthusiastic store manager SAM.",False
"除了一樓的既有座位區，最近又新規劃了戶外區唷~✨🤗
適合喜歡拍照的朋朋們😉","In addition to the existing seat area on the first floor, the outdoor area has been planned recently ~ ✨🤗
Suitable for friends who like to take pictures 适",False
很舒服放鬆的一間酒吧，真的很好喝，有老闆特製的Mojito!老闆人很好～,"A very comfortable and relaxed bar, it is really delicious. There is a special Mojito! The boss is very good ~",False
"無論咖啡還是酒都不會讓你失望
無論白天或是黑夜都讓你像家一樣","No matter coffee or wine, you will not disappoint you
Whether it is day or night, you are like home",False
週末小酌的好地點，位子舒適安靜，老闆專業介紹，多的是你不知道的事。,"The good location of the weekend is comfortable and quiet, and the boss professional introduces it. Most of the things you don't know.",False
"下雨天來喝酒聊天！ Bartender 人很好，雖然卻材料無法做出我們點的調酒，但有問我們喜歡什麼口味然後另外調出類似的飲品（所以不知道我這次喝的提拉米蘇調酒有沒有出現在menu中）
適合和朋友來聚聚的好地方！","Come and chat on rainy days!Bartender is very good, although the material cannot make the bartender we order, but ask us what the taste we like and then call out a similar drink (so I don’t know if I drink the titramisu bartender this time. Menu)
Suitable for a good place to gather with friends!",False
880元，喝到飽，不限時，調酒很有品質，真的有水準,"880 yuan, drinking enough, unlimited time, bartending is very quality, it really has a standard",False
整體環境氣氛佳、乾淨！！是一個週末可以小酌的地方。（大推）而且，鬍鬚男很帥又待人親切。女友更是超正又好看～不來邊喝酒邊欣賞正妹女友一下對得起自己嗎ʕ •ᴥ•ʔ,"The overall environment atmosphere is good and clean!IntersectionIt is a place where you can drink on weekends.(Push), and the beard man is handsome and kind.My girlfriend is super positive and beautiful ~ I do n’t come and enjoy the sister ’s girlfriend.",False
歌手爵士風味唱腔到位，琴師琴藝高超，調酒讓人倍感幸福及愉悅，是一個下班後放鬆小酌的好地方,"The singer jazz -flavored aria is in place, the pianist's piano art is superb, and the bartending makes people feel happy and happy. It is a good place to relax after get off work",False
氣氛佳，適合朋友一起聚餐閒聊，也適合獨自前來沈澱自己。,"The atmosphere is good, suitable for friends to have a meal and chatting together, and it is also suitable for setting up alone.",False
鬍子哥的女友超辣，是整間店的大亮點，酒好喝環境又好！實在大推特推！,"Brother Behong's girlfriend is super spicy, and it is the highlight of the entire store. The drinking environment is good!Really pushed!",False
空間很漂亮，咖啡、調酒好喝，可以很放鬆。,"The space is very beautiful, coffee, bartending is delicious, and it can be relaxed.",False
"好讚喔 酒好喝欸
那個鬍鬚男的女友很正 又辣
喝酒順便去看美女 多棒
推推","I'm so good, the wine is delicious 酒
The girlfriend of the bearded man is very positive and spicy
Drink and see how good the beautiful girl is
Push",False
環境舒適，廁所有放衛生棉非常貼心。老闆很親切，服務真的很不錯！重點是價格很優！,"The environment is comfortable, and the toilet is very intimate.The boss is very kind and the service is really good!The point is that the price is very good!",False
"Bartender 人風趣又不會硬聊
酒很有水準，非常推薦！","Bartender is funny and can't talk hard
Wine is very standard, very recommended!",False
舒適的環境，吧台態度相當客氣，對酒品的介紹也很詳細，推推推👍🏻👍🏻 …,"A comfortable environment, the attitude of the bar is quite polite, and the introduction of wine is also very detailed. Push push ...",False
很舒服的空間，調酒也超好喝，老闆很nice，大推！,"Very comfortable space, bartending is also super delicious, the boss is very nice, push!",False
舒適放鬆，適合一個人來放空一下午,"Comfortable and relaxed, suitable for one afternoon for one afternoon",False
"Bartender 親切專業且調酒很有水準
空間舒適放鬆","Bartender is intimate and professional and is very standardized
Space comfortable and relaxed",False
鬍鬚男的女友超正，酒又好喝，下次還要跟朋友來這邊聚會～～,"The girlfriend of the beard is super positive, and the wine is delicious. I will come here to party with my friends next time ~~",False
很適合好友相聚小酌，空間舒適，調酒好喝。,"It is very suitable for friends to gather together, comfortable space, and drink good for alcohol.",False
氣氛好餐點好吃酒也好喝,"The atmosphere is good, delicious wine is delicious and delicious",False
"調酒師鬍子男Sam的女友超級正(絕對五星)
下次還要再來","The girlfriend of the bartender man Sam is super positive (absolutely five stars)
I will come again next time",False
環境舒適，調酒超讚！鬍子哥女友正翻天！,"The environment is comfortable, and the bartender is superb!Brother Beard Girlfriend is turning the sky!",False
"超級鬍子哥的女友⋯
正過頭了吧⋯天啊太可怕
醬好像只能一直來了欸⋯唉～","Super Beard's girlfriend ...
It's too terrible, it's terrible
The sauce seems to have only been here all the time 只 ⋯ ~",False
"Bartender專業知識非常厲害
店內氣氛很好👍🏾👍🏾
超chill的地方，一定回訪 …","Bartender's professional knowledge is very powerful
The atmosphere in the store is very good 氛
Where the super chill, you must return to visit ...",False
下班後喝酒聊天，吃個小菜，飯後來杯咖啡和小甜點，值得推薦。,"After getting off work, drink and chat, eat a side dish, cup coffee and small dessert after meals, it is worth recommending.",False
氣氛超級好，店內還可以抽雪茄！ 👍 …,"The atmosphere is super good, cigars can be pumped in the store!👍 👍 ...",False
咖啡好喝、服務好👍🏻,"Coffee is delicious, good service 喝",False
