Original,EN,Needs Review,Positive,Negative,Neutral,Compound
在信義區商圈的餐廳，戶外座位區還不錯，夏天晚上坐在戶外很舒服。餐點的價格不便宜，味道還不錯，就像是居酒屋的下酒菜一樣。點餐要跟服務人員拿QR Code掃碼點餐，不是很喜歡這樣的點餐方式。,"In the restaurant in the business district of Xinyi District, the outdoor seat area is not bad. It is very comfortable to sit outdoors in the summer night.The price of the meal is not cheap, and the taste is not bad, just like the jams of izakaya.To order with the service staff, take the QR Code to scan the code to order, not like this way of ordering.",False,0.121,0.055,0.823,0.7247
"2024／05
晚上來喝一杯，徐徐涼風吹來真的很不錯。推薦酒樂的烤物，有自己的烤肉架，專業也用心，所以雖然貴了點，還是覺得划算。餐點倒是一般，孩子覺得好吃就沒踩到雷。

今天就抱著要在戶外喝兩杯的心情選了這家店，信義區的熱鬧真的名不虛傳，越夜越美！
餐點都很好吃，頓飯得到孩子5⭐評價（自己也覺得很好吃）去看了場威秀電影，回來吃點宵夜也剛剛好。
服務速度是跟著客人數來看的，我覺得很不錯了，在國外，如果沒坐吧檯，也是要等些時間，小費更是驚人。建議坐在走廊的位置，有帥哥美女可看，怕冷的話就多考慮囉。
洗手間在室內，而且小，走趟室內，就會感覺室外與室內氣氛的差別哦！但是我還是喜歡室外啦啦啦啦啦

P.S.推薦給“不會看價錢+就想坐室外喝酒+要跟帥店長聊兩句”的你","2024/05
Come to drink a drink at night, it is really good to blow the cool breeze.Recommended barbecue of Jiu Le, has its own barbecue rack, is also careful, so although it is a bit expensive, it is still cost -effective.The meal is average, and the child feels delicious when he feels delicious.

Today, I chose this store with the mood of drinking two glasses outdoors.
The meals are delicious. I got the child 5 ⭐ Rating for meals (I also think it is delicious) to watch the show movie.
The service speed is followed by the number of guests. I think it is very good. In foreign countries, if you do n’t sit on the bar, you will have to wait some time, and the tip is even more amazing.It is recommended to sit in the corridor. There are handsome guys and beautiful women to see. If you are afraid of cold, consider more.
The toilet is indoors, and it is small. When you walk indoors, you will feel the difference between outdoor and indoor atmosphere!But I still like outdoor la la la la la la la

P.S. Recommend to you ""I don't see the price+if you want to drink outdoors, and talk to the chief of the handsome shop""",False,0.189,0.0,0.811,0.9914
"信義區喝酒不錯選擇之一
杯子做的有點廉價，但位置是滿舒服的。
整桶1500的酒挺划算的讚讚
廁所建議定時清理味道稍重","One of the good choices for drinking in Xinyi District
The cup is a bit cheap, but the position is full of comfort.
1500 wines of the whole barrel are very cost -effective praise
The toilet is recommended to clean up the taste from time to time",False,0.337,0.0,0.663,0.9675
"酒可以單獨做調整，好喝
炸物是真的5星🌟🌟🌟🌟🌟
這雞翅放了半小時還可以是燙的，又多汁
松露薯條也很讚
吃到一半才想起來要拍照，份量很夠
QRcord點餐，方便又明瞭
室內基本上不會聞到外面煙味","Wine can be adjusted alone, delicious
The fried object is really 5 stars 真的 真的 真的 真的 真的
This chicken wings can be hot for half an hour and can be hot, juicy
Tulu potato strips are also very good
I only think of taking pictures after half of it, and my portion is enough
QRCORD order, convenient and clear
The indoor does not smell the smell of smoke outside",False,0.123,0.026,0.852,0.8173
"需要自助服務，點餐系統綁在Line上，但是沒有串連結帳系統。

服務人員態度不佳，送餐也不補上餐具，都要再次提醒才會動作，上餐也不說是什麼餐點，真的沒有服務熱誠。

餐點價位偏高，但不收服務費，因為也沒有什麼服務。

軟飲百元起跳，與路邊手搖店品質仍有一段差距，送上的漢堡僅有薯條是熱的，漢堡包是早餐店等級、牛肉還好、生菜很少，這樣一份要價四百。炸物選擇有限，與國內連鎖品牌比較，還是連鎖比較好吃，份量也比較多。","It is necessary to self -service, the ordering system is tied to LINE, but there is no connection check -in system.

The service staff has a poor attitude, and the meal does not make up for the tableware. It must be reminded to move again. I do n’t say what meals are on meals. There is really no enthusiasm for service.

The price of the meal is high, but it does not charge the service fee because there is no service.

There is still a gap between the quality of the soft drink and the quality of the hand -shaking shop on the roadside. The only burgers that are delivered are hot. The burger bag is a breakfast shop level, beef is okay, and there are very few lettuce. EssenceThe selection of fried objects is limited. Compared with the domestic chain brand, the chain is still more delicious and the portion is more.",False,0.078,0.101,0.821,-0.4762
"1.整體餐點品質還算不賴，但在此就真的有體驗到台北的物價與作息了。正所謂台北的夜，越夜越美麗，在這裡的人形形色色，有約會、有談商、有放鬆，在此點來個下午茶、小酌，觀察人的一舉一動、放鬆，十分愜意。
2.裝潢蠻奇特的，但僅限單一面積來看，若整體做觀察會覺得很突兀。
3.價位非常之高，換個形容方式，量半價倍再適合不過了。雖說品質有到達那價位應有的表現，然這價位還是不敢恭維，不然荷包君就要開始抗議了。
4.香煎雞肉黑松露奶油野蕈燉飯，整體味道表現非常突出，讓人無可自控的往嘴裡送，細細品嘗那美味，奶香、蕈味十足，讓人大飽舌福。然口感部分就比較不行了，雞肉過火時間太長，導致口感非常柴，是此次前來唯一美中不足之處。
5.至於網路上所傳的態度不佳，此次前來沒有感受到任何的不周，份內之事與服務也都表現得還不錯，可能是這次比較幸運吧？
6.整體來說，算是比較中規中矩的店家，用料有到所以價位會偏高，但以這寸土寸金、特色四起的信義區而言，稍較平庸，沒有特色可言，亦無必訪感覺，屬於可有可無的存在。","1. The quality of the overall meal is not bad, but here it really experiences the prices and schedules in Taipei.The so -called night of Taipei is more beautiful. The human shape here is human -shaped, there are dating, talks, and relaxation. At this point, afternoon tea, drinking, observing people's every move and relaxation, very comfortable.
2. The decoration is quite peculiar, but only in terms of a single area, it will be obtrusive if the overall observation will be observed.
3. The price is very high, and the description method is more suitable for half price.Although the quality has reached the performance of the price, the price is still dare not compliment, otherwise He Baojun will start protest.
4. Pan fried chicken black loose creamy wild stew rice. The overall taste is very prominent. It is unpopular to send it to the mouth. Taste the deliciousness, milk fragrance and flavor, which makes people full of tongue.However, the taste part is relatively not good. The chicken is too long to get the fire for too long, resulting in a very firewood. It is the only disadvantage in this time.
5. As for the poor attitude spread on the Internet, I did n’t feel any incompetence this time, and the services and services were also good. Maybe it ’s lucky this time?
6. On the whole, it is a relatively satisfactory store. The price will be high when the materials are there, but in terms of this inch of earth and gold, the fabrics are slightly mediocre. Feeling, it belongs to the optional existence.",False,0.143,0.087,0.77,0.9564
"半夜喝酒氣氛不錯
不過用餐流程有待改進
需要自己掃碼點餐
餐點還有機率送錯桌","The atmosphere of drinking in the middle of the night is good
But the dining process needs to be improved
You need to scan the code by yourself
There is still a chance to send the wrong table for meals",False,0.176,0.085,0.738,0.5346
台北信義區轉角的一間居酒屋🏮，受到疫情影響人潮沒以往的多，但整體來說人潮還是算多的，跟其它店家比較起來，用餐🍴舒適度還不錯，有室內及戶外，餐點價位稍貴，但位於信義區內還算合理，這次點了培根🥓牛肉🐂花生🥜漢堡🍔，整體口感不錯，份量以一個男性成年人來說還算吃得飽，而且+30元就可以多點一杯飲料🥤跟常去的咖啡廳非得要點一杯飲料170元起跳，不管有沒有點餐都一樣，價位上就差蠻多的，這邊算是信義區蠻好聚會或約會的好地方，氣氛不錯，裝潢設計有搭配復古裝飾，廁所🚽還算乾淨，個人覺得廁所乾不乾淨是一間餐廳的指標😘大家若要在信義區除了看電影外或到吃到飽的火鍋🍲店外，這邊真心❤️推薦😂😋😘 …,"A izakaya izakaya in the corner of the Xinyi District of Taipei is not much affected by the epidemic. It is a little expensive, but it is quite reasonable in Xinyi District. This time, I ordered Bacon 🥓 beef and peanuts. The overall taste is good. Order a drink 去 去 点 点 点 点 点 You have to order a cup of beverages at 170 yuan to start. No matter if there is any dining, the price is quite different. This is a good place for a good party or date in Xinyi District. The atmosphere is good. The atmosphere is good. The decoration design is matched with retro decoration. The toilet is clean. Personally, I think that the toilet is not clean. It is an indicator of a restaurant. Really ❤️ Recommended ️ ...",False,0.188,0.025,0.787,0.9802
"六人坐外面的位置菸味超重
餐點部分玉米片吃起來很不脆，感覺放很久了，串燒就蠻好吃的","Six people sitting outside the outside, the smell of smoke is overweight
The meal part of the corn slices are very crispy, and it feels like it is for a long time.",False,0.071,0.071,0.857,0.0
調酒點三杯沒一杯可以⋯來還是點啤酒塔就好 啤酒很好喝！！,There is no cup of bartending some cups. You can come or order or some beer tower. Beer is good!Intersection,False,0.0,0.116,0.884,-0.3595
