Original,EN,Needs Review,Positive,Negative,Neutral,Compound
"酒都超好喝！無酒精也很棒！非～～～常推薦
威士忌鵝肝寬麵超好吃，口味非常濃郁
梅子酒炸雞跟松露薯條也是上桌就被搶光的那種🤌🏻","The wine is super delicious!No alcohol is also great!Never ~~~ Commonly recommended
The whiskey goose liver wide surface is super delicious, the taste is very strong
Meizi wine fried chicken and truffle potato strips are also the kind of 🤌🏻 when they are served on the table",False,0.28,0.0,0.72,0.955
"很有質感的酒吧
主要以12生肖動物來命名酒單
週四還有生蠔之夜一顆100元🤩 …","Very textured bar
Mainly named the wine list with the 12 zodiac animals
There is a night of 100 yuan for oyster nights ...",False,0.0,0.0,1.0,0.0
"來自宮城的幾罷摳生蠔，搭配十二生肖的酒，完美～生蠔點了兩盤，完全沒有腥味～比起上一間廣島出生參雜腥味還賣兩百的好吃多了…我絕對不會跟別人說是knock knock😇😇😇
大力推爆Zoo KeepeR!!!!!!態度親切調酒好喝生蠔鮮甜，完全沒毛病啊各位～","A few oysters from Miyagi, with the wine with the zodiac, perfectly ordered the oysters for two plates, there is no fishy smell at all ~ It is much more delicious than the last Hiroshima ginseng ginseng. I will never tell others that it is Knock Knock😇😇😇
Vigorously push Zoo Keeper !!!!!!! Attitude, Intrandment wine is delicious and delicious, it's okay at all, everyone ~",False,0.296,0.022,0.681,0.9798
"有趣的酒單，是用各種動物命名，12生肖的酒單每一款也很吸睛，是我喜歡的口味！調酒很好喝唷～

店內裝潢也有巧思，雖然不大，但是空間很舒適，服務生也很親切。","The interesting wine list is named after various animals. Each of the wine list of the 12 zodiac signs is also very eye -catching. It is my favorite taste!The bartender is very delicious ~

The interior of the store is also ingenious. Although it is not large, the space is very comfortable and the waiter is very kind.",False,0.246,0.0,0.754,0.9536
"Signature 還不算 不過多是水果酸甜味的
蠻多有斑斕很讚
應該是象 調成有酒精的也很👍
熱炒跟義大利麵也蠻好吃的
狗狗超可愛很活潑","Signature is not just a fruit sweet and sour taste
There are quite a lot of colorful and great
It should be that it is also tuned to alcohol.
Hot frying and pasta are also pretty delicious
The dog is super cute and lively",False,0.391,0.0,0.609,0.9744
"👉 韃靼牛肉：
酸豆牛肉，搭在麵包上，還不錯

👉 威士忌鵝肝寬麵：
麵體還行，鵝肝是吃不太出來，還行嚕。

👉 泰式透抽海鮮燉飯
味道好像沒有很泰，不過是好吃討喜的燉飯。

👉 金沙松阪豬：
炒水蓮與松板豬，加了米酒提味有夠讚，好吃。

👉 塔可手絲豬：
黏呼呼的玉米餅個人不愛，豬肉倒是不錯，好吃。","👉 👉 👉 beef:
Sour bean beef, put on the bread, pretty good

肝The whiskey cotton liver wide face:
The facade is okay, the foie gras is not very good, and it is okay.

鲜 Thai -style transparent seafood stewed rice
The taste does not seem to be very Taita, but it is delicious and pleasing rice.

： ： 👉 👉:
Stir -fried lotus lotus and pine pigs, add rice wine to the taste, it is delicious.

： 猪 丝 👉 👉 👉:
The sticky corn cake does not like it. The pork is good and delicious.",False,0.211,0.031,0.758,0.98
"進門後立馬有女服務生熱情接待
店內風格呈現暗黑卻不失奢華風格
我們點了四道餐點：
①宮城生蠔
店家特製的葡萄柚醬油與檸檬的點綴，更增添了生蠔的鮮甜，生蠔肥美大顆，推薦。
②金沙松阪豬
鹹蛋及水蓮翻炒再加入嫩松阪豬，整體鹹香是非常棒的下酒菜！金沙與水蓮的香氣在上桌時就撲鼻而來。
③法式雞腿排牛肝菌燉飯
這個超頂！可惜若是飯量再多一些就好了，烤腿排外皮微酥、肉質軟嫩，而燉飯起司濃郁奶香十足，選用的牛肝菌幫這道菜凸顯出了特色！
④牛肉韃靼
主體為生牛肉加上洋蔥、酸豆、葡萄柚等佐料，在之前沒有體驗過生牛肉，此店的生牛肉調味偏鹹、口感似生鮪魚再有嚼勁點，搭配店家獨特發酵烤土司很絕配！一定要先吃吃看原味吐司，特別。
這間酒吧既有氣氛又有賓至如歸感，是個值得約會、小酌的地點。","Immediately after entering the door, a female service student warmly received a warm reception
The style of the store shows dark but luxurious style
We ordered four meals:
① Miyagi Oyster
The special -made grapefruit soy sauce and lemon embellishment of the shop also adds the sweetness of oysters, the oysters are beautiful and large, and it is recommended.
② Jinshasona pig
Salted eggs and water lotus are stir -fry and then add Nen pine pigs. The overall salty fragrance is a great dish!The aroma of Sands and Water Lotus came up when they were served.
③ French chicken thighs stewed rice stewed rice
This super -top!Unfortunately, if the amount of rice is more, the grilled legs are slightly crispy and the meat is soft and tender. The stewed cheese is full of milk fragrance.
④ Beef 鞑靼
The main body is raw beef, onion, sour beans, grapefruit and other condiments. I have not experienced raw beef before. The raw beef of this shop is salty, and the taste is like a raw catfish and then chewed. Tusi is very perfect!Be sure to eat the original toast first, especially.
This bar has both the atmosphere and the guests and feelings. It is a place worth dating and drinking.",False,0.182,0.0,0.818,0.9926
"氣氛很好！調酒也好喝（選擇超級多）
重點是店員服務態度很好😊會讓人想再去","The atmosphere is good!Blooming is also delicious (choose a lot of choices)
The point is that the staff's service attitude is very good. It will make people want to go again",False,0.233,0.0,0.767,0.8169
"當你已經帶著很高的預期來，店家還是超過你的期待，就是我的感想。

食物是最頂的等級，調酒的口味就是“乾淨”，很難更深入的解釋，你來喝喝看就知道；一般來我比較偏好有層次的調酒，但他們把“乾淨”的口感演繹到了一個極致，味道輕爽但不浮不水，尾韻的茶香淡隱卻點睛，非常出彩，會回訪！","When you have brought high expectations, the store still exceeds your expectations, which is my feelings.

Food is the top level. The taste of bartender is ""clean"". It is difficult to explain more deeply. If you come and see it, you can know; Generally, I prefer a layered bartending, but they make the ""clean"" taste The interpretation of the ultimate, the taste is light but not floating, the tea fragrance of the tail rhyme is fed and the finishing touch is very colorful. It will return to visit!",False,0.076,0.019,0.905,0.6533
"經典調酒還沒有機會嘗試
但無論是餐點/自創調酒/無酒精調飲
都在水準以上
非常推薦大家去
是一個很舒服的地方
服務也很好 環境輕鬆自在","Classic bartending has no chance to try
But whether it is meals/self -made bartending/no alcohol, drink
Both are above level
I recommend everyone to go
It's a very comfortable place
The service is also very good and the environment is easy and comfortable",False,0.351,0.023,0.626,0.9696
"A cool spot for friends gathering! Cocktails are named after animals, pretty interesting.
很特別的一間店，店內氛圍好，空間不大，但走進去過了廁所後，有一間包廂，提供三五好友不受打擾的聚會。
餐點我們點了松露薯條、松阪豬、梅酒炸雞，都很下酒很好吃！很快就被大家分食完成！
調酒的部分有分有酒精和無酒精，大多都是以動物命名，很特別，朋友點了羊駝，杯子上還有羊駝的圖案！
服務也不錯，服務生有耐心，上菜上酒也都蠻快的！會想要再來喔！","A cool spot for friends gathering! Cocktails are named after animals, pretty itesting.
A very special store, the atmosphere in the store is good, there is not much space, but after entering the toilet, there is a box, which provides a party that is not disturbed by three or five friends.
We ordered the fluffy fans, Matsusaka pigs, and plum wine fried chicken. They were all delicious!Soon everyone is finished!
The bartending parts are divided into alcohol and no alcohol. Most of them are named by animals. It is very special. Friends ordered alpaca. There are alpaca patterns on the cup!
The service is also good, the waiter is patient, and the wine is quite fast!I want to come again!",False,0.245,0.019,0.736,0.9847
餐點好吃 酒也好喝～店員都非常友善❤️,The meals are delicious and delicious ~ The clerk is very friendly ❤️,False,0.498,0.0,0.502,0.8977
餐點超讚、酒超好喝、環境好、舒適適合聚餐的好去處,"The meals are superb, the wine is super delicious, the environment is good, the environment is good, it is suitable for a good place for dinner",False,0.505,0.0,0.495,0.9657
覺得整體酒都偏淡 真的很淡很淡的那種哈哈哈 點的shot也是 味道沒有不好但可能就要多喝幾杯才會快樂😂雞腿牛肝菌菇燉飯蠻好吃～,"I feel that the overall wine is really light and very light. Hahaha -oriented shot is also tasteless, but it may have to drink a few more cups to be happy.",False,0.205,0.0,0.795,0.8171
"料理有fine dining等級
專程來吃飯氣氛不錯，配點酒剛好
調酒多是創意調酒，量不多價高，但味道不錯
整體來說算是價格比較高但有一定品質","Cooking is a FINE DINING level
The atmosphere of eating is good, with some wine just right
Multi -bartending is more creative bartending. The amount is not high, but the taste is good
Overall, the price is relatively high but has a certain quality",False,0.24,0.0,0.76,0.8837
"Zoo KeepeR
六張犁附近非常有特色的酒吧
調酒類都是以動物來命名

餐點及服務都非常非常棒👍🏽","Zoo Keeper
Very distinctive bars near six plows
Blooming is named after animals

The meals and services are very, great",False,0.188,0.0,0.812,0.659
"喝了8杯酒
不管是經典還是特調都令人驚艷
服務親切有回到家的感覺
點了一份水連松阪豬配酒
出餐速度快到下一跳
有榮幸能喝到準備參加比賽的酒
印象深刻！","Drink 8 glasses of wine
It is amazing whether it is classic or special tone
The feeling of being kind to go home is affectionate
Ordered a water Lian Songsaka pig with wine
The meal speed is fast to the next jump
I am honored to drink wine to participate in the competition
Impression!",False,0.302,0.0,0.698,0.9601
"鐵觀音巴斯克有一些誤會欸
咬到鐵觀音茶葉不太對吧
然後很不巴斯克 那個起司濃郁感呢

生蠔時段限定一顆$100
划算翻 超級巨大 但海味好不明顯偏腥瘋掉

動物調酒很少見很有創意 一杯$400
有12生肖 都會跟動物有些關係
但喝的不是很懂 Garnish跟酒本身篇不搭
像雞的鵪鶉蛋也太硬要了吧
然後Shark那紅紅一片吃不懂...

店內走一個偏暗的氛圍
店員互動再多一點會更讚","There is a misunderstanding of Tie Guanyin Basque
Bite until the tea leaves are not too much against the bar
And then very unbasque Nagashima is rich

Oysters are limited to one $100
Rings are super huge but the seafood is very unsuccessful

Animal cocktails are very rare to see very creative a cup $ 400
There are 12 zodiac signs that will have a relationship with animals
But drinks are very unlikely Garnish follows the wine itself
Like the chicken quail eggs are also too hard to the bar
And then Sharka red and red and adheable to eat...

The store walks a secret atmosphere
The shopkeeper interacts a little more will be more praise",False,0.144,0.065,0.792,0.9125
