Original,EN,Needs Review
"店裡寫到旁邊酒吧消費「外帶全部享有9折優惠」，事實上是外帶到飛鏢場不但沒有9折優惠，還要被加收10%服務費（結帳時才講）！
結果花了四百多塊，買了一杯塑膠杯裝的尊貴調酒…","The shop wrote that the bar next to the bar consumes ""all takes a 10%discount"". In fact, it is not only a 10%discount for the darts.
As a result, it took more than 400 yuan to buy a cup of plastic cup.",False
"自己練習飛鏢的好地點
冷氣超涼 東西也很新
手機還能充電
環境也非常乾淨","Good place to practice darts by yourself
The cool and cool things are also very new
Mobile phone can also charge
The environment is also very clean",False
"• 位於1樓的無人鏢店，店內乾淨有空調，有店內音樂，還有充電插座可使用~好適合作為逛街中途休息的地方XD
• 打鏢：3台鳳凰機，無任何低消限制，也不需另換代幣，單純投10元幣即可打鏢，旁有1桌3椅的高腳桌兩組及吧台座位區
• 飲食：可能某些特定時間才有供餐和飲料
• 星期六晚上18-19點，毛毛雨天，少人","• The unmanned dart shop on the 1st floor. There are air -conditioning in the store, music in the store, and charging sockets to use ~ It is suitable for a place to rest in the middle of the shopping. XD
• Dart darts: 3 phoenix machines, no low -elimination restrictions, and no need to exchange tokens. Simply invest 10 yuan to hit darts. There are two sets of tall tables with 1 table and 3 chairs.
• Diet: Maybe there are meals and drinks at certain time
• At 18-19 pm on Saturday, rainy days, few people",False
好玩欸！雨後的下午沒人在玩了一場一對一，空間乾淨，冷氣涼，自在舒服,"Fun!No one was playing a one -to -one afternoon after the rain, the space was clean, the air is cool, and comfortable and comfortable",False
"現在改裝了！ 老闆下午到晚上都會在
也可以點酒了！各類Shot到Highball, Long island到特調都有 也有無酒精的飲品跟一些小點像薯條或麵
超喜歡這邊的 去年5月第一次來 過了一年多 對這邊的感情只有越來越愛
老闆人很好 老闆娘也很漂亮！
第一次來沒關係 可以請教老闆怎麼用鏢機跟玩裡面的遊戲","Now modified!The boss will be there in the afternoon from the afternoon
You can also order!Various types of shot to highball, long island to special tunes, there are alcoholic drinks and some small dots like fries or noodles
I really liked here for the first time last year.
The boss is very good, the boss is also very beautiful!
It's okay for the first time, please ask the boss how to use the game in the game with a dart machine",False
"無低消，24小時練鏢好去處🎯🎯🎯
白天有吧台可以點飲料。
但機台有時怪怪的⋯吃了我四十元無法退幣⋯⋯ …","No low, practice darts for 24 hours, go here 🎯🎯🎯
You can order drinks during the day.
But sometimes the machine is weird. I ate me 40 yuan and I couldn't refund the coin ...",False
"AI Darts 進化 2.0 ！
超棒的，終於改裝完成！
下午、半夜、任何時間，想打鏢不怕沒地方啦！👍👍👍 …","AI DARTS Evolution 2.0!
Superb, finally the modification is completed!
In the afternoon, midnight, at any time, you are not afraid of playing darts!👍👍👍 👍👍👍 ...",False
「鳳凰機台」有三台，301十元701二十，可以充電，店內稍暗但比酒吧亮。丟空靶的時候會有大聲的投幣音效提醒你付錢唷，使用者付費的概念。「自助式24小時」,"There are three ""Phoenix Machine"", 301 ten yuan 701 twenty, can be charged, the store is slightly darker but brighter than the bar.When throwing the target, there will be a loud coin sound effect reminding you to pay, the concept of users pay.""Buffet 24 Hours""",False
"看網頁24小時
有點像自助式
沒櫃檯人員
旁邊寫禁止飲食
可是他們有賣食物？","Watch webpage 24 hours
A bit like a buffet
No counter staff
Write next to the diet
But do they sell food?",False
無人飛鏢店，絕對是上班族紓壓的最愛，沒有低消！只需投幣就可以舒緩上班的煩悶，超喜歡,"Unmanned dart shop is definitely the favorite of office workers to relieve pressure.You can soothe the boredom of going to work, so you like it, so I like it",False
閒閒沒事路過，看到裡面沒人好像很好玩就進去了，第一次玩，非常舒壓，而且一次才10塊，越玩越有興趣XD,"Passing by leisurely, no one seems to be fun in it, I play in the first time, very relaxed, and only 10 yuan at a time. The more I play, the more interested XD",False
沒有店員的鏢店，跟朋友在一起的時候可以很自在,The dart shop without a clerk can be very comfortable when you are with friends,False
我亂射一通！射了很多！很舒服！很紓壓！,I shot a mess!A lot of shot!Very comfortable!Very relieved!,False
公標很多的針都壞了，只有三個標機，零錢機吐出來的錢機台都不太愛吃，投進去都在吐出來，很難投，地毯都爛了，除此之外還算不錯,Many needles that have a lot of public standards are broken. There are only three standard machines. The money machines spit out by the coin machine are not very much loved. They are spit out in it. Pretty good,False
24hr無人鏢店，平常去都蠻多人的，有時候要等別人打完才能打，設備有些損壞，如果不在意的話倒是可以輕鬆練鏢。,"The 24HR unmanned dart shop usually goes to a lot of people. Sometimes it is necessary to wait for others to finish it. The equipment is a bit damaged. If you don't care, you can easily practice the dart.",False
24H營業的無店員打標店，內附換幣機，門口有飲料機。給臨時不知道去哪裡殺時間的各位一個最佳的地方,"The 24h -free shopkeeper label shop, with a currency exchange machine, and a beverage machine at the door.For the best place for you who do not know where to kill time",False
"老闆人超nice 陪我們喝酒
一直被灌酒還會錄影欠著下次還
平常沒事路過可以來充電吹冷氣
是個好的休息站
買杯咖啡也能來這裡渡過悠閒的午後時光","The boss super nice accompanies us to drink
I have been filled with alcohol and I will not be able to record it next time
You can usually pass by passing by, you can blow the air -conditioning
Is a good rest station
You can also come here to buy a cup of coffee through the leisurely afternoon time",False
很溫馨隱密的飛鏢店，可以偷偷練習不會太丟臉wwww,"Very warm and secret dart shop, you can secretly practice, you will not be too shameful wwww",False
現在已經改為小酒吧，以前的一個人練鏢天地已不在，有點可惜，所以我還是一樣三星不變…,"Now it has been changed to a small bar. The previous person practicing darts is no longer there, it is a pity, so I still have the same Samsung ...",False
很棒的概念省去人事成本所以不用低銷是不想待很久隨時想打一下鏢消磨時間的好地方,"The great concept saves personnel costs, so you don’t need to sell low. You don’t want to stay for a long time.",False
"老闆很用心
我們被兌幣機吃掉十塊之後有馬上處理
建議直接密FB粉專 沒有電話可以打
處理效率很好~","The boss is very attentive
We were processed immediately after we were eaten by the currency machine
It is recommended that you can call directly in the secret FB fan.
The processing efficiency is very good ~",False
鬧區中的24H無休飛鏢吧  跟附近店家合作的自動點餐 來這邊享受無人打擾的開心時光,The 24h endless darts in the downtown area come to the automatic order with nearby stores to enjoy the happy time without any disturbance here,False
"好久沒玩的射標遊戲
會一直想玩下去","The shooting game that hasn't played for a long time
Will always want to play",False
"昨天換錢100元被吃掉
業主馬上也聯繫我們把錢退給我們
效率高","Yesterday I changed the money 100 yuan and was eaten
The owner will also contact us immediately to return the money to us
High efficiency",False
有趣的地方！ 老闆夫婦很熱情 還有調酒飲料可以喝唷,Interesting place!The boss is very enthusiastic and the bartender drink can be drunk,False
使用了零錢機，沒有零錢出來。 浪費了我的100元。,"Used the change machine, no change came out.Wasted my 100 yuan.",False
很不錯的無人飛鏢店，吃完飯後，可以跟朋友來玩,"Very good unmanned dart shop, after dinner, you can play with friends",False
疫情期間暫停營業，加油,"During the epidemic period, business is suspended, come on",False
乾淨整齊的環境，簡單的打鏢空間，適合朋友聚會也適合自己練習,"Clean and neat environment, simple dart space, suitable for friends to gather, and it is suitable for practicing yourself",False
老闆是日本人 環境乾淨 老闆很熱情,The boss is a clean environment for the Japanese environment. The boss is very enthusiastic,False
不用飲料低消想要小射一下打發時間的好去處,Do not need to shoot a small shot in a small place to pass the time,False
24小時自助的射標機很棒，晚上無聊的好去處,"The 24 -hour self -service shooting machine is great, the boring place at night",False
地方小但 24hr 營業，適合下班獨自練鏢好地方,"Local is small but 24HR business, suitable for get off work alone to practice darts alone",False
不用低銷的小飛鏢場所,Small darts without low -selling,False
老闆超親切又是個專業標手 去還可以學到很多,The boss is very kind and you can learn a lot of professional branches.,False
24小時營業，適合自己去練鏢的好地方,"Opening 24 hours, suitable for your own good place to practice darts",False
"無冷氣時，內部悶熱
機況算不錯","When there is no air -conditioning, the internal is sultry
The condition is good",False
自助無人飛鏢練習場！,Self -service unmanned dart exercise field!,False
找個時間再回來練一下！,Find a time and come back to practice!,False
太棒ㄌㄧㄠˇ～老闆好棒棒，無敵鐵頭功,"Too great ㄠˇ ㄧ 老 ~ The boss is awesome, invincible iron head power",False
發呆好地方，可是飛鏢很多壞ㄌ,"A good place in a daze, but a lot of darts are bad",False
老闆親切，空間優質、舒服，舒壓的好去處！,"The boss is kind, the space is high -quality, comfortable, and a good place for comfort!",False
夜間無冷氣悶熱，靶塊狀況差容易掉鏢....,"There is no air -conditioning at night, and the condition of the target block is easy to drop darts ....",False
"2022/7/9
環境不錯","2022/7/9
Good environment",False
超級讚 會再訪,Super praise will visit again,False
最右邊的機台按鍵故障了,The keystone on the far right is faulty,False
