Original,EN,Needs Review
"這家氣氛就整個挺像酒店的 不是很喜歡
公關一直要酒 滿不舒服的
感覺像是在強迫消費
但酒的選項是挺多的 這倒是還行","This atmosphere is quite like a hotel, I don't like it very much
Public relations have always been uncomfortable
It feels like it is forcing consumption
But there are a lot of wine options, but this is okay",False
環境好、店員都很親切還會陪你聊天、還有點歌系統可以點歌聽音樂、消費也平價，適合平常無聊時來訪，大推薦,"The environment is good, the clerk is very kind and will accompany you to chat with you. There are also some song systems to sing and listen to music, consumption is also affordable, suitable for visiting when you are usually bored, big recommendation",False
喝酒還可以免費唱歌，還有很多酒品可以選讚讚,"You can also sing for free drinking, and there are many wines to choose like",False
"我問老闆班表有五位上班
02:30到現場
跟我說不接客
我黑人問號❓","I asked the boss's class table for five to work
02:30 to the scene
Tell me not to pick up customers
My black question mark 号",False
每次三四點唱歌 聲音大到周遭鄰居都聽得到 別人都不用睡覺嗎,The sound of singing every three or four o'clock is so big that neighbors can hear others who do n’t have to sleep?,False
超讚ㄉ 氣氛超讚，聊天也聊得非常愉悅,"The atmosphere is superb, and the chat is very pleasant",False
裡面有一個叫旻希的態度非常好有禮貌👍🏽長的又超正 完全請對員工吧？,There is a very good attitude named Xi Xi in it.,False
東西很好吃 調酒跟服務也都很讚！會再二訪～～,"Things are very delicious, bartending and services are also very good!Will visit again ~~",False
"氣氛不錯 價格適中 美女如雲
如果有朋友約這裡 我二話不說馬上到","The atmosphere is good and the price is moderate.
If you have a friend asking here, I will not say here anymore",False
"氣氛很好 有店員陪聊天 消費價格便宜
巧玟很漂亮","The atmosphere is very good.
Qiaoyu is very beautiful",False
"公關每個都很會聊天, 無聊沒人陪可以去 很好玩。  品質都很好 氣氛不錯 音樂還行 很多遊戲!環境好、還有點歌系統可以點歌聽音樂、消費也平價，適合平常無聊時來訪，大推薦。","Every public relations can chat very well. Boring and no one can accompany it. It is fun.The quality is very good. The atmosphere is good. There are many games! The environment is good, and there are some song systems to listen to music and consumption are also affordable. It is suitable for visiting when it is usually bored.",False
"裝潢燈光整體給人一個很舒服的感覺
蠻適合跟朋友來這邊小酌的
餐點的部分 價位一般 但是算蠻好吃的～
店員都蠻漂亮的 服務態度很好 蠻親切的
不知不覺就多待了好幾個小時呢

如果是想要小酌真的推薦這家 能喝酒還能顧眼睛 真心推","Decoration lights give people a very comfortable feeling as a whole
It's suitable for coming here with friends to drink
Part of the price of the meal is average, but it is quite delicious ~
The clerk is pretty beautiful service attitude is very good and kind
I stayed for a few hours without knowing it.

If you want to drink it really, you can really push your eyes and can take care of your eyes.",False
氣氛很棒 店員很正 酒好喝 很適合下班去喝一杯,"The atmosphere is great, the shop clerk is very good, good drink, it is suitable for drinking a drink after get off work",False
海恩超正人很好很會調酒酒很好喝人很親切,"Haie Chaozheng is very good and can adjust wine and wine, very delicious, very kind",False
環境舒適，還附有卡拉，服務態度良好,"The environment is comfortable, and there are Kara, the service attitude is good",False
喝酒還有歌唱，酒的樣式很多很喜歡特地從桃園上去！,There are also singing in drinking. Many of the style of wine likes to go from Taoyuan!,False
海恩超正 服務周到 調的很好喝,Hayen Chaozheng's service is very good and delicious,False
