Original,EN,Needs Review,Positive,Negative,Neutral,Compound
可愛的店，座位不算多但服務蠻好的，有簡單的水餃跟炸物可以點，但主要還是小酌，點了戀愛腦還蠻喜歡的，順口酒感不會太重，剛好遇上冬至還有準備湯圓給客人吃很貼心，唯一美中不足是吸煙區其實離蠻近，味道容易進來,"The cute shop, the seat is not many but the service is quite good. There are simple dumplings and fried objects, but it is mainly a drink. I like the love brain and I like it. The winter solstice also prepares dumplings to be intimate for guests. The only disadvantage is that the smoking area is actually very close, and the taste is easy to come in.",False,0.258,0.076,0.666,0.9574
Google map上說週六營業到清晨5:00，結果凌晨3:30到現場發現鐵門是拉下來的，導致白跑一趟！,"Google Map said that it was open on Saturday until 5:00 in the morning, but at 3:30 in the morning, I found that the iron door was pulled down at the scene, causing Bai to run!",False,0.0,0.0,1.0,0.0
酒感偏甜，店內餐點有限或供應不足😢,"The wine feels sweet, the meals in the store are limited or the supply is insufficient",False,0.159,0.101,0.741,0.2732
"3/1到訪的！
氛圍讚！可以和bartender 聊天也很讚！
（大家都超年輕","3/1 visited!
The atmosphere is like!You can also chat with Bartender!
(Everyone is super young",False,0.254,0.0,0.746,0.6981
"隱身在捷運「南京三民」站4號出口後方巷子，步行約5分鐘，交通蠻方便的，按地圖走時，一度以為走錯惹，直到看見招牌。
酒單首頁的插圖很可愛，名字也取的很創意😆酒杯造型特別，搖籃，燒杯⋯⋯等等。
店內氣氛不錯，有提供wifi，戶外為吸菸區域。
除了酒單之外，也有小餐點販售。
點了「寶貝睡三天」，店員還特別交代不要喝太快，喝起來沒什麼酒味，但是後勁不弱XDD","Hidden at the alley behind the MRT ""Nanjing Sanmin"" station, walking for about 5 minutes. The traffic is quite convenient. When I walked according to the map, I thought it was wrong until I saw the signboard.
The illustration of the wine list is very cute, and the name is also very creative.
The atmosphere in the store is good, with WiFi, and outdoor smoking areas.
In addition to the wine list, there are also small meals for sale.
I ordered ""Baby Sleeping for three days"", and the clerk also explained specially not to drink too fast. There is no taste of drinking, but the stamina is not weak. XDD",False,0.102,0.031,0.867,0.8152
"空間很棒！上次到裡頭的小空間同事們聚聚滿隱密的很不錯，還有幾顆懶骨頭可以攤在地上！
酒很好喝，店員也來介紹的很詳細！","The space is great!Last time, the small space colleagues who arrived inside were very good at gathered, and a few lazy bones could be spread to the ground!
The wine is delicious, and the clerk also introduces it in detail!",False,0.164,0.053,0.783,0.7406
"不論是自己一個人 或是 朋友小酌的好地方
這裡可以純聊天 也有骰鐘等桌遊娛樂助興
重點是Bartender Ella親切又可愛～😘
是我一來再來的溫馨好地方！❤️ …","Whether it is a good place for yourself or a friend to drink
Here you can chat purely and there are board games and other board games and entertainment to help
The point is Bartender Ella kind and cute ~ 😘
It's a warm and good place I come again!❤️ ...",False,0.355,0.0,0.645,0.9747
"很棒的店
已四刷
新裝後更有活力
據說菜單酒單即將上新
來了一定要問問店長特調
令人驚艷","Great shop
Have four brushes
After the new installation, more energetic
It is said that the menu wine list is about to be new
If you are here, you must ask the store manager specially
Stunning",False,0.231,0.0,0.769,0.8718
"氛圍很好，店員會詳細地介紹酒類
酒的價格不會很貴，而且也非常好喝
有機會的話會再回訪👍👍 …","The atmosphere is very good, the store will introduce the wine in detail
The price of wine is not very expensive, and it is also very delicious
If you have a chance, you will return to visit ...",False,0.208,0.0,0.792,0.8476
"雷⋯
看到評論高星才過去試試調酒，當晚的老闆特調，喝起來像中藥～又酸又苦
450元的可樂娜冰沙淡而無味，如果標榜是調酒類，冰沙調味應該要更濃郁吧？而且上桌時，冰沙幾乎快融光，喝起來像套冰水的可樂娜⋯早知道我點可樂娜直接喝不是比較爽快？

最後，兩杯調酒都只喝了兩口，決定買單離開！","Thunder
After seeing the comment Gao Xing, I tried to adjust the wine. The boss of the night was special, and it was like Chinese medicine ~ sour and bitter.
450 yuan of Cola Na Bing is light and tasteless. If it is advertised as bartending, should the flax flavor be stronger?And when the table was served, the smoothie was almost gone, and it was like a set of ice water. I knew that it was not refreshing to drink Cola Na directly?

In the end, two cups of bartending only drank two sips, and decided to pay for it!",False,0.078,0.039,0.883,0.6312
