Original,EN,Needs Review,Positive,Negative,Neutral,Compound
"🍻來參加Gen3辦的《微醺3 chill》！
💡在大樓的B1。蠻不錯的聚會地點，適合三五好友來這裡邊玩邊喝邊聊！這裡的arcade機台是這酒吧的特色！
酒的部分也還行！中規中矩！餐點的部分也算不錯吃！
👍🏻環境氣氛佳，服務也不錯！","办 Come to participate in GEN3's ""Weixi 3 Chill""!
。 B1 in the building.Pretty good party place, suitable for three or five friends to come here to play while chatting and drinking!The Arcade here is the characteristic of this bar!
The wine part is OK!Frequently!The meal part is also good!
服务 The environment of the environment is good and the service is good!",False,0.272,0.0,0.728,0.9636
"非常適合聚會、音樂很棒
美式復古元素很多元
竟然還有懷舊街機可玩
還有桌遊、撞球、飛鏢等
食物超讚的啦！
禁菸很棒🚭（設有吸煙區）","Very suitable for party, music is great
There are many American retro elements
There are nostalgic arcade players
There are also board games, hitting the ball, darts, etc.
The food is superb!
Smoking is great (with a smoking area)",False,0.308,0.0,0.692,0.9482
在平日晚上與朋友們一起來玩桌遊和桌球，店內附有吸菸室，沒辦活動的話沒很多人，很適合跟朋友一起來聊天喝酒🍺,"Come to play board games and billiards with friends on weekdays. There are smoking rooms in the store. If you do n’t do activities, you do n’t have many people. It is very suitable for chatting with friends.",False,0.197,0.0,0.803,0.8225
外國老闆開的bar，大部分的客人也都是外國人，氣氛很好有卡拉ok、撞球桌、飛鏢機等，風格也很有趣，還有免費遊戲機。,"Most of the guests opened by foreign bosses are also foreigners. The atmosphere is good at karaoke, ball -hit tables, dart machines, etc. The style is also very interesting, and there are free game consoles.",False,0.223,0.0,0.777,0.8479
地方很大、沒有煙味、環境維持蠻乾淨的，整個空間很舒適，有撞球桌、飛鏢、遊戲機在裡面待整晚也不無聊，而且很適合跟新朋友一起去，玩遊戲一下氣氛就很熱略了，，店員全都是外國人，好相處又親切，非常喜歡這裡！,"The place is very large, there is no smoke, and the environment is very clean. The entire space is very comfortable. It is not boring to hit the ball table, darts, and game consoles in it. It is very suitable for going with new friends. Very hot, the clerk is all foreigners, so good and kind, I like it very much!",False,0.284,0.029,0.688,0.962
氣氛優於食物酒水，有許多飛標機，電玩，桌遊等等設施，當天晚上還有open mic 氣氛很讚！,"The atmosphere is better than food and drink. There are many facilities such as flying labels, video games, board games, etc., and the Open MIC atmosphere was great that night!",False,0.207,0.0,0.793,0.807
"調酒還不錯，但點了一個「辣、肉通心麵」
結果只有火腿，沒有辣，😅
都是老外氣氛不錯，附上酒單 …","I am not bad, but I ordered a ""spicy, fleshy heart""
The result is only ham, no spicy, 结果
All foreigners have good atmosphere, attach wine list ...",False,0.302,0.073,0.625,0.8682
"這一帶從地下社會、Roxy Rocker到45 Old Bar
都慢慢消失了 真的是令人感傷

現在的Barcade Taiwan
可以區分為兩大項目
要入口的東西 表現都挺差的
不入口的東西 都算不錯

聖誕節的party非常好玩
平常周末去 也可以玩一些設施
懷舊街機、打打撞球
環境也是寬敞舒適
有DJ放歌 也有小舞池可以跳舞
不過音樂的品味就要看當天的運氣

調酒是真的難喝
友人點的Tequila Sunrise
讓我懷疑這輩子還看不看得到下個Sunrise
我點得Highball也是出類拔萃地難喝
吃的算道地 但價格是偏高的
就看個人願不願意為了環境
忍受一下口味了~","The area is from the underground society, Roxy Rocker to 45 Old Bar
are slowly disappearing and true

The present Barcade Taiwan
It can be divided into two major projects
To enter the portal of everything is erect
Unportion is quite good

Christmas party is very fun
Usually going to also play a facility on weekends
Nostalgic arcade machine, hitting the ball
The environment is also slight and comfortable
Some DJ put songs also have a small dance pool to dance
However, the musical tastes have to look at fortunes that day

It's hard to drink the bargaining
Friends order Tequila Sunrise
Let me suspect that the quarantine is looking at the next Sunrise
I can't get a highball too out of the likes of drinks
Eat arithmetic but the price is too high
It depends on the person's willingness to make the environment
Let's endure the taste ~",False,0.117,0.018,0.866,0.915
以前roxy99的地址，很美式的酒吧，飛鏢跟遊戲機還有很多桌遊，飲料是draft的 在左邊買完單，右邊取酒，很多外國人,"In the past, the address of Roxy99, very American bar, darts and game consoles still have many board games. The drinks are DRAFT to buy the order on the left and take wine on the right.",False,0.0,0.0,1.0,0.0
食物普通，炸雞跟三明治都吃過好吃蠻多的，酒水也都是賣其他品牌的啤酒跟draft cocktail。但氣氛很好幾乎都是外國人，偏洋派歐美風的人應該會很愛，但我個人就食物給分的話就這樣。,"Food is ordinary. Both fried chicken and sandwiches have been delicious. Both of the wine are also beer and DRAFT Cocktail selling other brands.But the atmosphere is almost all foreigners. People who sent the ocean and European style should love, but if I personally give food, I just like this.",False,0.149,0.0,0.851,0.802
"很喜歡吃taco, 所以趁著taco Tuesday 的活動去了，結果到了之後整間餐廳的餐點只有taco跟nacho 兩種餐點，重點是taco 又油又軟爛，nacho 又油又硬感覺不新鮮，兩種餐點都看得出店家很不用心，真的只能給1分～不會再訪了","I like to eat TACO, so I took advantage of Taco Tuesday activities. As a result, the meal of the entire restaurant was only TACO and Nacho meals. The point is that TACO is oily and rotten. , Both of the meals can see that the store is very attentive, I can only give 1 point ~ I will not visit anymore",False,0.071,0.049,0.88,0.1189
"環境乾淨老闆人非常 nice, 非常期待能和大家一起來這裡玩音樂","The environment is clean, the boss is very nice, I am looking forward to coming here with everyone to play music",False,0.313,0.0,0.687,0.8016
氣氛很舒服，消費尚可，有大型電玩可玩、撞球、足球桌檯、飛鏢。人潮適中。,"The atmosphere is very comfortable, consumption is acceptable, there are large video games, played, football tables, darts.The crowd is moderate.",False,0.328,0.0,0.672,0.807
餐點不錯，酒水不貴。比較特別的是第一次用以太幣付了餐費！So cool!,"The meal is good, and the wine is not expensive.It is more special that it is for the first time to pay for the meal!So cool!",False,0.273,0.044,0.684,0.8114
喝了幾杯啤酒後，點了一盤shot，結果裡面有一半是摻水的，另一半整杯都是水，然後happy hour算原價，被抓到才說看錯時間。,"After drinking a few cups of beer, I ordered a plate of Shot. As a result, half of the water was mixed with water, and the other half of the whole cup was water. Then HAPPY HOUR was considered the original price.",False,0.144,0.0,0.856,0.7739
氣氛美好，非常適合與朋友來這裡享受夜晚，TGIF,"The atmosphere is beautiful, very suitable for coming with friends to enjoy the night, TGIF",False,0.564,0.0,0.436,0.9353
喝了長島冰茶、火龍果瑪格麗特、John Dal和 bacon mac’n cheese totchos!氣氛加飲料值得再過來！,"Drinking Long Island Ice Tea, Dragon Fruit Margaret, John Dal and Bacon Mac’N Cheese Totchos! The atmosphere plus drink is worth coming again!",False,0.101,0.0,0.899,0.3578
輕鬆自在的美式啤酒bar，地下室空間很大，多種座位區域，不定期有活動，適合下班聚會喝一杯或朋友聊天打屁，店員雖是外國人，但很友善,"The easy -to -free American beer BAR, the basement space is very large, there are many kinds of seats, and there are activities on time. It is suitable for drinking a cup or a friend to chat with friends. Although the clerk is foreigner, it is friendly",False,0.272,0.0,0.728,0.9403
Great beer and food! But space with nice music and friendly staff. 大推薦這家！啤酒好喝，服務很親切,Great Beer and Food! But Space with Nice Music and Friendly Staff. Recommend this one!Beer is delicious and the service is very kind,False,0.59,0.0,0.41,0.9787
美式酒吧，東西很好吃份量大,"American bars, things are very delicious and large",False,0.363,0.0,0.637,0.6115
"酒便宜 飛鏢氣氛不錯
但DJ 播的音樂可能比較適合歐美系？
朋友群覺得音樂方面好難引起興趣跟共鳴
大家後來就去別的bar了 🤣 …","The atmosphere of the cheap darts is good
But the music of DJ broadcast is more suitable for European and American systems?
Friends group feels that it is difficult to cause interest and resonance
Everyone went to other bar later ...",False,0.201,0.065,0.735,0.7814
那個地方勾起我童年的回憶。Thanks Josh,That place evoked my childhood memories.Thanks josh,False,0.0,0.0,1.0,0.0
"位處B1，入口不太好找。
老闆很親切，用英文溝通比較通~
酒滿大杯。
有撞球、桌上足球、賽車可以玩，飛鏢要錢。","Location B1, the entrance is not easy to find.
The boss is very kind, communicating in English is more common ~
The wine is full of big cups.
There are hitting the ball, the table football, the car to play, the darts want money.",False,0.148,0.048,0.803,0.6107
"星期二的toco
星期三的無骨水牛城炸雞
都非常好","Tuesday TOCO
Wednesday's Bone Water Water Niucheng Fried Chicken
It's very good",False,0.225,0.0,0.775,0.4927
很美式都是外國人有飛鏢調酒好喝推薦1號,"Very American style is all foreigners, darts, bartender, good drink, recommendation No. 1",False,0.195,0.0,0.805,0.4404
炸雞好吃！！老闆很nice,Fried chicken is delicious!IntersectionThe boss is very nice,False,0.326,0.0,0.674,0.5244
環境不錯，適合小酌！,"The environment is good, suitable for drinking!",False,0.347,0.0,0.653,0.4926
第一次來這裡，是間美式餐酒館，聽說今天主廚不在，以至於餐點不甚理想，點了一杯Long Island ，沒有預期中的令人印象深刻的好喝，環境算乾淨空間有大，如果人多一起玩射飛鏢應該會不錯。🙂,"The first time I came here, it was a American dining tavern. I heard that the chef is not there today, so that the meal is not ideal. I ordered a cup of long island. Big, it would be good if people play darts together.Bleak",False,0.106,0.055,0.839,0.3662
"大推！
還有桌遊可以玩🤩🤩🤩 …","Push!
There are also board games to play 游 ...",False,0.23,0.0,0.77,0.4003
