Original,EN,Needs Review
這是2訪打鐵町！第一次來排了很久，而且是座在外面；這次將近晚上九點才來用餐，地瓜葉皮蛋意外的好吃，跟朋友一人點一杯酒，四個菜⋯,"This is 2 visit to Temachi!The first time I came for a long time, and it was located outside; this time it was almost nine o'clock in the evening to eat. The sweet potato leaf eggs were unexpectedly delicious.",False
"為了躲雨 剛好路過就走進來品嚐
內部裝潢令人彷彿一秒置身於日本 — 僅於此
開始還蠻期待的，沒點酒兩個人吃了26xx
用餐下來卻覺得沒特別好吃的
簡單來說沒什麼記憶點，然後桌子間距窄椅子很難坐，唯一印象深刻的就是店員都一副很跩的樣子，愛理不理的服務態度令人不敢恭維，兩顆星給裝潢。","In order to hide the rain, just pass by and taste it
The interior decoration seems to be in Japan in one second -only here
I was looking forward to it at first, two people ate 26XX without ordering wine
After the meal, I feel that it is not particularly delicious
In simple terms, there is no memory point, and then the narrow chair of the table is difficult to sit. The only impression is that the clerks are very embarrassed. The ignorance service attitude is unintentional. Two stars are decorated.",False
這家店的食物很好，特別是居酒屋燒烤，炸魚卵印象深刻，好像沒吃過這樣處理的，外面薄薄的酥炸麵衣，內面粒粒卵香，細細咀嚼，沙沙的口感使味道更綿長，配上一杯18天，整個人飛上天。這家唯一的缺點是，座位很侷促，我窟這腿，放哪都很卡，除此以外，沒什麼可挑剔的。,"The food in this shop is very good, especially in izakaya barbecue. The fried fish eggs are impressed. It seems that I have not eaten this processing. The taste is longer. With a cup of 18 days, the whole person flew to the sky.The only disadvantage of this family is that the seat is very cramped. The legs of our cave are stuck everywhere. In addition, there is nothing to be picky.",False
"氣氛超級好～ 很日本
剝皮辣椒牛肉捲、烤雞翅、烤雞腿（香菜和青蔥口味）、 tako wasabi 都非常好吃！

烤魷魚有點可惜 魷魚應該是先煮過之後torch, 這樣就沒有全烤的那麼香， 也有點太濕

兩個女生六分飽吃1900$ 不算便宜 但真的是蠻好吃的！！","The atmosphere is super good ~ Very Japanese
Peeling pepper and beef rolls, grilled chicken wings, grilled chicken legs (coriander and green onion flavor), Tako Wasabi are very delicious!

The grilled squid is a bit a pity that the squid should be cooked first and then torch, so that it is not as fragrant as the whole grilled, and it is a bit wet.

Two girls are full of six minutes full of 1900 $ not cheap, but it is really delicious!Intersection",False
在大熱天5:55分路過，想喝杯生啤解渴就進去了，餐點不錯，就是收盤子收得太勤了⋯溝通錯誤，還沒反應過來沒吃完的炒麵就被收走了QQ,"During the hot day, I passed at 5:55, and I wanted to drink a cup of beer and thirst. I went in. The meal was good, but the section was too diligent. The communication was wrong.",False
店面不大，但是很有氣氛，下班後小小酌幾杯，嫩豆腐，松阪豬，炒烏龍、還有生啤都還不錯,"The store is not big, but there is a very atmosphere. After get off work, a few cups, tender tofu, Matsusaka, fried oolong, and raw beer are pretty good",False
週末，ㄧ個讓人放鬆的地方，空間不大但氛圍很好，工作人員很和善，謝謝你們！,"On the weekend, there is a relaxed place. The space is not large but the atmosphere is very good. The staff is very kind. Thank you!",False
"佈置很有特色的串烤店
店內座位不多
吧台座位偏小
建議一同到訪人數不要超過三位

因為空間不大
廚房的味道很容易飄到座位區
但個人覺得是沒有太重的油煙味
反而覺得聞起來好香😂

餐點價格尚可
都算蠻好吃的
是下班跟同事約喝兩杯的好去處","Skewed baked restaurants with very distinctive layout
There are not many seats in the store
Bar seat seat is small
It is recommended not to exceed three people together

Because the space is small
The taste of the kitchen is easy to float to the seat area
But I personally feel that there is no heavy oil fume smell
Instead, I feel so fragrant

The price of meals is okay
It's pretty delicious
It's a good place to drink two cups with colleagues after get off work",False
"老舊復古的環境很棒，水果沙瓦好喝
小週末客人絡繹不絕，生意很好，點單後要等一下下。
東西好吃，炒飯一絕非常讚，串燒都很配酒！玉子燒有滿滿的起司❤️

店員服務態度蠻好的，招呼很熱情，謝謝招待👍","The old retro environment is great, fruit sandwater is delicious
Little weekend guests are endless, and business is very good. After ordering orders, wait a minute.
The things are delicious, fried rice is very good, skewers are all matched with wine!Yuzi burned a full cheese ❤️

The clerk's service attitude is quite good, so greeting is very enthusiastic, thank you for the entertainment 👍",False
"店內空間小，油煙味很重又很悶熱，
吃到一半還有一隻非常肥大的老鼠在店裡亂竄⋯
雖然餐廳有蟑螂老鼠算是正常（？）
但營業時間就跑出來見客實在很影響食慾。

當天只點了幾道下酒菜，食物口味不錯，
但是用餐體驗很差勁不會想再去了⋯⋯","The space in the store is small, the smell of oil fume is very heavy and very hot,
Half of the eaten and a very fat mouse scheduled in the store ...
Although it is normal for the restaurant to have cockroach mice (?)
But when you run out of business time, you can see that guests really affect your appetite.

I only ordered a few drinks that day, the food taste is good,
But the dining experience is very bad, I don’t want to go again ...",False
"非常輕鬆愉快的用餐氣氛👍🏻
料理方式多元卻也能吃出食材的原味，
這點太棒了！

尤其推薦以下！
🌟烤雞軟骨—又脆又有焦香味
🌟剝皮辣椒牛肉捲—脆口&鹹淡適中
🌟玉米筍—超濃奶油香氣！
🌟炙燒三層肉—鹹香中凸顯三層肉彈性

再喝幾杯小酒，很適合聊天～
但店內位置不多，要早點光顧","Very relaxed and happy dining atmosphere 👍🏻
The cooking method is diverse but can also eat the original flavor of the ingredients.
This is great!

Especially recommend the following!
又 grilled chicken cartilage -crispy and scorched fragrance
牛 Peeling pepper and beef roll -crispy mouth & salty moderate
Corn bamboo shoots -super strong cream aroma!
Boiled three layers of meat -the elasticity of the three layers of meat is highlighted in salty incense

Drink a few more glasses of wine, it is very suitable for chat ~
But there is not much location in the store, you need to patronize early",False
"2020/9/28 臨時起意再訪，剛好有空位很開心，但.....
菜單換了似乎廚師也換了，每一道菜都好油，味道不足，雞軟骨雖然烤的脆脆的但是味道很不優；鹽烤豬肉好硬，吃進嘴裡只滿口油膩味，今日餐點沒有一樣肉是香噴噴的跟上次差很多，好失望，只有空心菜好吃，可惜份量有點少。

2019 初訪((((五星
好吃好喝好滿足！每一道都美味，害我們欲罷不能又加點，紫蘇梅酒也順口，特別推薦可以點來喝喝看喔！女生應該都會愛～之後一定會常常來！","2020/9/28 Temporaryly visited again, just happened to be happy, but .....
The menu seems to have changed the chef. Each dish is very oily, and the taste is not enough. Although the chicken cartilage is grilled crispy but the taste is not good; There is no such thing as the same meat. It is much worse than the last time. It is so disappointed. Only hollow vegetables are delicious. Unfortunately, the amount is a bit small.

In the early 2019 visit ((five stars (five stars (five stars
It's delicious, delicious!Everyone is delicious, and we cater to we want to stop. Perilla plum wine is also smooth. It is recommended to order to drink and watch!Girls should love ~ they will always come later!",False
"一個誤會菜單一不小心點一個太多🤣
但東西是真的都很好吃～場子很熱要訂位 …","A misunderstanding menu accidentally order a too much 🤣
But things are really delicious ~ The field is very hot to book ...",False
