Original,EN,Needs Review
"餐點非常好吃
酒類點了茶無此人、紫色雨👍👍不敢喝烈酒非常推
皮蛋好朋友超級好吃
必點烤節瓜、粉紅海鮮燉飯

老闆娘很漂亮 店員很可愛 推推（這句是宅男要我加的）","Meal is very delicious
The wine ordered the tea without this person, the purple rain 👍👍 dare not drink spirits and push it very much
Preserved eggs are super delicious
Must order roasted melon, pink seafood stewed rice

The boss is very beautiful and the shop assistant is very cute and pushes (this sentence is what the otaku wants me to add)",False
"裝潢很有特色，老宅復古風滿特別的。
餐點略為偏鹹但是還算不錯吃。
調酒部分當天點到的酒味都比較重，終結者真的是喝了幾口就會有點飄~~
整體體驗不錯，但是服務上上菜的時候不小心撞到了正在拍照的朋友，可能燈光太暗?稍微扣了一點分。","The decoration is very distinctive, and the retro style of the old house is full.
The meal is slightly salty but pretty good.
The taste of the wine on the day of the bartender is relatively heavy.
The overall experience is good, but when the service is serving, I accidentally hit a friend who is taking pictures. Maybe the lights may be too dark? A little bit of points.",False
"Rainma
調酒
-茶無此人
茶味舒服，不是濃茶系
清爽舒服
-小春芭樂
綠芭樂的味道，清甜舒服
-紫色雨
葡萄汁的味道，怕酒味的可以考慮
超好喝，偏甜
-
Star war
楊桃+綠茶的味道
-
City cafe
美式咖啡味，酸口
喜歡咖啡味的必喝
-
Strawberry
有點草莓優格的味道
-
Plum Slush
酸梅味，不是梅酒的味道喔
酸酸甜甜的

Appetizer
-味噌鹽麴松阪豬
超好吃，真的必吃
-炸物拼盤
有細薯條、原塊馬鈴薯條、起司條、洋蔥圈
個人屬於洋蔥圈愛好者！
洋蔥圈是整顆下去切不是泥狀塑形的
超好吃！

Barbecue
-帶殼玉米筍
超新鮮，又甜又好吃
-燒烤櫛瓜
大塊厚實，飽口感滿足
醬料濃厚偏鹹適合下酒
-
三星蔥豬肉串
很香，豬肉沒有腥味
醬很好吃

歌單非常好聽
不是一些爛歌大調

環境舒適、裝潢適合拍照
廁所非常乾淨","Rainma
Bartender
-Wa tea does not
The tea taste is comfortable, not a strong tea series
Refreshing and comfortable
-Liaochun Bavail
The taste of green guava is sweet and comfortable
-Prise rain
The taste of grape juice can be considered if you are afraid of the taste of wine
Super delicious, sweet
-
Star war
Cafe+green tea taste
-
City Cafe
American coffee flavor, sour mouth
You must drink coffee flavor
-
Strawberry
A little strawberry yogurt taste
-
Plum Slush
Sour plum taste, not the taste of plum wine
Sweet and sour

Appetizer
-Mato salt 麴 pine pig
Super delicious, really must eat
-The frying platter
There are fine potato strips, original potato strips, cheese strips, onion rings
Personally belong to the onion circle enthusiast!
The onion ring is not mud -shaped and cuts all the whole one.
Super delicious!

Barbecue
-Do shell corn bamboo shoots
Super fresh, sweet and delicious
-Stectering
Large and thick, satisfied with full taste
The sauce is thick and salty, suitable for wine
-
Samsung onion pork skewers
Very fragrant, the pork does not have a fishy smell
The sauce is delicious

The song list is very nice
Not some rotten songs

Comfortable environment, decoration suitable for taking pictures
The toilet is very clean",False
"青醬松阪豬燉飯、焗烤肉千層麵、烤千層豆皮、烤櫛瓜、焗烤明太子馬鈴薯非常好吃；炸物拼盤很下酒；皮蛋好朋友是泡菜和高麗菜絲還有美乃滋？吃起來可圈可點，假如有皮蛋壞朋友是爆香的辣椒跟生菜也會很受歡迎。
店員非常友善親切，希望這間店之後能爆紅起來，客人變多！","Green sauce pine stewed rice, grilled meat thousands of roasted meat, roasted thousand -layer bean skin, roasted melon, roasted prince potato is very delicious; fried frying platter is very wine; preserved eggs are kimchi, Korean rice shred IntersectionIt is remarkable to taste. If there are bad friends, it is fragrant peppers and lettuce.
The clerk is very friendly and kind. I hope that this store will become popular afterwards, and there are many guests!",False
"安靜舒服的老宅風格餐酒館。

雖然週五晚上店裡這麼安靜讓我有些擔心，不過點餐後發現只是個待被發現的 hidden gem，希望之後的生意會越來越好。

食物主要是比較台式風格，起初翻開菜單還想說這的選擇稍微有些限縮，擔心都是偏下酒菜小點類，殊不知份量足還有夠平價，每道菜差不多就是 200-350 這個區間，簡直頂到不行。

個人非常喜歡幾個台味十足的餐點，例如炒滷味（鹹香夠味用料豐富）、威士忌酒香炒米腸（光品名就讓人無法忍住不點）、皮蛋好朋友（吃兩口馬上續叫第二份）跟酥炸雞軟骨（基本款但真材實料）。

但我喜歡的還是花雕雞粿條，這個每次去吃一品花雕雞引頸期盼、最後必上的料理，看我照片興奮到模糊就知道我多麼激動急著想吃了。剝皮辣椒牛肉串也是我的心頭好，沒吃完還感覺打包帶回家深怕被其他人搶走。

而大蝦海鮮燉飯，一份滿滿的蝦貝花枝搭上濃郁粉紅醬，竟然只要 $350 你敢信，如果換到一般餐酒館不賣個 4 字頭我隨便你。可惜真的是吃到快吐還退了很多稍微下鍋的菜，否則還有很多想試，剛好留待下次。

酒的選擇，除了一排 classic 外，還有很多 signature 可以嘗試，裡面特別引起我注意的是...

看起來是一整缸 serve 的花好月圓 ($1,980)，還有看到 13 這個數字覺得有不好預感的終結者 Terminator ($700)，還好今天是溫馨局所以大家就點一般調酒。

直接推薦個人最喜歡的兩杯，醉伯爵跟茶無無此人。查無此人是茉莉綠茶風味，淡雅的茶香、微微的糖度，讓整杯酒喝起來非常順口舒服；表面一層奶泡灑上茶香明顯的綠茶粉，口感跟層次都帶得更突出。

醉伯爵，一上桌眾人就驚呼也太香了。嘗試第一杯時，中性的 vodka 加上伯爵風味糖漿把整個香氣放到最大；不過整體甜度偏高，後來請 bartender 做成半糖，不僅保有了足夠的佛手柑香氣，降低的甜度也讓平衡做得更好。

另外一杯值得 highlight，是用古色古香花瓶（很像觀音會拿在左手滴淨水的那種）裝著，以高粱為基底的台式調酒。讓我失望的是，竟然沒人意會到「如果真的有一種水可以讓你讓我喝了不會醉」這句歌詞...只能說孟婆湯這個酒名太 old school 了...

必須說這裡真的是寶藏店家，或許位置沒有那麼好、附近住宅辦公區域為主，但真的是我會想要再來吃吃喝喝的舒服好所在。","Quiet and comfortable old house -style restaurant.

Although I was so quiet in the store on Friday night, I found that it was just a Hidden Gem to be discovered after ordering. I hope that the business will get better and better.

The food mainly compares the desktop style. At first, the menu was opened and I wanted to say that this choice was slightly limited. I was worried that they were all categories of wine and vegetables. , It's impossible.

Personally I like a few meals with full flavors, such as fried and fingwei (rich in salty flavor and rich in ingredients), whiskey wine fragrant fried rice intestine (the name of the light product makes people unable to hold it), a good friend of preserved eggs Called the second) with the crispy fried chicken cartilage (basic but real material).

But what I like is flowers carving chicken noodles. Every time I go to eat a flower carving chicken, I look forward to the neck, and the last dish. Seeing my photos is so excited that I know how excitedly I am eager to eat.Step pepper and beef skewers are also good in my heart, and I feel that I will take it home and be afraid to be snatched away by others after eating.

And prawns and seafood stewed rice, a full of shrimp flower branches with a strong pink sauce, you only need to believe it at $ 350.Unfortunately, I really eat a lot of dishes that I have returned a lot, otherwise there will be a lot of trying to try, just stay next time.

The choice of wine, in addition to a row of Classic, there are many signatures that can be tried, which makes me pay attention to ...

It looks like a whole cylinder of the spend of the full moon ($ 1,980), and there are Terminator ($ 700) that I see the number 13 of the number 13. Fortunately, today is a warm bureau, so everyone orders for bartending.

I directly recommend the two favorite cups, and the couple of the drunkard and the tea are not the same.The person who has found no one is the flavor of jasmine green tea. The elegant tea aroma and slight sugar degree make the whole glass of wine is very smooth and comfortable; the surface of the surface of the milk is sprinkled with obvious green tea powder, and the taste and layer are more prominent. Essence

Drunk Earl, everyone exclaimed as soon as the table was on the table.When trying the first cup, the neutral VODKA plus the county flavor syrup to maximize the whole aroma; however, the overall sweetness is high, and then Bartender is asked to make semi -sugar It also makes the balance better.

Another cup is worth Highlight. It is packed with antique vases (like Guanyin will take water purification in the left hand), and a desktop mixing based on sorghum.What disappointed me was that there was no intention of ""if there is a kind of water that can make you make me drink it and won't be drunk"" ... I can only say that the name of Meng Po Tang is too old school .. Then, then

It must be said that this is really a treasure shop. Perhaps the location is not so good, and the nearby residential office areas are mainly, but I really want to be comfortable to eat, drink, drink again.",False
在喧鬧的市區裏 這間店實在無話可說餐點好吃調酒也棒 店員熱情招呼 肯定會再訪😇😇😇,"In the noisy urban area, there is nothing to say about the delicious meal.",False
"炙燒蔥花牛肉丼
日式洋蔥醬汁跟米飯十分搭配，略為可惜的是，牛肉較過熟，稍顯乾硬。

皮蛋好朋友
胡麻醬跟韓式泡菜，混搭著松花皮蛋，真是令人意想不到的好處😋喜愛皮蛋的朋友，一定要嘗試。

威士忌炒香米腸
非常台式的料理，威士忌的酒香跟香米腸充份拌炒，榮登下酒排行榜冠軍👍

花椒鮮蝦水餃
不愧是榮獲評論第三名的狠角色，水餃大顆飽滿，椒麻於脣齒中綻放，又混合堅果碎的香氣，平凡的食物，令人停不下筷。

炙烤義式松阪豬
以平凡的炙燒，帶出松阪豬本身的鮮甜，是本店少數非台式的料理。

花雕雞粿條
濃郁的花雕酒充斥在每一塊雞肉裡，粿條偏辣，是一道鍋氣及酒味濃烈的料理，怕辣的不建議嘗試。

店內消費，每人低銷一份飲料。
PS:酒類飲品，建議跟調酒師諮詢過再挑出適合自己的酒，避免被名稱誤會了。","Roasted green onion beef 葱
Japanese -style onion sauce is very matched with rice. It is a pity that the beef is more cooked and slightly dry.

Preserved egg friends
Verm sauce and Korean kimchi, mixing with pine flowers, is really unexpected benefits. Friends who love preserved eggs must try.

Whiskey stir -fry the sausage
Very desktop dishes, whiskey's wine and sausage are fully stir -fry, and the champion of the wine ranking is the champion 👍

Peppercorns and shrimp dumplings
It is indeed a ruthless character that has won the third place. The dumplings are full of full of dumplings.

Boiled Italian Matsusaka Pig
With ordinary burning, bringing out the sweetness of Matsusaka's own, it is one of the few non -table dishes in our shop.

Flower carving chicken
The rich flower carving wine is filled with every chicken. The niches are spicy. It is a dish with a strong pot of gas and wine. It is not recommended to try it.

Inside the store consumption, each person sells a drink with a lower beverage.
PS: Alcohol drink, it is recommended to consult a bartender and pick out the wine that suits you to avoid misunderstanding by the name.",False
餐點都很好吃，但是份量很少，是女生也吃不飽的那種，餐點會等待久一點，需要有耐心。店內佈置很有質感漂亮，唯一一個敗筆就是廁所前面的門簾只要有人進出都會砰砰聲很大聲，還看到店員用手拉止住聲音，因為聲音很大所以每每發出聲響全店客人都會轉過頭看一下，這佈置還不如拿掉比較好！,"The meals are very good, but the portion is very small, the girls are also unattended, the meal will be a little longer, need to be patient.The shop decoration is very textured and beautiful, the only loss is the door curtain in front of the toilet as long as someone enters and out will bow the sound loud, but also see the clerk with hand pulling stop the sound, because the sound is very large so each sound sounds the whole store will changeLook over, the decoration is better to take off better!",False
"點了兩杯酒、一道主食及兩道小點，消費1500左右（已遺忘確切金額）
整體氣氛很復古及chill，一點點萬聖氛圍，恰到好處。座位不多，相隔距離剛剛好。
酒單一頁，不算多，但bartender感覺能照喜好幫忙調～
紫色雨讓我有點失望，是想像得到的味道，老實說很像葡萄曼陀珠，而且濃度太低。點的時候已經跟服務生確認基酒是白酒不會濃度太低？是因為服務生保證他們家的酒一定都有十幾%以上，才點下去的。
反正我是沒感覺。
另一杯是琴酒底的好運氣(?)，很順，喜歡
紅酒燉牛肉好吃～是連醬汁都不太想浪費的程度，不過不要讓它冷掉～～～
高粱炒米腸我們都被那個鹹度嚇到，米腸鹹到發苦，以為醬汁在表面，結果咬開來如出一轍⋯真的頭皮發麻，吃得很痛苦（店員說是招牌，才點的⋯）
皮蛋那一道倒是救贖，可以解掉上一道小點的味道⋯就還不錯吧，可能舌頭被嚇到了，給不出什麼更好的評論
最後有跟服務生反應炒米腸那道實在太鹹，結帳有被招待一人一杯shot，服務態度很優","Ordered two glasses of wine, a main food and two small dots, and consumption of about 1500 (the exact amount has been forgotten)
The overall atmosphere is very retro and chill, a little Halloween atmosphere, just right.There are not many seats, and the distance is just right.
There are not many pages of wine, but Bartender feels good help to help adjust ~
The purple rain was a little disappointed. It was the taste of imagination. Honestly, it was similar to the grape dandy beads, and the concentration was too low.At the time of order, it has been confirmed that the base wine is not too low?It is because the waiter guarantees that their wine must have more than ten%before ordering.
I didn't feel anyway.
The other cup is a good luck on the bottom of the piano (?), Very smooth, I like it
Red wine stewed beef is delicious ~ It is the degree of even if you don't even want to waste even sauce, but don't let it be cold ~~~
The sorghum fried rice intestine was scared by that saltiness. The rice intestine was salty to bitter, thinking that the sauce was on the surface, and the result was like the scalp. ...)
The preserved egg is a redemption, which can unbutton the taste of the previous little bit. It may be good. Maybe the tongue is scared.
In the end, the waiter responded to the fried rice intestine. The trail was too salty. The checkout was entertained and one cup of Shot, and the service attitude was very good.",False
"很喜歡這裡的餐點跟氛圍
生啤好喝，餐點美味💓
服務親切，偶遇客人帶來的可愛狗狗
意外療癒🐶

調酒味道不錯，酒感不重
平日晚上來一杯剛好🙌","I really like the meals and atmosphere here
The raw beer is delicious, the meals are delicious 生
The service is cordial, and the cute dog brought by guests occasionally
Accidental healing 愈

The wine tuning tastes good, and the wine is not heavy
A cup is just here on weekdays 平",False
