Original,EN,Needs Review,Positive,Negative,Neutral,Compound
餐好吃、酒好喝～很有氛圍的餐廳！「今晚不一樣」調酒很用心、會依照個人口味調整！每位服務人員都很貼心、是個美好的聚會場所！！,"The meal is delicious and the wine is delicious ~ a very atmospheric restaurant!""Tonight is not the same"" bartender is very intentional and will be adjusted according to personal taste!Each service staff is very intimate and a beautiful place!Intersection",False,0.253,0.0,0.747,0.9213
餐點好吃，調酒好喝，氣氛超棒😍😍,"The meal is delicious, the bartender is delicious, the atmosphere is great 😍😍",False,0.538,0.0,0.462,0.9552
"環境好店員也很熱心，食物好吃酒也好喝
會二訪！","Good environment staff is also very enthusiastic, and the food is delicious and delicious
Will visit the second visit!",False,0.484,0.0,0.516,0.9335
"酒的風味介紹詳細，酒單都很有特色，風味都很獨特而且好喝

🍷Americano x Alexander
豆漿+新貴派的組合很特別，兩種風味是分開的但不衝突，很特別

🍷瑪士撒拉·巫醫
苦甜的風味，清爽好喝

🍷藝伎回憶錄：葡萄琴酒的風味很突出，酒感是有的但很清爽

🍴蒜香西班牙伊比利豬
有厚厚的羅勒醬鋪在上面，配上伊比利豬的油脂感覺得非常match

🍴虱目魚三桅帆船捲
餛飩皮去炸的，非常酥脆，搭配虱目魚是非常特別的口感，很驚艷

🍴漂流土瓶蒸
湯頭的菇味很重

🍴鮮奶油干貝燻鮭細扁麵
麵條蠻硬是我喜歡的口感，鮭魚卵算大顆咀嚼起來存在感算強，可惜干貝只有一顆，如果有兩顆就完美了

🍴香濃起司嘎哩炸生蠔蛋餅
蛋餅皮脆，搭配生蠔好吃，起司醬是另外放的，起司味不會太濃，算很好吃可是只有6塊，份量有點小

整體來說，餐點跟酒都很特別，選擇多而且都很有水準，會想多訪幾次多試不同的酒。服務很好，滿分","The flavor of the wine is detailed, the wine list is very distinctive, the flavor is unique and delicious

OAmericano x Alexander
The combination of soy milk+new and nobles is very special. The two flavors are separated but not conflicting.

Matshara witch doctor
The bitter flavor, refreshing and delicious

： 🍷 🍷 忆: The flavor of grapes wine is very prominent, there are some wine feel but refreshing

Garlic Spanish Ibish pig
The thick Laler sauce is paved on it, and the fat feeling with Iberbly pork feels very mapch

桅 Sashimi three -mast sailing rolls
It is very crispy and crispy. It is very special with milkfish, which is amazing.

🍴 Drifting soil bottle steaming
The mushroom taste of the soup is very heavy

Fresh cream scallops smoked salmon fine flat noodles
The noodles are pretty my favorite taste. The salmon eggs are chewed and chewed. There is a strong sense of calculation. Unfortunately, there is only one shellfish. If there are two, it will be perfect.

哩 哩 哩 cheese fried oyster egg cake
The omelet is crispy and delicious with oysters. The cheese sauce is put in addition. The cheese flavor will not be too strong. It is delicious but only 6 yuan.

On the whole, the meals and wine are very special. There are many choices and are very standard. I want to visit a few more times to try different wines.The service is very good, full score",False,0.238,0.034,0.728,0.9964
"職員態度很友善 服務很好
環境舒適 很chill
路過 特意來 都值得光顧一下
Support!! And thanks for gifts 😆💛","The staff attitude is very friendly and good service
The environment is comfortable and chil
It's worth visiting by passing by specially
Support !! And more gifts 😆💛",False,0.469,0.0,0.531,0.9687
"體驗
很輕鬆自在的感覺
調酒師很可愛
也會詢問個人喜好
食物也很好吃❤️❤️","Experience
Very relaxed feeling
The bartender is very cute
I will also ask personal preferences
Food is also delicious ❤️❤️",False,0.392,0.0,0.608,0.9055
"這是一個不誠實的店家：
1. 明明2024年9月前後才正式營業，卻沿用頂讓前舊店家累積的評分來充當自己的評分，不僅沒有一間酒吧該有的性格與骨氣，背後彰顯的是業者的不誠實。
2. 酒水餐飲的好壞過於主觀、姑且不論，但凡舉Old Fashioned竟然用黑牌製作（換成原應有的波本甚至要加價）等為壓縮成本而罔顧自家商品水準，這不僅侮辱客人對經典調酒的基本認知，更嚴重的是業者的商品不實。
3. 店家未設置洗碗機、洗杯機，所有食用完畢的餐具、杯具皆使用人工手洗、擦拭（試問忙碌的週末可能會有多少快速清洗而殘留油漬的餐具再次供客使用？），這對於一間高消費、號稱高品質的餐飲業者而言，實質是對消費者的不誠實。","This is an dishonant store:
1. Obviously, it was officially opened around September 2024, but it used the accumulated scores accumulated by the former old store to act as its own score. Not only did they not have the character and bone of the bar, but the dishonesty of the industry was revealed behind it.
2. The quality of the wine and drink is too subjective and regardless of whether, but the Old Fashioned is made with black cards (replaced with the existing Ben or even increase the price), etc. The basic cognition of classic bartending is more serious about the fact that the industry's products are false.
3. The store has not set up the dishwasher and cup, and all the tableware and cups that have been eaten are washed and wiped with manual hands (how many fast -cleaning and residual oil -stained tableware can be used for use?),?),),),),), For a high -quality and high -quality catering industry, it is essentially dishonesty for consumers.",False,0.02,0.011,0.969,0.3443
"這次店裡聚餐來到這間驚人的餐酒館🔥
完全可以回訪，超級無敵讚！👍
餐點推松露燉飯真的好吃到不行~
蟹肉小花枝墨魚燉飯也很讚，但要稍微注意一下牙齒哈哈哈

Shot搭配梅酒好特別，所有的酒都很順口，特別推薦不太喜歡喝太濃的女生，但又可以感受微醺的氛圍~~🥰完全可以來試試看！
整個就是讚到不行的酒吧

✨廁所也很貼心，有準備衛生棉跟各種貼心小物🥹","This time the shop dinner came to this amazing dining tavern 🔥
You can visit back, super invincible praise!Bleak
The meal is really delicious to push loosely stewed rice ~
Stewed croissance of crab meat branches is also very good, but a little pay attention to the teeth hahaha

SHOT is very special with plum wine. All wines are very smooth. They are particularly recommended that they do n’t like to drink too strong girls, but you can also feel the atmosphere of a little bit ~~ 🥰 You can try it!
The whole is a bar that praises it

心 The toilet is also very intimate, and there are all kinds of intimate small things in preparing to sanitary napkins.",False,0.289,0.018,0.693,0.9928
"你們有看過拌麵和抄手可以自己用雪克杯Shake的嗎❓ARK與冷泡茶專賣店發現茶異業合作，凡是點限定調酒及餐點，即可參加抽扭蛋活動，KTV包廂也不能錯過，好吃又好玩顛覆你對以往餐酒館的印象，營業至半夜想必是你們深夜不知道要吃什麼的好選擇✨

《ARK.161 Bar&Bistro》
搖起來！銷魂麻醬拌麵（含溫泉蛋）售價150元
搖起來！方舟招牌抄手（6顆）售價150元
波浪麵條煮至Q軟有彈性，搭配香濃的麻醬，shake搖勻後裹上溫泉蛋，超邪惡‼️
抄手顆顆飽滿肉餡鹹香(主廚手包，給料不手軟)，喜歡吃辣的朋友可以搭配手工辣醬，蒜香麻辣的口感是你抵擋不住的誘惑!

香濃起司嘎哩炸生蠔蛋餅 售價200元
蛋餅也可以做的很不一樣，有別於一般傳統早餐店，這裡的蛋餅簡直是旗艦型，餅皮煎至酥香，擺上超飽滿超大顆的炸生蠔，再淋上起司醬超濃郁，超！幸！福！

招牌紹興醉雞 售價280元
附贈一小瓶店家調製的高粱烏龍梅酒，可以單喝，也可以淋在醉雞上，自己身當小廚師，醉雞想多醉先問過小廚師😂

ARK水晶薯片 售價180元
是不是沒有看過透明亮晶晶的薯片✨✨
獨家限量！主廚每天手工新鮮現切，先將水份烘乾後，再入炸鍋炸至酥脆，厚薄度的嚴苛要求才能呈現晶瑩剔透狀，吃起來不會太鹹也絲毫無油膩感，
清爽搭配莎莎醬，重口味搭配起司醬，只有ARK才吃的到喔‼️
P.S好想錄一集咖滋咖滋ASMR系列

調酒類—————————

𝐀𝐑𝐊長島‧蜜蘋冰茶 售價400元
(伏特加、冷萃紅茶、聖木琴酒、烏樟蘭姆酒)
✨長島冰茶的Twist版本
以發現茶的經典蘋果蜜香紅茶作冷萃，茶甘醇帶點柔和果香，搭配𝐀𝐑𝐊招牌木質調(聖木、烏樟)，一縷煙燻木質香迴盪在口中，最後加入 JackDaniel’s 蘋果威士忌，將🍎果香味提升一個層次，喜歡長島的妳一定要來試試看‼️

小花的味噌湯 售價400元
(紫蘇琴酒、梅酒、味噌、哈密瓜)
打開杯蓋後先聞到薰衣草的香氣，清新的紫蘇香氣伴著淡淡的梅香，鹹鹹的味噌在酒中額外搶眼，裝飾物的芥末鱈魚絲配上紫蘇葉吃下，意外的絕配！

一日貴婦 售價400元
(杏桃、皮斯可、仙人掌琴酒、金盞花、茶樹)，前調是杏桃的香甜味，尾韻則是清新的茶樹香，杯子使用貴婦的下午茶杯，配上杏桃乾喝下，酸酸甜甜。","Have you ever seen noodles and copied hands, can you use the Xuek Cup Shake yourself? ❓Bark and the cold tea specialty store found the tea exotic industry. Every time you have a limited bartending and meal, you can participate in the twist eggs. You can’t miss it, it ’s delicious and fun to subvert your impression of your previous restaurant and tavern. It must be that you do n’t know what to eat late at night.

""ARK.161 Bar & Bistro""
Shake it!Ecstasy hemp noodles (including hot spring eggs) priced at 150 yuan
Shake it!The Ark signs copied (6) priced at 150 yuan
Boil the wavy noodles until Q is soft and elastic. With the strong hemp sauce, shake it and wrap it on the hot spring eggs, super evil‼️ ️
Copy hand is full of salty fragrance (chef handbag, not soft -free), friends who like spicy food can be paired with handmade sauce. The spicy taste of garlic is the temptation you can't resist!

Xiangnan cheese 哩 fried oyster egg cake price is 200 yuan
Egg cake can also be done very differently, different from ordinary traditional breakfast shops. The egg cake here is simply flagship. The cake skin is fried until it is crispy. Super strong, super!fortunate!blessing!

Signboard Shaoxing drunk chicken price is 280 yuan
Comes with a sorghum oolong plum wine prepared by a small bottle store, you can drink it alone, you can also get drunk chicken. You are a chef. Drunk chicken wants to get drunk first.

ARK Crystal Potato Chip is priced at 180 yuan
Haven't you seen the potato chips that have not seen transparent and bright crystals ✨✨
Exclusive limit!The chef is cut into fresh cuts every day, first dry the water, and then fry it into the fried pan until crispy. The rigorous requirements of thickness can be shown in crystal clear.
Refreshing with Sasa sauce, heavy taste and cheese sauce, only ARK can eat it‼️ ️
P.S really want to record a episode of Caizi Caizi ASMR series

Bartending ————————————————

苹 苹 ‧ ‧ ‧ 400 yuan
(Vodka, Cold Black Tea, Shengmuqin wine, Wu Zhang Rim wine)
Twist version of t 冰 冰 冰
To discover the classic apple honey fragrant black tea of ​​tea as cold extract, the tea is a bit of soft fruity, with the signs of the signs of wood (Holy Wood, Bulin), a ray of smoked woody fragrance echoed in the mouth, and finally joined Jackdaniel's Apple whiskey , Raise the fragrance of fruits a level, if you like Long Island, you must try to see‼️ ️

Xiaohua's miso soup is priced at 400 yuan
(Periollarity wine, plum wine, miso, cantaloupe)
After opening the cup lid, first smell the aroma of lavender. The fresh perilla aroma is accompanied by a faint plum fragrance. The salty miso is eye -catching in the wine. Intersection

The price of a noble woman is 400 yuan
(Xingtao, Pisco, cactus wine, calamus, tea tree), the front is the sweetness of apricot peach, and the rhyme is fresh tea tree fragrance. Drink, sour and sweet.",False,0.111,0.065,0.824,0.9823
"調酒好喝
調酒師說他的職業道德是讓客人躺著出去","Blooming is delicious
The bartender said that his professional ethics was to let the guests lie out",False,0.188,0.0,0.812,0.5719
