Original,EN,Positive,Negative,Neutral,Compound
"在家裡附近開很久的居酒屋
吃完真的是覺得太晚才來拜訪了
實在很屌打外面很多居酒屋
份量十足外價錢CP值超高味道完全不馬虎

所有食材都很新鮮烤物很多汁
食物沒有短板
但所有的都是現做的所以時間會需要等一下
好的東西都值得等待😋

環境非常乾淨舒適

老闆在一開始就會說：至少要等40分鐘喔
好在沒有被勸退 吃到好吃的就是開心！","The izakaya opened near home for a long time
I really feel too late to visit after eating
It's really a bit of outer izakaya
The portion is full, the price CP value is super high, the taste is not sloppy at all

All ingredients are very fresh, grilled, many juice
Food has no shortcomings
But everything is done now, so time will need to wait a minute
Good things are worth waiting for

The environment is very clean and comfortable

The boss said at the beginning: At least 40 minutes
Fortunately, the one who has not been dismissed to eat delicious is happy!",0.247,0.013,0.74,0.9845
"意外發現的店～～
裡面很多老闆佈置的小巧思 很可愛
重點我們點的東西也都好好吃
尤其櫛瓜怎麼有辦法做到咬下去水分爆開
（真的不誇張好吃）
還有水蓮也炒得很香
整體來說Cp值真的很高😍😍
我們聊天聊到很晚 老闆也沒有趕客
真的是很舒服的一家店 大推","An accidental shop ~~
Many bosses in it are cute and cute
The key points we ordered are all delicious
In particular, how can there be a way to bite the water and explode
(Really exaggerated delicious food)
And water lotus also fry very fragrant
On the whole, the CP value is really high
We chat and chat very late, the boss didn’t catch the guests
It's really a very comfortable shop push",0.227,0.034,0.739,0.958
"店家位在台北內湖地區康寧路一段上，店家剛好位在兩個捷運站之間，從內湖或文德捷運站步行過來大約需要10分鐘左右的時間，如要搭公車，最近的公車站為湖光市場站。附近道路狹小，建議騎機車前來，路邊有機車停車格。如要開車的話可以停在成功路上的收費停車場或是路邊停車格再步行過來。店家內部裝潢非常有日式風格，以日式小物或酒瓶裝飾一整面牆，非常有道地的日式居酒屋氣氛，店內座位不算多，多為四人桌座位，如人數較少可以坐吧檯座位。店家用餐時對非常熱門，如要前往強烈建議要事先訂位。用餐人數眾多時，因餐點現點現做，可能會需要等候30~40分鐘左右餐點才會上桌。畫完單後收後結帳即可，飲料自取。
店家為日式居酒屋，主打超級新鮮的日式海鮮料理、串燒、熱炒等菜色。首推午仔魚一夜干，店家特別風乾較久的時間，所以午仔魚的風味更為濃厚，加上烤功了得，魚皮與魚鰭烤的非常酥脆，部分魚骨甚至可以直接咬碎，有著酥脆的口感，魚肉還是非常鮮嫩多汁，富有午仔魚的油脂香氣，真的是必點菜色，如果魚比較小隻價錢會算比較便宜一些。比目魚系列的握壽司與手卷也千萬不要錯過，餐點都是現點現做，握壽司的米飯帶有一點點微溫，不會生冷帶硬，吃起來非常鬆軟卻還吃得出粒粒分明的米粒，上面的比目魚份量超爆多，幾乎是外面握壽司的3倍份量，一口吞下油脂透過嘴巴的溫度融化比目魚的油脂與微溫的米粒融合油脂香氣瞬間竄出，吃起來超級滿足美味，如果加上蟹膏，吃起來則帶有一點點淡雅的鮮味，也是不錯的選擇。酥炸軟殼蟹外表香酥，軟殼蟹帶有濃郁鮮味，吃起來不會有油炸過後的油膩。手切雞軟骨撒上了胡椒鹽，吃起來超級下酒。味噌雞腿串上面加了濃郁的味噌醬，口味比較偏鹹一點，醬燒雞腿串則是帶有恰到好處的醬香，值得一嚐。烤蔬菜或是炒菜等餐點也都表現得不錯。
店家提供美味的日式料理，舉凡握壽司、手卷、串燒、熱炒等餐點都有一定的水準。這裡的海鮮超級新鮮，份量超多，絕對不會讓人失望，午仔魚一夜干、比目魚系列料理更是不能錯過，用料非常實在，價位卻非常平價。只是如果瞬間湧入用餐人潮，餐點與座位可能都會需要等候，但等待是非常值得的。如果來到內湖地區，不趕時間，想要找個地方吃吃串燒、握壽司等日式料理小酌一下，這裡一定是首選。

#letsguide
#佐佐黃的美食玩樂評鑑
#zuozuohuang","The store is on the section of Corning Road, Neihu area in Taipei. The store just happens to be between two MRT stations. It takes about 10 minutes to walk from Neihu or Wende MRT Station. The bus station is Huguang Market Station.The nearby roads are small. It is recommended to ride a motorcycle and there is a parking car on the roadside.If you want to drive, you can stop on the toll parking lot or roadside parking on the road to success.The interior decoration of the store has a very Japanese style. It is decorated with a small Japanese -style or bottle of wine. It is very authentic Japanese -style izakaya atmosphere. There are not many seats in the store. Sit a seat.The store is very popular when eating. If you want to go to it, it is recommended to book a place in advance.When the number of meals is large, because the meal is made now, you may need to wait for about 30 to 40 minutes to serve at the table.After finishing the single, check the checkout, and take it yourself.
The store is Japanese -style izakaya, which focuses on super fresh Japanese seafood dishes, skewers, hot stir -fry and other dishes.The first time the noon fish was dried overnight, the shop was particularly air -dried for a long time, so the flavor of the noon fishes was more strong, and the grilled merit was made. The fish skin and the fins were very crispy. With a crispy taste, the fish is still very tender and juicy. The oil aroma of the lunch is really a dish. If the fish is small, it will be considered cheaper.Do n’t miss the nipple sushi and hand rolls of the Bayfish series. The meals are all made now. The rice with a sushi is a little bit warm, it will not be cold and hard. The rice grains are super explosive than the amount of fish, which is almost 3 times the amount of sushi outside. The grease is melted through the temperature of the mouth to melt through the fusion of the oil and the slightly warm rice grains of the fish. If you add a crab cream, it will have a little elegant umami, and it is also a good choice.Crispy soft -shell crabs are crispy, soft shell crabs have a strong umami flavor, and they will not taste greasy after fried.Sprinkle chicken cartilage with chondrores and salt, and it tastes super wine.The miso chicken leg skewers are added with a strong miso sauce. The taste is a bit salty. The sauce chicken leg skewers are just the right sauce, which is worth a taste.Baked vegetables or meals such as cooking or cooking are also good.
The store provides delicious Japanese cuisine, and has a certain level of meals such as sushi, hand rolls, skewers, and hot stir -fry.The seafood here is super fresh and the portion is large, which will never be disappointing. The noon fishes are dried overnight and the dishes are not missed. The material is very real, but the price is very affordable.However, if the crowd of dining is influxed in an instant, the meals and seats may need to wait, but waiting is very worthwhile.If you come to the Neihu area and do n’t hurry, you want to find a place to eat Japanese -style cooking such as skewers and sushi. This must be the first choice.

#Letsguide
#
#zuozuohuang",0.087,0.007,0.906,0.9855
"蝦頭味噌湯🦐 足足放了4個蝦頭,湯頭超級鮮甜 推薦必點！記得把蝦頭掰開,裡面還有蝦肉超爽🤙

炙焦糖鮭魚 鮭魚我永遠的愛❤️
魚肉飽滿有油脂,炙燒香味及焦糖的甜脆讓口感更加分
當天鮭魚肚賣完超可惜!已經可以想像那個油脂會有多好吃了🤤

招牌雞肉串🐤特色必點 炸過的外皮非常脆搭配偏甜的醬汁,裡面雞肉仍保有汁水 超讓人驚艷！

山葵雞腿串/蟹膏雞腿串
雞腿類一定不要錯過好嗎~
外皮是脆的！口感簡直滿分！
蟹膏的鮮味搭配雞腿肉的軟嫩
新鮮山葵帶點爽脆口感、刺激但不嗆鼻！

蘆筍牛肉串🐮$80兩串CP值太高了吧

店家採自助式！餐具自己拿
瓶裝酒類及飲料到冰箱拿~
進店直接走到櫃檯跟老闆說你幾位就會幫你排位置囉！","The shrimp head miso soup 味 has 4 shrimp heads, the soup is super fresh and sweet!Remember to open the shrimp head, there are also shrimps inside, super refreshing

Traculously caramel salmon, salmon, my forever love ❤️
The fish is full of oil, the fragrant fragrance and the sweetness of caramel make the taste more divided
It is a pity that the salmon belly was sold on that day! I can imagine how delicious the oil will be.

The characteristics of the signature chicken skewers must be fried. The fried skin is very crispy with a sweet sauce. The chicken still keeps the juice is super stunning!

Shankui chicken leg skewers/crab paste chicken leg skewers
Don't miss the chicken legs, okay?
The outer skin is crispy!The taste is almost full!
The umami flavor of crab paste is soft and tender of chicken leg meat
Fresh mountain sunflowers have a crispy taste, stimulus but not nostalgic!

Asparagus beef skewers 8 $ 80 Two string of CP value is too high, right?

The store adopts the self -service type!Turn it by itself
Bottle wine and drinks to the refrigerator ~
Go to the store and go directly to the counter and tell the boss that you will help you in the position!",0.149,0.007,0.844,0.9794
"生魚片新鮮，菜色好吃，價格實在。
晚上小酌放鬆的好去處，尖峰時間會等比較久要有點耐心。推薦👍","The slices of sashimi are fresh, the dishes are delicious, and the price is real.
If you relax at night, you will be a little patient for a long time.Recommendation",0.248,0.0,0.752,0.836
"內湖不限時平價居酒屋，下班想放鬆可以來這裏。
料理美味價格實惠，涼拌洋蔥或沙拉類很爽口又大盤，握壽司的生魚片很鮮美，下次會再試試大家推薦的生魚片，
餐點種類蠻多的，目前還沒吃透透，但老闆一個人準備所以出餐時間比較慢一些。","Neihu is unlimited at a time -priced at lyrics, and you can relax from get off work to relax.
Cooking delicious and affordable, cold onions or salads are refreshing and large, and the sashimi of the sushi is very delicious. I will try the recommended sashimi recommended by everyone next time.
There are quite a lot of meals. I haven't eaten through, but the boss is preparing alone, so the meal time is slower.",0.142,0.031,0.827,0.7224
"很有feel的日式居酒屋，老闆很用心佈置，好多公仔讓我想鏮回家！
吃飯時間人很多，點餐後要等一會兒才會上菜，餐點的份量有點小，跟日式居酒屋一樣吃不飽，但味道還不錯，蒜香奶油加義式綜合香料有點不搭，下次點餐我會註明不要加了！","Very Feel's Japanese -style izakaya. The boss is very careful. Many dolls make me want to go home!
There are a lot of people in the meal time. After ordering for a while, I have to wait for a while before serving. The amount of meals is a bit small. I ca n’t eat it like Japanese izakaya, but the taste is not bad. I will indicate not to be added for the second order!",0.109,0.0,0.891,0.7721
"真正的好吃啊！
烤物的口味和口感都和之前吃過的居酒屋不太一樣，很有自己的風格。
唯獨清炒高麗菜口味有點重，但還是好吃啊！
但就像評論上說的，要稍微等待一段時間呦","It's really delicious!
The taste and taste of the roasted objects are not the same as the izakaya I have eaten before, and it has its own style.
Only the taste of Korean cuisine is a bit heavy, but it is still delicious!
But just like the comments, wait a little bit for a while",0.18,0.0,0.82,0.9078
"鮭魚壽司新鮮好吃👍
鹽燒雞肉串，薑汁炸豆腐，醬酥牛蒡
都很有水準。好吃。

Google map 留言不假，真的等很久沒錯，心裡早有準備，只是我們點蒜香阪腱牛排卻來了骰子牛，店家因為忙碌無意願更換，並且回覆一句：「部位都一樣」為由，實在傻眼…心裡只好默默接受。","Salmon sushi fresh and delicious
Salt chicken skewers, ginger juice fried tofu, sauce crispy beef
They are all very standard.tasty.

Google Map has a long message. It is really right to wait for a long time. We have a preparation in our hearts, but we order garlic Sakana tendon steak, but the dice cow came. , I'm dumbfounded ... I had to accept it silently.",0.137,0.046,0.817,0.6858
"整體吃下來只有鮭魚生魚片和手捲還滿好吃的
雞肉串烤得較乾、味道普通，過鹹
牛舌調味不錯但肉質不太好，不容易咬斷
飲料沒什麼選擇，但禁止外帶飲料進來
用餐環境不是很舒適，環境滿髒亂的，地板濕濕的，廁所很臭","Overall, only salmon sashimi and hand rolls are still delicious
Chicken skewers are dry, taste ordinary, and too salty
The beef tongue has a good seasoning but the meat is not very good, it is not easy to bite
There is no choice for drinks, but it is forbidden to come in
The dining environment is not very comfortable, the environment is full of dirty, the floor is wet, the toilet is stinky",0.069,0.257,0.674,-0.9619
