Original,EN,Needs Review,Positive,Negative,Neutral,Compound
啤酒柱會發光很酷。二樓開到早上七點，還可以唱歌，狂歡的好地方。陽台有吸煙區。,"The beer column will shine very cool.On the second floor until seven in the morning, you can also sing, a good place for carnival.There are smoking areas on the balcony.",False,0.091,0.0,0.909,0.4404
服務員會排麥，大家都和藹可親的樣子🤣，氣氛好，四個角落都有螢幕，二樓唱歌，店員說這裡只是友善空間啦,"The waiter will line up wheat, everyone is amiable, the atmosphere is good, there are screens in the four corners, and the second floor sings. The clerk said that this is just friendly space.",False,0.16,0.0,0.84,0.7269
叫了一瓶Vodka，他們還幫我們準備萊姆、鹽巴跟檸檬片，很貼心，有叫了兩樣熱炒忘了拍，也是現炒，口味清淡，現場有Live駐唱，由於駐唱歌者都是自己朋友，就覺得氣氛特別好，店內二樓，下午有卡拉ok可以唱歌，晚上就餐酒館，生意沒很好但也零零散散有客人進來聽歌，駐唱跟現場客人互動也不錯，酒記在櫃檯，下次再來🥰,"Call a bottle of Vodka. They also helped us prepare Lym, Salt and Lemon Slicit. It was very intimate. I called two hot stir fry and forgot to shoot. It was also fried. The taste was light. It ’s my own friend, I feel that the atmosphere is particularly good. On the second floor of the store, there is a karaoke to sing in the afternoon. In the evening, the dining tavern is not very good but there are zero scattered guests to listen to the song. The wine is in the counter, come again next time 🥰",False,0.124,0.031,0.845,0.9124
可以唱歌的好地方 環境也很有科技感 其他客人也很容易跟你打成一片 一起歡唱喝酒 真開心🤣,"The good place where you can sing also has a sense of technology. Other guests can easily sing with you, sing drinking together, really happy 🤣",False,0.325,0.0,0.675,0.9099
"謝謝今天的各位
餐點好吃
歌手實力滿分
服務生顏值高又親切","Thank you everyone today
Meal delicious
Singer full of strength
The waiter is high and kind",False,0.516,0.0,0.484,0.9153
"在這邊認識了很多朋友，店員服務都很讚，餐點很好吃，價格也合適，到這邊很放鬆哦~
當然在二樓吼幾下就更放鬆囉~","I met a lot of friends here. The clerk's services were very good. The meal was delicious and the price was appropriate. It was relaxed here ~
Of course, it is even more relaxed on the second floor ~",False,0.329,0.0,0.671,0.9492
樓上可以現場唱歌音樂很棒氛圍很優，每個人的power很有感覺，Vic Li很帥，Danny親和力很讚！,"Upstairs, you can sing on the spot and music. The atmosphere is great. Everyone's Power feels very good. Vic Li is handsome. Danny's affinity is great!",False,0.404,0.0,0.596,0.9421
點歌點了兩個小時就是唱不到，隔壁瘋狂再唱，重點過了兩個小時還沒看到有在等待的歌單上，很不優,"After two hours of singing, you ca n’t sing. Singing again next door. After two hours, I haven’t seen a song list waiting for two hours.",False,0.0,0.0,1.0,0.0
"不予置評！
整體感覺上不是很好，點歌還會被唱走在別的酒吧還不會發生這種事，我還是第一次遇見不會再來第二次，第一次體驗就不是很好了","Don't comment!
The overall feeling is not very good. The singing will still be sung in other bars. This kind of thing will not happen. I will not come again for the first time. The first experience is not very good.",False,0.033,0.123,0.844,-0.6171
很放鬆的地方，可以唱歌每桌一次點兩首，酒飲、無酒精都有且蠻大杯CP值很高！且在西門町裡面開到早上很讚！適合三五好友去聊聊天小酌。,"A very relaxed place, you can sing two at each table, drinking, no alcohol, and a large cup CP value!And it is great in the morning in Ximending!Suitable for three or five friends to chat and drink.",False,0.243,0.047,0.71,0.8772
"氣氛很棒 店員親切
酒也很好喝而且超大一杯 非常值得💯
很推薦來這裡👍","The atmosphere is great, the clerk is kind
Wine is also very delicious and a large glass is very worthy of 💯
Recommended here 👍",False,0.428,0.0,0.572,0.9476
"感謝招待，喝了不少
一杯黑特調搞得跟飲料一樣大
還是特大杯那種
500元值得👍
Vic很帥🤣🤣🤣🤣","Thank you for your hospitality, drink a lot
A cup of black special tone is as big as a drink
Still the big cup
500 yuan worthy 值
Vic is handsome",False,0.295,0.0,0.705,0.8834
"酒讚讚！是說另一間設備唱起來很像直接聽外場唱歌，霧霧糊糊的，這間音響高中低頻分離清晰比較好唱，好評
店員桑都很親切，很輕鬆愉快！","Jiu praise!It means that another device sings very much like listening directly to the field singing and fog.
The clerk Sang is very kind, very relaxed and happy!",False,0.381,0.0,0.619,0.9411
Vic人帥服務好 老闆也帥 燈光美氣氛佳很適合喝酒聚餐,VIC people handsome service good boss is also handsome lighting and beautiful atmosphere is very suitable for drinking and dinner,False,0.452,0.0,0.548,0.9217
"調酒種類多
駐唱歌手都很厲害

還可以點歌","There are many types of bartending
Singing singers are very powerful

You can also order song",False,0.171,0.0,0.829,0.4754
環境舒適、店員服務很好有禮貌，下次肯定會再來,"The environment is comfortable and the clerk service is very polite, and will definitely come again next time",False,0.273,0.0,0.727,0.7184
東西好吃 酒也好喝 還可以唱歌 重點是店員都很熱情,It's delicious and delicious. The focus of singing is that the clerk is very enthusiastic,False,0.476,0.0,0.524,0.8977
"服務好、很友善，餐點好吃😝😝😝
真的超推👍👍👍","Good service, very friendly, delicious meals 😝😝😝
Really super pushing 👍👍👍",False,0.388,0.0,0.612,0.9389
"一樓有駐唱很好聽
二樓也可以唱歌還能認識新朋友 大家都很 nice
酒很順口  滿大杯的
如果想酒感重點可能需要跟調酒師說一聲","There is a resident singing on the first floor very nice
You can also sing on the second floor and know new friends. Everyone is very nice
The wine is very smooth and full of big cups
If you want the focus of the wine, you may need to tell the bartender",False,0.181,0.0,0.819,0.862
唱歌小酌的好地方，西門口袋名單之一👍🏼,"A good place to sing and drink, one of the list of Ximen pockets 👍🏼",False,0.139,0.0,0.861,0.4404
整間店裝潢好喜歡完全我的菜，很好拍，食物也非常好吃又實惠💖💖💖💖調酒種類超多很大杯價位也很平易近人🥰重點店員服務超好超親切，二樓竟然還可以唱歌🎶🎵很讚的地方~~~推推✨️,"The whole shop decoration likes it completely my dishes, very good to shoot, the food is also very delicious and affordable. You can also sing.",False,0.297,0.079,0.624,0.8086
"氛圍很好👍
服務人員很熱情❤️😊","The atmosphere is very good 好
The service staff is very enthusiastic ❤️ 热",False,0.34,0.0,0.66,0.7708
約會的好地方，餐點也很好吃，讓人會想回訪。,"A good place for dating, the meal is also delicious, making people want to return to visit.",False,0.361,0.0,0.639,0.7845
咖啡好喝，人員很帥！,Coffee is delicious and handsome!,False,0.706,0.0,0.294,0.8016
"調酒配熱炒
感情來這找","Bartend with hot stir -fry
Feelings come here",False,0.0,0.0,1.0,0.0
氣氛很好 二樓很精彩 很推薦大家來 一樓也有駐唱 氣氛很好,"The atmosphere is very good on the second floor, very exciting, I recommend everyone to come to the first floor.",False,0.357,0.0,0.643,0.8573
服務好，餐酒佳😎,"Good service, good meal wine 餐",False,0.592,0.0,0.408,0.7003
"音響設備超棒
店內裝潢質感upupup
氣氛超適合朋友聚會❤️","Audio equipment is superb
Internal decoration of the shop upupup
The atmosphere is super suitable for friends gathering ❤️",False,0.395,0.0,0.605,0.9022
"調酒都很不一樣 小菜也很好吃
環境氣氛都很不錯
很推","Intrathy is very different, the side dishes are also delicious
The environment atmosphere is very good
Push",False,0.315,0.0,0.685,0.7841
氣氛很好，音響設備，主唱歌手都很厲害,"The atmosphere is very good, the audio equipment, the lead singer is very powerful",False,0.344,0.0,0.656,0.742
環境超棒，唱歌喝酒爽爆，店員非常nice超愛,"The environment is great, singing and drinking, the clerk is very nice super loves",False,0.605,0.0,0.395,0.9463
"燈光美氣氛佳，唱歌小酌好地方
小菜好吃酒好喝👍","The lights are beautiful and the atmosphere is good.
The side dishes are delicious and delicious 酒",False,0.522,0.0,0.478,0.9349
"Evans超帥！！大a超棒～
米利亞阿粉駐唱超讚😍😍😍","Evans is super handsome!IntersectionBig A superb ~
Milia's Fan Singing is superb 😍😍😍 😍😍😍 😍😍😍",False,0.544,0.0,0.456,0.991
酒好喝，服務更好，東西夠好吃，一定要來！,"The wine is delicious, the service is better, the things are delicious enough, it must come!",False,0.449,0.0,0.551,0.8908
店員超熱情❤️‍🔥又帥又會唱又會跳😍😍,The clerk is super enthusiastic ❤️帅 handsome and singing and jumping 😍😍,False,0.521,0.0,0.479,0.946
店員很熱情，很歡樂的聚會地點..酒好喝🍻好歡樂,"The clerk is very enthusiastic, very happy party place .. Wine is delicious and happy",False,0.644,0.0,0.356,0.9591
"Evans.大A超帥人超好
酒超級好喝～～～～
想常來～～～～","Evans. Big A Super handsome super good
The wine is super delicious ~~~~
Think about it frequently ~~~~",False,0.642,0.0,0.358,0.9702
