Original,EN,Needs Review
"前年交換禮物前去吃的一家好吃的日料店
店內裝橫氣氛很不錯，相當有質感
價位不算貴  味道好吃！ 性價比不錯
但時隔兩年已經忘記點什麼..只能附照片不附名稱了😅
只知道都很不錯吃 真心沒有雷的
很適合聚餐或約會！","A delicious Japanese shop that was eaten before the exchange of gifts the previous year
The atmosphere in the store is very good, quite texture
The price is not expensive and delicious!Good cost -effective
But what has been forgotten after two years .. I can only attach a photo and not the name. 😅
I only know that they are very good to eat.
Very suitable for dinner or dating!",False
"創鮨•丼飯 壽司 清酒吧是一間位於繁華東區的日本料理店，以其高性價比和創意料理聞名。店面裝潢簡約而有質感，營造出一種既現代又傳統的氛圍，讓人一踏入就能感受到日式的精緻與雅致。
餐廳的特色在於其單點握壽司和豐富多樣的丼飯選擇。每一貫壽司都是師傅精心製作的藝術品，不僅味道純正，更是視覺上的享受。其中，干貝漢堡加海膽是餐廳的招牌之一，大塊的干貝搭配鮮美的海膽和蟹肉，口感層次豐富，是來訪者必試的佳餚。
除了經典的壽司，餐廳還提供了一些創新的選擇，如雪融壽司，這是一款炙燒比目魚加上鮭魚子的握壽司，溫熱的比目魚油脂與鮭魚子的鹹香在口中完美融合，帶來無與倫比的味覺體驗。
烤午仔魚則是另一道不容錯過的料理，魚肉烤得外脆內嫩，搭配獨特的調味，讓人回味無窮。
創鮨•丼飯 壽司 清酒吧是一間能夠提供美味且創意十足的日本料理的餐廳。無論是尋求傳統日本風味還是想要嘗試新穎獨特的料理，這裡都能滿足你的需求。","Chuangya 丼 司 鮨 鮨 is a Japanese restaurant located in the bustling East District, known for its high cost performance and creative dishes.The store's decoration is simple and textured, creating a modern and traditional atmosphere, so that people can feel the exquisite and elegant Japanese style as soon as they step in.
The restaurant is characterized by its single -point holding sushi and rich and diverse rice choices.Each consistent sushi is a carefully made by the master. It not only tastes pure, but also visually enjoy.Among them, dried scallops and sea urchins are one of the restaurants' signs. Large pieces of scallops with delicious sea urchin and crab meat have rich taste levels and are the must -try dishes for visitors.
In addition to the classic sushi, the restaurant also provides some innovative options, such as Xue Rong Sushi, which is a nipple sushi with roasted biochemical fish and salmon. Bring an unparalleled taste experience.
The grilled noon is another dish that cannot be missed. The fish is grilled crispy and tender, with unique seasonings, which makes people have an endless aftertaste.
Chuangya 丼 鮨 鮨 鮨 is a restaurant that can provide delicious and creative Japanese cuisine.Whether you are seeking traditional Japanese flavors or trying to try novel and unique dishes, you can meet your needs here.",False
"東西很好吃~
店家位子不多，建議務必要訂位以免向隅
酒也都不錯 生啤整個杯子都很冰XD
有很多很有趣的特色餐點，一定要看黑板！

然後，甜點也好好吃QQ
喜歡烤麻糬跟布丁！","Things are delicious ~
There are not many stores in the store, it is recommended to reservations to avoid being treated
Wine is also good for the whole cup of raw beer. The whole cup is very ice XD
There are many very interesting special meals, you must look at the blackboard!

Then, the dessert is also delicious QQ
Like to roast hemp and pudding!",False
"份量有點小 餐點好吃
比目魚手卷很滿足
布丁雖然有點苦但整體口感佳
兩個人吃回家都拉肚子到不行就是了","The weight is a bit small meal delicious
Big fish hand scroll is very satisfied
Although the pudding is a bit bitter, the overall taste is good
Two people have diarrhea when they eat home",False
"臨時預約的
所以沒抱太的的期望
但幾乎每樣都好吃

很幸運吃到一間CP值很高的
日料店
此外魚烤的好好
酒也好好喝

很快會在光顧😺😺
離我上班的地方很近
中午去吃也很適合👍","Temporary
So I didn’t expect too much
But almost everything is delicious

Fortunately, I have a high CP value
Japanese shop
In addition
Alcohol also tastes good

Will be patronizing soon
It's close to the place where I go to work
It is also suitable for eating at noon 也 也 也 也",False
點了三色丼有四顆大干貝，好讚！老闆招待的烤魚也好好吃！店內乾淨舒適👍,"There are four big scallops in the three -color 丼, so praise!The roast fish entertaining the boss is also delicious!Clean and comfortable in the store",False
"不錯吃但吃不飽，丼飯份量食材跟飯份量都很少
差不多的價位來相比中山北路的某壽司店生魚片丼完勝，還會附碗味噌湯","Good eating but not full, there are very few meals ingredients and meals
Compared with the same price, compared with a sushi shop on Zhongshan North Road, the sashimi is over, and a bowl of miso soup will be attached.",False
"烤鯖魚超好吃！
外酥內嫩多汁 鹹度適中
茶碗蒸很有水準！ （本人很愛茶碗蒸）
握壽司裡面最愛炙燒比目魚、天使蝦明太子很鮮甜😍
推推👍 （二訪）","Baked catfish is super delicious!
Crisis inside, juicy, and juicy saltiness, moderate saltiness
The tea bowl is steaming very well!(I love tea bowl steaming)
Lost in the holding sushi, I love burning fishes, Angel Shrimp Princes are very fresh and sweet 😍
Push push (second visit)",False
食材新鮮、調味不會過鹹或是太奇怪，美中不足的大概是1500吃下來還是有點餓，不過可能是我食量比較大的關係，干貝漢堡大推，加海膽滿口的鮮，另外布丁很好吃，整個餐吃下來最有記憶點的就是這兩道，整體給4.2顆星。,"The ingredients are fresh, the seasoning is not too salty or too strange. The shortcomings of the United States are about 1500 or are still a bit hungry, but it may be a relatively large relationship. The most memorable point for the whole meal is these two, and the overall is 4.2 stars.",False
"存了很久的口袋名單，真的不虛此行！

環境很舒適悠閒，生魚片的品質不在話下，每一口都能感受到肉質的鮮美還有油脂散開在口中的香氣。

🔹干貝漢堡：一口吃下去，能感受到不同食材的味道在嘴中互相爆發，時而是干貝厚實的口感，時而是蟹膏散出的鮮美，中間穿插了松露的點綴。這道吃完口中一直念念不忘，於是又點了一次✔️
🔹明太子山藥：掛在牆上的餐點，山藥烤的外酥內軟，明太子用量更是絕，不妨可以嘗試不在菜單上的料理！
🔹酒蒸蛤蜊：蛤蜊鮮甜，酒蒸後的清湯更是絕味，比起味增湯的味道，個人覺得酒蒸的比較好喝。
🔹玉子燒：表層用焦糖炙燒過後，又多一層口感，味道不會太甜也不會太鹹。
🔸燒酎+梅酒：順口好喝，很令人上癮的組合！

假日用餐時間90分鐘，可刷卡/載具

#0414","After a long list of pockets, this trip is really bad!

The environment is very comfortable, the quality of sashimi is not the same, and each bite can feel the delicious meat of the meat and the aroma that the oil is dispersed in the mouth.

一 Dry scallop burger: After eating it, you can feel the taste of different ingredients burst into each other in the mouth. Sometimes it is the thick texture of the scallops. It is sometimes delicious in the crab paste.I have been thinking about this mouth, so I ordered it again ✔️
🔹 🔹 🔹: The meal hanging on the wall, the softening of the yam is roasted, and the dosage of the prince is the best. You may wish to try the dishes that are not on the menu!
Steaming clams: The clams are fresh and sweet, and the clear soup after the wine is even more flavorful. Compared with the taste of flavor of the soup, I personally feel that the wine is relatively delicious.
表 ：: After the surface is burned with caramel, it has a layer of taste. The taste will not be too sweet or too salty.
Boil 酎+plum wine: It ’s delicious and delicious, very addictive combination!

Holiday time for meals for 90 minutes, you can swipe the card/vehicle

#0414",False
"很值得二次光顧的店，店內氣氛及老闆的招待都恰到好處。
價錢的部分也很合理，飯後想小酌或吃點海鮮的絕佳好地方！","It is worthy of a second -time shop, the atmosphere in the store and the hospitality of the boss are just right.
The price part is also very reasonable. I want to drink or eat some seafood after meals!",False
找了很多間，這間評論很少，但是...很好吃！！！吃的這幾樣都非常的新鮮，綜合海鮮丼飯可以吃到非常多種類的海鮮，可惜飯少了點...看評論說可以加飯，下次再去吃我會先說🤣再來就是干貝漢堡，一定要加海膽，非常的好吃，沒有腥味，那個蟹膏的部分，濃郁香，吃了忘不了~還有招待小菜，非常感謝唷~,"I found a lot, there are very few comments, but ... it's delicious!IntersectionIntersectionThese are very fresh. You can eat a variety of seafood in the comprehensive seafood rice, but unfortunately a little less meal ... See the comment that you can add rice. I will say that I will say it first. Dry scallops and burgers, be sure to add sea urchin, very delicious, without fishy smell, the part of the crab paste is rich in fragrance, I can't forget it ~ There is also entertaining side dishes, thank you very much ~",False
服務很親切 食材都很新鮮 吃到超棉密的茶碗蒸很驚喜 酒香蛤蜊也超鮮 環境也讓人覺得放鬆 也可以坐在吧台看師傅做食材也很療癒,The service is very kind and ingredients are very fresh. Eat ultra -cotton -dense tea bowl steamed. Steamed the wine fragrance and the super fresh environment.,False
"布丁不錯，其他蠻中規中矩
份量比較精緻
鮭魚親子有紫蘇葉加分","The pudding is good, the others are quite satisfactory
The portion is more exquisite
Salmon parent -child has extra points of perilla leaves",False
"店面雖然不大，但是廚師手藝卻是很高超，美味不輸給知名的料理店。炙燒的海鮮丼飯滿滿的美味，壽司也是新鮮可口，小菜更不在話下。年輕的店員、廚師熱情好客，還送了烤鮭魚骨，香脆可口，讓人想一來再來。最重要的一點是CP值超高。順帶一提，清酒、梅酒也很好喝。
Although the store is not big, the chef's skills are very good, and the delicious food is not inferior to that of well-known restaurants. The seared seafood rice bowl is full of deliciousness, the sushi is also fresh and delicious, not to mention the side dishes. The young waiter and chef are warm and hospitable, and they also present grilled salmon bones, which are crispy and delicious, making people want to come back again and again. The most important thing is that the CP value is super high.","Although the store is not large, the chef's craftsmanship is very superb, and it is not lost to the well -known restaurant.The burning seafood rice is full of deliciousness, sushi is also fresh and delicious, and the side dishes are not even more.The young clerk and chef were enthusiastic, and they also gave the grilled salmon bone, which was crispy and delicious, making people want to come again.The most important point is that the CP value is super high.By the way, sake and plum wine are also delicious.
Although the store is not big big, the Chef's Skills are very good, and the delipious food is not incharior to that of Well-Known RESTAURARANTs. Bowl is full of delipiousness, the sushi is also fresh and delipious, not to meeting The size display. The young waiter and chef are warm and hostable, and they also present Grilled Salmon Bones, Which are crispy and delipious, Making People Want T o come back again and agin. The most important thing is that the cp value is super high Then, then",False
"點了七貫壽司+茶碗蒸+鮮魚味噌湯，後來發現入座就會每人招待一碗味噌湯了。老闆還有額外招待烤鮭魚肚，很好吃。
人均500，壽司偏小顆，好吃但吃完還有點餓，回訪率低。","Ordered Qi Guan Sushi+Tea Bowl Steaming+Fresh Fish Miso Soup, and later found that each person would entertain a bowl of miso soup.The boss also entertains the stomach of the grilled salmon, which is delicious.
The per capita is 500, the sushi is small, it is delicious but a little hungry after eating, and the return rate is low.",False
