Original,EN,Needs Review
"調酒 好喝
小菜 也都超級好吃
老闆&服務人員都很親切
支持 支持","Blooming is delicious
The side dishes are also super delicious
The boss & service staff is very kind
Support",False
"大推👍 住家附近最常來的店家～
跟老公走路過來 喝點小酒+吃美食 好讚啊

每次來必點曾拌麵 Q度滿表的麵體 搭配剝皮辣椒 真的好好吃🤤

而且服務很輕鬆蘇服～ 讓人很放鬆

菜單都會不時更新 一直有新的選擇
但很可惜我們都是念舊的 阿嬤的花生湯和小梅沒有了 喝到順口好喝的換掉就沒有了 😭

但也是讓我們學著換新口味的好機會 顆顆

別猶豫 快來吧～～","The most common shop near the home of Da Shi 近 附 ～ ～ ～ ~
Walking with my husband to drink a little wine+eat food, so good

Every time you come, you must order noodles with noodles full of noodles full surface with peeling pepper pepper really delicious

And the service is very easy to serve ~ it makes people relax

The menu will be updated from time to time, there have always been new choices
But unfortunately, we are all the old grandma's peanut soup and Xiaomei.

But it is also a good opportunity for us to learn to change new flavors

Don't hesitate to come soon ~~",False
"氣氛超好 老闆也很好聊
在我心中已經是樹林最頂了","The atmosphere is super good, the boss is also very good to talk
It's already the top forest in my heart",False
樹林質感酒吧😳😳燈光 氣氛 環境都很適合喝酒，每杯調酒都很有特色很好喝🫶🏻老闆特調每次都是唯一的一杯，非常喜歡我的特調有粉色招財貓的陪襯😍已納入每週必訪名單內，有到樹林晚上必須來這裡待著微醺享受這了的每一口美好 …,"The wood texture bar 光 lighting atmosphere environment is very suitable for drinking. Each cup of bartender is very special.必 必 has been included in the weekly must -visit list, and you must come here at night to enjoy every beauty that you can enjoy this ...",False
"氣氛好價格合理的酒吧，樹林終於有優質的酒吧了！

老闆跟店員都很親切，週末晚上來好chill，環境也很整潔！

點了五杯酒「現在我有冰激凌」、「櫻花男孩的欲擒故縱」、「長島冰茶」、「性感沙灘」、「乘風破浪的姊姊」，還品了三杯shot:「柚搞烏龍」及兩杯烈酒小！

我喜歡酸甜系口味，最喜歡乘風破浪的姊姊，第二名是櫻花男孩的欲擒故縱，再來第三名是現在我有冰激凌。

一開始店員都會先問平時的口味愛好，來推薦你口味，不知道自己喜歡什麼也有看老闆心情可以點～

裡面也有無酒精飲料及小點，適合不敢喝酒的人來這也能喝！","The atmosphere is good and the price is reasonable. The woods finally have high -quality bars!

The boss and the clerk are very kind. Come to Chill on weekends and evening, and the environment is very neat!

I ordered five glasses of wine ""I have ice cream now"", ""Sakura boys' desire to escape"", ""Long Island Ice Tea"", ""Sexy Beach"", ""Sister who breaks the wind and waves"", and also made three cups of shot: ""Pomelo is engaged in oolong"" And two glass of spirits!

I like the sweet and sour taste, and I like the sister who is the most likely to break the waves. The second place is the cherry blossom boy's desire to escape, and the third place is now that I have ice cream.

At the beginning, the clerk will first ask the usual taste and hobbies to recommend your taste. I don't know if you like what you like to see the boss mood ~

There are also wine fine drinks and small spots in it, which is suitable for people who dare not drink!",False
很棒得第一次消費，食物感覺又好吃，味道細心安排，酒類種族繁多，隨我們心情點滴，若遇到我們有點退卻的，會趕緊拿「嘉明的秘密武器出來，我們一招畢竟，沈靜在就酒館裡❤️❤️❤️❤️❤️👍👍👍,"It ’s great for the first time, the food feels delicious, the taste is carefully arranged, and there are many alcohol ethnic groups. With our mood, if we encounter a bit of retreat, we will quickly get the“ Jiaming secret weapon. After all, our trick will be after all after all. , Shen Jing is in the tavern ❤️❤️❤️❤️❤️👍👍👍",False
燈光好氣氛佳，調酒好喝又漂亮，店員很親切會與客人聊天，非常適合有空的時候來這邊喝杯調酒,"The lights are good and the atmosphere is good, the bartender is delicious and beautiful, the clerk is very kind to chat with the guests, it is very suitable for the time when you are free",False
店內環境、燈光、氣氛很好，可以很放鬆的飲酒，店員親切，價位也很合理，值得支持。,"The environment, lights, and atmosphere in the store are very good. They can relax and drink. The clerk is kind and the price is very reasonable and worthy of support.",False
週末下班後小酌，店員很用心推薦適合的酒，店面外觀比較隱密，店內氣氛好，舒適自在，酒也好喝！,"After getting off work on the weekend, the clerk recommends suitable wines with intentions. The appearance of the store is relatively secretive. The atmosphere in the store is good, comfortable and comfortable, and the wine is delicious!",False
"新開的非常好喝價格又合理的酒吧！
樹林終於有酒吧了 但可能因為剛開所以很安靜
特色調酒都是極品！都是沒喝過的味道","Newly opened very delicious and reasonable bar!
The woods finally have a bar, but it may be quiet because it is just opened
Specialty bartending is the best!It's all the taste that has never been drank",False
非常頂！酒單上的非常入門，很適合新手，喜歡濃烈一點、豐富一點的特調也可以提出！老闆的技術跟想法非常新穎，推,"Very top!The wine list is very entry, which is very suitable for novices. You can also propose a stronger and rich special special special specialties!The boss's technology and ideas are very novel, push",False
