Original,EN,Needs Review
"桌上那杯透明液體
白天是清水
夜晚成寂寞

牆上有我喜歡的大摩跟金賓
耳邊響起頑童MJ116的歌曲
這杯咖啡讓我high翻天
喜歡這種衝突感","The cup of transparent liquid on the table
Daily is clear water
Lonely at night

There are Damo and Jinbin I like on the wall
The song of the urchin MJ116 sounds in the ear
This cup of coffee makes me high -sharing
Like this sense of conflict",False
用餐氣氛佳 餐點滿對小朋友口味 讚👍,"The meal atmosphere is good, the meal is full of the children's taste 👍",False
老闆服務超好👍🏻用餐結束後，突如其來的一場暴雨，老闆貼心的問⋯要不要玩遊戲機啊😂😂也太暖惹吧😃,"After the boss's service is super good 结 After the meal is over, a sudden rainstorm, the boss asked intimately, do you want to play the game machine?",False
雞肉漢堡 非常的好吃 麵包帶點淡淡的黑糖香跟醬料相得益彰 義大利麵有點太鹹 不過麵條口感很棒 推薦大家,"Chicken Burger is very delicious, bread with a little bit of brown sugar aroma and sauce that benefits the Italian noodles is a bit too salty, but the noodles are great. Recommend everyone",False
老闆是一位很酷的人很健談 員工都很好 環境很舒服 以後肯定常來,The boss is a cool person who is very talkative. The employees are very good and the environment is very comfortable.,False
老闆跟店員都很親民 很棒,The boss and the clerk are very close to the people,False
"餐點美味、環境乾淨衛生明亮
適合各種族群、真材實料
高檔裝潢、親民價格
非常值得推薦的店家","Meal delicious, clean and bright
Suitable for all ethnic groups, real materials
High -end decoration, affordable price
Very recommended store",False
"義大利麵很好吃！
飲料店員也會依客人喜好做調整","Italian noodles are delicious!
The beverage clerk will also adjust according to guest preferences",False
冰美式不錯，氣氛也不錯,"The ice American style is good, the atmosphere is good",False
"雞肉漢堡好好吃 環境乾淨 放鬆的好地方
咖啡印花很可愛","Chicken burger is delicious, clean and relaxed
Coffee printing is very cute",False
"沙拉也許可以參考，三井OUTLET
KUA`AINA 夏威夷漢堡的做法。","Salary may be able to refer to it, Mitai Outlet
Kua`aina's practice of Hawaii Burger.",False
熱咖啡建議用馬克杯 用玻璃杯很燙手,Hot coffee is recommended to use a glass cup with glass cups very hot,False
服務超棒 老闆人超好的👍,Serving the superb boss is super good 板,False
氣氛不錯，餐點好吃,"The atmosphere is good, the meal is delicious",False
環境很好👍,The environment is very good 👍,False
讚讚,Praise,False
"今天點了無酒精飲料三杯
蔓越莓汁：屬於較酸的口感，好喝
（冰）佳葉龍綠茶：現煮後加冰塊，非常順口解酒神器
冰拿鐵：正常
細薯條好吃","Today I ordered three cups without wine fine drinks
Corruption Berry Sprained: It belongs to a sour taste, delicious
(Ice) Jiaye Dragon Green Tea: Add ice cubes after cooking, very smooth hangover artifact
Ice Tie: Normal
Filflots are delicious",False
飲料好喝，價格合理，讚讚,"The drink is delicious, the price is reasonable, praise",False
"我和我的筆記型電腦去了很多咖啡館。作為一名作家，我一直在尋找好地方，不僅可以吃喝，還可以坐下來寫作幾個小時。作為一名教師，我相信根據各種標準進行評分。考慮到這一點，這些是我對此的看法。

食物：****（我吃了雞肉沙拉，還不錯，但是調味太多，雞肉不夠。巧克力布朗尼還不錯，但不是很好。）
飲料： ***** （我嘗試了摩卡拿鐵。好吃！）
價格： ****
提供多種選單選項：***
各種非咖啡飲料選擇：****
英文菜單？不
環境宜人/書寫舒適：****（椅子不能一直移動到桌子上，所以在筆記型電腦上工作不太方便。）
客戶服務： ****
營業時間：上午 10:00 至晚上 8:00 （每週一公休）
附加評論： 咖啡館雖小，但令人愉快。有趣的位置，就在林口老街市場旁邊。","My laptop and I went to many cafes.As a writer, I have been looking for a good place, not only can I eat and drink, but I can also sit down and write for a few hours.As a teacher, I believe the score is based on various standards.Considering this, these are my opinions on this.

Food: **** (I ate chicken salad, pretty good, but the seasoning is too much, the chicken is not enough. Chocolate Browni is not bad, but it is not very good.)
Drink: ***** (I tried Mocha latte. It was delicious!)
price: ****
Provide multiple menu options: ***
Various non -coffee drinks: ****
English menu?No
Environmental pleasant/comfortable writing: **** (The chair cannot be moved to the table, so it is not convenient to work on a laptop.)
Customer service: ****
Business hours: 10:00 am to 8:00 pm (every Monday is closed)
Additional comments: Although the cafe is small, it is pleasant.Interesting positions are next to Linkou Old Street Market.",False
