Original,EN,Positive,Negative,Neutral,Compound
朋友開了很久的店 一直沒去捧場 前陣子休假前一天突然想到就跑來了 整體來說裝潢很不錯 調酒也很好喝 可能是自己太久沒碰酒很快就微茫了但不到醉哈哈哈哈 之後會經常去 去那邊當個小招財貓🤣,"The shop that had been opened for a long time has never been to the show a while before the vacation a while before the vacation. The day before the vacation of the vacation a while before the vacation, I suddenly came to run. In terms of the decoration, the decoration is very good. Hahahaha, I will often go there as a small trick cat over there",0.046,0.017,0.937,0.4576
"這是一家⋯⋯

很新的（算吧！？）

可以打鏢的（一進門沒看到也真的是代表已經不是清醒的吧😂）（某老闆說自己不會打，啊一直贏🤷🏻‍♀️🤷🏻‍♀️🤷🏻‍♀️好喔）

可以唱歌🎤的（一坐下來老闆（？嗎）就把點歌用的平板拿來🤲）（結果前面都不點，到要關店才在那邊爆點好幾首不熟不知道在唱什麼的😂）

可以喝酒🍺的（酒單上的都很讚👍，就連酒單上沒有的都可以詢問🥴像是沒拍到的B52跟已Boom完才想到要拍的Tequila Bomb😅😅😅（完蛋這樣老闆們就知道我是誰惹）欸，我評論打這麼多可以了吧😂）

還有吃的⋯⋯
喔對⋯⋯
那個生蠔真的必點的👍👍👍
不要懷疑🤭點下去就對了😜

啊😧對吼
這是一家酒吧也是餐酒館

笑了一整晚的同行醉友
到現在還是清醒的
就打打評論一下吧

欸。對了
好像忘記
也稱讚一下
這家老闆還蠻熱情、大方的（吧！）🤣

沒有業配
就是去。覺得爽。想打評論😎","This is a family ...

Very new (forget it!?)

You can fight darts (I did n’t see it when I entered the door, it really means that it is no longer sober.) (Some boss said he would not fight, ah, always win 🤷🏻‍♀️🤷🏻‍♀️🤷🏻‍♀️ Okay)

You can sing (sit down the boss (?) As soon as you sit down (?) Put the tablet used to use the tablet) (as the result is not ordered. 😂)

You can drink （（(the wine list is all very good, even those who do n’t even have the wine list can ask 🥴 As if the B52 that has not been taken with BOOM finished the Tequila Bomb😅😅😅 (the boss is finished, the boss is the boss, the boss is the boss. You know who I am), I can comment on so much, okay?)

Also eating ...
Oh yes ...
That oyster is really necessary 真
Don’t doubt it, just click on it, right?

Ah, yelling
This is a bar and a dining tavern

The drunk friends who laughed all night
It's still sober
Just make a comment

Alas.Right
Seems to forget
Also praise
This boss is quite enthusiastic and generous (right!) 🤣

No karma
Just go.I feel cool.Want to comment 😎",0.174,0.071,0.755,0.9857
"氣氛好 開很晚
店員每個都很熱情～～～","The atmosphere is so late
Each of the clerk is very enthusiastic ~~~",0.225,0.0,0.775,0.5413
"能邊唱歌喝酒邊吃東西邊聊天
氛圍很chill，且食物和酒的味道都還不錯
空氣中瀰漫著酒香味和小姐姐們的味道
店裡的姐姐也很熱情，一來就會跟你Say hello
還會和你們推薦好喝的酒酒🍹
認識了好幾個超級有趣的小姐姐們～
酒吧裡的美女真的巨多啊～簡直不要太美滋滋😍
記得要點名「佳佳」，她真的超可愛超瘋狂🤣","Can sing while singing and drinking while chatting
The atmosphere is very chill, and the taste of food and wine is pretty good
There is the flavor of wine and the taste of the ladies and sisters in the air
The sister in the shop is also very enthusiastic, and it will be with you Say Hello
I will also recommend delicious wine with you
I met several super interesting young ladies and sisters ~
The beauty in the bar is really huge ~ Don't be too beautiful 😍
Remember to name ""Jiajia"", she is really cute and crazy",0.27,0.045,0.685,0.9822
"店員服務好很好聊天
酒也很好喝
會想在回訪的地方！","The clerk service is good to chat
Wine is also delicious
I want to visit the place of visit!",0.339,0.0,0.661,0.8016
"哇賽，酒點半有一個超級天才調酒師，只要和她說妳的心情是什麼，馬上幫你調出尊爵快樂傷心難過的情緒調酒。感謝這麼厲害的天才調酒師，而且長得超正。老闆小葉也很nice, 狂推！一定要來","Wow, there is a super genius bartender in half of the wine. As long as you are in your mood with her, help you to transfer the happy and sad emotional bartending.Thanks to such a powerful genius bartender, and it is super positive.The owner Xiaoye is also very nice, push it!Must come",0.359,0.043,0.598,0.9708
"老闆人很好笑🤣🤣🤣
是個很健談風趣的男倫～～～

吧台的小姊姊也超耐斯❤️
總之喝酒來這邊就對了 凹嗚～","The boss is very funny 很
It's a very talkative male Lun ~~~

The little sister of the bar is also superb ❤️
In short, drinking here is right ~",0.201,0.0,0.799,0.807
"氣氛很棒 ~
服務真的很好 店員都很好相處
下班真的很適合來這裡放鬆~","The atmosphere is great ~
The service is really good, the clerk is very good to get along well
It's really suitable to come here to relax from get off work ~",0.364,0.0,0.636,0.9381
店裡的Lisa在這三天活動穿的都超可愛的！,The LISA in the shop is super cute in these three days!,0.418,0.0,0.582,0.8016
隔了五個月再來台北 大鴨哥竟然還記得我 呱呱呱 依舊是值得推薦 有興趣可以聽大鴨哥唱 LET IT GO 她超強的!!!,"After five months, I came to Taipei Duck Brother. I still remember that I am still worth recommending.",0.101,0.0,0.899,0.2263
