Original,EN
"吧台戴眼鏡的帥哥服務很好 酒很好喝
我喜歡「蜂蜜檸檬」特調 一杯就會有微醺感
非常專業 是個很有質感的店 不會很吵
一個人享受飲酒時光😌
帶朋友去他們也很喜歡整體的環境氛圍
值得一去再去的地方","The handsome guy service wearing glasses is very good and delicious
I like ""Honey Lemon"" for a special cup and will feel slightly
Very professional, a very textured shop will not be very noisy
Enjoy drinking time alone 😌
Take friends to them also like the overall environment atmosphere very much
It is worth going to go again"
住洛基大飯店及附近用完餐的深夜好去處，調酒好喝，免費撞球，音樂氣氛，整體CP值高,"Living in Lotu Hotel and the late night of meals nearby, bartending and delicious, free to hit the ball, music atmosphere, the overall CP value is high"
調酒都很好喝 紅豆牛奶、楊枝甘露和花生的shot真的很特別！ 很適合來嚐鮮,"The bartender is very delicious. The Shot of red bean milk, Yangzhi glyphs and peanuts is really special!Very suitable to try something new"
"酒很順口、裝修非常有巧思
因為是跟朋友吃完去喝的，所以沒有喝+吃太多
下次有機會的話再來二訪，好好品味其他的酒品🍹🍸","The wine is smooth and the decoration is very ingenious
Because I finished drinking with my friends, I didn’t drink+eat too much
If you have a chance next time, come to the second visit and taste other wines."
"酒單沒有的，也可以多問問調酒師喔👍
推薦迷幻薰衣草👍好喝😋

當天也點了紅豆牛奶shot+ 鬥牛士調酒，都不錯~~","If there is no wine list, you can also ask more alcoholics.
Recommended psychedelic lavender 😋 delicious 😋

On the same day, I also ordered Red Bean Milk SHOT+ Bullodiam. It was good ~~"
上次和一群朋友撞球打得蠻開心，飛鏢射得也開心 ~ 但酒水的味道，普遍覺得普普，幾個人反應味道/酒感偏淡。,"The last time I hit the ball with a group of friends, I was very happy, and the darts shot happily ~ But the taste of drinks generally feels Pop, and several people responded to the taste/lighter."
酒的種類選擇不多，但可以特調，氣氛還算不錯，不會太吵可以久坐聊天！,"There are not many types of wine, but it can be special, the atmosphere is pretty good, it will not be too noisy to sit and chat for a long time!"
"環境優美～酒超好喝～工作人員人都超nice
大推❤️❤️❤️","Beautiful environment ~ wine is super delicious ~ staff members are super nice
Big push ❤️❤️️️ ️"
如果想要一個輕鬆喝酒的地方，這裡是個好選擇。有許多招牌調酒，而且還能客製化，bartender 都能當算命師了我看。追求假掰又想安靜聊天的人，這裡可能不適合你，因為這裡就是隨性又熱鬧呀～,"If you want a place to drink easily, this is a good choice.There are many signature sake, and they can also be customized. Bartender can do it as a ormal teacher.Those who pursue fake and want to chat quietly may not be suitable for you here, because this is casual and lively ~"
"一樓吧台和地下室，地下室有撞球檯和飛鏢機，但飛鏢機看起來要付費完
店裡低消500加一成，酒還行但喝不出特色","The bar and basement on the first floor, the basement has a hitting table and a dart machine, but the dart machine seems to be paid
The store lows a low 500 plus 10 %, the wine is OK, but it can not drink characteristics"
當天晚上點了5-6種酒都不雷，可以請店員推薦特色調酒，蠻驚艷的。薯條也好吃👍,"It was not thunderous when I ordered 5-6 kinds of wine that night. You can ask the clerk to recommend specialty alcohol, which is amazing.French fries are so delicious 也 也 也 也 也 也"
"昨天幫朋友慶生第一次來
覺得酒不好喝還可以退酒
bartender人超好哈哈
因為我們是一群瘋子
在走道大跳熱舞 還唱歌
整個當自己家廚房在鬧
還認識了一堆人 超好玩 發瘋
喝到關店都不想走
給100顆星！！！","Yesterday, I came to celebrate my birthday for the first time
I feel that the wine is not delicious and you can refund the wine
Bartender is super good haha
Because we are a group of lunatic
Dance in the aisle dance and sing and sing
The whole kitchen is in trouble
I also met a bunch of people super fun and crazy
I don't want to leave when I drink a closed shop
Give 100 stars!IntersectionIntersection"
"無法互動！以為可以與店家互動，一般酒吧都會互動！結果問兩次也無法，看來好動的我真無法文靜酒吧❤️
餐點「柴」就算了，10%服務費不是付不起，只是沒有這必要！
或許是挑客人，也許個人長相太猥褻無法得到此10%服務的榮耀！但是，我還是依然支付10%服務費及餐點、酒水錢！甚至無少給！此待遇如此不平等😩","Unable to interact!I thought I could interact with the store, and I would interact with the bar!As a result, I could n’t ask it twice.
Even if the meal is ""firewood"", the 10%service fee is not affordable, but there is no need!
Perhaps it is to pick guests, maybe the personal appearance is too obscene to get the glory of this 10%service!However, I still pay 10%of service fees, meals, and wine!No less!This treatment is so unequal 如"
每個店員人都很nice，回到家的感覺，燈光美氣氛佳，酒也都很棒，homesweethome，大推！,"Every clerk is very nice. It feels like returning home. The lights are beautiful and the wine is great. Homesweethome, push!"
"調酒好喝 也可以請 Bartender 特調～（更好喝🤣
店裡有飛鏢機可以玩
整體氣氛很棒！
剛好今天店裡人較少 允許我們慶生胡鬧😂
推推推🙌🏻🙌🏻","You can also ask Bartender for special adjustment ~ (better 🤣 🤣 🤣
There is a dart machine in the store to play
The overall atmosphere is great!
Just today, there are fewer people in the store allowing us to celebrate the birth of our lives.
Push"
"前幾天和朋友聚會，路過這裡本來只想點杯shot就走，但氣氛太好了就留下了。bartender很專業！點的每杯酒都很有層次

第一次喝到加香腸的調酒，超級酷！重點是不違和！而且喝完整個胃口都打開了哈哈","A few days ago, I had a party with friends. I just wanted to leave here, but I left it, but the atmosphere was too good.Bartender is very professional!Each glass of wine is very layered

The first time I drank the bartender with sausages, super cool!The point is not to violate!And I opened my appetite for a full appetite haha"
"環境超級吵 講話都要用喊的
音樂超大聲 根本聽不到朋友在講話
我覺得酒吧本來就不用很安靜
但這件吵到我跟朋友聊天幾乎要用喊的
完全不會想再來
如果可以給0 我真的會給0

薯條好吃 就還不錯
就是非常吵 想要舒壓聊天 不適合
這邊適合大吼大叫聊天","The environment is super noisy, you must use shouting
The music is so loud that I can't hear friends at all
I don't think it's quiet
But this noisy is almost shouting to chat with friends
I won't want to come again
If you can give 0, I will really give 0

French fries are delicious and pretty good
It's very noisy to relax and chat, it's not suitable for chatting
This is suitable for yelling and chatting"
服務好酒也好喝，調酒師很nice請喝香腸shot，讚👍,"The service is good or delicious, the bartender is very nice, please drink sausage shot, praise 👍"
"薯條與調酒同時點，漏了鹹食，酒水先上。
後來來的客人都上了鹹食
，我們連續跟三個服務員反應了，才上。

Tequila Shot最常見的應該就是shot鹽口杯，喝的時候連鹽巴喝下去，最後再吸一下檸檬對吧？雖然柑橘類也是選擇之一，但明明有檸檬，卻沒給檸檬也沒有鹽…
蜂蜜檸檬的調酒不順，檸檬片只有一片，還只給頭…","Order the fries and bartender at the same time, leak salty food, and the drinks are first.
The guests who came later were all salty food
We reacted with three waiters in a row before going.

The most common thing for Tequila Shot is the SHOT Salt Cup. Drink even salt when you drink, and finally suck the lemon, right?Although citrus is also one of the choices, it is obviously lemon, but it is not given lemon or salt ...
The alcohol of honey lemon is not smooth. There is only one piece of lemon slices, and only the head ..."
奶洗黃瓜芥末的shot🤩 很有層次 好好喝 讚讚！希望可以常駐上酒單❤️❤️❤️,Milk washing cucumber mustard 🤩 is very layered and praised!Hope you can stay in the wine list ❤️❤️❤️
"八天得幽默好聊
還有飛鏢機和免費撞球檯
不怕無聊

酒單多經典調酒
或和八天得說喜歡的口感濃度做特調更讚
店裡提供炸物或可點隔壁熱炒店的熱炒","It's humorous in eight days
There are dart machines and free hitting tables
Not afraid of boring

Disciplinary bartending
Or you have to talk about the taste concentration that you like for eight days.
The store offers fried fried fried shops in the hot shop next to the store"
"VIA24 Lounge Bar很適合下班後的放鬆,和續攤的小酌,老闆May是很低調謙虛的調酒師,很多人不知道她的調酒師徒弟出書還請她寫序,店裡最出名的是調酒產品,其中""寶貝醉三天""就是她最遠近馳名的作品,想要快Hi可以一試;一樓可以坐吧台聊天,樓下可以打撞球和射飛鏢,有時候還會辦現場活動,live band,復古趴,Dj舞曲,餐酒會...,附上ㄧ張照片是隱藏版本的調酒,可以請May調給您喝。","VIA24 Lounge Bar is very suitable for relaxation after work, and the continuing stalls. The boss May is a very low -key and modest bartender. It is a bartending product. Among them, ""Baby Drunk for Three Days"" is her farthest and well -known work. If you want to get Hi, you can try it for a while; you can take a bar on the first floor. You can hit the ball and shoot darts downstairs. Live activities, live band, retro party, dj dance music, meal wine party ..., attached to the photo is a hidden version of the bartending, please ask me to drink it."
環境還不錯，主要是服務人員很熱情和專業；調酒方面也是很精緻而且有想法！,"The environment is not bad, mainly because the service staff is very enthusiastic and professional; the bartending is also exquisite and thoughtful!"
如果你喜歡裝飾很花俏卻難喝的酒這裡無法滿足你需求。這裡的酒份量足、酒精濃，又好喝到沒朋友。每次都是清醒的來，斷片的走。,"If you like to decorate very fancy but unbelievable wines, you can't meet your needs.The alcohol here is sufficient, the alcohol is strong, and it is delicious than no friends.Every time I was sober, the film was broken."
來很多年的好Bar名單💁‍♀️氣氛輕鬆，吧台專業，調酒好喝，吧台弟弟顏值擔當，姐姐們趕緊來🎉🎉🎉🎉 …,"The good BAR list for many years 好️ The atmosphere is relaxed, the bar is professional, the bartender is delicious, the brothers of the bar platform are worthy, my sisters hurry up ..."
"一大群朋友吃完飯沒地方去
Google 隨意找的酒吧
環境乾淨舒適 調酒超級好喝
音樂很Chill 玩的很開心

我覺得很熱鬧又不會太吵 很剛好

雞塊薯條好好吃
很適合舒壓聊天
很難得酒吧有撞球桌可以玩
下次還要帶朋友來玩","There is no place for a large group of friends to go after eating
The bar that Google finds randomly
The environment is clean and comfortable, and alcohol is super delicious
The music is very happy to play

I think it's lively but not too noisy, it's just right

Chicken fries are delicious
Very suitable for Shu pressure chat
It's hard to play at the ball to play at the ball
I will bring friends to play next time"
酒超難喝，點了一杯蒂芬尼藍，優格配四種酒，喝起來像胃食道逆流，沒有人喝得下去，反應口味不合老闆娘問了三次*所以呢*，才讓我們換，其他人點的也都不好喝，連果汁都加超多水稀釋，不推,"The wine was so difficult to drink. I ordered a glass of Tiffany, with four kinds of wine, and drinking like a gastroesophageal current. No one can drink it. The reaction taste does not fit the boss three times. Others ordered the order, and even the juice was diluted by superior water, so I don’t push it."
