Original,EN,Needs Review
"終於不用往台北跑，樹林人有福啦！就在樹林火車站後站中山路一段這個出口，沿著軌道旁的後站街走，不到三分鐘就到了。地下鐵路Railroad Bistro酒吧，酗酒互助會樹林分部，門口很冷靜，一打開門猶如喝酒人士的世外桃源。從門口完全看不出來裡面這麼美！

佈置的超有氣氛，這個酒吧天堂不分享枉為樹林人。

嗜生蠔如痴，如果你跟我一樣，很喜歡喝酒搭配生蠔的話，一定要點一顆（或是一盤）。胖貓咪美食家認證無雷！這裡的生蠔新鮮大顆又好吃。","Finally, you don't have to run to Taipei, the woods are blessed!At the exit of Zhongshan Road, the back station of Shulin Railway Station, walk along the back street next to the orbit, and it will arrive in less than three minutes.The underground railway RailRoad Bistro bar, alcoholism and mutual assistance to the wood branch, the door is calm, and when the door opens the door, it is like a paradise of a drink.I can't see it from the door so beautiful!

The layout is super atmosphere. This bar heaven does not share as the woods.

If you are idiot, if you like to drink and match oysters, you must order one (or one plate).Fat cat gourmet certification!The oysters here are fresh and delicious.",False
"氣氛很棒的酒吧，價格也不算太貴
炸物好像只有一個氣炸鍋，所以要一點時間
熟客很多，氣氛很棒😀","Bar with great atmosphere, the price is not too expensive
The fried object seems to have only one air fryer, so it takes a little time
There are a lot of familiar customers, and the atmosphere is great 气",False
"夜晚小酌幾杯，小睿跟宗比真的很好聊天，特調也都調的很對味，很對胃口，整個氣氛也很放鬆，壓力都非霄雲外的感覺☺️
住在樹林那麼久才發現原來樹林也是有好喝又舒適的小酒吧，還能夠一起抱怨宣洩壓力，感覺以後會變常客了🤣 …","A few cups at night, Xiao Rui and Zong Bi are really good to chat, the special adjustment is also very good -looking, very good at appetite, the whole atmosphere is also very relaxed, the pressure is not the feeling of the clouds ☺️
I lived in the woods for so long that I found that the forest was also a delicious and comfortable bars. I could complain about the vent of the pressure together. I feel that I will become frequent in the future ...",False
"樹林火車站出來後步行約兩分鐘抵達
因為外表實在太不顯眼了所以不仔細看很容易直接路過
這是一家可以吸菸的酒吧 若是你不抽煙這裡非常不適合你來
但你如果有抽菸或是對煙味比較不排斥這裡會是一個很不錯的選擇

這次跟外國朋友一起來喝的很盡興
內部座位不多 酒類的價格真的算便宜
一盤shot $400 六杯 調酒與純飲價格落在 $200～600之間
除了調酒之外也有賣一些食物可以下酒

菜單上還有諸多酷炫商品 像是
5塊錢一個的保險套
全套的防身盔甲$12000也可以分部位分開選購
若是有處理屍體需求甚至可以購買環保屍袋$400

吧台的調酒師很健談開朗 坐吧台基本上也不用怕太尷尬
該有的調酒跟純飲都有
非常推薦他們的 B52 用吸管喝會有不同層次
而且因為有放生命之水所以酒精開始走的速度很快

這是一次非常良好的飲酒體驗
若是你喜歡喝酒 且可以接受菸味
這會是一個適合你的好地方","Walk for about two minutes to arrive after coming out
Because the appearance is really not conspicuous, it is easy to pass by without looking at it carefully.
This is a bar that can smoke. If you don't smoke, it's not suitable for you.
But if you have smoking or it is less exclusive to the smell of smoke, it will be a very good choice.

This time I came to drink with foreign friends very much
The price of not many internal seats is really cheap
One plate of SHOT $ 400 Six cups of bartending and pure drinking price falls between $ 200 and 600
In addition to bartending, there are also some foods to get wine

There are still many cool products on the menu that like
5 yuan a condom
A full set of defense armor $ 12000 can also be purchased separately
If you have the needs of the corpse, you can even buy an environmentally friendly corpse bag $ 400

The bartender in the bar is very talkative and open to the bar.
The bartending and pure drinks that should be bartender
It is highly recommended that their B52 will have different levels of drinking with straws
And because of the water of life, alcohol began to go fast

This is a very good drinking experience
If you like to drink and accept the smell of smoke
This will be a good place that suits you",False
"小睿跟K都很好聊，樹林有這個優質酒吧可以喝酒聊天真是太好了💗

謝謝K的戀愛酒特調🤣🤣 …","Xiao Rui and K are very good to talk about. It is really great to have this high -quality bar to drink and chat with this high -quality bar.

Thank you K's love wine 🤣🤣 🤣🤣 ...",False
"店員很熱情，會主動跟你聊天
跟朋友一樣！！
氛圍很好，這才是酒吧～
很開心樹林能有這種水準的酒吧
下班有好去處了 推推","The clerk is very enthusiastic and will take the initiative to chat with you
Like a friend!Intersection
The atmosphere is very good, this is the bar ~
Very happy forest can have such a standard bar
There is a good place to push off from get off work",False
很棒的酒吧、就是喜歡這種話家常的感覺、很一個人去喝酒、不知不覺就喝一堆了,"A great bar, I just like this kind of common sense of home, drink alone, drink a bunch without knowing it.",False
"裡面的氛圍超讚🤩🤩
超級喜歡自由自在可以開心喝酒的感覺
是還有機會一定會再訪的酒吧(⁠｡⁠♡⁠‿⁠♡⁠｡⁠) …","The atmosphere inside is superb 氛
I really like free and free to drink and drink happily
Is there a chance to visit again (⁠｡⁠♡⁠‿⁠♡⁠｡⁠) ...",False
老闆對客人很好 第一次跟女友來還有招待情侶酒,The boss is very good for the guests for the first time with his girlfriend and entertaining couple wine,False
"酒不是很好喝.. 室內可抽菸
討厭煙味的不要來","Wine is not very delicious ..
Don't come if you hate the smell of smoke",False
樹林終於也有不輸給台北市的酒吧，實在是太好了，感動得痛哭流涕🥹 調酒都很好喝，氣氛也佳，而且價錢甜甜，讓人忍不住就點了好幾杯。下酒小點也很好吃。美中不足是比較友善吸菸者。 …,"The woods are finally not lost to the bars of Taipei City. It is really good. I was so moved to cry and shed bartending. The atmosphere was good, and the price was sweet. It couldn't help but order several cups.The little wine is also delicious.The shortcomings are more friendly smokers.Mowing",False
"喝酒初體驗🤣
第一次覺得酒不錯喝
有點愉悅的感覺(๑• . •๑) …","Experience at the beginning of drinking 验
I think the wine is good for the first time
A little pleasant feeling (• •. • ๑) ...",False
倉鼠超活潑，樹林放鬆好地方～推推👍🏻👍🏻 …,"The hamster is super lively, the woods are relaxed, and the push is pushed ...",False
還不錯，樹林夜晚少有的淨土，跟其他人聊得很開心。,"Not bad, the rare pure land at night in the woods, chatting with others very well.",False
喜歡這種低調又讚的酒吧，而且球球超級親切（＾w＾）,"Like this low -key and praise bar, and the ball is super kind (＾ W ＾)",False
超級無敵漂亮 調酒又好喝 店員服務很好~,"Super invincible, beautiful bartending and delicious shopkeeper service ~",False
"住在樹林這麼久
完全沒想到樹林有這麼棒的酒吧
真的是超級喜歡❤️
小睿的特調真的超級好喝的啦😍
宗比超好聊超好相處的😍

超級推薦👍👍👍","Living in the woods for so long
I didn’t expect that there was such a great bar in the wooden forest
I really like ❤️ ️ ️
Xiao Rui's special tone is really super delicious 😍 😍 😍 😍 😍 😍 😍
Zongbi is good and talks about super good 😍 😍 😍

Super recommendation 👍👍👍",False
生蠔🦪真鮮，氛圍又好，老闆親力親為。推！ …,The oysters are really fresh and the atmosphere is good.push!Mowing,False
"價格漂亮
還能爽唱
略可惜的是這邊適合抽煙的人來，討厭煙味的很難在此久待","Pretty
Can sing
It's a pity that people who are suitable for smoking here are here.",False
