Original,EN,Needs Review,Positive,Negative,Neutral,Compound
"搬家前跟女友來約會這邊的氛圍還是一樣好
🥰🥰🥰 …","The atmosphere of date with my girlfriend before moving is still the same
🥰🥰🥰 🥰🥰🥰 ...",False,0.578,0.0,0.422,0.9927
調酒師超會 女生喜歡有點濃但又妹的酒 一定要去 老美式風格 很適合小酌 雞翅必點 沒吃過這麼好吃的雞翅,"The bartender is super, the girl likes a bit strong, but the girl must go to the old American style, which is suitable for chicken wings and never eaten such delicious chicken wings",False,0.165,0.101,0.734,0.1288
"劍潭的在地好酒吧，喝完剛好直接醉回家！
離捷運站步行1分鐘，不住劍潭也很方便回家啊
還有漂亮跟帥氣的bartender，調超好喝的調酒
喜歡聽歌的有駐唱可以一起唱起來
喜歡經典美劇的也可以邊喝邊看Friends
喜歡飛鏢這裡也能射
有運動賽事也都會跟著轉播
這麼一百分的酒吧還不來嗎","Jiantan's good bar, just drunk home after drinking!
It ’s very convenient to go home for 1 minute to walk from the MRT station.
There are also beautiful and handsome Bartender, super delicious bartending
Those who like to listen to songs can sing together
Those who like classic American dramas can also watch Friends while drinking
You can shoot here if you like darts
There are sports events, and they will follow the broadcast
Isn't such a 1 -percent bar not come yet?",False,0.271,0.046,0.684,0.9741
調酒都超好喝，氣氛超棒，大推!!!!!,"The bartending is super delicious, the atmosphere is great, push !!!!!",False,0.617,0.0,0.383,0.9309
非常細膩好入喉的調酒，時間許可Bartender 還能客製。偶有現場精彩表演，請追蹤店家IG新資訊。,"Very delicate and well -banded into the throat, and the time license Bartender can also customize.Occasionally, there are wonderful performances on the spot, please follow the new information of the store.",False,0.267,0.0,0.733,0.8341
調酒好喝，氣氛很讚 適合帶朋友或是約會,"The bartending is delicious, the atmosphere is very good for bringing friends or dating",False,0.476,0.0,0.524,0.8748
氣氛很好，餐點很好吃，聚會好地方🫶🏾,"The atmosphere is very good, the meal is delicious, the party is good,",False,0.581,0.0,0.419,0.9099
"朋友推薦過來的 😆
放鬆的環境 服務友善 調酒很好喝🥹🥹🥹","The friend recommended by my friend
Relax environmental service Friends are good for bartending",False,0.681,0.0,0.319,0.9442
老闆人很nice 這裡很適合朋友喝一杯 還有飛鏢玩☺️,The boss is very nice here is very suitable for friends to drink a glass and darts to play ☺️,False,0.411,0.0,0.589,0.8969
"有沙發、酒好喝、有輕食
還有飛鏢機可以玩
聊天、玩樂的好去處👍","There are sofas, wine delicious, light food
There is also a dart machine to play
Chat, play a good place to play",False,0.448,0.0,0.552,0.9153
