Original,EN,Positive,Negative,Neutral,Compound
氣氛很好 酒很濃  櫃檯很嗨,"The atmosphere is very good, the wine is strong, the counter is very hi",0.351,0.0,0.649,0.7574
氣氛很好的日式酒吧👌 讓人感到放鬆,Japanese -style bars with good atmosphere 的 make people feel relaxed,0.404,0.0,0.596,0.7269
"老闆娘還有bartender都很親切，沒喝過小米酒一次三排氣氛輕鬆讓人不會有壓力。
下次台北還是選擇這裡","The boss and Bartender are very kind. I have never drank millet wine in three rows of atmosphere at a time, which makes people feel stressful.
Next time Taipei still choose here",0.1,0.089,0.811,0.101
"熱情，喜歡安靜的環境
該來試一下","Passion, like a quiet environment
Try it",0.524,0.0,0.476,0.6705
安靜.我覺的不要影射太多.別的客人沒怎麼想.可以依照個人需求去選擇自己想要的環境！所以我覺得是一個很不錯喝酒放鬆的地方！不欲置評！共勉之,Quiet. I don't think you should take too much. Other guests don't think much. You can choose the environment you want according to personal needs!So I think it's a very good place to drink and relax!Don't comment!Gang,0.133,0.0,0.867,0.6563
"非常高品質 高風味 個人雅座
很有情調
而且兩位原住民老闆娘 熱情 友善 而且開朗活潑
讓客人賓至如歸
價位樸實 難得在一級戰區林森北 可以獨樹一格
有時間一定常來

一個人來也很棒！！ 超級棒 可以一個人的喝酒","Very high quality, high -flavored personal elegant seat
Very emotional
And the two Aboriginal bosses are enthusiastic, friendly, and cheerful
Let the guests come home
The price is simple and rare to be unique in Linsenbei, a first -class theater
I have to come often when I have time

It's great to come alone!IntersectionSuper stick can drink alone",0.267,0.028,0.706,0.9537
2023/12/01 正好Amis 週年慶，店員們都穿著原住民民宿服裝，超讚,2023/12/01 It happens to be AMIS's anniversary.,0.0,0.0,1.0,0.0
"燈光暗，氣氛吵，不適合喜歡安靜喝酒的人
價格不實惠，吃的部分還行，調酒超難喝^_^","The lights are dark, the atmosphere is noisy, it is not suitable for people who like to drink quietly
The price is unusual, the part of the food is okay, the bartending is very difficult to drink^_^",0.105,0.107,0.788,-0.024
非常適合好友小酌,Very suitable for friends to drink,0.402,0.0,0.598,0.5209
"環境非常好 闆娘熱情 氣氛很開心
值得一去在去 而且禮拜天有營業！","The environment is very good, Ban Niang's enthusiastic atmosphere is very happy
It is worth going to go and open on the day!",0.365,0.113,0.522,0.8271
很適合聊天的地方，因為都是老歌或是原住民歌曲，低消差不多是兩杯酒的價格,"It is very suitable for chatting, because it is all old songs or aboriginal songs, which are almost the price of two glasses of wine.",0.0,0.0,1.0,0.0
店裡氣氛不錯，來自阿美族的漂亮老闆娘相當熱情，喝紅酒還有提供起司搭配，相當不錯。,"The atmosphere in the store is good. The beautiful boss from the Amei people is quite enthusiastic. Drinking red wine also provides cheese matching, which is quite good.",0.36,0.0,0.64,0.9258
燈光美氣氛佳 是個安靜喝酒放鬆約會的好地方 😄 …,"The beautiful atmosphere is a good place to drink quietly, relax and date, 😄 ...",0.521,0.0,0.479,0.9349
老闆娘非常親切，放著原住民好聽的音樂，下班小酌好去處,"The boss is very kind, putting the nice music of the aboriginal people, and a good place to drink after get off work",0.32,0.0,0.68,0.8553
好喝！老闆命又親切👍,Special!The boss is died and kind 又,0.277,0.317,0.407,-0.126
很嗨 現場嗨到有人脫衣服 哈茲咖系,"Very hi at the scene, hi to someone to undress the Hazca Department",0.0,0.0,1.0,0.0
回到家鄉的感覺,The feeling of returning to my hometown,0.2,0.0,0.8,0.128
一個可以輕鬆喝酒交朋友的園地,A garden that can easily drink and make friends,0.44,0.0,0.56,0.6705
燈光美，氣氛佳，店員們都很熱情招呼客人,The lights are beautiful and the atmosphere is good.,0.493,0.0,0.507,0.7783
"便宜 服務好！

絕對是放鬆的地方","Good service!

Absolutely relaxed place",0.69,0.0,0.31,0.7707
男調酒師超帥,Male winemaker super handsome,0.78,0.0,0.22,0.7964
氣氛好，好放鬆的地方,"The atmosphere is good, so relaxed place",0.584,0.0,0.416,0.7915
很舒服放鬆的地方,Very comfortable and relaxed place,0.702,0.0,0.298,0.7939
愛死了,Love to death,0.462,0.429,0.11,0.0772
"工作人員的個性和服務都很棒！
我會說日語，這是一個非常舒適的空間。

工作人員會說流利的日語，帶給您愉快舒適的時光。
如果您住在台灣，我強烈推薦您來這個酒吧！","The staff's personality and service are great!
I can speak Japanese, this is a very comfortable space.

The staff will say fluent Japanese, bringing you a pleasant and comfortable time.
If you live in Taiwan, I strongly recommend you to come to this bar!",0.339,0.0,0.661,0.9611
酒很好喝 Gaga超漂亮喔🥰🥰,"The wine is very delicious, Gaga is super beautiful 🥰🥰",0.687,0.0,0.313,0.9806
我聽得懂日語。這是一家時尚的酒吧。,I can understand Japanese.This is a fashionable bar.,0.0,0.0,1.0,0.0
"它位於後樂公園南邊的一條小巷裡。
您可以享受安靜、平靜的時光。","It is located in a alley south of Houle Park.
You can enjoy quiet and calm time.",0.268,0.0,0.732,0.6705
是一家很適合放鬆心情的店。,It is a shop that is very suitable for relaxation.,0.289,0.0,0.711,0.5667
平靜的氣氛,Calm atmosphere,0.697,0.0,0.303,0.3182
唔,Do not,0.0,0.0,1.0,0.0
