Original,EN,Needs Review,Positive,Negative,Neutral,Compound
整體環境很不錯，我也常在這裡練鼓，老闆人非常好👍👍 …,整體環境很不錯，我也常在這裡練鼓，老闆人非常好👍👍 …,True,0.0,0.0,1.0,0.0
掉菸🤟場地滿不錯的～音響燈光效果都很棒 …,掉菸🤟場地滿不錯的～音響燈光效果都很棒 …,True,0.0,0.0,1.0,0.0
"2023/12/30 我那念高工的小孩學校社團，跟另一家高商社團在這裡聯合成果發表。

這場地雖然小小的，但小孩說他終於不用摀住耳朵唱歌很是開心，再加上也有朋友對此評價很好，所以決定去欣賞一下。
果然，整體感很不錯，色調比一般 live house 明亮，動線也簡單明確。音控師其中一位是女生，蠻罕見的。🥰

接下來，我想針對與場地無關的狀況表達一下感想...
最不能接受的是，這些玩團的高中生裡，有好幾位老是把髒話掛在嘴上（男女都有），就連在台上對著麥克風時也會...
而本來就很精簡的室內空間，被一些學生們的琴袋與個人物品無章地散亂，能稍做休息的地方也都被霸占了...
Hey~ 玩音樂可以耍帥、有個性，但也需要有格調、氣質與禮貌！
😎 請珍惜好場地，也珍惜青春！","2023/12/30 我那念高工的小孩學校社團，跟另一家高商社團在這裡聯合成果發表。

這場地雖然小小的，但小孩說他終於不用摀住耳朵唱歌很是開心，再加上也有朋友對此評價很好，所以決定去欣賞一下。
果然，整體感很不錯，色調比一般 live house 明亮，動線也簡單明確。音控師其中一位是女生，蠻罕見的。🥰

接下來，我想針對與場地無關的狀況表達一下感想...
最不能接受的是，這些玩團的高中生裡，有好幾位老是把髒話掛在嘴上（男女都有），就連在台上對著麥克風時也會...
而本來就很精簡的室內空間，被一些學生們的琴袋與個人物品無章地散亂，能稍做休息的地方也都被霸占了...
Hey~ 玩音樂可以耍帥、有個性，但也需要有格調、氣質與禮貌！
😎 請珍惜好場地，也珍惜青春！",True,0.352,0.0,0.648,0.8834
櫃台姊姊的服務很好，練團室的鼓組也很不錯，展演廳的鼓組每個鼓鈸的位置可能還需要做一點調整，pa老師很用心，燈光老師燈光做的很有品質，廁所很乾淨後台也很乾淨整潔。,櫃台姊姊的服務很好，練團室的鼓組也很不錯，展演廳的鼓組每個鼓鈸的位置可能還需要做一點調整，pa老師很用心，燈光老師燈光做的很有品質，廁所很乾淨後台也很乾淨整潔。,True,0.0,0.0,1.0,0.0
"冷氣很涼
藝人表演時燈光和音響都不錯
廁所好像只有兩個…
那天排隊上完廁所進場有一點延遲入場
建議大家開演前留意提早如廁！","冷氣很涼
藝人表演時燈光和音響都不錯
廁所好像只有兩個…
那天排隊上完廁所進場有一點延遲入場
建議大家開演前留意提早如廁！",True,0.0,0.0,1.0,0.0
被安排在角落，視線有遮擋，主唱移動到某個角度就會被喀到,被安排在角落，視線有遮擋，主唱移動到某個角度就會被喀到,True,0.0,0.0,1.0,0.0
照片不確定是不是真的表演很多次從來沒用過那麼大的場 但場地設備齊全真的很好的一個表演場,照片不確定是不是真的表演很多次從來沒用過那麼大的場 但場地設備齊全真的很好的一個表演場,True,0.0,0.0,1.0,0.0
很好ㄉ表演場地！冷氣很涼 還有休息室 燈光超有氛圍 PA老師很專業 都很棒！！,很好ㄉ表演場地！冷氣很涼 還有休息室 燈光超有氛圍 PA老師很專業 都很棒！！,True,0.0,0.0,1.0,0.0
"stage 老師很親切！
還有可愛的喜歡ずとまよ的可愛姊姊！","stage 老師很親切！
還有可愛的喜歡ずとまよ的可愛姊姊！",True,0.0,0.0,1.0,0.0
在B1，有付費寄物箱，最近廁所壞了只剩下一間。旁邊就是全聯，等入場的時候也可以進去晃晃。,在B1，有付費寄物箱，最近廁所壞了只剩下一間。旁邊就是全聯，等入場的時候也可以進去晃晃。,True,0.0,0.0,1.0,0.0
不錯的展演空間及音樂教室，地理位置也很方便,不錯的展演空間及音樂教室，地理位置也很方便,True,0.0,0.0,1.0,0.0
環境氛圍佳燈光佳音響效果水準上，收費合理,環境氛圍佳燈光佳音響效果水準上，收費合理,True,0.0,0.0,1.0,0.0
表演場地超讚！PA老師非常專業~音場很好(｡’▽’｡)♡,表演場地超讚！PA老師非常專業~音場很好(｡’▽’｡)♡,True,0.0,0.0,1.0,0.0
很棒的展演空間！地下樂團與獨立音樂的搖籃,很棒的展演空間！地下樂團與獨立音樂的搖籃,True,0.0,0.0,1.0,0.0
"場地不錯
有休息室 好評👍
玩得很開心 …","場地不錯
有休息室 好評👍
玩得很開心 …",True,0.0,0.0,1.0,0.0
熱心與公益單位合作，提供細緻的介紹與服務，讓體驗的失學青少年重新找到人生的目標。,熱心與公益單位合作，提供細緻的介紹與服務，讓體驗的失學青少年重新找到人生的目標。,True,0.0,0.0,1.0,0.0
有態度的音樂人，充滿音浪的場域！,有態度的音樂人，充滿音浪的場域！,True,0.0,0.0,1.0,0.0
很棒的音樂環境。JAZZ Day,很棒的音樂環境。JAZZ Day,True,0.0,0.0,1.0,0.0
"雖然場地不大但很有氛圍 蠻有趣的
適合喜歡較熱鬧的人的音樂場地！！","雖然場地不大但很有氛圍 蠻有趣的
適合喜歡較熱鬧的人的音樂場地！！",True,0.0,0.0,1.0,0.0
這種在地下室、只有一個往上出口的場地，不能容納太多人，消防也要格外注意.希望業者持續注意安全，每個去的小朋友都是家長的寶貝。,這種在地下室、只有一個往上出口的場地，不能容納太多人，消防也要格外注意.希望業者持續注意安全，每個去的小朋友都是家長的寶貝。,True,0.0,0.0,1.0,0.0
請問有販賣松露薯條嗎？好想邊看表演邊吃松露薯條，松露薯條是我最喜歡的食物,請問有販賣松露薯條嗎？好想邊看表演邊吃松露薯條，松露薯條是我最喜歡的食物,True,0.0,0.0,1.0,0.0
東西超好吃！ 老闆娘超美！ ❤️❤️❤️,東西超好吃！ 老闆娘超美！ ❤️❤️❤️,True,0.0,0.0,1.0,0.0
"請問有設置無障礙設施嗎？
第一次去","請問有設置無障礙設施嗎？
第一次去",True,0.0,0.0,1.0,0.0
"感謝凝聚力  可以讓凱伊布丁表演
超讚的","感謝凝聚力  可以讓凱伊布丁表演
超讚的",True,0.0,0.0,1.0,0.0
