Original,EN,Needs Review
"好店快收藏！太喜歡這種暗黑獵奇的裝潢風格，尤其是門口的臉😍但不用擔心！店內的氣氛非常放鬆！
餐點份量很足都很好吃！生旗魚生牛肉真的是好喜歡🥹","Good shops are quickly collected!I like this dark hunting style, especially at the door, but don't worry!The atmosphere in the store is very relaxed!
The meal is very delicious!Raw flagfish raw beef really likes it 牛",False
"酒很有特色
癮念之語好喝好拍、入桶蘭姆古典喝起來很順口
料理也都很好吃
尤其辣鮪魚赤身跟瑪格麗特披薩
獨樹一格的裝潢風格與餐具選用
喜愛暗黑獵奇的人一定會喜歡~","Wine is very distinctive
The words of addiction are delicious, and the classic of Lang Lang is very smooth.
The cooking is also very delicious
Especially spicy catfish naked with Margaret pizza
The unique decoration style and tableware selection
Those who love Dark Hunting will definitely like it ~",False
"大概是今年度喝過最詭譎
時髦氣氛的酒吧了！
_
曾入選過世界十大設計酒吧🏆
「黑媽 bad mama」 澳洲/基隆
以及開幕不久的台北中山，
結合澳洲經典美食與創新料理
打開感官與味蕾
所有的裝潢藝術設計以漂流木廢棄物，
極具創作巧思
餐點吃的到澳洲與台灣各項經典料理，
牆上掛上許多創辦人親手設計的畫作
彷彿來到了次元世界🪵
我最喜歡【布拉塔起司配烤甜桃】
布拉塔起司馬茲瑞拉起士，
與烤甜桃這是我第一次嘗試到的新穎搭配，
濃郁的流動cheese搭上水蜜桃
清爽酸甜沾上烤好的熱騰騰小惡魔麵包一起享用非常match 🍑
有來中山區小酌格外推薦","Probably the most weird this year
The fashionable atmosphere bar!
_ _ _ 吧 _
I have been selected as the top ten design bars in the world 曾
""Black Mom Bad Mama"" Australia/Keelung
And the opening of Taipei Zhongshan, the opening,
Combined with Australian classic food and innovative dishes
Open sensory and taste buds
All decorative art design is drifted with drifting wood waste,
Very creative ingenuity
Eat meals to all classic dishes in Australia and Taiwan,
Many paintings designed by many founders on the wall
As if you have come to the Dimension World 到
I like [Blata cheese with roasted sweet peach]
Blata Qi Timazreilas, cheese,
This is the first time I have tried a novel match with roasted sweet peach.
Rich flow cheese puts on peaches
Refreshing, sweet and sweet, roasted hot and hot little devil bread together to enjoy very match 🍑
There is a special recommendation in Zhongshan District",False
"大推義式旗魚刺身佐特製松露醬
超好吃5顆🌟
酒吧氣氛很讚
很適合和三五好友來放鬆小喝一下
招牌魚米花搭配的柑橘美乃滋超搭
尤其是加了七味粉很開胃很下酒👍","Big pushing Italian flagfish body -made truffle sauce
5 delicious 5 pieces
Bar atmosphere is great
It's very suitable to relax and drink with three or five friends
Citrus beauty of citrus citrus and rice flower
Especially the Qiwei powder is very appetizing and the wine is very delicious.",False
"餐點好吃，環境很有藝術感
他們家的披薩現點現做，餅皮非常酥脆可口！好吃不油膩👍
生牛肉沙拉也超讚，吃起來沒有腥味又新鮮😋
店員的服務也很友善，是個讓人想再回訪的餐廳❤️","The meal is delicious, the environment is very artistic
The their pizza is now made, and the cake skin is very crispy and delicious!It's delicious or greasy 腻
Raw beef salads are also very happy, there is no fishy smell and fresh 😋
The service of the clerk is also very friendly, it is a restaurant that makes people want to return to visit ❤️",False
"一間只有零次或無數次來訪的店，來了真的會愛上

之前基隆店我存好久都沒有機會去，台北店這個月才剛開幕，先來踩踩點~
從餐點到氛圍都大中我的喜好
店內所有擺飾都很有個性，仔細看會有很多奇妙的東西
聽店長說幾乎所有的擺飾都是澳洲老闆由四處蒐集的回收物進行再次創作～
還有投影運動賽事轉播，店家不定期也會舉辦很多活動和優惠😆

酒好喝食物也好吃
醬汁都是店家自己熬煮的，吃完主料還可以沾麵包，超多吃法🤤
激推必點：
🖤 一口牛（超～級～嫩！又香！沒有咬不爛的問題）
🖤 番茄馬茲瑞拉沙拉（大愛！另一款沙拉感覺也很好吃，下次回訪要點點看）
🖤 火炙辣鮪魚刺身佐黑媽柚子醬（好吃到一回神會發現已經空盤）
🖤 披薩（是我喜歡的薄脆餅皮～還有四種起司超級香）

每道菜的份量都很足夠，所以真的找人一起來才能吃到更多樣，
不然就會像我一樣恨自己的胃不夠大🥲 好多都還沒吃到~","A shop with only zero or countless visits will really fall in love when you come

I had no chance to go for a long time before the Keelung store. The Taipei shop just opened this month.
From meals to the atmosphere, my preferences
All the decorations in the store are very individual. If you look closely, there will be a lot of wonderful things
I heard that the store manager said that almost all the decorations were re -created by the Australian boss from the recycling of the recycling of the collection ~
There are also projection sports events broadcast, and the store will also hold a lot of activities and discounts on time.

The wine is delicious and delicious
The sauce is boiled by the shop by itself. After eating the main ingredients, you can also stick to bread.
Push must be:
A bite of cows (super ~ level ~ tender! Fragrant! There is no problem that can't be bitten)
拉 Tomato Mazreara salad (big love! Another salad feels very delicious.
The hot catfish sashimi Zuoyu grapefruit sauce (delicious when it is delicious, I will find that it is empty)
喜欢 Pizza (It's my favorite crispy cake skin ~ There are four cheese super fragrant)

The amount of each dish is sufficient, so you can really find someone to eat more diverse.
Otherwise, I will hate my stomach as much as me.",False
"第一次來，
看了很多網友有推的餐點
都給他點起來
果然不踩雷
好吃要命
也不是太貴
星期三有遇見lady’s night
送了一杯調酒
點了一口牛、起司沙拉、米花魚
都超好吃

星期四還有pizza之夜
一個人350元吃到飽

我直接約起來！","Come for the first time,
After watching a lot of meals pushed by netizens
Give him a little bit
Sure enough
Delicious
Not too expensive
I met Lady ’s Night on Wednesday
Give a cup of bartender
Ordered a bite, cheese salad, rice flower fish
It's super delicious

There is also pizza night on Thursday
Eat 350 yuan per person to be full

I make an appointment directly!",False
"Bad mama rocks with whole new branch in Taipei!! The new salmon pizza and honey cone ice cream are delightful. Also not to forget the must try one bite beef steak which is regular customer’s all time favorite!!

黑媽台北 新分店 創新調酒及啤酒是放鬆的好夥伴，搭配飲品不能錯過的美味佳餚則是新品鮭魚pizza和開心果堅果蜂巢冰淇淋，以及所有店內招牌一口牛!!
平日更有不同活動舉辦，是不管平日假日都可以拜訪喝些小酒舒壓或慶祝的好去處。","BAD MAMA ROCKS With Whole New Branch in TAIPEI !! The New Salmon Pizza and Honey CREAM are delightful. ICH is regula Customer ’s all time favorite !!

Black Mom Taipei New Branch Innovative Bart -up and Beer is a good partner for relaxation. The delicious dishes that cannot be missed with drinks are new salmon pizza and happy fruit honeycomb ice cream, as well as a sip of all signs in the store !!
There are also different activities on weekdays. It is a good place for drinking some small wines or celebrations regardless of usual holidays.",False
"太幸運
剛剛好遇見 Lady’s night
送了一杯調酒呢ʚ̴̶̷̆ ̫ ʚ̴̶̷̆

點了
魚米花 290元 好好吃餒
溫起司沙拉 300元 起司好香好好吃
一口牛 390元 他是菲力部位好嫩

整家店氣氛很棒，服務人員會來詢問口味
好多外國人，下班後來到這邊好放鬆","Too lucky
Just met Lady ’s Night
I gave a glass of bartender ̫ ̫ ʚ̴̶̷̆ ʚ̴̶̷̆

Order
Fish rice flower 290 yuan is delicious and delicious
Wen Qisi salad 300 yuan cheese is so fragrant and delicious
A bite of Niu 390 yuan He is a Fili site so tender

The atmosphere of the entire store is great, the service staff will come to ask the taste
Many foreigners, come here to relax here after get off work",False
"裝潢的時候就有注意但一直都沒踏進來～
本了只是晚上肚子餓來吃點東西 沒想到不但東西好吃 份量很夠之外！ 點的兩杯經典調酒更是讓我驚艷! 真的… 走過路過不能錯過～
還會再帶朋友來光顧！ 謝謝～","I pay attention when I decorate, but I have never stepped in ~
I was just hungry at night and came to eat something.The two cups of classic bartender are even more amazing! Really ... you can’t miss it if you pass by ~
Will bring friends to patronize again!Thank you ~",False
