Original,EN,Needs Review
音樂好聽，氣氛好，服務態度極佳，重點可以看很多帥哥美女👍🏻,"The music is nice, the atmosphere is good, and the service attitude is excellent. The focus can be seen by many handsome guys and beautiful women.",False
"林口最強餐館之一
你要標靶要調酒
或是喜歡麻醬麵
這裡通通有！","One of the strongest restaurants in Linkou
You have to be a target to bartender
Or like hemp noodles
There is all here!",False
餐點好吃，酒好喝，氣氛非常好，服務也超級好，很棒的酒吧,"The meal is delicious, the wine is delicious, the atmosphere is very good, and the service is super good. A great bar",False
老闆很帥 酒也很好喝 一定要會再來,"The boss is very handsome and delicious, you must come again",False
"氛圍佳
調酒佳
老闆帥
正妹多","Good atmosphere
Bartender
Handsome
Masao",False
"環境氣氛音樂超好
又有水煙   超好抽 伯爵茶 👍👍
店員車好聊天","Environmental atmosphere music is super good
And there are water smoke super good so smoother Earl tea 👍👍 👍👍 👍👍 👍👍 👍👍
The clerk car is good to chat",False
氣氛很好的地方,The place with a good atmosphere,False
"有帥哥有美女還有酒，好玩又解壓
推薦有喝酒的朋友可以來這玩
燈光美氣氛佳，還有陪玩划拳
強推😍😍","There are handsome guys, beautiful women and wine, fun and decompression
I recommend friends who drink alcohol to come here to play
The lights are beautiful and the atmosphere is good, and there are also play fists
Push",False
"服務好、調酒師都很帥，音樂優質😍
在林口終於看到像樣的酒吧了🎱🎱🎱","Good service, bartender are handsome, high -quality music 😍
I finally saw a decent bar at Linkou 🎱🎱🎱",False
"價格實在.整個氣氛讓人不想離開
非常適合聊天喝酒放鬆的地方","The price is real. The whole atmosphere makes people don't want to leave
Very suitable for chatting and drinking and relaxing",False
"超讚，老闆帥，老闆超會喝
你會喝就來，敢不敢？","It's so happy, the boss is handsome, the boss will drink
You can drink it, dare?",False
想不到林口有這麼好玩的地方🤣,"Unexpectedly, Linkou has such a fun place 🤣",False
絕對是最頂的 Hip hop風格，氣氛好調酒好喝又舒適！,"Definitely the top Hip Hop style, the atmosphere is good and delicious!",False
他們的炸蚵仔真的好好吃🤤酒也好喝 氣氛好棒🥰 …,Their fried fedling is really delicious. The wine is also delicious.,False
炸水餃超好吃酒很好喝 氣氛很棒,Fried dumplings are super delicious and wine is delicious. The atmosphere is great,False
"優質 親切🖤
Nice cocktail food","High -quality and kind 🖤
Nice Cocktail Food",False
❤️❤️❤️,❤️❤️❤️,False
很棒,great,False
好地方，好氛圍。,"Good place, good atmosphere.",False
偉大的老闆和老闆,Great boss and boss,False
