Original,EN,Needs Review,Positive,Negative,Neutral,Compound
"生蠔我是直接給1200分
吃爆就對了，肥又鮮
牆上啤酒🍻都好喝
其中玉荷包啤酒，甜酸甜酸，妹子比較愛
當然星夜一定要喝long island 大師
絕對讓你對面普妹變辣妹
普男變阿湯哥（好老

一樓適合老友大聊天
二樓適合約會，看調酒🍹","Oyster, I give 1200 points directly
It's right to eat explosion, fat and fresh
Beer on the wall is delicious
Among them, Yuhe Bao Beer, sweet, sour and sour, girls love
Of course, Xingye must drink Master Long Island
Absolutely let you change your girl opposite
Pucon becomes A Tange (so old -fashioned

The first floor is suitable for old friends to chat
The second floor is suitable for dating, watch the wine tuning 二",False,0.189,0.0,0.811,0.946
酒還有餐點都超讚！下次絕對會再來(⁎⁍̴̛ᴗ⁍̴̛⁎),Wine and meals are superb!I will definitely come again next time (下),False,0.214,0.0,0.786,0.4574
店員親切又可愛，酒跟食物都很不錯！,"The clerk is kind and cute, and the wine and food are very good!",False,0.473,0.0,0.527,0.8716
"這裡有超級好吃的水餃！！！！！ 大推😆😆
吃完才發現到沒照相！！

這四個，店家送的😆😆","There are super delicious dumplings here!IntersectionIntersectionIntersectionIntersectionBig Push
After eating, I found that I didn't take pictures!Intersection

These four, the store sent 店",False,0.287,0.046,0.667,0.8353
"📌可訂位
📌不提供刷卡
📌平日低消一杯飲品，假日低消每人$500

原址在靠近當代藝術館那邊的巷弄地下室 這天走到那才發現已經搬家
一樓像是運動酒吧 二樓比較是安靜聊天喝酒的氛圍
這天沒預約被帶到二樓靠角落的位置 不過直到離開其他位置也沒有坐滿 兩人帶著包包在角落比較沒這麼舒適 也沒有提供放包包的籃子 建議要訂位
酒單調酒選項不是很多 東方美人茶酒還不錯
反倒是食物令人印象深刻 提拉米蘇很好吃 是專賣甜點店的水準 煙燻鴨胸香氣跟嫩度也不錯 就是泡菜醋的酸味非常重","📌 📌 📌 📌
📌 Do not provide a credit card
杯 Low a cup of drinks on weekdays, and low -eliminate on holidays for $ 500 per person

The basement of the original site near the contemporary art museum came to the basement of the alley and found that I found that I had moved.
The first floor is like a sports bar on the second floor. The atmosphere of chatting and drinking quietly
I did n’t make an appointment to be taken to the second floor to rely on the corner, but I did n’t sit on the other position and did n’t sit on the corner. It ’s not so comfortable or provided that the bag was not provided.
Wine single bartending options are not many Oriental beauty tea wines pretty good
On the contrary, the food is impressive. It is very delicious. It is very delicious.",False,0.161,0.075,0.765,0.9544
"聊天喝酒的好地方🥰
酒中規中矩，算便宜
滿有特色很令人放鬆，位子不多空間大不會有擁擠的感覺，環境很棒","A good place for chatting and drinking 酒
The wine is well, it is cheap
Full of characteristics, very relaxed, there is not much space for seats, there will be no crowded, the environment is great",False,0.275,0.048,0.677,0.8858
"和朋友一起來探店，住在附近，一直都沒有來這邊踩點，是一間隱身在地下室的酒吧；有低消&另收10%服務費。
雖說在地下室，但空氣流通不會悶熱，不過場地不大，桌與桌之間距離比較小，店家每一桌都會放上小燈飾點綴，頗為可愛。

因為已經吃飽了，所以我們就簡單的點了兩杯調酒，Long island 有依照酒精濃度分級，我們選了大師版 $460與友人點的一杯調酒，不過當天不知道為何出酒速度偏慢，喝完之後我和同行友人都有起酒疹，同行友人的酒有請店家調整口味，因為原本的喝起來有點像感冒糖漿⋯

因為我們趕時間所以喝完就先離開了，覺得店家走的風格是溫馨小聚風，給我的感覺很像置身在墾丁大街，看評論抱著期待來，不過最後覺得有點失望，下次有機會會想再試一次並吃看看餐點。","Come to visit the shop with friends, live nearby, and have never come here to step on. It is a bar hidden in the basement;
Although in the basement, the air circulation will not be stuffy, but the venue is not large, and the distance between the table and the table is relatively small. Each table of the store will be decorated with small lights, which is quite cute.

Because we were full, we simply ordered two glasses of bartending. Long Island was classified according to the concentration of alcohol. We chose a master version of $ 460 and a cup of bartending with friends. After drinking, I and my friends and I have rashes. I ask the wine to ask the store to adjust the taste, because the original drinking is a bit like a cold syrup ...

Because we were in a hurry, we left first after drinking. I think the style of the store is warm and small. It feels like being on Kenting Street. I look forward to the comments. If you have a chance, you will want to try again and eat for a meal.",False,0.145,0.0,0.855,0.9827
"食物跟酒都非常讚！朋友點了東方美人茶酒，茶味是偏淡了一點但是喝起來很順，很適合愛喝茶但不想要酒精味太濃的朋友嘗試，我點了long island高階版真的就很好喝，喝起來很順也有起到微醺作用～食物的部分點了一份燻肉拼盤(pastrami+salami)，一份330我覺得以台灣價格來說不貴（可能歐洲還會附上起司就是了）男店員還很貼心的來幫們炙燒了pastrami，香氣滿點。
環境整體是很熱鬧的尤其是週末晚上，店內是客滿的狀態，兩人座位篇擁擠跟隔壁桌距離大概就50公分，但卻不失那種很chill的氛圍，用餐環境偏暗店家會在桌上放一盞小燈，店家有提供訂位服務建議不管平、假日都還是訂位前往比較好～

值得一提是大部分的小餐酒館都沒有提供刷卡服務但是這家有，我覺得這點不錯，唯一可惜的是店員的態度好像是對熟客才會熱心一點，我跟朋友第一次前往，也有可能是座位擁擠店員就不會特別跟我們介紹餐點，甚至因為我遲到大約5分鐘，朋友一個人自己坐在桌上到事後我來了我們都點完餐了，桌上都還沒有放燈，還是我們特別請店員幫我們擺上來的，服務態度沒有不好但對第一次來的或也有可能只來一次聚餐的客人會比較冷淡一點（會努力成為熟客的？），若是喜歡熱心接待的人可能要考慮一下，但若不介意的話整體用餐體驗是還不錯的～","Food and wine are very good!My friend ordered the Oriental Beauty Tea. The tea taste is a bit lighter, but it is very smooth. It is very suitable for friends who love to drink tea but do not want the alcohol. It also has a slight role in drinking ~ The food part of the food has a Pastrami+Salami, and a 330 I think it is not expensive in Taiwan's price (maybe Europe also attach a cheese to a cheese is just a cheese is just a cheese is a cheese. ) The male clerk was also very intimate to help the Pastrami, and the aroma was full.
The environment as a whole is very lively. Especially on weekends and nights, the store is full of state. The two people's seats are about 50 cm and the distance from the next table is about 50 cm, but it does not lose that kind of chill atmosphere. There is a small lamp on the table. The store has a reservation service suggestion. It is better to go to the reservation on the holidays.

It is worth mentioning that most small meal taverns have not provided card swiping services, but this one has it. I think this is good. The only pity is that the attitude of the clerk seems to be enthusiastic about cooked customers. It may also be that the crowded shop clerk will not introduce me meals in particular. Even because I am late for about 5 minutes, my friends sit on the table alone until I came after the meal. Lights, we still invite the clerk to help us put it up. The service attitude is not bad, but the guests who come to the first time may be more indifferent to the first time (will you work hard to be a cooked customer?), If you like enthusiastically, you like enthusiastically The reception person may consider it, but if you don't mind, the overall dining experience is not bad ~",False,0.197,0.028,0.776,0.9971
沙發好坐🛋️ 適合與姐妹喝酒聊天 還會有隔壁桌的帥哥&bartender請喝shot🎈🎈🎈🎈,"Sofa is good 合️ Suitable for drinking and chatting with sisters and handsome guys with the next table & Bartnder, please drink shot🎈🎈🎈🎈",False,0.259,0.0,0.741,0.8126
"空間氣氛不錯、服務態度也很棒
時間比較早的時候過去，因為點比較多餐點
雖然只有兩個人，但店員有幫我們併桌
讓我們使用更多的空間

但是調酒的部分，不論是既有款或者特調
我和朋友都沒有很喜歡~🥲
餐點是很棒、服務很棒、氣氛也很讚
只是調酒可能沒有很合我們的胃口~
但是大家還是可以來嚐嚐
每一間的風格還是不同的唷💚

這是一間我和朋友走在路上被吸引的酒吧
我相信他還是有自己的風格和魅力在的💚","The space atmosphere is good, the service attitude is also great
Time passed early, because some meals are more meals
Although there are only two people, the clerk has helped us to the table
Let us use more space

But the bartending part, whether it is existing or special
Neither and I don't like it very much ~ 没有
The meal is great, the service is great, and the atmosphere is also great
It's just that bartending may not fit our appetite very much ~
But everyone can still taste it
Each style is still different 💚 💚 💚

This is a bar where I and my friends walk on the road
I believe he still has his own style and charm.",False,0.299,0.032,0.669,0.9942
