Original,EN,Needs Review,Positive,Negative,Neutral,Compound
氣氛非常好，但駐唱時服務人員會一直在舞台前方走來走去，頻率非常高，已經到有點打擾欣賞表演的程度，完全不會刻意避開舞台前，即使你坐在離舞台最近的第一桌；其實不管是巡視還是點餐送餐，旁邊都有非常大通道可以稍微繞一下，可惜了這樣的環境跟舞台，希望下次去能有所改善，畢竟主打live的餐廳已經不多，若能稍微的尊重演唱歌手及為了表演而去的客人會更棒。,"The atmosphere is very good, but the service staff will always walk around the front stage during singing. The frequency is very high. It has reached a bit of disturbing the extent of appreciation. The first table; in fact, whether it is inspecting or ordering meals, there are very large channels to be around. Unfortunately, such an environment and the stage, I hope to improve it next time. After all, there are not many restaurants that focus on Live. It would be better if you can respect the singer and the guests who go for performance.",False,0.201,0.064,0.735,0.9459
晚上有樂團歌手駐唱，環境氣氛很好，餐點都很美味， 這次點了墨西哥雞肉烤餅、鮮蝦炒蘑菇、水煮魚、紅酒燉牛肉，一邊聊天一邊喝調酒，享受晚上放鬆時刻！,"In the evening, there is an orchestra singer singing, the environment atmosphere is very good, and the meals are delicious. time!",False,0.274,0.0,0.726,0.8012
餐點好吃，這個黑人駐場歌手唱歌超好聽，我會繼續造訪來聽他唱歌！享受星期五之夜,The meal is delicious. This black singer singer sings very well. I will continue to visit him to sing!Enjoy Friday Night,False,0.252,0.0,0.748,0.7495
"今天主要是一群人一起去看表演，舞台在OXI裡面，表演可以看最清楚，有先預約。去的時候還沒有很多人，但義大利麵點餐後過一小時才上餐，蛤蜊吃起來不是很新鮮。麻辣酸菜魚嗆辣但還不錯吃。薯條是當天最喜歡的餐點。

表演的氣氛真的很好，有三位歌手，從8:30開始，本來好像說表演到11點，結果離開後發現還有第三場。歌手們都會與台下互動，樂隊跟歌手都很專業、厲害，表演好聽好看，在這邊渡過一個愉快的夜晚。","Today, it is mainly a group of people to watch the performance together. The stage is in Oxi. The performance can be seen the clearest, and there is an appointment first.There were not many people when I went, but Italian had been served for an hour after meals, and clams were not very fresh.Spicy sauerkraut fish is spicy but pretty good.French fries are the favorite meals that day.

The atmosphere of the performance is really good. There are three singers, starting from 8:30, it seemed to say that the performance to 11 o'clock, but after leaving, I found that there were still third games.The singers will interact with the audience. The band and the singer are very professional and powerful. The performance is good and beautiful. There is a pleasant night here.",False,0.195,0.0,0.805,0.9865
"位於信義商圈能聽歌又能吃美食的好地方😉聖誕節快到了～信義氣氛真的超好！

店內走高級質感路線，半開放式的空間，餐廳正中央就是Live音樂表演的舞台，每個座位都能近距離的欣賞現場表演😍

🔸涼拌軟絲
口感爽脆，搭配醬汁的調味，味道清新爽口，非常開胃哈哈哈😝
🔸水煮魚（中份）+配料+兩碗白飯
麻辣的湯底與鱼片的結合，有花椒、辣椒和各種香料，帶有濃烈的辣味和麻感！搭配上嫩嫩的魚片和豆芽菜～～超下飯呀！！！
🔸松露薯條
香氣濃郁的松露和薯條的香脆口感，讓人一口接著一口停不下來哈哈～總共還點了兩盤🤣
🔸生蠔兩顆
新鮮的生蠔有夠鮮甜～搭配檸檬及辣椒醬增添風味🥰必點哈哈

OXI個人超推薦情侶來約會🥰也可以跟好閨蜜來這裡聚餐都超級適合～
店家IG都會固定更新駐唱歌手名單唷😉","It is a good place to listen to songs and eat food in the Xinyi Business District. Christmas is coming. The atmosphere of Xinyi is really good!

Take the high -level texture route in the store and semi -open space. The center of the restaurant is the stage of Live music performance. Each seat can enjoy the live performance at close range 😍

🔸 🔸 🔸 🔸 🔸 🔸
The taste is crispy, with the seasoning of sauce, the taste is fresh and refreshing, very appetizing hahaha 😝
Boiled fish (medium portion)+ingredients+two bowls of white rice
The combination of spicy soup base and fish sashimi has pepper, pepper and various spices, with a strong spicy and mochi!With tender fish fillets and bean sprouts ~~ super meals!IntersectionIntersection
French French fries
The crispy taste of the rich truffle and fries, which makes people unable to stop and stop haha ​​~ A total of two plates are also ordered.
Two oysters
Fresh oysters are delicious enough ~ Add flavor with lemon and chili sauce 🥰 must be ordered haha

Oxi Personal Super Recommended couples to date 🥰 can also come here with good girlfriends to dinner and dinner are super suitable ~
The store IG will fix the list of the resident singer 唷 😉 😉",False,0.279,0.015,0.707,0.9975
"氣氛100分
服務人員很貼心親切🎄
還有live band很特別的餐廳🍴哦
-
五星評論可以拿免費飲料
但關於真實心得還是要說一下
提早預訂時，網路上並沒有顯示聖誕節這週要「一人低消2000$」
人到現場才知道⋯🙄
然後更扯的是一開始還說我們的位置在吧台
開什麼玩笑？？
一個人低消2000剛剛才知道就算了
還叫我坐吧台
我說我也是一個月前就訂了
後來才幫我們換位置
服務生動線也很亂
水煮魚點成水煮牛 出菜沒發現
後來叫他們補魚肉給我們就好
因為他們也不知道該怎麼做
其實，一人低消兩千等於是強迫消費了吧
因為聖誕節晚上信義區臨時根本沒地方可以吃了
以上是這次用餐有點傻眼的地方
第一次去也沒有得到該有的介紹
離開結帳時才知道櫃檯有可以點歌的單子給樂團
整個傻眼哈哈","100 points atmosphere
The service staff is very intimate and kind 心
And the live band is very special restaurant 🍴
-
Five -star comments can take free drinks
But let's talk about real experience
When booking early, there is no display on the Internet that Christmas will be ""one person to eliminate 2000 $""
People only know when people arrive at the scene.
Then what is more pulled is that at the beginning, I also said that our location was on the bar
What kidding?Intersection
A person's low consumption 2000 just knew it, even if it was justified
Also call me to sit on the bar
I said I booked a month ago
Then help us change the position
The lively service line is also chaotic
Boiled fish or order of water and boiled beef.
Later, I asked them to replenish fish and give us good
Because they don't know what to do
In fact, one person's low consumption of two thousand is equivalent to force consumption, right?
Because Christmas Eve is temporary, there is no place to eat at all
The above is a bit dumbfounded this time
I didn’t get the introduction for the first time
When I left the checkout, I knew that there was a singing order at the counter to the orchestra
The whole dumbfounded haha",False,0.1,0.086,0.814,0.563
"Att valley廣場內的美食餐廳，今晚8：30有現場表演、演唱喔！
位子寬，不擁擠，下班放鬆的好地方！
餐點部分有許多異國料理...韓式拌飯、義大利麵、西式生蠔！
也有提供各式酒品，有紅白酒、氣泡酒、調酒、啤酒...等。
調酒還可以依個人喜好，偏酸甜，和自己喜歡的顏色！我選了藍色..但好像很太藍了，喝起來有彈珠汽水的感覺，酒味不會太嗆！
海鮮炸物，是炸螃蟹，魚！外脆不失海鮮的味道！
牛排比較屬於原味，有特別沾醬，會讓口感更好！還配上最愛的節瓜！👍👍👍
紅酒順口不澀好入口！配上牛排,開始美食饗宴！
服務人員很親切！","The food restaurant in the Att Valley Square, there are live performances and singing at 8:30 tonight!
The seat is wide, not crowded, and a good place to relax from get off work!
There are many exotic dishes in the meal ... Korean bibimbap, pasta, and western oysters!
There are also various wines, including red liquor, sparkling wine, bartending, beer ... and so on.
Bart -up can also be sour and sweet according to personal preferences, and the color you like!I chose the blue .. But it seemed too blue. It felt like a pineral soda, and the taste of the wine would not be too stingy!
Seafood fried objects are fried crabs, fish!The taste of crispy seafood!
The steak is more original. It has a special dipping sauce, which will make the taste better!Coupled with the favorite festival!Bleak
Red wine is not astringent!With steak, start food feast!
The service staff is very kind!",False,0.176,0.0,0.824,0.9829
"「Oxi oyster&wine live house」這地方真的是太驚艷了！💥 第一次走進去，燈光的佈局讓我馬上有種被包裹的感覺，那種暖暖的、柔和的光，真的超適合帶女朋友或男朋友來這裡約會。🌌✨

氣氛方面，不得不說真的很nice。音樂不會太大聲，卻又足夠創造一種浪漫的情境。🎶 坐在裡面，我甚至還捕捉到不少情侶在窃窃私語，笑得好甜喔！💑

先說說服務生吧！真的是...哇！😍 男生帥、女生美，不僅外貌出眾，服務態度也超級好，讓人感覺像是被特別照顧的那種。

話說回來，「等你來命名水煮魚」這道料理真的很有特色！酸辣的味道正好，魚肉嫩滑，整體搭配得恰到好處。🐟🌶

「黃志明 不解釋」這名字真的很有創意，味道也超讚！蘑菇、蝦和蒜香的組合真的無法抵抗，再搭上辣椒的刺激和蒜香麵包，口感和味道都是十足的分！🍤🍄🍞

話說「傷心的人別點義大利麵」，這名字也太有趣了吧！😂 但不得不說，這真的是人氣料理！每一口都有蒜和辣椒的香味，白酒的香氣也讓整體味道更加提升。這道義大利麵真的是必點啊！🍝🍷

最後，「航海王夥伴套餐」，對於喜歡海鮮的我來說，這真的是一大享受。蝦、干貝、鮭魚卵、淡菜，加上海苔絲和紅醬，每一口都讓我感覺像是航行在大海上的冒險。🍤🐚🍅

總的來說，「Oxi oyster&wine live house」真的是我近期去過的餐廳中，最讓我驚喜的一家！不僅環境和氣氛超讚，料理和服務也都十分出色。下次還會再來！👍🏻🌟","""Oxi Oyster & Wine Live House"" is really amazing!The first time I walked in, the layout of the lights made me feel a feeling of being wrapped right away. The warm and soft light is really suitable to bring a girlfriend or boyfriend to date here.Bleak

In terms of atmosphere, I have to say it is really nice.Music will not be too loud, but it is enough to create a romantic situation.我 Sitting inside, I still caught a lot of couples who were whispering and smiled sweetly!Bleak

Let's talk about the waiter first!Really ... wow!生The boy is handsome and beautiful, not only outstanding appearance, but also super good service attitude, making people feel like the kind of special care.

Having said that, the dish of ""Waiting for you to name the boiled fish"" is really distinctive!The sour taste is just right, the fish is tender and smooth, and the overall match is just right.Bleak

The name ""Huang Zhiming does not explain"" is really creative, and the taste is superb!The combination of mushrooms, shrimp and garlic really cannot resist. Then put on the stimulation of pepper and garlic bread, the taste and taste are full of points!Bleak

In other words, ""Sad people don't have some pasta"", this name is too interesting!Hey, but I have to say that this is really a popular dish!Each bite has the aroma of garlic and pepper, and the aroma of liquor makes the overall taste more improved.This pasta is really a must!Bleak

In the end, the ""Navigation Piece Package"" is really a great enjoyment for me who likes seafood.Shrimp, scallops, salmon eggs, light vegetables, plus sea and red sauce, each bite makes me feel like an adventure that sails on the sea.Bleak

In general, ""Oxi Oyster & Wine Live House"" is really the most surprising one in the restaurant I have recently been to!Not only are the environment and atmosphere superb, but also the cuisine and services are also very good.Will come again next time!Bleak",False,0.209,0.021,0.77,0.9976
"OXI經營風格低調卻散發高級質感，空間既半開放又充滿巧思，擁有座位區和吧台區，而餐廳正中央是一個能夠無死角欣賞現場表演並近距離互動的Live音樂舞台。

OXI的酒款真的是多到爆表，酒單包含眾多世界知名的紅白酒，門口整排的酒支就像是一場酒的盛宴，提供了無論是單杯還是整瓶的選擇，滿足不同品味的需求🍷

凱撒沙拉
醬汁口感恰到好處，吃了更有食慾了

航海王夥伴套餐 海鮮義大利麵
這款義大利麵的麵條Q彈而有嚼勁，蝦子又又大又鮮甜，更有一顆干貝！茄汁口味的醬汁在收汁後濃郁地附著在麵條上，吃起來既鮮美又微酸，非常開胃好吃。

流浪松露薯條
在這家餐酒館點薯條簡直是一種享受，OXI的薯條炸得又酥又脆，撒上滿滿的起司粉，再沾著松露醬，口感簡直濃郁到不行🥺，真的是一種幸福的療癒味道～點了一份不夠馬上又點了一份

戰斧豬排
三個人一起吃份量很夠，加了胡椒去腥味很棒，口感鬆軟，是個不錯的選擇！

每天都會有音樂演出，星期一是提供給年輕的樂團演出，也很佛心。

總的來說，OXI Oyster & Wine Live House的環境美麗且氣氛佳，不論是約會還是和好友聚餐，都超級合適。而且，它位於信義區，地點真的是絕佳，美食、音樂和美酒的完美結合，強烈推薦大家來這裡度過美好時光。","OXI's business style is low -key but exudes a high texture. The space is semi -open and full of ingenuity. It has a seat area and bar area. The center of the restaurant is a live music stage that can enjoy live performance without dead corners and close interactive interaction.

Oxi's wine is really too much. The wine list contains many world -renowned red and white wine. The entire row of wine at the door is like a banquet of wine. Different tastes 需

Caesar salad
The sauce taste is just right, and I have more appetite after eating

Navigation King partner package seafood pasta
This Italian noodle noodles are chewy, and the shrimp is big and sweet, and there is a scallops!The sauce of tomato sauce is attached to the noodles richly after the juice, which is delicious and slightly sour, very appetizing and delicious.

Stray truffle strip
Lian French fries in this dining tavern are simply enjoyable. Oxi's fries are fried and crispy, sprinkled with cheese powder, and then stained with truffle sauce. A happy healing taste ~ I ordered a copy of it and then ordered another one.

Tomahawk pork chop
The three people ate the weight together. The pepper is great, and the taste is soft. It is a good choice!

There are music performances every day, Monday is provided to young orchestras to perform, and it is also very Buddha.

In general, the environment of Oxi Oyster & Wine Live House is beautiful and atmospheric. Whether it is dating or dinner with friends, it is super suitable.Moreover, it is located in Xinyi District. The location is really excellent. The perfect combination of food, music, and wine strongly recommends everyone to come here to spend good times.",False,0.236,0.004,0.76,0.9982
"吃完晚餐意猶未盡，第二攤開始，請朋友幫忙訂位，留了最後一個空桌給我們。
因為吃過晚餐，只點了些下酒菜。
美味可口又真下酒，又喝了二支威。
朋友特意從汐止趕來，叫了隔壁的燒烤，也是好吃(平常能不能這樣，不知道🤣）！
謝謝Vincent哥的接待，又送了Shot！醉！

112.12.31 來OXI跨年，好酒好菜還有精彩熱情的show，哈薩客（如果我沒有聽錯）真的是我近年來看過唱好跳好的頂尖樂團，沒有之一。","After eating dinner, the intention was still endless. At the beginning of the second stall, I asked friends to help booking, leaving the last empty table for us.
Because I had dinner, I only ordered some wine.
The delicious taste is really wine, and I drank two more prestige.
Friends came from Xizhi and called the barbecue next door, which was delicious (can you usually do this, I don't know 🤣)!
Thank you Vincent, Brother Vincent, and gave it again!drunk!

112.12.31 Come to Oxi New Year, good wine and good dishes, and wonderful and enthusiastic show. Kazakh (if I have not heard it) is really one of the top bands I have seen in recent years, none of them.",False,0.251,0.024,0.725,0.9873
