Original,EN,Needs Review,Positive,Negative,Neutral,Compound
"很漂亮的店，每個角落拍起來都很美，下班和朋友來點了水餃跟牛肉麵都好吃，水餃300元十顆，心臟小痛哈哈
無酒精飲品調得很漂亮好喝
推薦姐妹來玩","Very beautiful shop, every corner is very beautiful. After work with friends, some dumplings and beef noodles are delicious. The dumplings are 300 yuan ten, and the heart pain is small.
Wine -free drinks are very beautiful and delicious
Recommend sisters to play",False,0.499,0.082,0.419,0.9859
"真的要來好好感謝Opium全體員工以及老闆娘Vivian，包場在這裡舉辦生日派對真的是我今年最不後悔的選擇！賓主盡歡、紅白酒品質極佳，炸物餐點也很好吃！
本來一開始和店家談了一定的紅白酒及啤酒數量，後來因為賓客們選擇喝紅白酒比較多，所以店家自主幫我將多買的啤酒換成等價紅白酒出給賓客，臨機應變和處理問題的能力一流（而且還偷偷的升級成高價的酒款，真的非常感謝）
場地非常美，佈置和光線的設計也都很棒，當天和朋友一起拍下的照片真的是超級值得珍藏的回憶🥰朋友們也都很喜歡～
再次謝謝Opium，在此也推薦大家有包場或小酌需求都可以來這裡度過美好的時光✨","I really want to thank all employees and boss Vivian, the owner of Opium. The charter here to host a birthday party is really my most regretful choice this year!The guests are all happy, the quality of red and white wine is excellent, and the fried meals are also delicious!
Originally, I talked about a certain amount of red and white wine and beer with the store. Later, because guests chose to drink more red and white wine, the store helped me to replace the more beer I bought for the price of red and white wine to the guests. The ability to be first -class (and it also secretly upgrades into a high -priced wine, thank you very much)
The venue is very beautiful, and the design and light design are also great. The photos taken with my friends that day are really a super worthy memories. Friends also like it ~
Thank you Opium again. I also recommend that you have a charter or drinking needs here. You can come here to spend good time ✨",False,0.273,0.016,0.712,0.9948
今天四個人點了大概8杯調酒，調酒味道都不錯，餐點品項不多，份量也還可以，但是餐點都不錯吃，炸物拼盤的雞柳條我有驚艷，因為平常我不喜歡吃雞柳，洋蔥圈也不錯！滷味拼盤的豬腳還可以，但牛筋和牛肚就還不錯，雞湯就蠻令人失望，兩份500多元大概四小塊雞腿肉，松露薯條還不錯，美中不足炸物拼盤和滷味拼盤，一份都500元這樣的份量十足有點少。,"Today, four people ordered about 8 glasses of wine. The taste of bartender is good. There are not many meals, and the amount of portion is OK, but the meals are good. I am amazing. Like to eat chicken willow, the onion circle is also good!The pig's feet of the lochi platter are okay, but the beef tendon and beef belly are pretty good. The chicken soup is quite disappointing. Two copies of more than 500 yuan about four small pieces of chicken legs, truffle potato stripes are not bad, the beauty of the beautiful fried frying platter and lochi platter, one The portion of 500 yuan is a bit small.",False,0.239,0.062,0.699,0.9784
"Bartender很熱心地說明各種調酒的特色也針對每個人的客制需求推薦，不愧是主打香檳的Bar，香檳果然好喝，不過一杯酒的價格不算低。點了兩個餐點都很好吃，一個是很多人推薦的鮮蝦水餃，水餃內餡的蝦很脆口，更厲害的是醬料，鹹香拿捏剛好，跟水餃很搭；起司拼盤每一種類的起司都很好吃，搭配小餅乾也很棒。

內部空間比照片看起來小很多，但氣氛營造得不錯，音樂選得很好音量也適中；小小的空間有兩層樓，當晚樓上沒客人，店家很大方地歡迎我們上樓參觀拍照。沒有用餐時間限制，在這可以和朋友天南地北聊天，渴了再點幾杯飲料，相當舒適愜意。","Bartender enthusiastically explained that the characteristics of various bartender are also recommended for everyone's customer -owned demand. It is indeed the main BAR of Champagne. The champagne is really delicious, but the price of a glass of wine is not low.Once two meals are delicious. One is fresh shrimp dumplings recommended by many people. The shrimp filling in the dumplings is very crispy. What is more powerful is the sauce. Each type of cheese is delicious, and it is also great with small biscuits.

The interior space looks much smaller than the photos, but the atmosphere is created well, and the music has a good volume and moderate volume; the small space has two floors. There are no guests upstairs that night. The store welcome us to visit the photo.There is no meal time limit. You can chat with your friends from the north. If you are thirsty, you can order a few more drinks, which is quite comfortable and comfortable.",False,0.289,0.047,0.664,0.9946
"這裡真的大推到不行！尤其小安的服務超級優
品質、酒、環境 全部！非常推 👍各式招待
高級的環境～親切優質的服務 五顆星都不夠！","Can't push it here!Especially Xiao'an's service is super prefeenal
All quality, wine, and environment!Very pushing 招 Various hospitality
High -level environment ~ kind and high -quality service five stars are not enough!",False,0.214,0.0,0.786,0.8472
很專業，很好喝，好到無法形容，建議親自來一次！！,"Very professional, very delicious, good enough to be described, it is recommended to come once in person!Intersection",False,0.405,0.0,0.595,0.86
"Opium Champagne Bar❤️
信義區內裝最美的酒吧～～我真的覺得很美！！尤其是那麼吊燈跟鏡子！！
這間的特點是下午也有開門～很棒很棒！讓下午逛街逛累的人～想喝一杯香檳的人～也都有地方去！
餐點的選項看起來很多，但實際問才發現什麼都沒有嗚嗚嗚
原本看介紹，鵝肝吐司麵包好多人推薦，原本想來一份的，結果也沒有賣。還有水餃，網路也有人推薦，結果也沒有賣嗚嗚嗚，香檳很好喝～尤其是特調的！可以選口味～
點心貴的蛋糕都可以做選擇～點了司康跟巴斯克乳酪蛋糕～
點心都普普通通，可以去喝杯香檳拍拍照就好哈哈
不過因為有低消～所以有要進去的夥伴要注意唷～～","Opium champagne bar❤️
The most beautiful bar in Xinyi District ~~ I really think it is beautiful!IntersectionEspecially so chandeliers and mirrors!Intersection
This feature is that there are also open doors in the afternoon ~ great and great!People who are tired of shopping in the afternoon ~ People who want to drink a glass of champagne ~ There are also places to go!
There are a lot of options for meals, but I realized that nothing was woohoo.
Originally, I introduced that there are many people recommended by foie gras, and they originally wanted to come, but they did not sell it.There are also dumplings, and some people are recommended on the Internet, and the results are not sold. The champagne is delicious ~ Especially specialty!You can choose the taste ~
You can choose from the cake with expensive dim sum ~ order Sikang and Basque cheese cake ~
The snacks are ordinary, you can go to drink a cup of champagne to take pictures haha
However, because there are low ~ so you have to pay attention to partners who want to go in ~~",False,0.134,0.064,0.802,0.9304
"不便宜的餐酒館
我們三個女生點了兩盤水餃、3杯調酒、一份松露薯條、一盤火腿起士、一份炸乳酪條
總共$4000

水餃的話 蝦仁比較好吃
松露薯條很酥脆 但松露醬偏膩
調酒部分都偏甜一些
香檳底的調酒好像沒那麼有特色
建議點其他經典調酒","Not cheap meal and tavern
Our three girls ordered two plates of dumplings, 3 cups of wine, a truffle fries, a plate of ham cheese, and a fried milk cheese
A total of $ 4000

The shrimp is more delicious if the dumplings
Todgeflale fries are very crispy, but truffle sauce is greasy
The section of the bartender is sweeter
The champagne base does not seem to be so distinctive
It is recommended to order other classic bartender",False,0.091,0.028,0.882,0.7349
氣氛很棒的香檳酒吧，我想找不會太吵雜擁擠的空間，這間酒吧就很棒，聊天不用太辛苦的喊，空間也很寬敞舒適，裝潢很美，我的飲料是黑醋栗香檳，酸甜喜歡，松露薯條好吃，鮮蝦蘑菇原本以為是盤菜，結果是放在法式麵包上面搭配著吃，調味不錯。一個要改善的是某區座位燈壞了還電壓有問題，一直閃爍明暗，眼睛蠻不舒服的。,"The atmosphere is great. I want to find a space that won't be too noisy. This bar is great. Don't shout too hard to chat. The space is also very spacious and comfortable. Champagne, sweet and sour, truffle cannon strips are delicious. Fresh shrimp mushrooms originally thought it was ahri, and the result was to eat it on French bread. The seasoning was good.One thing to improve is that the seat lamp in a certain area is broken and the voltage is problematic. It has been shaking and shaking, and the eyes are quite uncomfortable.",False,0.262,0.1,0.637,0.957
"店裝潢得很美
不知道是因為不同調酒師還是怎樣
調酒品質落差蠻大
第一輪大家都覺得非常普通
第二輪大家都覺得很好喝
然後兩輪有兩杯一樣的酒
前後兩杯完全不一樣味道
—
3/11晚上消費","The shop is beautifully decorated
I don't know if it is because of different bartenders or what
The gap in bartending quality is quite large
Everyone thinks very ordinary in the first round
Everyone feels delicious in the second round
Then there are two cups of wine in two rounds
Two cups in front and back are completely different
————
3/11 Night consumption",False,0.108,0.0,0.892,0.8126
