Original,EN,Needs Review
"朋友的口袋名單
（直接放進自己口袋）
深藏仁愛路三段蛋黃區中的蛋黃中央
神秘的地下室藏著一家空間寬廣
環境與氣氛深得我心
座位寬敞  配色暗深  質感高雅的live house
還是自己最喜歡的其中之一Piano bar
所有Waiter Waitress服務都周到
雖然有一位年輕小哥酒品介紹錯誤
不過不影響整個體驗
服務人員的真實也讓人滿意
告知我們餐廳的人員之後會換
跟我們抱歉menu上沒有的餐點
雖然這麼說但馬告手工香腸個人覺得令人滿意（很鹹味道重口味且辣度以一般人來說是夠的）
薯條盆栽跟烤花椰菜是稍微失望沒錯啦
不過除此之外的酒類都很好
Bartender調的酒令人滿意
在愛爾蘭待過的我能喝到愛爾蘭咖啡調酒
讓我憶起滿滿的回憶…
Piano live performer so chill（非貶意）
價格在這地段也蠻合理
總結整體下來  是我默默的放進自己口袋的店
很喜歡  我一定會再來","Friend's pocket list
(Put directly into your pocket)
The center of the egg yolk area in the three -stage egg yolk area of ​​Shenzhen
The mysterious basement is hidden in a wide space
The environment and atmosphere win my heart
Live House with a spacious color matching color and elegant texture
Still one of your favorite Piano Bar
All Waiter Waitress services are thoughtful
Although there is a young little brother's wine introduction error
But it does not affect the entire experience
The truth of the service staff is also satisfactory
I will tell us the restaurant will be changed after
Sorry to us meals that I don't have
Although so, Ma Juan's handmade sausage personally feels satisfactory (very salty and heavy, spicy and spicy. It is enough for ordinary people).
French fries and grilled broccoli are a little disappointed.
But the alcohol is very good
Bartender tuned wine is satisfactory
I can drink Irish coffee bartending in Ireland
Let me remember full of memories ...
Piano Live Performer so Chill (non -derogatory)
The price is quite reasonable in this area
To sum up, the overall is the shop I silently put in my pocket
I like it very much, I will come again",False
B1 有多元的咖啡美食美酒表演，不定期的藝術拍賣。B2的隱藏版秘密空間更是辦展策展的好所在啊！,"B1 has a variety of coffee food and wine performances, irregular art auctions.The hidden secret space of B2 is a good place to do exhibition curation!",False
"一間集結咖啡館、音樂酒吧、餐酒館與藝廊的複合式空間，還有現場LIVE表演

這次是晚餐時段來的，餐點的部分正常餐酒館發揮，適合三五好友一起分食，店家在餐點或飲品的美觀、擺盤很用心，運用很多鮮花或植物來點綴，整體氛圍也蠻適合約會的~

歡迎追蹤：@haha_lifeee","A composite space of a coffee, music bar, dining tavern and art gallery, as well as live live performances

This time it came during dinner. Some of the normal meals of the meal are played. It is suitable for three or five friends to share them together. It's pretty suitable for dating ~

Welcome to track: @haha_lifeee",False
"朋友在這辦party，覺得不算是特別超值，換酒是使用酒券的方式，但喝開了其實很難保存那個券啦😅😅個人是覺得這方式不太合適
食物部分普遍都過油了⋯沒有到很美味，牛叻眼非常的油膩搭上上面的鴨肝，吃一口就不太行了；炸雞皮也是好油好油；蔬菜的部分不錯，但想吃到還要把上方薯條都吃完才有辦法～有點辛苦；但有一道龍蝦干貝的餐大約$1380個人覺得非常超值很推薦

總體來說～還能有進步空間","Friends are doing party here, and I feel that it is not particularly value -for -money. Change of wine is the way to use wine coupons, but it is actually difficult to save that coupon when drinking. I personally think that this method is not suitable
The food part is generally too oily. It is not very delicious. Niu Lat's eyes are very greasy to put on the duck liver above. It is not very good to eat a bite; fried chicken skin is also good and good; You have to eat all the fries above the upper fans ~ It is a bit hard; but there is a meal of about $ 1380 with a lobster scallop.

Overall ~ there is room for progress",False
店內裝潢很優雅，除了餐點調酒外，還有現場live鋼琴表演，氣氛不錯，炸物不錯吃，但就是調酒出餐的時間較久，味道順但記憶點較少，但這裡是一個可以好好享受味道的地方。,"The interior decoration of the store is very elegant. In addition to meals, there are live piano performances on the spot. The atmosphere is good and fried. You can enjoy the taste of the taste.",False
"日期：2023/3/11
主題：朋友深夜10:30pm喝一杯
人數：3大

老闆是設計師，對於光影的設計很專業，利用不同的投影方式，營造店內的lounge氣氛，很舒適。

是書店改造，所以店內有濃濃的文藝氣息，我座位旁邊就是一大本Doir的書籍📚

現場有鋼琴演奏 🎹，如果想要聊天的話，不能坐太近，因為音效很好超大聲的。

最驚豔的是他的奶茶和調酒，每一杯都像藝術品一樣，杯墊都是書本造型。冰奶茶有夠好喝，是用法國的鮮奶油打的奶泡，完全跳脫對奶茶的印象，可惜好小杯不夠喝啊。

還有愛爾蘭咖啡也是一個絕，在你身邊將法國奶泡倒入，要一大口從奶泡喝到最深的咖啡，又甜又帶苦。

調酒師是超可愛的小女生，小小隻笑起來好可愛，中英文都很好，自己發明的奶泡shoot超級好喝，完全喝不到酒味

因為是去年2022年10月才開幕，是還沒有被發現的私藏地，私心希望能不用預約隨時去都有位子！

————
飼養雙寶男孩的上班族兼老媽子，以親子活動、台北美食、海外旅遊為主的分享。廢言不多以條例式撰文，喜歡我分享風格的歡迎追蹤","Date: 2023/3/11
Subject: Friends Late Night 10:30 PM Drink a drink
Number of people: 3 major

The boss is a designer. He is very professional for the design of light and shadow. He uses different projection methods to create the Lounge atmosphere in the store, which is very comfortable.

It is a bookstore renovation, so there is a strong artistic atmosphere in the store. Next to my seat is a large book DOIR book 📚

There is a piano performance at the scene. If you want to chat, you can't sit too close, because the sound effect is very good.

The most amazing thing is that his milk tea and bartender are like artworks.Ice milk tea is delicious enough. It is a milk foam used to use French cream, which is completely out of the impression of milk tea. Unfortunately, it is not enough to drink a small cup.

Also, Ireland coffee is also a must. Pour French milk beside you. It is sweet and bitter from the milk brewing to the deepest coffee.

The bartender is a super cute little girl. The little laughed is very cute, and the Chinese and English are very good.

Because it was only opened in October 2022 last year, it was a private land that has not been discovered. I hope that there will be a child at any time not to make an appointment at any time!

————————
The office workers and mother of the two -treasure boy are mainly shared by parent -child activities, Taipei food, and overseas tourism.I do n’t write more nonsense in the regulations. I like my sharing style. Welcome to track",False
"很推！

1. 酒 - 特調跟經典都非常厲害，也很可以依照個人喜好推薦很到位的酒
2. 環境 - piano bar 整體空間舒適放鬆，氛圍 很好、器皿選擇上也用心
3. 人 - “寬” 非常貼心，關心客人狀態跟介紹上面都很細心","Very pushing!

1. Wine -Special Tune and Classics are very powerful, and you can recommend wine that is in place according to personal preferences.
2. Environment -Piano Bar's overall space is comfortable and relaxed, the atmosphere is good, and the choice of utensils is also carefully
3. People- ""Width"" is very intimate, care about the status of the guests and the introduction.",False
令人驚艷的好店，調酒、奶茶、餐點都讓人滿意，點了炒花椰菜和炸牡蠣，調味、沾醬都十分用心，想二訪,"The amazing good shop, bartending, milk tea, meals are satisfactory. I ordered fried broccoli and fried oysters.",False
"空間很棒，部分時段有Piano手現場演奏，酒好價格略高一些，適合安靜喝酒。
和大稻埕名店AKA同一個老闆。","The space is great, and some time is played on the spot. The good price is slightly higher, which is suitable for quiet drinking.
The same boss as Dadaocheng famous shop AKA.",False
"餐、調酒跟咖啡都很棒👍🏽
會是一直想再去的店！
無酒精的奶茶,只有四個字：無懈可擊
奶茶狂魔強力推薦

Ps愛爾蘭咖啡也超棒☺️☺️☺️

調酒師很好聊天、甜點師超正☺️☺️☺️🤍","Meal, bartending and coffee are great 👍🏽
Will be a shop that I always want to go again!
There are only four words without alcoholic milk tea: impeccable
Milk Tea Magic Recommendation

PS Irish coffee is also great ☺️☺️☺️

The bartender is very good to chat, desserter super positive ☺️☺️☺️🤍",False
餐、酒、咖啡都很強，有Rock在的酒吧就是台北第一酒吧！台北最好喝的調酒跟奶茶都在這！每次來都想掃菜單！,"Meal, wine, and coffee are very strong. The bar where Rock is in is the first bar in Taipei!The best sake and milk tea in Taipei are here!I want to scan the menu every time!",False
"調酒很有水準，充滿香氣與層次，大推愛爾蘭咖啡，必點👍
非酒精飲料也都很精緻好喝，不能喝酒的人也能開心一起喝一杯 …","The bartending is very standard, full of aroma and layers, pushing Ireland coffee, it must be ordered
Non -alcoholic beverages are also very delicate and delicious. People who cannot drink can drink a drink together ...",False
很適合第一次約會 週末有演唱會～餐點好吃,"It's very suitable for the first date on the weekend, there is a concert ~ Meal is delicious",False
當天平安夜去有歌手駐唱 整體氛圍不錯 但調酒偏貴且等很久,"On the same day, there was a good atmosphere of the singer in Ping An Night.",False
我去過全世界前50酒吧的17家，全亞洲前50酒吧的30+家，這裡的風味、服務和創意只能點讚！不能出國的時候，還好有這裡。以茶入酒，咖啡入酒，藝術、音樂、文化、和美食美酒的結合，一定是台灣必到的店。謝謝你們！,"I have been to 17 houses in the top 50 bars around the world, and the 30+ houses in the top 50 bars in Asia. The flavor, service and creativity here can only like it!When you can't go abroad, fortunately, here.The combination of tea into wine, coffee into wine, art, music, culture, and food wine must be a must -visit shop in Taiwan.Thank you!",False
"奶茶好喝 酒還好 下次想吃吃看馬告豬😍
可惜駐唱歌手功力不足 不足以襯托酒吧的質感 …","Milk tea is delicious, but I want to eat to watch the horse.
Unfortunately, the singer's skill is not enough to set off the texture of the bar ...",False
店裡的氣氛很棒，播的音樂也都很好聽，裝潢擺設很用心，送上來的每一個餐盤都很讓人驚艷，很像藝術品，服務生的介紹也很完整很熱情，現場演唱跟演奏的音樂很舒服，整間店的氣氛都很完美，非常推薦～,"The atmosphere in the store is great, and the music of the broadcasts is also very good. The decoration is very careful. Every dinner plate sent up is amazing. It is very similar to art. The music is very comfortable, the atmosphere of the whole store is perfect, it is very recommended ~",False
非常有氣氛的一家酒吧，特調超級優，餐點也都很好吃，很適合朋友聚餐敘舊～,"A very atmospheric bar, specially adjusted superior, the meals are also delicious, very suitable for friends to dinner for the old ~",False
"曾經每天中午跑來逛建築書的地方
餐點和調酒的調味很特別，甜點超棒
今天剛好有音樂表演！","The place where I came to the architectural book every day at noon every day
The seasoning of meals and bartender is very special, and the dessert is superb
There is just a music performance today!",False
