Original,EN,Needs Review
環境舒適很棒，這裡有很多日本厲害的威士忌在喝酒真的是VIP享受😎 …,The environment is very good. There are many powerful Japanese whiskey here.,False
環境舒適、店長親切，可以悠閒享受種類豐富的威士忌。推薦～,The environment is comfortable and the manager is kind to enjoy a variety of whiskey leisurely.Recommended ~,False
不用出國也讓你有日本氛圍的酒吧，喜歡威士忌，特別是日本威士忌的愛好者，要來朝聖，有很多日本限定款的威士忌,"No need to go abroad to let you have a Japanese atmosphere, like whiskey, especially Japanese whiskey enthusiasts, to come to pilgrimage, there are many Japanese limited models",False
支持了7年的愛店開了二店，環境跟氣氛都很舒適，喜歡日威的話這邊一定是最好的選擇,"After 7 years of love shop opened two stores, the environment and atmosphere are very comfortable. If you like Riwei, it must be the best choice.",False
餐點很普通服務還可以，但是酒跟氛圍是真的不錯,"The meal is very normal, but the wine and the atmosphere are really good",False
"Black Adder Shizuoka Whisky風味細緻絕佳～
Bartender介紹的非常仔細，輕音樂氛圍舒適輕鬆！","Black Adder Shizuoka Whisky's flavor is delicate and excellent ~
Bartender introduces very carefully, the light music atmosphere is comfortable and easy!",False
"座落於古亭的私密日式沙龍

威士忌專門供給。特殊且齊全的日式威士忌，對於饕客的神秘味蕾洗禮","Private Japanese salon located in Guting

Whiskey is specifically supplied.Special and complete Japanese -style whiskey, baptism of the mysterious taste buds of customers",False
有很豐富的酒款，日本威士忌或蘇格蘭威士忌都有，不論是一個人或是跟朋友來都很適合的威士忌酒吧,There are very rich wines. Japanese whiskey or Scotch whiskey is available.,False
環境舒適高雅，輕鬆的背景音樂，讓品酒成為一種享受！,"The environment is comfortable and elegant, and the relaxed background music makes wine tasting a kind of enjoyment!",False
氣氛很棒，店長人很nice，威士忌種類多,"The atmosphere is great, the shopkeeper is very nice, there are many types of whiskey",False
"威士忌專門店
想體驗不同的威士忌值得到訪🤟🤟
而且 店長很正😂😂😜😜 …","Whiskey specialty store
Want to experience different whiskeys, it is worthwhile 🤟🤟
And the store manager is very positive ...",False
適合放鬆的好地方,Suitable for relaxation,False
酒好喝 店員熱情 是個很好的體驗,The enthusiasm of the wine clerk is a good experience,False
環境很舒適、很有日本的風情！,The environment is very comfortable and very Japanese!,False
很棒 很正統的whiskey bar,Very great and orthodox Whiskey Bar,False
很放鬆,Very relaxed,False
這是一個多麼舒適的地方，可以閒逛並享用一些優質的日本威士忌。 Elly 非常熱情，也很會推薦威士忌！,"What a comfortable place, you can stroll around and enjoy some high -quality Japanese whiskey.Elly is very enthusiastic, and it will recommend whiskey!",False
"一個可以放鬆身心並喝威士忌的酒吧。
威士忌的種類豐富，還展示著稀有的威士忌，光是看著就很有趣！
二樓有座位，可以自己放鬆，約會可以用這裡！","A bar that can relax and drink whiskey.
The variety of whiskey is rich, and it also shows rare whiskey. It is fun to look at it!
There are seats on the second floor, you can relax yourself, you can use here!",False
這是一個放鬆和喝威士忌的好地方！二樓氣氛不錯，沙發超舒服！我認為對於一小群人來說，這是一個很好的秘密隱居地，可以喝一杯。我還會再去！,"This is a good place to relax and drink whiskey!The atmosphere on the second floor is good, the sofa is super comfortable!I think this is a good secret home to a small group, you can drink a drink.I will go again!",False
舒服,Comfortable,False
