Original,EN,Needs Review,Positive,Negative,Neutral,Compound
"味道很好，但價格稍高
第一次吃穆薩卡這道料理
異國香料的味道配上沙拉很清爽、舒服
但吃完有一種不滿足的感覺
可能馬鈴薯泥的比例稍高
絞肉的調味可能可以再大膽一點？
如果有機會再吃會想嘗試別的","The taste is good, but the price is slightly higher
The first time I ate Musca's dish
The taste of foreign spices is very refreshing and comfortable with salad
But there is a feeling of dissatisfaction after eating
Maybe the proportion of potato puree is slightly higher
Can the flax of meat grinder be bolder?
If you have a chance to eat it, you will try to try something else",False,0.169,0.052,0.779,0.8198
夏卡蘇卡沾麵包很有味道～～～雞肉沙威瑪也不錯～只是在夏卡蘇卡前顯得沒味了～整體來說是不錯的味道～～,"Xiakasaka dipped in bread is very delicious ~~~ Chicken Shawima is also good ~ Just before Xiakasaka, it looks tasteless ~ Overall it is a good taste ~~",False,0.281,0.0,0.719,0.8687
"Falafel pita 好吃
但是pita居然是冷的 應該要先加熱過比較好吃 不然好出戲⋯
薯條好吃
hummus的味道沒有很強烈 感覺大蒜跟檸檬可以多加一點😊
一份的份量太多 建議可以分大小份賣

有機會還會再二訪","Falafel pita delicious
But PITA is actually cold and it should be heated first. It's better to be delicious.
French fries are delicious
Hummus has no taste. It feels strongly that garlic and lemon can be added a little more 😊
There are too many proposals to be sold in size

I will visit again if you have a chance",False,0.32,0.103,0.576,0.9681
餐點健康。選擇很多。各種肉品與沙拉口味都很道地。蔬食選項較少，口味應當也沒有肉品出色。但總結仍有不錯的選擇。對優吃肉品的朋友。絕對是健康又實惠的餐廳。,"Meal healthy.Choose a lot.Various meat products and salads are very authentic.There are fewer vegetables and foods, and the taste should not have excellent meat.But the summary still has a good choice.Friends who eat meat products.It is definitely a healthy and affordable restaurant.",False,0.168,0.061,0.771,0.6488
"2024/02/07 晚上第一次用餐
點了店員推薦的炸鷹嘴豆丸子＆雞肉沙威瑪 都有附皮塔（可以請店員加熱）
餐點都很好吃！皮塔加上鷹嘴豆泥吃 真的很好吃 特別！
甜點嚐試了甘納許椰香巧克力 不會過甜 很特別 兩個人分享剛剛好！
下次有機會再來試其他料理！","2024/02/07 The first meal in the evening
I ordered the fried hawk bean balls & chicken Shawima recommended by the clerk (you can ask the clerk to heat)
The meals are delicious!Pitta and eagle -mouth beans are really delicious and special!
Dessert tried Ganna Xu coconut chocolate, it would not be too sweet, very special. Two people shared it just right!
Next time I have a chance to try other dishes!",False,0.207,0.03,0.764,0.9305
"拼盤👍起司非常好吃建議單點
雞肝鷹嘴豆泥👍很特別的口味
燉魚馬鈴薯👍👍常見美味
牛肉茄子馬鈴薯塔👍常見美味
+檸檬汁*2👌太酸了建議店家加蜂蜜
拼盤大多是2~4塊，雞肝6塊，魚約4~5塊","Platform 司 cheese is very delicious, it is recommended to single point
Chicken liver eagle mouth bean puree 👍 is very special flavor
Stew fish potato 美 Common delicious delicious
Common deliciousness of beef eggplant potato tower 子 common
+Lemon juice*2檬 Too sour, I suggest that the store add honey
Most of the platter is 2 to 4 pieces, 6 pieces of chicken liver, about 4 to 5 pieces of fish",False,0.223,0.0,0.777,0.9583
第一次挑戰以色列美食，真的很不一樣，不錯吃！嚐鮮不同國家食物這有趣！這家環境服務五星，食物也沒話說！下次有機會再去光臨！,"The first challenge Israeli cuisine is really different, good to eat!Foods in different countries are interesting!This environment serves five stars, and there is nothing to say about food!I will come again next time!",False,0.154,0.0,0.846,0.6855
"餐點，正如店內影片中介紹的，真的是令人驚豔，食物充滿了異國的風味，一吃入嘴就有出國了的感覺，超級好吃，最重要的，價格親民，一點都不貴！！
這次來的時候其實沒有很餓，但卻好吃到把整份餐點快速吃完，一點都不膩，而且很清爽好入口，超級令人滿意！！
服務態度也很親切，總之是一家超棒且超值得再來好幾次的優質餐廳","Meals, as described in the store in the store, are really amazing. The food is full of exotic flavor. When you eat it, you feel like you go abroad. It is super delicious. The most important thing is that the price is affordable. IntersectionIntersection
When I came this time, I was not very hungry, but it was so delicious that I finished eating the whole meal quickly. It was not greasy at all, and it was very refreshing and good. It was super satisfactory!Intersection
The service attitude is also very kind.",False,0.282,0.0,0.718,0.9863
所有餐點都是香料調味豐富，味道層次多。炸鷹嘴豆酥脆，可搭配鷹嘴豆泥，風味更提升。烤漢堡肉也是十分多汁，可搭配著口袋餅一起享用。摩洛哥羊肉雪茄捲一致獲得大家好評，外皮是熟悉的春捲，但內餡的風味與層次截然不同。塔皮、派皮類的品項也是香氣十足。,"All meals are rich in flavors and have many taste levels.The fried eagle mouth beans are crispy and can be matched with eagle -mouth beans, which improves the flavor.Baked burger meat is also very juicy, which can be enjoyed with pocket cakes.The Moroccan mutton cigar rolls have been well received by everyone. The outer skin is a familiar spring roll, but the flavor and layers of the filling are very different.The items of the tower and the skin are also full of aroma.",False,0.091,0.0,0.909,0.7096
"一進門就感受到濃濃的異國風情，老闆是道地的以色列人，店內也有非常多的外國食客在用餐，可想而知餐點一定是很道地的料理！
點了烤牛肉口味的皮塔三明治，上桌後果然跟我所想像的不太一樣，pita餅皮較厚但是不失Q嫩，搭配裡頭包的餡料，清爽又酸帶一點點甜，原本因為早餐吃太飽不餓的我，胃馬上被打開，整個食慾大增默默把整份皮塔三明治吃光光😂","As soon as I entered the door, I felt a strong exotic style. The boss was an authentic Israelis. There were also a lot of foreign diners in the store. It is conceivable that the meal must be a very authentic dish!
I ordered the grilled beef -flavored Pitta sandwiches. After serving, it really is different from what I imagined. Pita cakes are thicker but not losing Q tenderness. With the filling inside, it is refreshing and sour with a little sweet. Originally, it was originally. Because I was too hungry for breakfast, my stomach was immediately opened, and the whole appetite increased silently to eat the whole Pagoda sandwiches.",False,0.095,0.043,0.862,0.7376
