Original,EN,Needs Review
"昨晚跟朋友第一次踏進來，彼此招呼的溫暖氛圍，感覺的出來都是老顧客，老闆豐富的日本酒知識，介紹的非常仔細，喝酒的時候更能細細品味每隻酒的風土，即使不懂日本酒的客人，也可以告訴老闆自己喜歡的口味口感，老闆會推薦一隻適合你的酒品👍🏻👍🏻👍🏻
也很推薦清酒冰淇淋&生火腿
經過的話就大膽的推門進來🍸 …","Last night I stepped in with my friends for the first time. The warm atmosphere of greeting each other, I felt that they were all old customers. The boss's rich Japanese wine knowledge was introduced very carefully. Even if you don’t understand Japanese wine, you can also tell the boss your favorite taste. The boss will recommend a wine that suits you.
It is also recommended for sake ice cream & raw ham
If you pass it, you will boldly push the door and come in 🍸 ...",False
"開始是因為跟喜歡的人來所以印象很好
但偶爾自己來也覺得讚
最後就習慣定期拜訪

很常有happy hour或日本酒知識推廣活動（資訊follow ig) 老闆的文案都很有趣
總之 想入門體驗看看 或日常酗酒（？）都合適
推推！","I started to be very impressed because of coming with the person you like
But occasionally I feel like it
Finally, get used to regular visits

It is very common for the copywriting of Happy Hour or Japanese wine knowledge promotion activities (information Follow IG).
In short, I want to get started to experience or drink daily alcoholism (?)
Push!",False
是個小麻雀的酒吧（五臟俱全喔）。店主的日本酒知識非常豐富，第一次嘗試日本酒的顧客完全可以放心交由店主推薦🤭PT夥伴也很健談。總結一句，是個會想要再訪的酒吧🍶 …,"It is a small sparrow bar (all five internal organs).The owner's Japanese wine knowledge is very rich. For the first time, the customers who try Japanese wine can rest assured that the owner recommends 🤭PT partners.To sum up, it's a bar that you want to visit again ...",False
第一次來這家清酒酒吧，一進門就被這裡溫馨的氛圍吸引🙂‍↕️老闆非常細心介紹每一支清酒的口感和由來，感覺得出他對清酒的了解非常深入，能夠詳細解釋每一支清酒的製作過程、使用的米種以及產地的獨特風味。老闆的專業和熱情讓我對清酒有了更深的認識和欣賞🫶🏻 …,"For the first time I came to this sake bar, as soon as I entered the door, I was attracted by the warm atmosphere here. 🙂‍↕️ The boss carefully introduced the taste and origin of each sake. I feel that he knows his understanding of sake very deeply. The process of making liquor, the unique flavor of the rice species used, and the place of origin.The professional and enthusiasm of the boss gave me a deeper understanding and appreciation of sake ...",False
體驗很好！老闆樂於分享自己的知識，選酒功力也很好！一個tasting set 喝下來，滿滿的收穫👍🏻👍🏻👍🏻 …,"Good experience!The boss is happy to share his knowledge, and the skill of choosing wine is also very good!Drink a tasting set, full of gains ...",False
很特別的酒吧，很多日本酒類，也有許多特別的私藏日本酒，下次happy hour有機會想來嘗試！,"Very special bar, many Japanese wines, and many specially hidden Japanese wine. Next time Happy Hour has the opportunity to try to try!",False
這家日本清酒酒吧氛圍超棒，酒款種類豐富，從經典到稀有的清酒應有盡有。店員非常專業，推薦的酒搭配得恰到好處，讓人忍不住一再回訪，真心推薦！,"The atmosphere of this Japanese bartender bar is great, the types of wine are rich, and there are everything from classic to rare sake.The clerk is very professional, and the recommended wine is just right, which makes people can't help but return to the visit again and again. Recommended it!",False
有趣的清酒吧，用360度來認識日本酒，還有日劇般罐頭小食。,"Interesting bartending bar, use 360 ​​degrees to know Japanese wine, as well as canned snacks in Japanese drama.",False
"老闆很親切，清酒知識也不是概的，收穫良多，最後還被招待一杯智惠美人，不好意思說臉書跟IG都有追蹤😅，推薦想認識或嘗試日本酒的，不定期還會有活動喔👍,絕對讓您不虛此行！ …","The boss is very kind, and the knowledge of sake of sake is not the same. It has a lot of gains. In the end, he was entertaining a cup of Zhihui Beauty. Sorry to say that Facebook and IG both have tracks. It is recommended to know or try Japanese wine. Alas, definitely let you do this!Mowing",False
"薰爽醇熟的一晚
第一次接觸到純正清酒吧！
酒米/食用米/用水/口感香氣不同的組合很有意思，跟著唎酒師學習拆解跟認識清酒

店面走清爽又慵懶的現代風格，吧台內打光漂亮的酒櫃上是滿滿的酒旗還有各家社長的簽名或紀念包裝，與吧台外的簡潔形成一種獨特的雜糅感，像是現代包裝下有個懷舊的老派靈魂。
對愛酒人士來說，是家非常舒服的清酒吧。

店內滿牆的酒廠旗子，天花板有挑高，店內有一塊還做了下沉式地板（算是包廂），不大的空間因此充滿高度錯落的層次，非常舒適。

營業時間從下午四點就開始，一直到凌晨，這樣的營業時間，絕對是很多酒友的心靈綠洲🤣
店家還有限定品項的喝到飽活動，大推薦！！👍","Xun Shuangli Night
The first time I came into contact with pure sake bartender!
The combination with different combinations of wine/edible rice/water/taste aroma is very interesting.

The shop is refreshing and lazy modern style. The beautiful wine cabinets in the bar are full of wine flags and signatures or commemorative packaging of each president. It is a nostalgic old soul under modern packaging.
For liquor people, it is a very comfortable bartender bar.

The winery flag full of the wall in the store has a high ceiling. There is a sinking floor (a box) in the store. The small space is full of high levels and very comfortable.

The business hours started from 4 pm until the early morning. Such business hours are definitely the soul oasis of many drunkards.
The store also has a full -scale drinking event, it is recommended!IntersectionBleak",False
