Original,EN
"今天，太座想要來點不一樣的中餐，選定了內湖這間AGUSTO義式料理，作為忙碌後的約會餐廳。結果用餐過程中竟然出現了不少有趣的情節，呵

首先，太座提前訂位，時間是下午1點。雖然前一天已確認過訂位，但進入餐廳後，我們竟然在門口站了許久，沒有人來招呼。明明看到我們了，但前台的3位服務人員似乎忙得焦頭爛額，居然讓我們在門口尷尬地等候。不知道的人還以為我是貴餐廳的招財貓呢，哈哈！這家餐廳的評價如此高，怎麼會這樣勒？

點了幾道料理後，我們發現餐廳主廚確實用心。699元的萊姆伏特加小羔羊，肉質鮮嫩、口感飽滿，處理得非常不錯。399元的日本兵庫火烤生蠔（生食級），處理得也很好，吃得滿嘴都是新鮮的味道。其他如299元的鱒鮭腰果沙拉（新鮮生菜與鮭魚）、300元的牛肉薄皮披薩（鹹度較高且底部微焦），這些菜色其實都沒什麼好挑剔的！
如果要提出建議的話，貴餐廳既然賣酒賺錢，能否加強外場人員的教育訓練？今天我點了2份生蠔，想搭配白酒，結果你們上了一杯180元、酒體已經分散、只剩酒精雜味的House Wine。喝第一口時，我立刻反應希望更換，但服務人員可能誤解了，拿來一個小箱外觀（應該是鋁箔包裝），並告訴我這種酒可以耐放且絕對沒問題。身為消費者，我希望外場人員能更理解：當消費者提出問題時，你們應該針對問題提供解決方案，而不是草草了事！

最後，這頓飯我們2人共花費近3,000元。希望有機會再訪 貴餐廳時，你們能多一些耐心與細心，相信會做得更好！","Today, Taiza wants to have a different Chinese food, and chose the AGUSTO Italian cuisine in Neihu as a busy dating restaurant.As a result, many interesting plots appeared during the meal, huh

First of all, Taiza binds ahead in advance at 1 pm.Although the reservation has been confirmed the day before, after entering the restaurant, we even stood at the door for a long time, and no one came to say hello.I saw us obviously, but the three service staff at the front desk seemed to be too busy, and it actually made us wait embarrassed at the door.People who do n’t know think I am a wealthy cat in your restaurant, haha!The evaluation of this restaurant is so high, how can it be like this?

After ordering a few cuisines, we found that the restaurant chef did be attentive.The 699 yuan Lym Vodka lamb, which is tender and full of taste, and has a good treatment.The 399 yuan Japan Hyogo fire roasted oyster (raw food grade) is also very good, and the mouth is full of fresh taste.Others such as 299 yuan salmon waist fruit salad (fresh lettuce and salmon), 300 yuan of beef -skinned pizza (high saltiness and slightly burnt at the bottom), these dishes are actually not very picky!
If you want to make suggestions, since your restaurant sells wine to make money, can you strengthen the education and training of the people outside the field?Today I ordered 2 oysters and wanted to match white wine. As a result, you put a cup of 180 yuan, the wine body was scattered, and only the scent of wine.When I drank the first bite, I immediately reacted to replace it, but the service staff may be misunderstood and brought a small box of appearance (it should be an aluminum foil packaging), and told me that this wine can be durable and absolutely no problem.As a consumer, I hope that the staff of the field can understand more: when consumers ask questions, you should provide solutions for problems, not hastily!

Finally, we spent nearly 3,000 yuan in this meal.I hope that when you have the opportunity to visit your restaurant again, you can be more patient and careful, I believe it will be better!"
"在Google 上找到這家餐廳，情人節晚餐第一次來試試看，發現真的是非常值得推薦的餐廳！很難得在台北氣氛好、CP值高、餐點擺盤漂亮、餐點味道優秀、服務周到的餐廳
胡小姐與呂小姐服務很周到體貼，還有一位稍微比較年長（看起來好像是半內場）的員工也非常可愛！🥹
大推！！下次會再回來～ 🤩","Finding this restaurant on Google for the first time on Valentine's Day and dinner for the first time, and found that it is really a recommended restaurant!It's hard to have a good atmosphere in Taipei, high CP value, beautiful meals, good meals, and thoughtful restaurants
Miss Hu and Miss Lu's services are very thoughtful and considerate, and there is also a slightly older employee who is slightly older (it seems to be a semi -inner field) is also very cute!Bleak
Push!IntersectionWill come back again next time ~ 回"
"用餐日期：2024/08/14
每道料理都好吃，牛排很大一份建議要分食，戴牙套的服務生妹妹很可愛也有周到的服務，還會再來，推~","Date: 2024/08/14
Each cooking is delicious, and the steak is a big recommendation to eat. The waiter and sister of the braces are very cute and thoughtful. They will come again, push ~"
我們在洲子街上班，每天都會經過*AGUSTO*店，今晚來吃晚餐點*牛排*，就餐點特色及服務及氣芬，整體都可以給**五星滿分**。,"We work in Zhouzi Street and pass through the*Agusto*shop every day. Come to dinner tonight*steak*, dinner features and services and qifen, the overall five -star full score can be given."
"這次是第二次來用餐，上次點松露牛排義大利麵覺得很美味，這次改吃頓飯，也好吃😋
鳳梨鮮蝦薄餅很開胃而且蝦子很多！
飲料紅桃K很特別是用洛神花，鹹鹹甜甜氣泡感，不錯喝🥰
店員小姐們可愛親切、服務周到！！","This time I came to dine for the second time, and the last time the truffle steak was very delicious. This time I changed a meal, which is also delicious.
Pineapple fresh shrimp pancakes are appetizing and shrimp!
Drink red peach K is especially used with Luoshen flowers, salty and sweet sweet bubbles, good drinking 🥰
Miss clerks are cute and kind, and thoughtful!Intersection"
"店內氣氛佳, 服務親切.  餐點味道很好吃.

有空會再二訪.","The atmosphere in the store is good, and the service is cordial. The taste of the meal is delicious.

There will be a second visit if you have time."
"不知道是不是人手不足
上了前湯後
居然等了40分鐘才上主餐
這之間桌都在乾等

可以接受慢，但東西上來都偏涼
真的不太能接受
非常扣分也令人失望
完全不推薦","I don't know if it is insufficient manpower
Behind soup
It took 40 minutes to go to the main meal
The tables are all dry and waiting

It can be accepted slowly, but everything comes up cold.
Really acceptable
Very deducted and disappointing
Not recommended at all"
"簡約時尚，餐點還不錯！服務妹子親切！
#松露蕈菇熟成牛排
#佩理戈爾黑松露濃湯（推）","Simple and fashionable, meals are not bad!Serving the girl is kind!
#
#理 浓 soup (push)"
"餐點很好吃，推薦松露濃湯跟干貝羅勒燉飯
服務態度也很好值得再訪💕","The meal is delicious, it is recommended to stew rice with truffle soup and dried shelller
The service attitude is also very good worth visiting 💕"
"羊排很嫩很好吃 水準之上
烤布蕾是大人口味 推薦！
會再回訪","The sheep chops are very tender and delicious.
Boile Bud is recommended by adult taste!
Will return to"
"5/7朋友聚餐
第一次評論就獻給這家餐廳了。
本人不愛松露，抱著嘗試心態點點看，沒想到出乎意料。
醬汁和松露融合得很好，吃起來非常溫和。
飯用的是義大利米，吃得到米心，軟硬度適中，直接勾起了我在歐洲時用餐的回憶，一口接著一口，不知不覺就吃完了。

pizza用的是墨西哥餅皮，比起平常吃到的那種麵包口感真是好太多了，調味也抓得很剛好。

店內裝潢非常高挑，冷色系又不失優雅和溫暖，完全看得出老闆的個性和大器，下次公司聚餐或包場一定會再訪。

ps.服務生看起來很年輕，沒想到非常專業和親切。","5/7 friends dinner
The first comment was dedicated to this restaurant.
I don't like truffle, I look at the mentality of trying, but I didn't expect unexpectedly.
The sauce and truffle are well blended and they taste very gentle.
The meal was used in Italian rice. I could eat rice heart and moderate softness. It directly evoked my memories of dining in Europe. After a bite, I finished eating it without knowing it.

Pizza uses Mexican cakes. It is much better than the bread mouth that I usually eat, and the seasoning is just right.

The interior decoration of the store is very tall, and the cold color system is elegant and warm. It can completely see the personality and big device of the boss. The next time the company's dinner or charter will be visited again.

PS. Water waiters look very young and do not expect very professional and kind."
"Agusto奧古斯托_內湖

挑高的室內空間，簡單大器。

焗烤白酒清炒時蔬，醬汁燴於蔬菜上十分入味，焗烤的起司有點多餘。

南美黑松露薯條，單吃就可以吃到外酥內軟的口感，炸得油香充滿口腔，配松露茄汁醬轉味也很美味，美中不足的是份量太少。

普羅旺斯小圓法，金黃而蓬鬆的麵包體有淡淡的小麥香氣，咬下略有咬勁卻不會過於硬實，搭配的醬不合我的胃口。反倒是搭配松露薯條的sause 整體感覺能強烈一點。

佩里戈爾黑松露濃湯，還沒入口就可以聞到強烈的松露香氣，鹹度濃稠度都剛剛好。

坎帕尼亞馬賽魚湯，酸香都達到很好的水準，魚塊結實不鬆散。越喝會越順口。

日本墨醬炙燒海膽燉飯，單吃海膽時風味是淡淡的鮮甜，墨醬燉飯外部柔軟但中間仍保有米芯的口感，當兩者一併送入口中時，好像起了化學作用，海膽的海味被墨醬燉飯激發而出，恨不得每一口都是海膽加燉飯。

挪威鱒鮭乳酪奶醬燉飯，燉飯維持良好的水準不提，鮭魚的熟度維持的還算不錯，不夠完美，但還是軟嫩的狀態。

南法松露熟成牛排燉飯，沒有嘗試，跳過。

美式炭燒牛肉薄餅，餅皮薄脆，基底的醬香搭配牛肉薄片相得益彰，不知不覺就消滅殆盡…

富士女王蘋果薄餅，一上桌就是蘋果及肉桂混雜的甜香氣息十分濃郁，每一口都吃得到切成丁的蘋果果肉，原以為已經把肚子裝滿了，一不留神整張薄餅也被分食完畢。

焗烤白酒清炒時蔬TWD299
普羅旺斯小圓法TWD149
南美黑松露薯條TWD149
佩里戈爾黑松露濃湯TWD250
坎帕尼亞馬賽魚湯TWD250
日本墨醬炙燒海膽燉飯TWD699
挪威鱒鮭乳酪奶醬燉飯TWD399
南法松露熟成牛排燉飯TWD399
美式炭燒牛肉薄餅TWD300
富士女王蘋果薄餅TWD300

整體用餐體驗良好，食物整體水平都在水準之上，一旁的服務生會根據我們用餐的進度幫我們在最恰當的時間上下一道菜，可以很愉快地一邊進食一邊聊天談話。過程中店家額外介紹提供給我們的主廚哈瓦那辣醬，辣得很有層次，感覺萬物皆可搭！我還忍不住買了一組回家！
但除了這個醬之外，其他食物雖然都很美味，但好像都不到驚豔。","Augusto Augusto

High indoor space, simple large.

Stir -grilled white wine stir -fry the vegetables. The sauce is very delicious on the vegetables. The grilled cheese is a bit extra.

South American black truffle potato strips, you can eat the soft and soft texture of the outer crispy, and the oily fragrance is full of oral cavity. It is also delicious with loose laying eggplant sauce.

Provence's small round method, the golden and fluffy bread has a faint wheat aroma. It is slightly bitter but not too hard, and the matching sauce does not fit my appetite.On the contrary, the overall feeling of SAUSE with truffle potato strips can be stronger.

Pergor black loose dew soup can smell the strong truffle aroma without the entrance, and the consistency of saltiness is just right.

Campania Marseille Soup, sour fragrance has reached a very good level, and the fish pieces are not loose.The more you drink, the smoother.

Japanese ink sauce roasted sea urchin stewed rice. When eating sea urchin alone, the flavor is light and sweet. The outside of the stewed rice stew is soft but still keeps the taste of rice core. When the two are sent to the entrance, it seems to have chemical effect The sea urchin's seafood is stimulated by the stewed rice of ink sauce.

Norwegian Salmon Milk Milk Sauce is stewed. The stewed rice is maintained well.

Nanfa truffle is cooked into steak stew, no attempt, skipping.

American carbon -roasted beef cake, crispy cake skin, the base sauce flavor with beef thin slices complement each other, unknowingly eliminated ...

Queen Fuji Apple Porter, when the table was served, the sweet and scent of the cinnamon and cinnamon was very strong. Each bite could be eaten into a diced apple flesh. After eating.

Baked roasted liquor stir -fry twd299
Provence small round method TWD149
South American black truffle potato strip TWD149
Perigor Blackson Lulong Decoction TWD250
Campania Marseille Fish Soup TWD250
Japanese ink sauce roasted sea urchin stew twd699
Norwegian Salva Milk Milk Sauce Stew rice TWD399
Nanfa truffle cooked steak stew twd399
American carbon -roasted beef cake TWD300
Queen Fuji Apple Apple Porte Twd300

The overall meal experience is good, and the overall level of food is above the standard. The waiter will help us with the most appropriate time according to the progress of our meal.During the process, the store's additional introduction to the chef Havana hot sauce provided to our chef is very layered, and it feels that everything is available!I can't help but buy a group of home!
But except for this sauce, although other foods are delicious, they don't seem to be amazing."
"再次來訪 Agusto，在禮拜五的夜晚來場美食的饗宴，南方松露薯條不同於坊間一般松露薯條的做法，特別的是薯條本身沒有松露味，要沾松露莎莎醬才能讓薯條華麗變身.挪燻鮭魚佐鮭魚卵，鮭魚非常的軟綿微微透著奶油的香氣，接著是松露牛排直麵，牛排表面的焦脆與嫩有彈性的肉質有著口感的反差，也讓感官享受更為豐富。日式柴魚花枝薄餅，非常好吃的一道薄餅，有著美乃滋的香氣，搭上柴魚花枝的海味，美女行政主廚還為喜歡吃辣的客人準備了哈瓦那辣醬，非常推薦一定要搭配著吃，非常刺激的美味。法式伯爵巴斯克蛋糕，行政主廚特別交代趕緊品嚐，才能嚐到從冰涼的到室溫不同的變化，每一口也有不同程度上的風味。
餐廳每季都會更換菜單，非常推薦大家來品嚐讓人回味的美食。","Visit Agusto again. On Friday night, the feast of food is here. Southern truffle fries are different from the general ways of truffle potato strips in the workshop. In particular, the fries have no truffle flavor. Transformation. Moving salmon and salmon eggs. The salmon is very soft and slightly with the aroma of cream, followed by truffle steaks. The scorching crispy and elastic meat on the surface of the steak has a contrast. Rich.Japanese -style firewood flower branches, a very delicious pancake, has the aroma of beauty, and the seafood of the firewood flower branches. The beauty administrative chef also prepares Havana hot sauce for customers who like spicy food. , Very exciting and delicious.French Earl Basque cake, the executive chef specially explained to taste it quickly, in order to taste different changes from cold to room temperature, and each bite also has a different degree of flavor.
The restaurant will change the menu every season, and I am very recommended to taste the memorable food."
"推薦：
1. 服務人員非常專業親切
2. 辣醬、濃湯可口，龍蝦無愧為招牌
3. 蛋糕使用較少奶油並以乳酪、雞蛋取代，口感舒適
4. 干貝、龍蝦等招牌上佳
總體會推薦朋友來訪","recommend:
1. The service staff is very professional and kind
2. Make hot sauce and thick soup, lobster deserves to be a signboard
3. Use less creamy cream and replace them with cheese and eggs. The taste is comfortable
4. Signing on scallops, lobster and other signboards
I will recommend friends to visit overall"
