Original,EN,Needs Review
店外裝潢很有趣 第一次進酒吧 還想說真的是這裡嗎www 水餃不錯吃 然後很喜歡蒙娜麗莎的奶酒還有白蘭地香 本來想點牛排吃但運氣不好賣完了 下次一定點🫵💖🐄,The outside of the store is very interesting to enter the bar for the first time and want to say that it is really here? Bleak,False
"環境很特別，酒的別稱也很有趣，還帶了一段敘述，感覺很有帶入感。
外觀看似一堆書的書架，但是進出都是要摸索（很特別）。

日～四 低消 200/人
五六（例假日） 低消400/人

順手把menu 都拍下來 供參 點了 「蒙納麗莎」、「鳳梨冰茶」（無酒精）、「西柚蜜檸」（無酒精）、炸雞翅（我覺我很不錯！）
以調酒為主，沒有常見啤酒品項。(百威、海尼根⋯等都沒有。）
不過「有無酒精」品項還不錯。

去時是星期五，人不多，感覺挺舒適，燈光偏暗，要照相需要打光一下～

#板橋酒吧 #書䏱","The environment is very special, and the alcohol is also very interesting. It also brings a narrative, which feels very increasing.
The appearance looks like a bunch of books, but it is to explore (very special) in and out.

Daily ~ Four lows to eliminate 200/person
Five or six (regular holidays) low 400/person

Picked MENUs for ginseng, ""Monanolisa"", ""Pineapple Ice Tea"" (without alcohol), ""Grapefruit Calm"" (without alcohol), fried chicken wings (I think I am very good!)
Mainly bartending, there is no common beer item.(Belweed, Heingen, etc. There are no.)
But the item of ""or not alcohol"" is not bad.

It was Friday when I went, and there were not many people. They felt very comfortable and the lights were darker.

#Banqiao Bar #Book 板",False
調酒特別有它的特色，環境也很好，店門口設計成書店，進門後有來到另外一個空間，室內有一個專門拍照打卡的佈置,"The bartending is particularly characteristic, and the environment is also very good. The shop entrance is designed as a bookstore. After entering the door",False
"很放鬆又能品嚐到獨特調酒的好地方

每次都會點蘇軾，雖然是高梁但配合梅酒變得更容易入口，畢卡索偏甜但韻味十足

重點是離家好近好方便","Very relaxed and you can taste a good place for unique bartender

Every time I order Su Shi, although it is a sorghum, it becomes easier to enter with plum wine. Picasso is sweet but full of charm.

The point is that it is very close to home",False
"好美好舒服的酒吧，喝酒喝得好優雅，親切的店員、漂亮的調酒師，讓創意滿分的調酒變得更加有趣！每一杯調酒都有故事，很用心的設計～第一次喝到調酒尾韻的舒服感！

很意外的在酒吧可以吃到現煮的餐點！重點是非常好吃！媽媽味的滷味拼盤、手工鵝油米線，還有吉拿棒都無敵美味！","What a beautiful and comfortable bar, drink and drink very elegant, kind clerk, beautiful bartender, make the creative bartending more interesting!Every cup of bartending has a story, very careful design ~ The first time you drink the comfort of the bartender rhyme!

Surprisingly, you can eat cooked meals in the bar!The point is very delicious!Mom tastes the loquat platter, handmade goose oil noodles, and the Ji Run sticks are invincible and delicious!",False
"🔍 𝐈𝐧𝐬𝐭𝐚𝐠𝐫𝐚𝐦: 𝐜𝐚𝐫𝐢𝐧𝐚𝐭𝐢𝐧𝐠_

位於捷運新埔站附近，外觀是整面書牆，按下藏在書牆中的燈紐才敞開大門
從門口吧台沙發區到廁所裝潢都很有心，兒童區書櫃還有復古小電視超Q！
調酒推薦可以點看看專屬的特色調酒，有趣也好入喉，當天喝到醉醺醺也沒起酒疹，體感很舒適
餐點也挺好，吉拿棒酥脆外吃得出來油很乾淨，滷味口感恰好又入味

\ 喝酒前先墊胃 /

膠麻香滷味(牛腱、牛筋、海帶、米血、鳥蛋) $420
牛腱牛筋滷香入味外口感也恰好
米血軟Q帶糯，鳥蛋還用了蔥絲擺了個鳥巢好Q

吉拿棒(4PCS) $100
我愛死吉拿棒，外表酥脆內裡鬆軟外吃得出油很乾淨，肉桂微微的甜香很棒

\ 清新溫柔 /

飯島愛 $350
自製蘋果白蘭地 紅酒 鳳梨 水蜜桃 氣泡水

林黛玉 $350
自製茉莉琴酒 荔枝 氣泡水

兩款都是香香甜甜清新好喝的酒款，飯島愛特別用了玲瓏有緻的曲線杯，林黛玉多付了花型抹茶餅乾配茶，有經典的林黛玉葬花的意涵

\ 閃亮亮水嘎~ /

梵谷 $400
伏特加 琴酒 黑櫻桃 紫羅蘭

拍照起來很閃亮，亮晶晶發光的感覺就像梵谷經典的星空

\ 香甜好喝後勁大 /

蘇軾 $350
高粱 梅酒 紫蘇 生薑 桂花蜜

Bartender私心推薦，雖然高粱是積久但不怕沒有辣喉感，入口也是有香甜的感覺，但畢竟是高粱，初學者小心後勁會讓你想哭爹喊娘

還喝了SHOT跟伏特加調酒，好茫好茫的時候店家貼心遞上蜂蜜水，好暖
當天的Bartender也都好漂亮","𝐜𝐚𝐫𝐢𝐧𝐚𝐭𝐢𝐧𝐠 𝐜𝐚𝐫𝐢𝐧𝐚𝐭𝐢𝐧𝐠: 𝐈𝐧𝐬𝐭𝐚𝐠𝐫𝐚𝐦_

It is located near Xinpu Station of the MRT. The appearance is the entire book wall of the book.
The decoration of the table sofa area from the door of the door is very attentive. The bookcase of the children's area also has a retro small TV super Q!
Introduction to bartending can look at the exclusive specialty bartending, it is fun to enter the throat. I did n’t get drunk when I was drunk on the day.
The meal is also very good. The Ji Run stick is crispy and can be eaten very clean.

\ Before drinking, pad the stomach /

Jiao Ma Xiang Loan (beef tendon, beef tendon, kelp, rice blood, bird egg) $ 420
Bull tendon, beef tendon, fragrant flavor, taste exterior, it is just right
The rice blood is soft Q with waxy, and the bird egg also uses the green onion to set a bird's nest.

Ji Renju (4PCS) $ 100
I love to die with a stick, and the outside is crispy and soft inside can be very clean. The sweet and scent of cinnamon is great

\ Fresh and Gentle /

Inaka Ai $ 350
Homemade Apple Bailan Di Wine Pineapple Pineapple Peach Blippiece Water

Lin Daiyu $ 350
Homemade jasmine wine litchi bubble water

Both are fragrant and sweet and delicious wine. Ishima Ai specially uses the exquisite curve cup. Lin Daiyu paid more flower -type matcha biscuits and tea.

\ Shiny water gag ~ /

Van Gogh $ 400
Volkqin Wine Black Cherry Violet

It's very shiny to take pictures, and the shiny crystals feel like Van Gogh's classic starry sky

\ Sweet and delicious stamina /

Su Shi $ 350
Sorghum plum wine, perilla ginger ginger osmanthus honey

Bartender recommended that although the sorghum is accumulated for a long time, it is not afraid that there is no spicy throat, and the entrance also has a sweet feeling, but after all, it is sorghum. Beginners will make you want to cry.

I also drank shot and vodka bartender.
Bartender that day is also so beautiful",False
"店內空間寬敞，座位很多，琳瑯滿目的書櫃充滿魔幻的感覺，很酷很特別！
服務態度相當親切，會細心介紹餐點

😍喜歡飯島愛和蘇軾！覺得順口且好喝，很推薦點。秦始皇的shot也很讓人印象深刻！
推薦二訪！","The space in the store is spacious, with a lot of seats, and a variety of bookcases are full of magical feelings. It is cool and special!
The service attitude is quite kind, and you will introduce the meals carefully

和 😍 😍 😍 😍 and Su Shi!I feel smooth and delicious, it is recommended.Qin Shihuang's Shot is also very impressive!
Recommend the second visit!",False
"整個環境超級特別，一開始還差點找不到大門XDD
店內是以書櫃為背景，很特別。
這次點的調酒都很厲害呦~~~~","The whole environment is super special, I almost couldn't find the door XDD at first
The store is based on the bookcase, which is very special.
The bartender at this time is very powerful ~~~~",False
"有種躲到9又3/4月台的 與世隔絕感
讓人感到舒服的環境
服務也很讚 招待Shot好好喝♡
🍺🍻🥂🍹🍸🥃🧊💛 …","There is a sense of hiding in the world that hid 9 and 3/7
A comfortable environment
The service is also very entertaining the shot.
🍺🍻🥂🍹🍸🥃🧊💛 🍺🍻🥂🍹🍸🥃🧊💛 ...",False
音樂好聽很有氣氛，酒不錯喝且有特色，環境寬敞舒適自在，店員服務很好又貼心(˶‾᷄ ⁻̫ ‾᷅˵)❤️,"The music sounds very atmospheric, the wine is good and special, the environment is spacious and comfortable, the clerk service is very good and intimate (˶‾᷄ ⁻̫ ‾᷅˵) ❤️",False
