Original,EN,Needs Review
"真心推薦❤️❤️❤️～很有氣氛 餐點很好吃～
想喝杯酒不用怕交通不方便","Recommended sincerely ❤️❤️❤️ ～ The atmosphere is very delicious ~
Don't be afraid that transportation is inconvenient to drink a glass of wine",False
"氣氛很好很適合自己帶男女朋友來或曖昧對象
生日聚餐都很適合
月亮蝦餅$260*2:很厚裡面有🦐餡料不馬虎皮薄很脆
牛奶巧克力酒紅茶來姆$260:甜甜的很適合女生但不要一次喝太多會容易醉喔 冰塊融化後很順！
巧克力冰沙$180:有巧克力碎片🍫和莓果對女生很好喔～
松露海鮮燉飯$360:這個真的超好吃！裡面有干貝.魷魚🦑🦐都有炙燒過松露味很濃郁
泰式酸辣雞翅$220:雞翅大部分都很大塊醬酸酸甜甜的微辣🔥不怕辣的可以點！
義式肉醬水波蛋麵$280:麵的話中規中矩
裡面有2隻店貓可以嚕
有一隻比較怕生
有一隻比較親人","The atmosphere is very good, it is suitable for you to bring your male and female friends or ambiguous objects
Birthday dinner is very suitable
Moon shrimp cake $ 260*2: It is thick and there are stuffed stuffing.
Milk chocolate wine black tea is $ 260: Sweet is very suitable for girls, but not to drink too much at a time, it will be easy to get drunk.
Chocolate Bing $ 180: There are chocolate fragments and berries that are good for girls ~
Truffle seafood stewed rice $ 360: This is really delicious!There are scallops in it. Squid 贝 has a strong flavor of truffle.
Thai -style hot and sour chicken wings $ 220: Most of the chicken wings are large and sour, sweet and spicy, you can order!
Evangelical meat sauce water wave egg noodles $ 280: Noodles are satisfactory
There are 2 shop cats in it
There is one more afraid of life
There is a relative",False
"香蕉鳳梨酒口感滑順，香蕉的香甜與鳳梨的酸爽完美融合，讓人感受到濃郁的熱帶風味。

炸豆皮外脆內嫩，口感層次豐富，豆香濃郁且不油膩，是一道非常開胃的美食。","Banana pineapple wine is smooth, and the sweetness of bananas is perfectly fused with the sourness of pineapple, which makes people feel a strong tropical flavor.

The fried bean skin is crispy and tender inside, rich in taste, strong and non -greasy beans, is a very appetizing food.",False
"位在輔大附近的餐酒館 不論是吃飯或者喝酒都很適合 沒有時間的上限

一樓有吧台跟一般的座位都可以坐 也有插座可以充電 但一樓座位區很不舒服

每個服務員都會穿正裝 店內有兩隻貓咪可以嚕 一隻親人一隻怕生

店內有一些遊樂設施可以投幣遊玩

雖然說評論會送shot 但餐點跟氣氛真的不錯 要說缺點大概就是一樓座位非常的難坐 吃東西時整個不符合人體工學 很不舒服

📍紅椒海鮮燉飯$880 約3-4人份 適合多人聚餐點一份來分著吃 本身不會很辣 燉飯入味好吃
📍南瓜海鮮湯$200 很濃郁 好吃","The dining tavern located near Fuda University is suitable for the upper limit of time without time.

There is a bar and ordinary seats on the first floor. You can sit on the seat and there are sockets that can be charged. However, the seat area on the first floor is very uncomfortable.

Each waiter will wear two cats in a formal dress shop that can be a relative and one who is afraid of being born.

There are some amusement facilities in the store to play coins to play

Although the comment will be sent to the shot, the meal and the atmosphere are really good. The disadvantage is probably that the first floor seat is very difficult to sit and eat.

饭 Red pepper seafood stewed rice is $ 880 about 3-4 people suitable for multi-person dinner and one copy is separated to eat it.
Pumpkin seafood soup $ 200 is rich and delicious",False
輔大旁邊複合式餐廳，菜色種類滿多元，有義大利麵、Pizza，也有中式熱炒系列，調酒也很多元，整體而言口味還算中規中矩，幾乎沒有踩雷，份量也算不少；重點是居然沒有限時間，蠻驚訝的！非常適合三五朋友聚餐。,"The composite restaurant next to Fuda has a variety of dishes, with pasta, Pizza, and a Chinese hot stir -fried series. The bartender is also diverse. Overall, the taste is quite satisfactory, there is almost no thunder, and the portion is a lot. The point is that there is no limit to time, it's quite surprised!Very suitable for three or five friends to dinner.",False
"酒好喝，餐好吃，氣氛佳👍
份量十足又美味的餐喔！","The wine is delicious, the meals are delicious, and the atmosphere is good 👍
The meal with a good amount of weight!",False
餐點好吃、調酒也超棒，可以一自己喜歡的調性去做特色調酒，調酒師完全給了我想要的感覺 超棒的！,The meal is delicious and the bartending is also great. You can make special bartending as soon as you like the tone. The bartender gives me a great feeling that I want!,False
來了三四次，餐點都算不錯，芭達雅冰茶好喝，調酒也不錯！,"Three or four times, the meals are good, Pattaya ice tea is delicious, and bartending is also good!",False
餐點跟酒CP值都很高，店內氛圍很好 適合朋友聚餐,"The meals and wine CP are very high, and the atmosphere in the store is very good for friends to dinner",False
"好喜歡這邊😍
氣氛很棒🌹✨
餐點好多可以選擇","I really like this 😍
The atmosphere is great 棒
You can choose a lot of meals",False
