Original,EN,Needs Review
"氣氛很讚，每個角落都好出片
店裡的特調也蠻好喝的
叉燒有點鹹，不過配酒滿剛好的","The atmosphere is great, and every corner is good
The special adjustment in the store is also pretty delicious
The barbecued pork is a bit salty, but the wine is just right",False
第一次來到這家店，很開心獲得愉快的體驗，Hyman很樂意介紹每一杯調酒和人生的故事。之後還會想再來ꕀ,"When I came to this store for the first time, I was very happy to get a pleasant experience. Hyman was happy to introduce the story of every cup of bartender and life.After that, I would like to come again.",False
"環境舒服、店員服務不錯、酒類很不錯
但食物都是澱粉類，配酒餐食較少
點了流沙包可是沒有流沙比較像豆沙包
食物有點可惜，建議可以有炸物拼盤或者滷味拼盤，這樣跟酒類比較搭🤩","Comfortable environment, good clerk service, very good alcohol
But the food is starch, and there are fewer meals with wine
Order the quicksand bag, but there is no quicksand like a bean paste bag
Food is a pity. It is recommended that you can have a frying platter or a loquat platter.",False
"店面氣氛走一個復古路線 也都放著80 90年代金曲
進入店家後有種回到台灣過去的黃金年代
價格尚可 酒好喝 推割心
老闆人很好
有機會下次會在回訪
讚讚","The store atmosphere takes a retro route.
After entering the store, there is a kind of golden age that returned to Taiwan in the past
The price is still delicious and delicious
The boss is very good
I will have the opportunity to visit next time
Praise",False
"店內擺設有特色環境超讚，店員好聊
調酒好喝
很值得來這邊追夢","The special environment is superb in the store, and the clerk is good to talk
Blooming is delicious
Very worth coming here to chase dreams",False
"第一次來這間酒吧
氣氛我給90分
當天的bartender是阿文
我可以給100分
調的酒有水準
人也非常的nice
總而言之推一個","The first time I came to this bar
I gave 90 points at the atmosphere
Bartender was Avin that day
I can give 100 points
There is a level of tuned wine
People are also very nice
In short",False
"士林第一次去的bar,bartender是阿文,推薦的調酒很不錯,待客也很親切、健談,會願意二訪的店🫡","The first time Shilin went to Bar, Bartender was Avin. The recommended bartending was very good. The hospitality was very kind and talkative.",False
二訪，非常有懷舊風的一間bar，從裝潢、擺設、音樂、菜單到酒名都非常復古，還幸運碰到杜安駐唱，超級享受。,"The second visit, a very nostalgic BAR, is very retro from decoration, furnishings, music, menu to wine names. I was lucky to meet Du An's singing and enjoy it.",False
酒好喝～音樂好聽～氣氛很棒,The wine is good ~ music is nice ~ the atmosphere is great,False
"店很乾淨 服務又好 而且酒單超酷的
真的很喜歡復古風格 音樂也很棒
下次到台北 一定會再來造訪😍😍😍","The store is very clean and good, and the wine is super cool
I really like retro style music and it is great
Next time I arrive at Taipei, I will visit again 😍😍😍",False
