Original,EN,Needs Review
"推 明太子烤飯糰、烏龍麵跟水餃
串燒有點重口味
酒還不錯 有一些稍甜 店員送的shot很好喝，但很可惜沒有炸物（喝酒好想吃薯條）","Push the prince of the baked rice ball, oolong noodles and dumplings
Skewers are a bit heavy flavor
The wine is pretty good. There are some sweet shopkeepers that are delicious, but unfortunately there is no fried material (I want to eat fries if you drink alcohol)",False
食物好吃但調味都偏鹹，口味清淡者可能會吃不慣，調酒蠻好喝，價位偏高。座位很擁擠，音響很破，聽不清楚音樂，聊天也需要放大音量。,"The food is delicious but the seasonings are salty. Those with light taste may not be used to it. The bartending is pretty delicious and the price is high.The seat is crowded, the sound is very broken, the music is not clear, and the volume also needs to be enlarged.",False
"酒跟食物都給過（但份量偏小）
大推 大柚池酒
小小一間 座位滿小的","Both wine and food have been given (but the amount is small)
Dajiao Daoguchi wine
The small seat is full",False
半夜2點多抵達，店內大約三組客人，進門店員問要做吧台還是座位，我們選擇了吧台坐下後，店員三兩成群在聊天沒有要給菜單介紹，點了酒後也等很久才上，完全沒感覺到什麼服務，最後其他客人都走了只剩我們，店員開始大剌剌的收店、大聲的聊天嘻笑，完全沒有顧慮到我們這組客人,"Arrive at more than 2 o'clock in the middle of the night. About three groups of guests in the store. The clerk in the store asked to be a bar or a seat. After we chose the bar counter to sit down, the three or two groups of clerks did not introduce the menu in the chat. I didn't feel any service at all. In the end, other guests left only us. The clerk began to collect the stores and chatter loudly. I didn't worry about our group of customers.",False
"需加一成服務費，🉑刷卡
週末低消一人$600

菜單很有趣的一間酒吧，食物還不錯，白醬海鮮烏龍麵很好吃，獲得當天一致好評！
調酒類喝起來普通，但取名都蠻有趣的。服務很親切而且送餐及收盤快速，唯一缺點是油煙味偏重，離開後身上都是油煙味。","You need to add a service fee, swipe the card
Low the weekend one person $ 600

The menu is very interesting, the food is good, the white sauce seafood oolong noodles are delicious, and the day is well received!
Blooming is ordinary, but the name is quite interesting.The service is very kind and the meal and close are fast. The only disadvantage is that the smell of oil fume is seriously. After leaving, there is a smell of oil fume.",False
"很讚耶 吃的東西非常頂 牛肉麵是用刀削麵體的那種 感覺比一些牛肉麵店還厲害⋯
點的每杯酒也很好喝 有酒感重的也有偏妹酒的😍
應該可以算去過的台北酒吧前幾名","It is very good to eat what the beef noodles eat is the feeling of using the knife to cut the noodles than some beef noodle shops.
Each glass of wine is also very delicious. There are heavy wine.
The top of the Taipei Bar that you should be counted as",False
"臨時跟朋友揪喝，好險有先訂位不然肯定白跑一趟🤣
大推茶碗蒸跟辦桌😌😌😌","Drinking with friends temporarily, there are good dangerous binding seats, otherwise you must run a trip 🤣
Great push tea bowl steaming and running table 大",False
環境安靜、舒適，調酒沒有太大特色，有餐點，價格偏中上。,The environment is quiet and comfortable. The bartending is not very characteristic. It has meals and the price is medium.,False
"1.環境充滿油煙味 感覺排氣有問題
2.酌收服務費 但完全沒人介紹酒單、菜單自行摸索
3.菜單菜名誇飾法讓人充滿高期待但實際上桌不敢苟同
4.食物口感很像去景觀餐廳吃 毫無裝潢菜單用心的構思水准
5.酒感偏普無記憶點
6.網路評價極高實際太過譽

從裝潢到酒單設計都有不同於別間餐酒的風格與創意！但實際上桌跟所展現創意相當不符
還有私心不懂為什麼松露薯條配蕃茄醬🫨🫨⋯","1. The environment is full of oil fume and feels the problem of exhaust.
2. Accept the service fee, but no one introduces the wine list and the menu to explore by yourself
3. Menu dish name boasting method is full of high expectations, but in fact, the table is not in line with
4. The taste of food is very much like going to a landscape restaurant to eat the level of conception without decoration menu
5. There is no memory point for wine
6. The online evaluation is extremely high.

From decoration to wine list design, there are different styles and creativity of other meals!But in fact, the table is quite inconsistent with the creativity shown
And I don’t understand why truffle potato stripes with grave sauce 🫨🫨 ⋯ ⋯ ⋯ ⋯",False
環境尚可，沒什麼服務，餐點跟調酒都普通。,"The environment is acceptable, there is no service, and the meal and bartending are ordinary.",False
