Original,EN
"💨可惜吖可惜🤓
這家老店就這麼毀了在N次代手裡了😵‍💫
再補充一句🤓⋯⋯
新手 的 妳 別這麼目中無人

人外有人 天外有天
其實 消費者的我很少刷負評的🤣

親愛的 妳 是第一個😎

同情妳是午夜過後來支援的🤔

但是 親愛的妳
真的 真的 需要好好反省⋯
否則 幾十年的心血被無知的妳
斷送了⋯⋯非常非常不值的😳

沒指名道姓 是 希望 妳好自為之😤

還有就是 希望曹姐的店能長長久久😉
期待曹姐早日康復共飲一杯 加油呦😊","It's a pity that it's a pity 吖
This old shop has been ruined in the hands of N times. 😵‍💫
Add another sentence ⋯ ...
Novice, don't be in this way, no one is in this way

There are people outside the sky.
Actually, I rarely have a negative review.

Dear, you are the first 妳

Sympathy you are supported after midnight

But dear you
Really need to reflect well ...
Otherwise, decades of hard work will be ignorant of you
Fieral ... Very, very bad 😳 😳 😳 😳

No one named the name is that you hope you are so yourself

There is also hope that Sister Cao's shop can last for a long time.
Looking forward to Sister Cao recovering a cup of all cups as soon as possible 😊"
心情放鬆的好地點,A good place to relax in mood
這家店的環境雖然不是很好但算是還可以啦  只是裡面有幾個公關有年紀的小姐會自動來陪妳喝酒賺小費!其他……?就看自己囉,"Although the environment of this store is not very good, it is okay, but there are a few public relations ladies in it, and the older ladies will automatically come to drink and make tips to drink! Others ... It depends on myself"
說～大家都會說 就看自己的感覺好壞而已 說的再好或再差勁 你能理解嗎？ 送句廣告詞給你～消費合理 服務好氣氛佳 😁😁自己來體驗就了解👍 …,"Say ~ Everyone will say that you can understand if you feel good or bad, can you understand it?Send the advertisement to you ~ The consumer reasonable service is good at the atmosphere."
老闆人很有趣味，價格合理,"The boss is very interesting, the price is reasonable"
價格低廉，服務親切，飲酒聊舒解心情的好地方,"The price is low, the service is kind, the drink is good to drink and understands the mood."
不說是要你自己去體驗,Don't say you want to experience it yourself
低銷抵銷費，輕鬆自在,"Low sales offset fees, easy comfort"
老板好，音響佳。,"Good boss, good sound."
服務態度佳,Good service attitude
平價的酒場,Cheap winery
盡情歡唱,Sing down
環境不好,Environment is not good
很親切,Very kind
熱情,enthusiasm
他是一家卡拉OK,He is a karaoke
在此可交很多好朋友,You can make many good friends here
便宜,Cheap
