Original,EN,Needs Review,Positive,Negative,Neutral,Compound
"因朋友介紹
有幸來到台北的琴酒的博物館
Sidebar內吧

So哥的專業無庸置疑
當天點的經典調酒
So哥都會依照你的喜好去挑琴酒
選出最適合你當下心情的搭配
每杯都覺得新奇好喝

希望以後還有機會去QQ","Friends introduction
Fortunately to the museum of Qinjiu in Taipei
Sidebar, right?

SO Brother's professionalism is unquestionable
Classic bartender at the day
SO Brother will pick piano wine according to your preference
Select the match that is most suitable for your current mood
Every cup feels novel and delicious

I hope there will be a chance to go to QQ in the future",False,0.187,0.052,0.761,0.8429
"各式琴酒超推薦！
而且店員也很樂意介紹～
還會幫我們找附近有沒有推薦的宵夜XD
會願意再訪的店","All kinds of piano wine are super recommended!
And the clerk is also happy to introduce ~
I will help us find a recommended supper XD nearby nearby
The shop that will be willing to visit again",False,0.377,0.0,0.623,0.9567
"琴酒愛好者一定要來的酒吧
也很多平常不容易看到的琴酒可以選擇，如果有什麼想喝的琴酒也都可以詢問","Bar that Qinjiu lovers must come
There are also many piano wines that are not easy to see. If you have any piano wine you want to drink, you can also ask",False,0.13,0.067,0.803,0.3169
"總分：9
食物：2
服務：3
環境：4
總結：平衡的不太好，口感偏甜，整體層次也比較薄，香氣的部分還不錯。是聞起來比喝起來好的調酒。調酒還有進步的空間。環境和氣氛還不錯，順路喝一杯還行。","Total score: 9
Food: 2
Service: 3
Environment: 4
Summary: The balance is not very good, the taste is sweet, the overall level is relatively thin, and the aroma is not bad.It smells better than drinking.There is room for progress.The environment and atmosphere are good, and it is OK to drink a drink.",False,0.143,0.081,0.776,0.5865
這次沒有點吃的，琴酒調酒專賣店，也有其他特別的威士忌，有趣的體驗。,This time I did n’t eat it. There are other special whiskeys and interesting experiences.,False,0.293,0.0,0.707,0.6597
Mako對當天沒有任何想法的我耐心介紹起可能我會喜歡的琴酒方向，並不會貿然推薦某一杯調酒，會經過試飲環節，確保每一杯的主材料與副材料都能讓我不忌口，配上的茴香風味小餅乾，非常合適，有不同滋味,"Mako patiently introduced the direction of the piano wine I liked to like that day, and I will not rush to recommend a cup of bartending. I will pass the trial drinking session to ensure that each cup of the main materials and sideline materials of each cup can make me do not make me not not. Avoid mouth, fennel -flavored small biscuits, very suitable, different flavors",False,0.107,0.051,0.842,0.6289
寫樂出版的韓嵩齡大哥出了一本專業的琴酒書「工藝琴酒全書：歷史、製程、全球夢幻酒款與應用調酒」，但看書不如實際品嚐，所以韓大哥帶我們來他的作者鄭哲宇（Soso)位於文昌街的gin bar，這是我第一次踏入全是gin的世界，老闆soso 白天是工程師，晚上搖身一變成為琴酒專家，Side Bar 劃分為內外兩區，外區提供各式調酒還有餐點，基本上是一間好吃的餐酒館，但真正厲害的是內區酒吧，隱藏在一扇鐵門後面，得要輸入密碼才能進入，映入眼簾的是一座琴酒小博物館，這全都是soso歷年來的蒐藏，非常驚人的數量及風味，我當天喝了從歐洲森林各種植物甚至是龍蝦蒸餾出來的gin ，soso做了一杯跟舒芙蕾一樣的調酒給我，過程手法堪比魔術，在這樣的空間進行專業的對話，化學反應讓我飄飄然，至今無法忘懷，謝謝韓大哥、Jimmy還有soso 的招待。,"Big Brother Han Songling published by Laosu published a professional piano wine book ""Craft Qinjiu Book: History, Process, Global Dream Wine and Application"", but reading books is not as good as the actual taste, so Brother Han takes us to his author Zheng Zheyu (SOSO) is located on Wenchang Street. This is the first time I have stepped into the world of GIN. The boss Soso is an engineer during the day. There is also a meal for the tuning, which is basically a delicious dining tavern, but the real thing is the inner bar, hidden behind a iron door, you have to enter the password to enter. The wine small museum, all of which are Soso's search over the years, very amazing quantities and flavors. I drank GIN that all kinds of plants and even lobster distilled from European forests that day. I, the process is comparable to magic. There is a professional dialogue in such a space. The chemical reactions have made me flutter. I can't forget it. Thank you Brother Han, Jimmy and Soso's hospitality.",False,0.074,0.03,0.896,0.8561
謝謝你的即興調酒，這是我喝過最好喝的琴酒調酒，以後喝不到了有點傷心,"Thank you for improvisation, this is the best siberous alcohol I have ever drank.",False,0.358,0.0,0.642,0.7717
"Sidebar分為內外吧
外吧以電影為主題出了設計了Signature酒單
內吧則是由主理人Soso親自站吧，整個空間有超過1000支琴酒，且只能選擇琴酒為基底的經典調酒，會藉由風味輪盤來選擇自己有興趣的風味，也可以請主理人給予建議。
Soso對於世界各地的琴酒瞭解十分透徹，總是能選中適合的搭配，給予酒客在其他地方品嚐不到的組合。
只可惜內吧一位難求，建議電話詢問比較保險。","Sidebar is divided into inside and outside, right?
Outside the movie, the theme of the movie has designed the signature wine list
Inner bar is stood by the master SOSO in person. There are more than 1,000 piano wine in the entire space, and you can only choose a classic bartender with piano wine as the base. You can ask the Lord to give suggestions.
SOSO has a thorough understanding of piano wine from all over the world. He can always choose the right match and give wine guests that can not taste the combination elsewhere.
Unfortunately, it is difficult to find it. It is recommended to ask the phone to ask for insurance.",False,0.015,0.042,0.943,-0.4767
"2023白晝之夜八家酒吧之一，為此慕名而來。服務滿分💯，餐點很簡單幾樣下酒菜（在訂位時，店員貼心提醒我們要吃過晚餐再來）
酒單特別搭配老式電影名稱與海報，看著很有趣。
配合白晝之夜的猛禽調酒🍸走清香菊茶香，氣氛很棒👍大推～
低消一人600元喔～","2023 One of the eight bars on the day of the day, for this reason.The service is full, and the meal is very simple.
The wine list is specially matched with the old -fashioned movie name and poster, which looks very interesting.
With the Raptor of the Day Night, I am bartender.
Low one person 600 yuan ~",False,0.049,0.034,0.917,0.2247
