Original,EN,Needs Review
Cp值超高的酒吧❤️非常推薦！,Bar with high CP value ❤️ Very recommended!,False
老闆人好，員工各個正又親切，酒便宜好喝，還有什麼理由不給滿分🥰,"The boss is good, the employees are all kind and kind, the wine is cheap and delicious. What are the reasons not to give full scores?",False
"氣氛好棒調酒師好正🥰
現在餐點比較少
但酒好便宜推","The atmosphere is great, the bartender is so positive
There are relatively few meals now
But wine is so cheap to push",False
東西好吃😋！就也很好喝 …,What is delicious!It's also delicious ...,False
"大學時期很多人推薦的酒吧
滿滿的愛讓曾經不愛表達自己的我改變許多
酒吧不是一個大家心中那種不好的刻板印象
只是由店家如何去經營及朔造風氣

86酒吧就是一個讓您壯大信心認識不同業界人士的辛勞

非常推薦在學子弟來體驗這一家酒吧！","Bar recommended by many people during college
Full love makes me who once doesn't like to express myself to change a lot
Bar is not the kind of bad stereotype in everyone's heart
Just how the stores operate and make the atmosphere

86 Bar is a hard work that allows you to expand confidence to understand people in different industries

I am very recommended to experience this bar in the students!",False
"阿丁太正了所以我來了
張佳樂都不來啊馬的
史丹利來過一次都不揪我
啊..我想喝牆上的那個保力達","Abing is too positive, so I am here
Zhang Jiale doesn't come, the horse is from
Stanley hasn't stab me once a while
Ah ... I want to drink the Polyda on the wall",False
"新莊迴龍地區最愛的酒吧
滿滿的人情味 最愛這樣給客人家庭感的酒吧
推薦老少咸宜都來捧場 讓這個家庭一直延續下去
讚讚讚👍 …","Xinzhuang Huilong area's favorite bar
Full of humanity, I love this bar that gives guests a family feeling like this
Recommended for young and old Xianyi to come and make this family continue
Praise and praise ...",False
這家店cp值超級高，吧檯妹妹超級漂亮，老闆又是佛心來的價格超級便宜。,"The CP value of this shop is super high. The sister of the bar is super beautiful, and the boss is the price of the Buddha's heart is super cheap.",False
"氣氛 調酒 店員 都讚～～
生蠔超萌滴><","The atmosphere is praised by the atmosphere ~~
Oyster is super cute> <",False
離輔大很近，價格平民、店員親切，但是位置有點隱密需要仔細看一下🤣。 …,"It is very close to Fuda University. The price civilians and clerks are kind, but the location is a bit secretly needed to take a closer look.Mowing",False
老闆真的太會喝..太有溫度..拜託別在招待了…,The boss really drinks too much .. Too temperature .. Please don't entertain ...,False
從小喝到大的好地方,Drinking from childhood to a good place,False
酒超好喝❤️CP值超高！店員超漂亮💞還有可愛貓咪❤️ …,Wine is super delicious ❤️CP value is super high!The clerk is super beautiful 可 and cute cat ❤️ ...,False
特地坐車回來喝一杯！真的好讚！,Come back to a drink for a special car!It's really good!,False
氣氛佳 酒好喝 隔天不會頭痛,"The atmosphere is delicious, the next day will not have a headache the next day",False
不論是氣氛還是環境還是酒 好到沒話說，自己來體驗就知道！,"Whether it is the atmosphere, the environment or the wine is so good, you can experience it by yourself!",False
"來一次絕對還想再來
客人 員工 個個都是帥哥正咩","I definitely want to come again once again
The guests and employees are all handsome guys",False
燈光美氣氛佳，去了一次就愛上了,"The lights are beautiful, and I fell in love once after I went",False
好不想評論，太多人知道我就沒好地方喝酒了😢。 …,"Don't want to comment, too many people know that I don't have a good place to drink.Mowing",False
推個優質暖男老闆 會關心你吃飽沒,Push a high -quality warm male boss will care about you full,False
酒好喝 服務完美 店員漂亮,Wine good service perfect shop staff beautiful,False
店員親切，酒好喝！會常來光顧～,"The clerk is kind, the wine is delicious!I will come to patronize often ~",False
氣氛很好的talk bar，價格也很親民，調酒師也都很會聊,"Talk bar with a good atmosphere, the price is also very close to the people, and the bartender can also talk about it.",False
Angel很可愛 超會聊天 氣氛很棒 值得來 ！！,Angel is very cute and super -chatting atmosphere is great worth coming!Intersection,False
超讚！！！酒很好喝🥹,It's amazing!IntersectionIntersectionThe wine is delicious 🥹,False
氣氛讚 酒很好喝,The atmosphere is delicious,False
氣氛很讚！音樂很舒服,The atmosphere is great!Music is very comfortable,False
不多說 真的很讚 一群人必去,"Not much to say, it's really good to be a group of people who must go",False
"覺得住在旁邊的住戶很可憐

沒素質的客人
不管事的店家","I think the residents living next to it are very pitiful

No quality guest
No matter what the shop is",False
很喜歡店裡的氛圍！,I like the atmosphere in the store very much!,False
氣氛很讚酒好喝,"The atmosphere is great, wine is delicious",False
