Original,EN,Needs Review
好唱好喝！喜歡這個地方,It's so good to sing!Like this place,False
"氣氛不錯 音響也可以
喝酒唱歌的好地方👍
來這麼人都好會唱
好厲害","The atmosphere is good.
Good place to drink and sing 歌
Everyone is so good to sing
Great",False
"整體氛圍營造舒適，讓人可以很放鬆，相比搖滾區個人更喜歡吧台，比較有放鬆感。如果對基酒有基礎瞭解的話，可以在各種調酒上直接更換酒款，讓自己的調酒更有自己想要的感覺。若本身研究不多，也可以直接跟服務生或調酒師溝通想要的氛圍和酒感，同樣可以得到不錯的推薦和建議。

這邊另外的特色是不定期有不同活動，可以滿足有各種不同需求的酒友，是個適合聚會的地方。","The overall atmosphere is comfortable to make people relax. Compared with the rock areas, I prefer the bar and have a sense of relaxation.If you have a basic understanding of base wine, you can change the wine directly on a variety of alcohol, so that your bartending feels more.If there are not many research, you can also communicate directly with the waiter or bartender you want the atmosphere and sense of wine, and you can also get good recommendations and suggestions.

The other feature here is that there are different activities from time to time, which can meet wine friends with different needs. It is a place suitable for the party.",False
"這邊氣氛很好
空間也很大
燈光也不會太過明亮
即使自己一個人來也不會覺得格格不入
客人也很High
很容易融入氣氛♥️","The atmosphere here is very good
The space is also very large
The light will not be too bright
Even if you come alone, you won't feel that the grid is incompatible
The guests are also very high
It's easy to integrate into the atmosphere ️ ️",False
環境不錯，老闆人好好，喜歡唱歌又想喝酒的要去,"The environment is good, the boss is good, and those who like to sing and want to drink are going to go.",False
氣氛很好，可以唱歌，深夜好去處,"The atmosphere is very good, you can sing, and go to the good place late at night",False
環境很舒服、酒很有特色、好喝！居然會有星際大戰的燈箱以及海報、老闆一定是一個非常有品味的人！,"The environment is very comfortable, wine is very special, and delicious!There will actually be a light box for interstellar wars, posters, and bosses must be a very tasteful person!",False
環境舒適 酒好喝 不是一次店 會再來光顧 很棒。,The environment is comfortable and delicious. It is not a good time when the shop will come again.,False
裝潢氣氛都很好 調酒夠濃 還有駐唱歌手跟開放點歌 很讚👍🏻👌🏻,"The decoration atmosphere is very good enough to bartender enough, and there are resident singers and open dot songs.",False
服務很專業且有效率，酒很好喝！唱歌系統也很完整！,"The service is very professional and efficient, and the wine is delicious!The singing system is also very complete!",False
體驗感很差！！！點了歌永遠輪不到你唱…整個室內煙霧瀰漫，並不是所有人都可以接受別人在室內抽菸….店員光顧著自嗨，完全沒在理會店內客人感受。愛理不理…很難放鬆的地方，要不是因為最低評分只能一顆星，連一顆都給不下去。,"The experience is very poor!IntersectionIntersectionIf you click the song, you will never sing ... The whole indoor smoke is filled, not everyone can accept others to smoke indoors ... The clerk patronizes himself, and he does not feel at all the guests in the store.Ignore it ... It is difficult to relax, if it was not because the minimum score can only be one star, not even one.",False
"昨天是初次到訪與參加小毛巾之夜活動，位置便利好找、入口服務人員與吧台接待人員服務非常親切友善。

環境空間大，有吸煙室、廁所乾淨
座位多，也能選擇站的喝酒，也有暗房區，整體都很不錯，值得更多人認識的友善店家。

（感謝店家在我們詢問音樂類型後，立即更換清單  謝謝 ：）  。

感謝店家提供這麼舒適空間，祝福生意興隆，下次再去玩的。 😉","Yesterday was the first visit and participating in the small towel night activities. The location was convenient to find, the service staff of the entrance service staff and the bar reception personnel were very friendly and friendly.

The environmental space is large, there are smoking rooms and toilets clean
There are many seats, and you can also choose to drink on the station. There are also dark houses. The whole is very good. It is worthy of more friendly shops that people know.

(Thanks to the store, after we asked the type of music, and immediately replaced the list. Thank you :).

Thanks to the store for providing such a comfortable space, bless the business, and play again next time.Bleak",False
有酒有歌唱！重點老闆人超好，可以依照客人喜好來調酒喔！,"There are wine and singing!The key boss is super good, you can adjust the bartending according to the preference of the guests!",False
"店內氣氛不錯，還可以唱歌٩۹(๑•̀ω•́ ๑)۶
酒的部分
第一杯是提拉米蘇，剛喝口感是先苦再甜
還不錯，主觀感覺喝完會熱熱的
第二杯是琴通寧，就是琴通寧，好喝
適合很熱的時候喝(*¯︶¯*)","The atmosphere in the store is good, you can also sing ٩۹ (๑ • ̀ω • ́ ๑) ۶
Alcohol
The first cup is Tiramisu, just drinking the taste is bitter and sweet first
Not bad, the subjective feels that it will be hot after drinking
The second cup is Qin Tongning, which is Qin Tongning, delicious
It is suitable to drink when it is very hot (*¯︶¯*)",False
燈光氣氛調酒都不錯👍,The light atmosphere is good 错,False
第一次來整體感覺超舒服，酒好喝，還有可以聽到好聽歌，超推薦的。,"For the first time, I felt super comfortable, the wine was delicious, and I could hear a good song, which was super recommended.",False
店員服務超好，細心介紹，場地寬敞舒適，推推👍,"The clerk service is super good, introduced carefully, the venue is spacious and comfortable, push push",False
氣氛很好❤️‍🔥❤️‍🔥❤️‍🔥,The atmosphere is good ❤️‍🔥❤️ 好❤️ 气,False
"環境超棒！氣氛佳空間大
店員也很親切的介紹跟推薦酒單
喝到的酒都不雷，加上能夠唱歌🎤
真的推薦來放鬆😎","The environment is great!Better atmosphere
The clerk is also very kind to introduce and recommend wine list
The wine you drink is not thunderous, plus can sing 🎤
Really recommended to relax 松",False
"特別喜歡這邊的氛圍🥰
會常常來的","I especially like the atmosphere here 边
Often come",False
氣氛跟酒都很讚哦，服務態度很好,"The atmosphere is very good to wine, the service attitude is very good",False
氛圍感很棒！又可以滿足唱歌！期待調酒跟shut><,The atmosphere is great!Can satisfy singing again!Looking forward to bartending and shut> <,False
店員很親切，酒也好喝，還會不時辦活動，又可以唱歌，好喜歡這裡～🥰🥰🥰🥰,"The clerk is very kind, the wine is also delicious, and you can do activities from time to time, and you can sing. I like it here ~ 🥰🥰🥰🥰",False
氣氛不錯，可以唱歌辦活動。,"The atmosphere is good, you can sing activities.",False
店裡氛圍很好，調酒也好喝，還可以唱歌,"The atmosphere in the store is very good, the bartender is also good, and you can sing",False
燈光美 氣氛佳 服務好 酒好喝 👍👍,"Lighting Beautiful atmosphere, good wine, good drink, good, good, good, good, good",False
店家氣氛酒類是不錯，現場也提供免費唱歌，但講到這就一肚子氣，每次總唱不到歌，說人多時就算了，人少還唱不到，就光同桌比我晚點的都唱好幾首，我卻永遠等不到我的歌，已經兩三個小時火大不爽要走了歌才來有個屁用啊，都已經不是第一次了，上次還有人說認識老闆會請他們改善，在給他們一次機會，結果還是一樣沒改善，讓人不想在去消費。,"The atmosphere of the store is good, and free singing is also provided at the scene, but when it comes to this, it is breathless. I ca n’t sing a song every time. Even if there is a long time, the people can not sing. There are several songs, but I can never wait for my song. It has been two or three hours a lot of fire to leave the song before there is a fart. It's not the first time. The boss will invite them to improve and give them a chance. As a result, it is still not improved, making people not want to spend.",False
朋友推薦來的 氣氛不錯 可以唱歌,The atmosphere recommended by friends can sing,False
環境舒服，店家服務跟介紹都挺好的^ ^,"The environment is comfortable, the store service and introduction are pretty good ^ ^",False
"老闆溫柔
服務生親切
調酒好喝🥂🥂","Boss gentle
Waiter kind
Blooming delicious 🥂🥂",False
"服務人員很貼心！
氣氛很好！","The service staff is very intimate!
The atmosphere is good!",False
"下班好友相聚好地點
還能唱歌超開心","Get together from friends from work
Can sing and be super happy",False
人很多很熱鬧,Many people are very lively,False
老闆人很nice 氣氛也不錯👍🏻,The boss is very nice atmosphere is also good 👍🏻,False
氣氛嗨！！調酒好喝喔🍷,The atmosphere hi!IntersectionBlooming is delicious,False
讚喔😂老闆人超好,"Praise, the boss is super good",False
"氣氛很不錯
服務週到","The atmosphere is very good
Thoughtful",False
