Original,EN,Needs Review
"這家 BAR 氛圍感 很讚
很想 1F , 2F, B1 都坐看看
都有不同特色

本來是想 美秀集團 MV 巡禮
後來發現 這是另一個 愛團
「傻子與白癡」樂團的樂手經營的
樂手的酒吧 自然就會有很多
音樂 藝術的元素
假日 也會有 DJ 表演

調酒的話 我推 7號調酒
Happy hour 時間也有啤酒暢飲❤️","This BAR atmosphere is great
I really want 1F, 2F, B1 to sit and see
There are different characteristics

Originally I wanted the MV Tour of Meixiu Group
Later I discovered that this was another love group
The musicians of the ""Fool and Idiot"" Orchestra operate
There will naturally be a lot of musicians' bars
Elements of music art
There will be DJ performances on holidays

If you bloom, I push No. 7 bartender
Happy Hour Time also has beer drink ❤️",False
一樓的營造氛圍是以站立吧台為主，因此座位較少，吧台上擺放著一大缸海水魚，搭配著氛圍燈，呈現出精緻美觀的感覺。二樓則打造出家的氛圍，軟裝佈置豐富，擺設了老闆們收藏的唱片，營造出文青氛圍～最愛的就是牛肉湯了，在微醺的時刻，可以來上一碗熱熱的湯，那種肚子暖暖的感覺真的超級舒服～,"The creative atmosphere on the first floor is mainly based on the bar platform, so there are fewer seats. There is a large tank of seafish on the bar, with an atmosphere light, showing a delicate and beautiful feeling.On the second floor, the atmosphere of monks is created. The soft furnishings are abundant, and the records collected by the bosses are set up to create the atmosphere of Wenqing. The favorite is the beef soup. At the moment of a little bit, you can go to a bowl of hot soup. , The feeling of warm belly is really comfortable ~",False
氣氛很好，裝潢很有特色，有一樓、地下室跟二樓，先點了兩杯招牌調酒，7號跟3號，都好喝，一杯350，然後開一支Auchentoshan，2000多，也蠻合理,"The atmosphere is very good, the decoration is very distinctive. There are the first floor, the basement and the second floor. I ordered two cups of signature bartender first. Reasonable",False
"5號7號好ㄏ˳·˖✶𓆩🍸𓆪✶˖·˳.🍕好ㄔ！
氛圍、環境一級棒棒一級棒🪅","No. 5 7. ˳ ˳ ˳. 🍕 ㄔ ㄔ ㄔ!
Atmosphere, environmental first -class, first -level stick 🪅 🪅 🪅 🪅",False
"氣氛調酒都沒話說😍！
4000的特調每次都不會錯！
來不膩的地方🫧✨🌟💫","There is nothing to say at the atmosphere!
4000 special adjustments will not be wrong every time!
Come and not greasy 腻",False
"老闆很帥 茶酒系列每個都值得試試
炸午餐肉超好吃 花園鰻不能吃但可以跟他拍照","The boss is very handsome tea and wine series, each is worth trying
The fried luncheon meat is super delicious garden eel, but I can take pictures with him",False
"上次跟朋朋去附近吃飯意外看到這間酒吧覺得新鮮想說進去看看，結果不得了啦竟然有超可愛水族箱.ᐟ.ᐟ.ᐟ.ᐟ環境很舒服2樓還可以聽到有人在放黑膠呢‧⁺( ᵒ̴̶̷̥́ ◡ ᵒ̴̶̷̣̥̀ )⁺‧店員人蘇潑耐斯酒也好喝很ㄍ適合漂亮美眉的好地方
推推第一次就愛上の4號寶貝💕
還要訪嗎 誰要陪我ㄑ！ …","Last time I went to me to eat nearby, I accidentally saw this bar and I felt fresh and wanted to go in. As a result, I was so cute that there were super cute aquariums .ᐟ.ᐟ.ᐟ. ᐟ The environment was very comfortable. I can hear someone. Someone can still be heard. Where is the vinyl?
In the first time, I fell in love with No. 4 baby 💕 宝 の 💕 💕 💕
Do you want to visit, who wants to accompany me!Mowing",False
卸卸調酒師 幫我特調的酒  讓我留下了對阿嬤的思念,The alcoholic sommelier helped me special wine that left me for my thoughts on Grandma,False
"食物是好吃的
但酒的部份 真的⋯
經典的條件
Whiskey 的調酒 就只是威士忌
喝不出調酒的感覺
也不是順口的威士忌

水果的調酒還可以

冰塊🧊非常大
酒的份量非常少 CP值太低了","Food is delicious
But the part of the wine is really ...
Classic conditions
Whiskey's bartender is just whiskey
Can't drink the feeling of bartending
It's not a smooth whiskey

Fruit's bartending

Ice cubes are very large
The amount of wine is very small, the CP value is too low",False
"超級愛這裡的氛圍！
從裝潢到他們的員工都給人很放鬆的氣氛
還有吧台的魚缸也很漂亮
推四號 酒粉粉的很漂亮而且喝起來很順口
是一間很值得回訪的酒吧
(附上一張很糊的Dj 均均","Love the atmosphere here!
From the decoration to their employees, they are very relaxed
And the fish tank in the bar is also very beautiful
Pushing No. 4 wine powder is very beautiful and drink smoothly
It's a bar worth visiting
(Attach a very paste DJ",False
氣氛不錯但調酒偏淡，Gin tonic想濃一點加基酒要加50我們也接受，但味道還是很淡，後來到樓下點親手看bartender 做味道就變正常了，感覺不是很好，店員態度確依然理由一堆，還提到送到二樓融冰率的關係，不老實的店面。,"The atmosphere is good, but the bartending is light. Gin Tonic wants to add 50 to 50 base wine, but we also accept it, but the taste is still very light. Later, I went downstairs to see Bartender make the taste. The attitude is indeed a bunch of reasons, and it is also mentioned that the relationship between the melting rate sent to the second floor is not honest.",False
有分一樓跟二樓的酒吧，第一次去有很好的體驗，一樓感覺很現代有很美的海水魚缸，二樓有黑膠台跟沙發區，期待酒吧辦活動！員工跟客群都很有型！感覺是好玩的地方！,"There are bars on the first floor and the second floor. For the first time, I have a good experience. The first floor feels very modern and beautiful. There is a vinyl platform and sofa area on the second floor. I look forward to the bars to do activities!Employees and customer base are very stylish!It feels fun!",False
