Original,EN,Positive,Negative,Neutral,Compound
料理美味丶食材新鮮，美中不足是客人水準似乎過於低落，整間店大聲喧嘩無顧旁人倒無所謂，但用餐期間髒話連連，一直討論幼稚的漫畫，聽了就倒胃，嚴重影響用餐情緒！我想老闆遇到這些顧客也很無奈，但這用餐環境實在不適合帶小孩去。,"The delicious food is delicious, the ingredients are fresh, and the quality of the beauty is too low. It does not matter that the whole store loudly noisy does not care about others, but during the meal, we have been discussing naive comics during the meal.I think the boss is helpless, but the dining environment is really not suitable for bringing children.",0.12,0.17,0.711,-0.3921
"是一間很在地的居酒屋
看起來小小沒想到客人這麼多
炸雞軟骨好吃
炒青菜非常厲害 香氣逼人

店裡推薦的清酒香氣濃郁好喝
最棒的是貓咪都可以摸好溫馴","It is a very local izakaya
It seems that there are so many guests that there are so many guests
Fried chicken cartilage delicious
Stir -fried vegetables are very powerful and fragrant

The aroma aroma recommended in the shop is strong and delicious
The best thing is that cats can touch and tame",0.296,0.0,0.704,0.9628
因為RE紅包app介紹才知道這家店，裡面有一隻店貓叫黑咪，是一隻超級超級親人的貓，完全不怕人，也聽得懂人話，還會一句來一句去的跟人互動聊天，超級可愛的！喜歡貓貓的人來這邊吃飯一定超有趣的🤗,"I know this shop because of the introduction of the RE red envelope app. There is a shop that is called black Mi. It is a cat with a super -super loved person. Chat, super cute!Those who like cats come here to eat, it must be super interesting 🤗",0.398,0.0,0.602,0.9814
"店裡面有非常多隻貓，愛貓人士會非常開心，主動親人的貓大概兩隻，可能會忙著拍屁股沒空吃東西

餐點部分烏龍麵、香腸很喜歡，份量都還蠻滿意的，會再造訪的一家","There are a lot of cats in the shop. Cat lovers will be very happy. There are about two cats who actively actively relatives. They may be busy patting their butt no time to eat

Some oolong noodles and sausages like meals are very satisfactory.",0.301,0.038,0.661,0.9335
"豬鼻豆腐外酥內軟超好吃，必點！炒烏龍、炒野菜超級入味，龍珠不硬、ㄧ夜干很香，很每道料理很用心！店貓坐檯真的太可愛，整個融化掉，回家看手機整個照片畫面都是貓🐈‍⬛
交通很方便，就在捷運內湖站附近，營業時間到1:00，超友善夜貓族和下班不想回家的人，聚餐小酌都很適合。","Pig nose tofu is crispy and soft inside, must be ordered!Switch oolong and fried wild vegetables are super flavorful. Dragon Ball is not hard, and it is very fragrant at night. Each dish is very careful!The shop cat is really cute to sit on the stage. The whole melting is melted. Go home to see the entire photo of the mobile phone. The picture is a cat.
The transportation is very convenient. It is near the MRT Neihu Station. It is open to 1:00. Super friendly night cats and those who do not want to go home from get off work are suitable for dinner.",0.139,0.01,0.851,0.9428
十年前時常在造訪，如今已經變成內湖需要提早預訂的居酒屋，店內有貓貓相伴，老闆娘依舊親切，人情味滿滿,I was often visited ten years ago. Now I have become a izakaya that needs to be booked early in Neihu. There are cats in the store. The boss is still kind and full of humanity.,0.089,0.0,0.911,0.5267
"餐點。好吃

貓咪。可愛；有的會跳到桌上，不習慣、不喜歡的要多留意

環境。擁擠 不太舒適，桌面也太小

價格。大約1000/人

以這個價位來說 不能刷卡 也不開發票
對客人來說不方便也不合宜","Meal.tasty

Cat.Cute; some will jump to the table.

environment.Crowded and not comfortable, and the desktop is too small

price.About 1000/person

At this price, you cannot swipe your card or open an invoice
It's not convenient for guests",0.0,0.07,0.93,-0.4023
老闆招待的小魚乾花生，花生是軟掉的花生～飲料可爾必思感覺還稀釋過！餐點口味普通，價位不算低，同價位應該有更好的選擇，餐點也沒什麼特色，感覺不用特別去嚐鮮！,"The little fish entertained by the boss, peanuts are soft peanuts ~ Drinks can feel diluted!The taste of the meal is ordinary, the price is not low, the same price should have better choices, and the meal is not unique. I feel that you don't have to try something special!",0.185,0.0,0.815,0.8562
"有先打電話去訂位,貓奴適合來.有稱職的捲耳黑貓🐈‍⬛服務員,點餐掃桌上牌子的QR code,東西種類多,酒品種類多,點了很多酒類嚐試,牛肋和唐揚雞好吃,炒烏龍很入味好吃,餐點不會雷,份量偏精緻,店員親切,適合和朋友晚上來小酌的好去處","There is a call to order first, cat slaves are suitable for coming. There are competent rolling -ear black cats, qr codes on the table, and there are many types of things and many types of wine. , Niu Rib and Tang Yang chicken are delicious, fried oolong is delicious, the meals will not be thunderous, the portion is exquisite, the clerk is kind, suitable for a good place to have a drink with friends at night",0.212,0.0,0.788,0.959
"上菜速度超慢、食物也只能算普通，就是貓很可愛而已
喜歡貓的再去，如果是要吃飯的話有更好的選擇","The speed of serving is super slow, and the food can only be regarded as ordinary, but the cat is very cute
Those who like cats go again, if you want to eat, you have a better choice",0.319,0.0,0.681,0.9376
"是個讓人放鬆的小小居酒屋
店裡貓咪都非常親人，自在可愛還會整個倒臥跟飛跳ＸＤ
老闆娘也很親切，餐點口味都有中上水準，價格也不貴
點一桌下來烤雞腿和鹽烤牛比較推薦，蛤蠣也很大顆
不過最喜歡的是店員推薦的柚子酒和青梅梅酒都相當好喝 :)
推薦給大家～～","It's a relaxed little izakaya
The cats in the store are very relatives, and they will lie down and jump XD in the whole and cuteness.
The boss is also very kind.
Click a table to cook chicken legs and salt beef, and the oysters are also very large
But the favorite is the grapefruit wine recommended by the clerk and the green Meimei wine :)
Recommend to everyone ~~",0.269,0.0,0.731,0.9675
"推薦（順序）：炒烏龍麵👉烤香菇👉雞肉串👉炸牡蠣👉豬肉串👉胡麻豆腐
炒烏龍：果真是店內招牌！好吃有入味
烤香菇：醬汁整個入味，咬下會出汁，帶有香菇香氣❤️
雞肉串：很嫩
炸牡蠣：一定要趁熱吃～咬下卡滋卡滋的聲音就知道炸的多酥脆

不推：
美國牛肉串：烤起來比較老了，比較硬
絲瓜蛤蜊：絲瓜比較老，吃起來有苦味，沒有絲瓜的甜味🥲

整間店氛圍很輕鬆，適合與朋友聊天的地方，店貓挺可愛的，只不過當天不理我🥲","Recommended (sequence): fried oolong noodles 👉 grilled shiitake mushrooms 👉 chicken skewers 👉 fried oyster 👉 pork skewers 👉 flax tofu
Frying Oolong: It's really a signboard in the store!Delicious and delicious
Baked shiitake mushrooms: The sauce is delicious, and the juice will be produced, with the aroma of shiitake mushrooms ❤️
Chicken skewers: very tender
Fried oysters: Be sure to eat while it is hot ~ I will know how crispy fried is fried.

Don't push:
American beef skewers: grilled older, relatively hard
Loofah Clam: Loofah is older, it tastes bitter, and there is no sweetness of loofah 🥲

The atmosphere of the whole store is very easy. It is suitable for chatting with friends. The shop cat is very cute, but I ignore me that day.",0.092,0.053,0.855,0.6335
東西都很好吃、很美味，店裡面的貓咪也很可愛，要摸他們之前，記得先讓他們聞聞你的氣味。美中不足的地方就是生意太好了，每一道菜等要等非常非常非常久。,"Things are delicious and delicious. The cats in the shop are also very cute. Before touching them, remember to let them smell your smell.The lack of beauty is that the business is too good, and each dish has been waiting for very, very long.",0.301,0.04,0.659,0.9441
