Original,EN,Positive,Negative,Neutral,Compound
非常特別的Bar店，有卡拉ok可以唱日文歌跟中文歌，也可以投幣打飛標，可以一邊喝酒🍺坐在bar台的座位和店員一起聊天，有一個半隔間類似包廂，氣氛因為客人不同而不一樣，但是基本上很開心,"Very special BAR shop. There are karaoke to sing Japanese songs and Chinese songs, or you can buy coins and bids. You can drink and chat with the clerk while drinking. The guests are different and different, but basically I am very happy",0.154,0.0,0.846,0.8169
"舒適的喝酒空間，有沙發，可以玩飛鏢，也有中文日文點歌機器。
老闆很會聊天。適合小酌商務聚會，在這裡也認識了不少好朋友。","A comfortable drinking space, there are sofas, can play darts, and Chinese Japanese -style song machines.
The boss can chat very well.Suitable for a drinking party, I also met a lot of good friends here.",0.324,0.0,0.676,0.9246
是個溫馨、讓人可以放鬆小酌的好地方。另外店內的唱歌設備很優，客人也都很會唱，喝酒聽歌很舒服。,"It is a warm place that makes people relax.In addition, the singing equipment in the store is very good, and the guests can sing very well. It is very comfortable to drink and listen to songs.",0.257,0.0,0.743,0.8773
非常溫馨舒服的店，店主很好，而且還可以唱歌！讚！一定要再去！,"Very warm and comfortable shop, the owner is very good, and you can sing!praise!Must go again!",0.43,0.0,0.57,0.8697
氣氛很好，可以放鬆，可以唱歌🎤消費不高，有時候比KTV划算，歌也很新，喜歡的私藏景點～ …,"The atmosphere is very good, you can relax, you can sing and consume, sometimes it is more cost -effective than KTV, the song is also very new, the favorite private attraction ~ ...",0.36,0.0,0.64,0.9407
可以唱日文歌跟中文歌，也可以打飛標，一邊喝酒有時候店員也一起聊天很開心,"You can sing Japanese songs and Chinese songs, or you can also fly the label.",0.0,0.0,1.0,0.0
"上去兩次了，很放鬆的地方，裝潢及服務是日本スナック式，但店裡營業是日式PUB,營業時間很彈性，歡迎大家去消費👍 …","I went up twice, very relaxed, the decoration and service are Japanese ス ナ ッ ク, but the business in the store is Japanese PUB, the business hours are very flexible, welcome everyone to consume ...",0.223,0.0,0.777,0.8574
"環境舒服的酒吧
有日本點歌系統
也可以打飛鏢","A comfortable environment
There is a Japanese song system
You can also play darts",0.322,0.0,0.678,0.6908
在林森北路最有氣氛的卡拉OK酒吧，服務親切，有家的感覺！,"On the most atmosphere of the Kara OK bar on Linden North Road, the service is kind and feels like home!",0.336,0.0,0.664,0.8452
"簡單小酢  中日英 KTV唱歌
老闆娘親切精通各種語言","Simple little 酢 酢 简 简 简 简 简 简 简 简
The boss is closely proficient in various languages",0.0,0.0,1.0,0.0
