Original,EN,Needs Review,Positive,Negative,Neutral,Compound
Tapas用的料都很新鮮，鯷魚、沙丁魚、火腿、酪梨搭配各種cheese都很新鮮好吃～蘑菇也值得嘗試，Sangria清爽但如果水果味更厚一點會更喜歡。服務人員不多，還是都有照顧到客人，吧台座位偏窄，整體空間是舒服的，想吃Tapas的時候會第一個想到這邊,"Tapas uses very fresh materials, catfish, sardines, ham, and bets with various cheeses are very fresh and delicious ~ Mushrooms are also worth trying, Sangria refreshing if the fruit flavor is more thick will be more like.There are not many service personnel, and remand have taken care of the guests, the bar and table seats are narrow, the overall space is comfortable, want to eat Tapas when the first to think of the side",False,0.22,0.0,0.78,0.9505
"餐點很棒
尤其churros口感跟在西班牙當地吃的很像
只是部分 使用白盤出餐 尺寸比例有落差
整體性有點可惜

另外
椅子不太舒適","Meal is great
In particular, Churros has a lot of like eating in Spain
However, there is a gap in the proportion of meals with white discs.
The overall is a pity

in addition
The chair is not very comfortable",False,0.138,0.107,0.754,0.3572
"雞肉很好吃，蝦🦐就普普
價位偏高，sangria 沒有很道地
檸檬啤酒不錯喝","The chicken is delicious, the shrimp 好 will be Pupu
The price is high, SANGRIA is not very authentic
Lemon beer is good to drink",False,0.223,0.0,0.777,0.765
座位不多，但可以感覺是用心經營的西班牙主題餐廳。Pintxo都很值得點，但是熱tapas就比較一般般。紅白酒可能我們比較喝不習慣西班牙產區，酒精味稍重。巴斯克蛋糕不算突出但也還過得去，不是一個值得特別從其他地方跑來品嚐的餐廳。,"There are not many seats, but you can feel the Spanish -themed restaurant operating carefully.Pintxo is worth pointing, but hot tapas is more ordinary.Red and white wine may not be accustomed to the Spanish production area, and the taste of alcohol is slightly heavier.Basque cake is not prominent, but it is still a restaurant that is worth a special place to taste from other places.",False,0.115,0.034,0.851,0.701
過年的總會想起一些隨機的敲杯日子，突然刷到這近一年前的照片，友人帶路的一間西班牙小食酒吧，空間滿特別，簡單的小點搭配紅酒加上朋友間的歡愉聲已經足夠一晚的快樂，有時候覺得日子這樣簡單真棒，但偏偏很多時候越簡單的事情越難。,"The New Year will always think of some random cups of days, and suddenly brush the photos of the Spanish snack bars nearly a year ago. The space is full of space. Simple small dots with red wine and joy among friends It is enough to be happy for one night, and sometimes I feel that the days are so simple, but many times the simpler the more difficult.",False,0.09,0.049,0.861,0.2756
很舒服輕鬆的空間，播放的音樂是傳統的西班牙歌曲，食物精緻有巧思，料理上融合了很多層次，也有適合聚會的小包廂空間。唯一有點可惜的是人手不太足夠，座位分散有時等服務會比較久，可是服務態度都很好很細心。,"Very comfortable and relaxed space. The music played is traditional Spanish songs. The food is exquisite and ingenious. There are many levels of merging on the cooking. There are also small box space suitable for the party.The only thing that is a pity is that the person is not enough, and the service is scattered and sometimes the service will have a long service, but the service attitude is very good and careful.",False,0.157,0.02,0.823,0.881
"Pintxos的樣式與口味都很特別很好吃且開胃，搭配白酒的Sangria更是適合。
當天是去慶祝和女友的紀念日，女友對食物和服務的感受也很好😃
而且老闆會講西班牙文唷！！
希望下次有機會可以嘗試一下隱藏菜單-西班牙海鮮飯🥘！","The style and taste of PintXOS are very delicious and appetizing. Sangria with white wine is more suitable.
On the same day, I went to celebrate my girlfriend's anniversary, and my girlfriend's feelings about food and services are also very good.
And the boss will speak Spain!Intersection
I hope there will be a chance to try the hidden menu next time-Spanish seafood rice!",False,0.22,0.0,0.78,0.9466
餐點的部份真是挺不錯，但前場滿偷懶的，不是躲在後面划手機就是直接消失半小時，招呼不到人啊尤其你們是以Tapas為主的店家喂=.=；然後建議廚師別在廚房裡抽電子菸，走兩步就能到門口的事嘿,"The part of the meal is really good, but the frontcourt is full of laziness. It is either hiding behind the mobile phone or disappearing for half an hour. You ca n’t say hello, especially if you are mainly tapas. Don't smoke electronic cigarettes in the kitchen, you can go to the door in two steps, hey",False,0.035,0.047,0.918,-0.1787
氣氛很好的西班牙料理餐酒館，食材新鮮質量好，適合朋友聚會溫馨的場所，餐點也很好吃，服務親切，推薦,The atmosphere is very good in Spanish cuisine and tavern. The ingredients are fresh and quality. It is suitable for a warm place for friends to meet. The meal is also delicious. The service is cordial.,False,0.314,0.0,0.686,0.9216
"Hola，進門的不是鈴聲而是撥動西班牙琴的琴弦聲令人驚喜。餐廳放得是西班牙音樂，裝潢得相當到味，令人放鬆愉悅。
酒水上得快，但餐點上得速度正是正統西班牙人風。畢竟是老闆用生命在做的，所以顧客也得用時間來等待（挺適合時間多，悠閒愛聊天的人來）
但也因為是老闆嘔心力作所以餐點不雷，都很好吃😋
Tapas Tapas Tapas
*鯷魚橄欖串可謂是酸到讓你爆擊唾液腺的開味菜首選（不建議跟約會對象時點，臉會扭曲變型）
*花枝圈軟嫩新鮮，外層裹粉酥脆，口感有層次，但對於重口味的人來說，會想來點美奶滋、蒜跟甜蔥…
*
甜椒鮪魚加蛋（普普）
鯷魚(ㄧ如既往的酸,懼酸者不愛）
酪梨伊比利火腿（讚、好吃、就愛那蒜味）
馬斯卡朋燻鮭（大推）
burata蕃茄伊比利火腿(超讚必點）

總結：此生必須來吃的西班牙風味餐廳（老闆真的很用心），但快餓死的人建議先吃個什麼墊墊胃再來～","HOLA, not the ringtone, but the string sound of the Spanish piano is surprising.The restaurant is placed in Spanish music, and it is quite delicious and relaxed.
The drink is fast, but the meal is fast.After all, it is done by the boss with life, so customers have to take time to wait (quite suitable for those who have more time, people who love to chat with leisurely)
But because the boss is working hard, the meal is not thunderous, it is delicious.
TAPAS TAPAS TAPAS
*The catfish olive skewers can be described as sour to make you the first choice for you to explode the salivary gland (not recommended for the date of the appointment, the face will be distorted))
*The flower branches are soft and fresh, the outer layer is crispy, and the taste is layered, but for people with heavy tastes, they will want to have some beautiful milk, garlic and sweet shallots ...
*
Sweet pepper catfish plus egg (Pop)
Badfish (as usual sour, those who are afraid of sour do not love)
Avaro Ivania Ieya ham (like, delicious, just love the garlic flavor)
Muscapeng smoked salmon (big push)
Burata tomato Ibilia ham (super praised)

Summary: The Spanish -flavored restaurant that must be eaten in this life (the boss is really attentive), but the people who starve to death are recommended to eat a pad first ~",False,0.219,0.07,0.711,0.9939
