Original,EN,Needs Review
"假日低消800（週五晚上算假日），個人不太會喝酒所以不多評論，食物都蠻好吃的，尤其是炒泡麵！
點主線任務喝完酒後可以玩小遊戲，靠運氣獲得五杯純酒或調酒。店員招待了一人一杯shot，壽星還額外獲得了很多杯😆","Holidays have a low 800 (on Friday night to count holidays). I don't know how to drink, so I do n’t comment. The food is pretty delicious, especially fried noodles!
After drinking the main task, you can play a small game after drinking, and get five glasses of pure wine or bartending by luck.The clerk entertained a cup of Shot, and Shouxing also got a lot of cups.",False
"📍台北｜ #bartwo
-
昏昏暗暗的餐酒館🫣
Bartender 人很好～還會送shot ❤️
調酒選擇比較多樣，食物種類就比較少了😅
不過炸鯛魚條很特別很好吃👍一定要點～
提拉米蘇調酒喝起來就像在吃真的提拉米蘇👻
酒感也不重～甜甜的🍒女生會很愛😍
-
➰圖片中的➰
1⃣牛排
2⃣炒泡麵佐溫泉蛋
3️⃣辣脆鯛魚炸條
4️⃣無酒精飲料
5️⃣提拉米蘇調酒
-
美味程度：4⭐
環境衛生：5⭐
再訪意願：4⭐
(以Google評分滿分5分計算)

🗓️240427","B Taipei ｜ #bartwo
-
Driven dining tavern
Bartender is very good ~ It will also send Shot ❤️
The choice of bartender is more diverse, and there are less food types.
But fried snapper bars are very delicious 👍 must be ordered ~
Tiramisu's wine is drinking like eating Tiramisu 👻
The wine is not heavy ~ Sweet girls will love it very much
-
➰ 的 的 的 的
1 steak
2⃣ Frying instant noodle Saito hot spring eggs
3️⃣ Spicy Crispy Swear Fried Strip
4️⃣ No alcoholic drink
5️⃣ 5 5 5 5 5
-
Delicate: 4度
Environmental hygiene: 5生
Visit: 4愿
(Calculated with a full score of Google)

7️240427",False
"有貓咪的餐酒館
貓咪都頗乖

約八點來探店結果廚房出了一點狀況變成十點才能供餐🤣
環境跟調酒的部分都很讚

餐點最喜歡魚條，調味很重鹹香對味","There is a cat with a cat
Cats are quite good

At about eight o'clock, the shop results in the kitchen.
The environment and the bartending parts are very good

I like fish sticks the most, and the seasoning is very salty and fragrant.",False
"食物超棒
這次點燉飯 牛肉捲 都超好吃
不過份量相對少
酒的部分這次都點比較淡的
很好喝而且也還是有自己特色
店內貓貓很親人","Superb food
This time, the beef rolls of stewed rice are super delicious
But the portion is relatively small
The part of the wine is relatively light this time
Very delicious and still have their own characteristics
Cats in the store are very relatives",False
氣氛不錯，調酒好喝，燉飯意料外的好吃，有一種可樂為基底的酒好喝，可是酒精最強要小心🤣,"The atmosphere is good, the bartending is delicious, the stew is delicious outside, there is a kind of cola to drink the wine base, but the strongest alcohol must be careful.",False
坐吧台可以一直跟店員聊天💬完全不無聊！店內還有好多小貓！,Sitting on the bar can be chatting with the clerk all the time!There are many kittens in the store!,False
店員就跟評論一樣非常熱情 主動跟我們聊天 很親近 看到我們玩手機還會提醒怎麼可以科技冷漠 是個很適合喜歡很熱鬧的朋友們來的店 音樂也是很嗨的類型 薯條也是符合我的標準 調酒也相當不錯 酒感不會太重 很順口 尤其是百畝花園 很適合喜歡甜的酒的女孩喝,"The clerk is as very enthusiastic as the comment and actively chatting with us very close to see that when we play mobile phones, we will remind us how to be indifferent to technology. The bartending is also pretty good, the wine will not be too heavy, especially the 100 -acre garden is very suitable for girls who like sweet wine to drink",False
店家非常熱情❤️‍🔥剛坐下就一杯shot趕進度😂今天點了很多杯都好喝，提拉米蘇調酒沒有拍到，蠻喜歡的！點了茶酒特調也很讚～食物好吃還有可愛貓咪！會想再回訪💖 …,"The store is very enthusiastic. ❤️坐 When I sat down, a cup of shot rushed to the progress. I ordered a lot of cups today. I did n’t shoot. I like it!The special tone of tea wine is also very good ~ food is delicious and cute cats!I would like to return to visit again ...",False
酒還不錯 有可愛貓貓 bar tender人很好會一直來拉酒嘴,"The wine is not bad, the cute cat Bar TENDER people will always come to pull the wine mouth",False
"食物超好吃！（蒜香雞、牛排大爆推
調酒讚讚～
店內氣氛很好，店員非常會帶遊戲！","The food is super delicious!(Garlic chicken, steak burst push
Bart -up and praise ~
The atmosphere in the store is very good, and the clerk will bring the game very much!",False
好喜歡招待的百香果shot🥂食物真的也好好吃🤤推推,I really like to entertain Baixiangguo Shot🥂 food is really delicious 🤤 push push,False
"酒水好喝～
服務員親切
氣氛很讚～
大力推推～
每次都會從新竹衝上來喝～","The drink is delicious ~
Career
The atmosphere is great ~
Push vigorously ~
Every time I rush from Hsinchu to drink ~",False
氣氛佳👍🏻餐點都很美味😋特色調酒、無酒精飲料都很讚,The atmosphere is delicious.,False
"裝潢很美～拍照也很美！
bartender 很熱情❤️
食物平價好吃 推薦","The decoration is beautiful ~ take pictures is also beautiful!
Bartender is very enthusiastic ❤️
Food is cheap and delicious",False
氣氛佳東西又好吃 適合三五好友聚會 喝個小酒聊聊天,"The atmosphere is good and delicious, suitable for three or five friends to drink a small wine to chat and chat",False
酒很好拍也很特別，我特喜歡有茶味的。餐點也好吃，適合跟朋友來聚會聊天,"The wine is very good and special. I like tea.The meal is also delicious, suitable for partying and chatting with friends",False
"服務超級優質！服務人員會照顧每位客人且不時會有小驚喜。環境很舒服、音樂不會太吵；適合朋友來聚餐小酌聊天！
價格來說也非常親民，酒類選擇很多，很多酒的設計也考量到女性，有多項針對女性提供的酒類。很適合帶女生朋友來聊天！
廁所很乾淨，值得推薦！","Serving super high quality!The service staff will take care of each guest and there will be a small surprise from time to time.The environment is very comfortable and the music will not be too noisy; suitable for friends to have a drink for meals and drink!
The price is also very close to the people. There are many choices of alcohol, and many wines are considering women. There are many alcohols provided by women.It's very suitable for bringing girls to chat!
The toilet is very clean and worth recommending!",False
"因為網路上的白色情人節活動所以來朝聖，我們總共8個人，坐在類似沙發的位置，位置有點低，拿桌上食物不便、跟大家聊天也不便要一直站起來。
酒單很有特色，整本都是酒，我還以為是食物😂茶類的酒還起來就是有茶味，連端上來的樣子都不馬虎，其他種類的酒也是。
店內的經理有來招待shot，也很活潑，酒量也不錯，非常大方！
進行活動的時候有專業攝影師（但是我們想要專業照片請店裡人看到評論可以跟我們聯絡😂）
還有活潑的經理玩起來很high，還加碼賽整個很讚！","Because of the white Valentine's Day event on the Internet, we came to pilgrimage. We have 8 people in total. They are sitting in a similar sofa. The location is a bit low. The food on the table is inconvenient and chats with everyone.
The wine list is very distinctive. The whole book is wine. I thought it was food and tea. The wine was still tea. It was not sloppy. Other types of wine.
The manager in the store has to entertain Shot, which is also very lively, the amount of wine is also good, very generous!
There are professional photographers when doing activities (but we want professional photos to ask people in the store to see comments, I can contact us)
There are also lively managers who play very high, and they are very good for the overall game!",False
"推薯片
有貓 有很瘋的店員
玩得很開心耶～
想喝水的話要先喝酒 有夠鬧的😍😍
被拉超多次酒嘴 （甚至不知道那個酒嘴乾不乾淨🤩🤩🤩）","Pushing potato chips
There are cats and crazy clerks
I have a good time ~
If you want to drink water, you have to drink it first.
I have been pulled many times the wine (I don’t even know that the wine mouth is not clean 🤩🤩🤩)",False
"很乾淨舒適的酒吧！我比較內向，人太多的酒吧待久了會累，可是這家不會！
廁所也超乾淨的

Bartender們很友善好聊，感覺一個人去也沒關係
為人看起來都滿正派的，看我友人快喝掛還會擔心
一直請shot很受寵若驚哈哈哈，還是那天有活動？

最近在約姐妹們聊天，就決定要約這間了

(編輯：來補照片！沒調亮度有點暗，但都很適合打卡)","Very clean and comfortable bar!I am more introverted. Too many bars will be tired for a long time, but this one will not!
The toilet is also super clean

Bartender is very friendly and talked, and it doesn't matter if a person goes alone
It looks full of decent people, and it will be worried about seeing my friends who drink and hang up.
I have always been pleased by Shot, or have any activities that day?

Recently, I was chatting at the sisters, so I decided to ask for this time

(Edit: Let's make up the photos! The brightness is a bit dark, but it is very suitable for punching)",False
店經理戴著類似護身符的東西，令人不太舒服。其他服務都很不錯，有招待我們shot，朋友吐了馬上就來清理，工作人員看起來也都蠻友善的，包括DJ也是😂😂😂酒也很好喝，很順口，喝著喝著就ㄎㄧㄤ掉了🤣不過價位偏高。 …,"The shop manager is not very comfortable to wear things like amulets.Other services are very good. There are hospitables of our Shot. Friends come to clean up immediately after vomiting. The staff also seem to be quite friendly, including DJs and wine. ㄧ 🤣 🤣 位 位 The price is high.Mowing",False
BarTwo服務人員非常Nice及好親近，尤其酒單介紹詳細，對於第一次前往的我們印象深刻！,"BARTWO service staff is very nice and close, especially the wine list introduction is detailed, and we are impressed by the first time we go!",False
