Original,EN,Needs Review
"美食與音樂的饗宴，China Pa以中國風為主軸，秦朝歷史為背景，從菜單到裝潢都別具巧思，在享受中華料理的同時，也享受Live Music的放鬆、熱情混搭氛圍，歌手精采好秀輪番登場萬聖節日。

* 三杯杏鮑菇好吃，不推薦蒜苗炒臘肉、烏魚子風味炒飯、炒麵。
* 營業時間18：00～隔日02：00，Live Music時間21:30～12:30，可以建議早點開始嗎？六點用餐等到9:30樂團演奏有夠漫長。
* 每週五為搖滾天使。

20241025","The feast of food and music, China Pa takes the Chinese style as the main axis, the history of the Qin Dynasty as the background, from the menu to the decoration is unique. While enjoying Chinese cuisine, I also enjoy the relaxation of Live Music and the enthusiastic mixing atmosphere. Singer singers, singers The brilliant show appeared in turn.

* Three cups of Pleurotus eryngii are delicious. It is not recommended to fried bacon, mulleton flavor fried rice, fried noodles.
* Business hours from 18:00 to 02:00 the next day, live music time 21: 30-12: 30. Can you recommend starting early?Six o'clock to eat until 9:30 band performances are long enough.
* Every Friday is a rock angel.

20241025",False
"當我進入中國父餐酒館時，我完全被它的雅致和舒適所吸引。首先，這裡的服務非常出色，員工們總是笑臉迎人，並且樂意為顧客提供幫助和建議。他們對菜品的說明非常詳細，讓我對每道菜的選擇感到信心十足。

菜品方面更是令人驚艷。我點了招牌菜「麻辣牛筋」和「口水雞」，每一道菜都展現了高超的廚藝和新鮮的食材。麻辣牛筋香Q夠味，讓人回味無窮；口水雞則是辣中帶麻，醇香鮮嫩，絕對是下酒的絕佳選擇。

此外，餐廳的環境設計也非常注重細節，中國風的裝潢和溫馨的燈光營造出舒適放鬆的氛圍，讓用餐體驗更加完美。音樂的選擇也很得宜，為用餐增添了一份愉悅的氛圍。

總的來說，中國父餐酒館給我留下了深刻的印象。無論是服務、菜品還是環境，都展現了高水準的品質和用心。這裡不僅僅是用餐的地方，更像是享受美好時光的理想場所。我強烈推薦每位愛好中國美食的朋友來此一試，你一定不會失望的！","When I entered the Chinese Father's Restaurant, I was completely attracted by its elegance and comfort.First of all, the service here is very good. Employees are always smiling, and they are willing to provide help and suggestions for customers.Their explanation of the dishes is very detailed, making me confident in the choice of each dish.

The dishes are even more amazing.I ordered the signature dish ""Spicy Beef Disposus"" and ""Dry Chicken"". Each dish shows superb cooking skills and fresh ingredients.The spicy beef tendon is flavorful, which makes people have an endless aftertaste; the saliva chicken is spicy and numb, mellow and tender, which is definitely an excellent choice for wine.

In addition, the environmental design of the restaurant also pays great attention to details. The decoration and warm lights of Chinese style create a comfortable and relaxing atmosphere, making the dining experience more perfect.The choice of music is also appropriate, adding a pleasant atmosphere to the meal.

In general, the Chinese Father's Restaurant impressed me.Whether it is services, dishes, or environment, high -level quality and intentions are displayed.This is not just a place for dining, but also like an ideal place to enjoy a good time.I strongly recommend every friend who loves Chinese food to come here for a try, you will not be disappointed!",False
"有著萬里長城，兵馬俑等中國古代氣氛的一家餐酒館，裝潢設計很吸晴。

餐點好吃，排盤有創意，喜歡週六晚上小聚，喝個小酒，聽聽現場樂隊駐唱，演唱經典以及流行的歌曲，時而勁歌熱舞，時而
幫壽星歡慶生日，好不熱鬧，ChinaPa是不錯的選擇。

低消900一人，外加一成服務費，但900元可以抵餐點或飲料，停車不方便，不建議開車。","A dining tavern with an ancient Chinese atmosphere such as the Great Wall and Terracotta Warriors and Horses. The decoration design is very clear.

The meal is delicious, the row is creative, I like to gather on Saturday night, drink a small wine, listen to the scene band singing, sing classic and popular songs, sometimes sing and dance, sometimes
Help Shouxing's birthday, it is lively, ChinaaPa is a good choice.

Low 900 people, plus 10 % of the service fee, but 900 yuan can be worth or drink. It is not convenient to park. It is not recommended to drive.",False
菜色都好吃基本上沒什麼地雷，推薦鳳梨蝦仁超好吃。以下是生日應援的萬里長城酒排及很特別的生日豬腳，麵線，壽桃三件組，拍照超可愛也豬腳很好吃可以單點。,"The dishes are delicious. Basically, there are no mines. It is recommended that pineapple shrimp kernels are super delicious.The following is the Wanli Great Wall Restaurant of the Birthday and the special birthday pig's feet, noodles, and Shou Tao. The photos are super cute and the pig's feet are delicious.",False
"地方非常有氣氛～食物超好吃😋酒也好喝～員工都很親切❤️
很適合和朋友去相聚的地方～大力推薦✅
週五週六去最好玩啦～～～記得high到最後💃","The place is very atmospheric ~ The food is super delicious.
Very suitable for meeting with friends ~ Vigorously recommend ✅
It's fun to go on Friday and Saturday ~~~ Remember HIGH to the end 💃",False
三五好友聚餐好地方，現場live band帶動氣氛佳，餐點好吃，平日8點前入場，酒水買一送一，必須先點起來！👍,"Three or five friends have a good place for meals. Live Band on the spot drives the atmosphere, the meals are delicious, enter the venue before 8 o'clock on weekdays, buy one get one free in the drink, you must order it first!Bleak",False
晚上 9 點開始的現場駐唱很喜歡，食物好吃酒也好喝，服務也很棒，沒有什麼好挑剔的，值得一訪再訪的好地方,I like the live singing at 9 o'clock in the evening.,False
"非常帶有著中國古代氣氛的一家餐酒館，店內陳設著許多關於兵馬俑相關的物件擺設。
餐點非常大器並且精緻，用料不手軟，晚上八點多開始會有現場樂隊駐唱，演唱經典以及目前流行的歌曲，酒單也非常豐富。
想要一邊用外又可以有音樂聆聽，ChinaPa是不錯的選擇唷！","A dining tavern with a very atmosphere of ancient China. There are many plants related to terracotta warriors and horses in the store.
The meal is very large and exquisite, and the materials are not soft. At 8 o'clock in the evening, there will be live bands. Singing classics and current popular songs. The wine list is also very rich.
If you want to listen to music while using it, ChinaPa is a good choice!",False
餐點很特別很好吃，調酒也不錯。服務始終都保持一定水準。但座位略嫌狹窄，尤其最後一排座位的高度太高，很難坐,"The meal is very delicious, and the bartender is also good.Services have always maintained a certain level.But the seat is slightly narrow, especially the height of the last row of seats is too high, it is difficult to sit",False
餐點和服務都很好，週五晚上有樂團表演，樂團很棒很會帶氣氛，還為壽星提供生日特調酒，結束後如需叫計程車，工作人員都會幫忙而且還很貼心的送上樓，維獨沙發坐用餐時稍不方便，其餘都很好,"The meals and services are very good. On Friday night, there are band performances. The orchestra is great and atmosphere. It also provides birthday special bartending for Shousan. After the end, if you need to call a taxi, the staff will help and send it very intimately to send it. The building, the Wei Du sofa is a little convenient when sitting and eating, and the rest are very good.",False
