Original,EN,Needs Review,Positive,Negative,Neutral,Compound
"非常棒的體驗，不論是Bartender 的專業度、友善程度、調酒的技術面都是近期喝過最棒的酒吧。

謝謝你們讓我們夫妻倆在工作繁忙且照顧幼嬰的疲憊身軀下，能找回當初兩人世界跑酒吧的感動

下次見","A great experience, whether Bartender's professionalism, friendliness, and bartending technical aspects are the best bars that have been drank recently.

Thank you for letting our husband and wife be busy at work and take care of young babies. I can recover the movement of the two people in the world.

See you next time",False,0.258,0.0,0.742,0.9517
非常棒的體驗，店內沒有酒單，Bartender會依照客人形容的味道調出最符合的調酒，每一杯的味道都融合的恰到好處,"A great experience, there is no wine list in the store, Bartender will bring up the most consistent bartender according to the taste described by the guests. The taste of each cup is just right.",False,0.104,0.056,0.84,0.4404
"調酒好喝 環境偏擠 假日人滿多的
八天德很熱情介紹詢問喜歡喝什麼風味~
這家沒酒單 對平常少去酒吧的人比較不知道怎麼點 食物好像過10點就沒有了 比較可惜
老闆也收藏滿多少見的威士忌 可純飲
廁所乾淨 裝潢很漂亮還用自動門!","Blooming and delicious environment is squeezed with a lot of holidays
Eight Tiande introduced what the flavor liked to drink ~
This one without a wine list is better than those who usually go to the bar less. I don't know how to order food.
How much whiskey is full of the boss can drink pure drinking
The toilet is clean and the decoration is very beautiful and automatically uses an automatic door!",False,0.223,0.0,0.777,0.9595
巷子內有點隱密，經過好幾次都沒發現，店內座位不算多，溫馨小店的感覺，沒有酒單，但態度很親切會詢問喜歡喝的類型來幫你調，牆面也滿滿的威士忌，純飲派也很ok，晚上去已經停止供餐，沒吃到比較可惜，價位算中上，整體cp值還行,"The alley is a bit secret, and I haven't found it several times. There are not many seats in the store. The feeling of warm shops has no wine list, but the attitude is very kind and will ask you to drink the type you like to help you adjust it. The walls are full. Whiskey, the pure drink school is also very OK, the meal is stopped at night, it is a pity not to eat it.",False,0.159,0.074,0.767,0.8312
"今天遇到調酒師微醺
完全懂你想喝什麼☺️
點了兩杯茶酒很清新香甜
每杯調酒都讓人驚豔🧚🏻‍♀️
完全值得五顆星⭐️⭐️⭐️⭐️⭐️","I encountered a bartender today
Know what you want to drink 你️
It's fresh and sweet after ordering two cups of tea wine
Each cup of bartending is amazing 🧚🏻‍♀️
It is worth five stars 得️⭐️⭐️⭐️⭐️⭐️",False,0.231,0.0,0.769,0.8834
"週五晚上和朋友一起來這間喝酒
我們人數7、8個人左右
每個人都覺得這間整體來說很頂
除了店內裝潢很有質感外
燈光氛圍的營造也很令人放鬆

在酒品的部分，雖然店內沒有菜單
但基本上我們說的出來的酒，他們都能調出來
如果沒有特別明確想喝的調酒
也可以和服務生說自己喜歡什麼樣的調酒
服務生也會很有耐心的介紹和建議
酸甜、濃淡、口味（水果？！）之類的
很多口感只要我們能形容，他們都能調出來
而且送上來的酒真的不讓人失望
（照片那杯是我點的，養樂多底的調酒，超好喝）

我們來的這天是一個叫微醺的店員服務
（名字可能有打錯，不確定）
不管是服務態度、調酒品質真的都好的無話可說
推薦的酒也都滿有Sense ，滿讚的

總結一下覺得這間店是週末放鬆的好地方
一杯酒的價位在300-400左右
就這樣的調酒論品質來說Cp值很高
滿推薦和朋友來這聊聊天、放鬆的","Come here with friends on Friday night to drink here
The number of us is about 7 or 8 people
Everyone thinks this as a whole
Except for the interior of the store, it is very textured
The creation of the light atmosphere is also very relaxed

In the part of the wine, although there is no menu in the store
But basically the wine we said, they can all be tuned out
If you do n’t know how to drink, bartender you want to drink
You can also tell the waiter what kind of bartending you like
The waiter will also have a patient introduction and suggestion
Sweet and sour, dense, taste (fruit?!!)
Many tastes can be transferred as long as we can describe it
And the wine sent from it really does not disappoint
(The photo of the photo is me, raising the bottom of the bartender, super delicious)

The day we came was a clerk service called Weiyi
(The name may be wrong, uncertain)
Whether it is a service attitude, the quality of bartender is really good, nothing can be said
The recommended wines are also full of sense, full of praise

To sum up, I feel that this store is a good place to relax weekend
The price of a glass of wine is around 300-400
In terms of the quality of alcoholism, the CP value is very high
I recommend chatting and relaxing with friends",False,0.221,0.029,0.749,0.9953
"調酒師微醺很專業、親切，完全沒有雷的品項
炸物拼盤超好吃，下次必定會再光顧🔥🔥","The bartender is very professional, kind, and there is no thunder.
The frying platter is super delicious, and the next time I will patronize it again",False,0.318,0.062,0.62,0.8773
"小花與彼得超級nice
They’ll make you feel like home 😍🫶
他們現在沒有menu
可以直接跟調酒師說你喜歡的味道
最喜歡有萬壽菊裝飾、 葡萄柚和茶的那個
他們調出來會是你喜歡的味道～","Xiaohua and Peter Super Nice
They ’ll make you feel like home 😍🫶
They have no menu now
You can directly tell the bartender that you like the taste
The one who likes Wanshouju decoration, grapefruit and tea
They will be tuned out will be your favorite taste ~",False,0.307,0.033,0.66,0.9538
"Ramos fin fizz 推爛(ง'-̀'́)ง好喝到不行
沒有菜單的酒吧=開寶石盒一樣的驚喜感
不喜歡的酒感還可以馬上調整😻誰能不愛","Ramos Fin FIZZ push bad (ง '-̀'́) ง to be delicious
Bar without a menu = opening a gem box -like surprise
You can also adjust the wine that you don’t like 😻 Who can not love",False,0.252,0.126,0.622,0.7124
"補充，喜歡的調酒師Ann已經離職，覺得相當可惜。

—-
bartender非常專業很厲害，會依客人喜好調製飲品，每一杯都非常喜歡，店內很多特殊酒款，環境好非常乾淨，小地方即可看得出很用心，是一間會想再去的地方。","In addition, my favorite bartender Ann has left the job, it is a pity.

----
Bartender is very professional and very powerful. It will prepare drinks according to the preferences of the guests. Every cup likes it very much. Many special wines in the store, the environment is very clean, and you can see very attentive. It is a place where you want to go again.",False,0.209,0.028,0.763,0.9178
