Original,EN,Positive,Negative,Neutral,Compound
"這是一家由葡萄酒進口商直營的Wine Bar，很隱密的座落巷弄之，店內有販售許多各式各樣的葡萄酒，且價格都相當的親民實惠，有別於外面酒吧的售價，就連消費模式也僅收水資100元(Evian礦泉水& Ferrarelle天然氣泡礦泉水暢飲)，葡萄酒牌價販售，因此你可以在店裡喝到一瓶不到2000元的法國香檳，也有2萬左右的法國五大，千元以內的法國、義大利、西班牙、智利、阿根廷、澳洲、美國…等優質葡萄酒，還有義大利知名的酒渣白蘭地Grappa。

因此店內只做整瓶販售，沒有提供單杯服務，只有30年蘇格蘭威士忌有做單杯銷售，此外店內也有提供包場服務，只要8000元(限8人，超過人數每位加收1000元)並且可抵低消。

目前店只營業周三~周六晚上19:30~23:30，有時包場不對外營業，因此建議先電話洽詢、預約。","This is a Wine Bar, which is directly run by wine importers. It is very secretive. There are many kinds of wines in the store, and the price is quite affordable. The price, even the consumer model only received 100 yuan of water capital (Evian mineral water & ferrarelle natural gas bubble mineral water drinking), the wine brand price is sold, so you can drink a bottle of less than 2,000 yuan in French champagne in the store, and there are also some in the store, and there are also some. The five major France, France, Italy, Spain, Chile, Chile, Argentina, Australia, the United States, etc. within 1,000 yuan, and the well -known Italian GrapPa.

Therefore, only the entire bottle is sold in the store, and there is no single cup service. Only 30 years of Scottish whiskey has a single cup for sales. In addition, there are charter services in the store. And can be reached low.

At present, the store only opens from 19:30 to 23:30 from 19:30 to 23: 30. Sometimes the charter is not open to the outside world. Therefore, it is recommended to contact and make an appointment first.",0.063,0.021,0.916,0.7579
位置方便，氣氛舒服，服務親切，是個非常適合與三五好友一起小聚的好地方👍👍 …,"The location is convenient, the atmosphere is comfortable, and the service is cordial. It is a good place that is very suitable for gathering with three or five friends.",0.263,0.0,0.737,0.8519
很棒的地方！是台北難得一見的複合式品酒場所，上週去上了花藝品酒課，覺得很有收穫，場地舒適，人員也很專業親切，好期待之後的更多活動🥰🥰 …,"A great place!It is a composite wine tasting place that is rare in Taipei. I went to flower art and wine class last week. I felt very good, comfortable at the venue, and very professional and kind. I look forward to more activities ...",0.27,0.0,0.73,0.9416
葡萄酒品項眾多，價格合理；交通方便，適合下班後聚會。,"There are many wine items, with reasonable prices; convenient transportation, suitable for gathering after get off work.",0.0,0.0,1.0,0.0
環境優美、服務態度好、身心靈都可以放鬆的好地方～,"A good place with beautiful environment, good service attitude, and relaxation of body and mind ~",0.522,0.0,0.478,0.9201
定期舉辦品酒會，環境氣氛佳～推推,"Hold a wine tasting party regularly, with good environmental atmosphere ~ push push",0.337,0.0,0.663,0.6808
今天品嚐的白酒很順口，很驚豔,The liquor you tasted today is smooth and amazing,0.322,0.0,0.678,0.5859
環境好，品質好。,Good environment and good quality.,0.659,0.0,0.341,0.7003
舉辦活動的別緻場所！聞起來有一股新裝修的房子的味道。我喜歡後面的小花園。該地區相當綠洲。好的葡萄酒選擇是一個加分項,The unique place to host an event!It smells the taste of a newly renovated house.I like the little garden behind.The region is quite oasis.Good wine selection is an extra points,0.088,0.0,0.912,0.4199
我在這個地方和朋友一起喝酒度過了一段愉快的時光。一個舒適的空間，提供精選的葡萄酒、超級友善的員工和服務。,"I drank a happy time with my friends in this place.A comfortable space provides selected wines, super -friendly employees and services.",0.518,0.0,0.482,0.9531
這是我在這裡度過的美好經驗。好酒好言。我為傅亞晨感到驕傲。,This is a beautiful experience I spent here.Good wine and good words.I am proud of Fu Yachen.,0.359,0.17,0.471,0.6369
好酒和舒適的空間。,Good wine and comfortable space.,0.674,0.0,0.326,0.7351
