Original,EN,Needs Review
"差點以為是夜店而錯過好吃的商業午餐😋
令人驚艷的椒麻雞～好吃+佛心的價格

看店外觀以為晚上才營業，但看到門口商業午餐小黑板還是好奇推門而入～

入內氛圍很獨特🥰
隨意點了椒麻雞，沒想到一上桌就被撲鼻而來的香氣征服，周邊小配料也完全不馬虎！！

下次有機會路過會再回來品嚐的😋","I almost thought it was a nightclub and missed delicious business lunches 😋
The amazing pepper hemp chicken ~ delicious+the price of the Buddha heart

I think the appearance of the store is only open at night, but I saw the commercial lunch at the door and the small blackboard was still curious to push the door ~

Internal atmosphere is very unique 围
I just ordered the pepper hemp chicken at will. I didn't expect to be conquered by the aroma that came on the table. The surrounding small ingredients were not sloppy!Intersection

Next time I have the opportunity to pass by, I will come back to taste again",False
"需加10%服務費，抵消一人一杯酒。

新開幕的酒吧，整體氛圍感還不錯，酒類喝起來很順口也有酒感。
食物的部分口味都蠻好吃的，尤其是椒麻雞雞翅，整體的味道個人很喜歡，但口味微辣，怕辣的人可直接略過這道。控肉飯份量不算多，但也很好吃，控肉很滷的很入味，還有附滷蛋跟青菜。","10%service fee is needed to offset one glass of wine.

The newly opened bar, the overall atmosphere is still good, and the alcoholic is very smooth and has a sense of alcohol.
The taste of the food is pretty delicious, especially the pepper hemp chicken wings. The overall taste personally likes it, but the taste is slightly spicy. People who are afraid of spicy can skip this.The amount of meat controlled is not much, but it is also delicious. The meat control is very sour and delicious.",False
"我猜Bar DAD有一位被酒吧耽誤的廚師
今天點的菜單印象深刻
炸物拼盤-我是醬料控，可以多給我一點醬😂
牛三寶-大推！
滑蛋牛丼-牛肉大滿足😋
青花椒辣雞翅-堪比金色三麥的椒麻雞❤️

調酒部分
曖昧-GIN為基底 很爽口
初遇-喜歡偏甜的可以點
東區東區-有淡淡葡萄香

裝潢很讚
椅子有質感
音樂是找DJ選過的歌單嗎🤩
整體而言
是一家用心的Bar

可惜的是
可能是今天有下雨
門口沒放到菜單
加上非透明玻璃看不到店內
稍微找了一下","I guess Bar Dad has a chef delayed by the bar
The menu at the order today is impressive
Fried objects-I am a sauce control, you can give me a little more sauce 😂
Niu Sanbao-Big Push!
Slide Egg Bee
Green Pepper Spicy Chicken Wings-Beil Pepper Chicken, which is comparable to golden three wheat ❤️

Alcoholic part
Ambiguous-Gin is a refreshing base
The first encounter-likes to be sweet can be ordered
East District East District-There is a faint grape fragrance

The decoration is great
Chair has a texture
Is music looking for a song list selected by DJ?
Overall
It's a heart -based BAR

Unfortunately
Maybe it is raining today
Not put at the menu at the door
Plus the non -transparent glass can't see the store
Find a little",False
"第一次來-會再訪的地方。

相對舒服的角落，很寬敞又不會太寬敞的空間。

調酒師-技法非常好，創意也很足夠，出酒速度飛快卻不失品質，值得追尋的調酒師。

服務員-非常有禮貌又不會太親切，剛剛好。

廚房-超好吃，就超好吃。

結論-下次應該不要帶女生來，自己來比較爽，才可以好好喝9","The first time I will visit again.

A relatively comfortable corner, very spacious and not too spacious.

The bartender-technique is very good, the creativity is enough, the drunk speed is fast but without losing the quality, it is worthy of pursuing the bartender.

The waiter-very polite and not too kind, just right.

The kitchen-super delicious, it is super delicious.

Conclusion-Don't take girls next time, it's better to come by yourself, so that you can drink it well. 9",False
第一次來就很喜歡，環境氣氛佳💗，食物好吃😋尤其是雞軟骨！驚為天人超讚的啦！調酒也好好喝👍,"I like it for the first time. The environment atmosphere is good, the food is delicious, especially the chicken cartilage!It's amazing!Taking bartending and drinking 好",False
"青花嬌雞翅義大利麵都好吃
調酒好喝 服務人員讓人沒有壓力
推薦！！
追加炸物拼盤","Blue and white proud chicken wings are delicious
Bart -up and delicious service staff make people have no pressure
recommend!!
Adding Fried Fryer Platform",False
"雙連老吧的二店，酒依然優秀，食物也很多元好吃，有能餵飽你的飯麵，也有適合多人分享的炸物，調酒價位300-400/杯，bartender也都很友善，推薦給喜歡喝酒的朋友。

#士林捷運站2號出口走1分鐘
#Chill","The second shop of Shuanglian Lao Bar, the wine is still excellent, the food is also delicious, there are rice noodles that can feed you, and there are fried objects suitable for multi-person sharing. The bartending price is 300-400/cup. Friendly, I recommend it to friends who like to drink.

#2 Exit 2 for 1 minute
#Chill",False
"什麼都好好吃~
調酒好喝~小菜好吃!
忘了拍控肉飯，被吃掉了~","Everything is delicious ~
Blooming is delicious ~ Small dishes are delicious!
Forgot to shoot the meat rice, I was eaten ~",False
"酒超好🥹可以客製
氣氛也超好
士林終於有這樣可以好好放鬆的bar 了😍","Wine is super good 客 can be customized
The atmosphere is also super good
Shilin finally has such a bar that can be relaxed.",False
放鬆的好地方，裝潢設計簡單俐落，酒好喝不像別的地方不給足，很棒的服務，超級推薦！,"Relaxing a good place, simple decoration design, good drinking is not as good as other places, great services, super recommended!",False
"燈光美 氣氛佳
適合安靜約會的地方

酒喝起來很順很舒服，沒有太強烈的刺激感
不知不覺就進入開心的狀態了","Beautiful light atmosphere
Suitable for a quiet date

The wine is very comfortable and comfortable, there is no strong sense of excitement
Unconsciously enter a happy state",False
餐點好吃，調酒好喝，氣氛101分，服務202分，來就對了,"The meal is delicious, the bartender is delicious, the atmosphere is 101 points, and the service is 202 points.",False
"試了酒單上約一半的調酒，酒與茶、果汁的比例喝起來很順口，
選擇困難的人，我推薦第一杯試試芭蕾奇緣跟北海道，前一攤還沒吃飽的也可以點控肉飯","I tried about half of the bartender on the wine list. The proportion of wine to tea and juice was very smooth.
For those who choose difficulties, I recommend the first cup to try Ballet and Hokkaido. If the front stall, you can control the meat rice.",False
"雖然菜單上面沒有寫，但是其實酒保是能點各種你叫的出來的經典酒款的。
與其他點經典酒款的朋友們想像的不同，酒保的詮釋演繹有自己的一套想法，可以說是在既有的框架下又做出了不同的想像，這點我很喜歡，酒保本身也很好聊，對於調酒有興趣的朋友也可以跟他交流。
適合對於經典調酒有一定了解的朋友們來這裡做不一樣的體驗，會是個有趣的經驗。","Although it is not written on the menu, the bartender can actually order all kinds of classic wines you call.
Different from other friends of classic wines, the interpretation of the bartender has its own ideas. It can be said that different imaginations are made under the existing framework. I like this very much. Good chat, friends who are interested in bartending can also communicate with him.
It is an interesting experience for friends who have a certain understanding of classic alcohol to do a different experience.",False
店裡氣氛不錯 服務態度良好 食物好吃 酒也好喝 無酒精飲料也很有誠意 推推,"The atmosphere in the store is good, good service attitude is good foods, delicious alcohol, good alcoholic drink, and very sincere push",False
酒很棒，點了三款都很好喝，酒感也夠。,"The wine is great, and the three models are delicious, and the wine feels enough.",False
