Original,EN,Needs Review
很特別，入口是雜貨店，推進門像是跨越兩個世界。可以邊唱歌邊喝酒的地方。如果遇到唱歌不好聽的，可能氣氛就會受到影響🤣但酒🍻算是蠻好喝的，也可以試看看自己調酒的體驗。很適合和3-4個朋友來~重點！廁所也是乾淨的~,"It is very special. The entrance is a grocery store, and the advanced door seems to be spanning two worlds.You can sing and drink while singing.If you encounter unpleasant singing, the atmosphere may be affected.Very suitable for 3-4 friends ~ the point!The toilet is also clean ~",False
4個老男人加起來剛好202歲，因為很久沒有來西門町，來感受一下水煙館，想喝杯小酒四個老男人好好敘敘舊，進去的時候服務人員說，出餐只到1點半，凌晨2點半要打烊，看看時間覺得不夠聊天，只好去隔壁另外一家消費，但是這家門口真的很有特色，外面看起來是復古的雜貨店，裡面卻是水煙管，氣氛感覺都很前衛，可能西門町還是年輕人去的吧，所以星期五晚上也開不到很晚,"Four old men add up to 202 years old, because I haven't come to Ximending for a long time to feel the water cigarette hall. I want to drink a glass of wine for four old men to narrate the old. When I go in , I want to snooze at 2:30 in the morning. I feel that I do n’t have enough chat when I look at the time, so I have to go to another consumption next door, but the door is really distinctive. It looks like a retro grocery store outside. Very avant -garde, maybe Ximending or young people go, so it is not too late on Friday night",False
"老闆人很好！
門口很酷，酒好喝又漂亮，菜單有標示酒精濃度很貼心。
二樓還可以唱歌🎤
很推會回訪～","The boss is very good!
The door is cool, the wine is delicious and beautiful, and the menu is very intimate.
You can also sing on the second floor
Very pushing back to visit ~",False
"這家店最特別的是
外觀完全看不出來是酒吧
很甘仔店的復古感
很酷
-
一分扣在
點了水煙
但餐點都快食用完
都還沒來
提醒過後才送上來
但用餐時間是有限制兩小時
水煙實際上用的時間….
覺得很虧
-
餐點是好吃的
酒也不錯
蠻多選擇
還可以客製化
-
場內有提供點歌機可以唱歌
某桌的女生不知道是喝嗨了還怎麼樣
一直佔用麥克風許久","The most special thing about this shop is
I can't see it at all
Very retro feeling of Ganzi shop
Cool
-
Deduct
Order
But the meals are almost finished
Haven't come yet
After reminding you to send it up
But there is a restricted meal time for two hours
The time the water smoke actually uses ...
I feel very lost
-
The meal is delicious
Wine is also good
There are many choices
Can also be customized
-
There is a song machine on the court to sing
Girls at a table don't know what's going on, hey
Always occupied the microphone for a long time",False
酒不錯 造型也很浮誇😂冰淇淋涼麵有點🆒薯條中規中矩 是可以點的！整體而言不錯 氣氛也很好 二樓座位可以唱歌 下次會訂位坐2樓😂,"The good wine is also very exaggerated. The cool noodles of ice cream are a little bit of fries.Overall, good atmosphere and good atmosphere. On the second floor seat, you can sing next time you will book a seat on the second floor 😂",False
是可以唱歌的酒吧，氣氛很好，工作人員很熱情唱歌也很好聽！酒都很有特色而且很漂亮！食物的部分也都蠻好吃的，尤其是三杯中卷,"It is a bar that can sing, the atmosphere is very good, and the staff is very enthusiastic about singing and good!Wine is very distinctive and beautiful!The food parts are also pretty delicious, especially in the three cups",False
"認真說食物超級好吃！酒都很符合口味，朋友一群人來必點相機的調酒會幫忙拍拍立得，還有超級浮誇的高樓大shot!!!!
店員都熱情的很可怕，超讚！！！！","Seriously, food is super delicious!Wine is very suitable for the taste. A group of friends who come to the camera will be able to take a picture of the camera. There are also super exaggerated high -rise buildings !!!!!
The clerk is enthusiastic and terrible, so amazing!IntersectionIntersectionIntersection",False
"真的是很好玩耶，走過去都不知道到底找到店了沒？😆
等到七點開門進去服務員很溫馨的代位到2樓選擇自己想要做的沙發舒服
佈置的很不錯，音樂超好聽
酒也不錯，喝冰淇淋涼麵很特別
準備要結帳的時候經過1樓好熱鬧喔，超多人站著喝啤酒，然後很多服務員就會說要結帳嗎？在外面結帳然後又回到了門口打開那個門的感覺的時候就好像你剛剛是從另外一個世界也回到人間
這裡實在是太好拍了逛了西門町之後進來喝個東西真的是一個完美的Andy","It's really fun. I don't know if I found the store?Bleak
Wait until seven o'clock to enter the door. The waiter is very warm to the 2nd floor to choose the sofa you want to do comfortably.
The layout is very good, the music is super nice
The wine is also good, drinking ice cream is very special
It ’s lively when you are going to check out on the first floor. A lot of people stand and drink beer, and then many waiters will say to check out?When you check out outside and then return to the door to open the door, it seems like you just returned from another world to return to the world
This is really easy to shoot. After walking around Ximending, I came in to drink something really a perfect Andy",False
解鎖西門最頂頂的酒吧！！！老闆人帥又大氣！非常建議來試試看唷！,Unlock the top of Ximen's top bar!IntersectionIntersectionThe boss is handsome and atmospheric!I am very recommended to try it!,False
"調酒好喝,店員超nice,餐好吃,極推","The bartending is delicious, the clerk is super nice, the meal is delicious, the push is extremely pushing",False
