Original,EN,Positive,Negative,Neutral,Compound
女服務員 很親切 服務很好,The female waiter is very kind and service,0.345,0.0,0.655,0.5709
美女服務生們待客都很親切而且服務週到，重點是她們不會一直向客人追討索要請酒（如果要找妹陪聊當然還是要請一杯啦！），客人在這比較不會感受到妹仔請酒的壓力。,"Beauty waiters are very kind and have thoughtful. The point is that they will not recover from the guests to ask for wine (if you want to find a sister to talk to, of course, you still have to ask for a cup!), The guests will not feel it here. The pressure of the girl invites wine.",0.177,0.033,0.789,0.8585
可以請你們店的女服務生還是老闆娘那個送客的音量可以小聲一點嗎  半夜在那邊吵三小 這素質真的很差,Can you ask the female waiter in your store or the volume of the boss's mother to send a guest? Is the quality of the three small in the middle of the night?,0.0,0.0,1.0,0.0
氣氛好，酒便宜（尤其是happy hour)買一送一，重點是老闆美艷大方,"The atmosphere is good, the wine is cheap (especially happy hour) to buy one get one free, the focus is on the boss's beauty and generosity",0.452,0.0,0.548,0.9538
員工親切，酒總類也多，還有飛鏢可玩,"Employees are kind, there are many total wine categories, and darts can play",0.345,0.0,0.655,0.7003
有超正老闆娘，跟一群熱情漂亮的員工，值得一去,"There is a super -boss lady, and a group of enthusiastic and beautiful employees is worth going",0.498,0.0,0.502,0.9169
"老闆娘是大美女
非常美式的非常隨性氣氛很足的酒吧
很有男人味","The boss is a big beauty
Very American -style very casual atmosphere bar
Very masculine",0.312,0.0,0.688,0.7089
令人印象非常不好的店 老闆娘會發神經亂批評客人,令人印象非常不好的店 老闆娘會發神經亂批評客人,0.0,0.0,1.0,0.0
氣氛很好的酒吧！爆米花要加胡椒鹽才好吃！極度推薦,Bar with good atmosphere!You need to add pepper and pepper to popcorn to be delicious!Extreme recommendation,0.188,0.0,0.812,0.5399
第一次來美式酒吧！,The first time I came to an American bar!,0.0,0.0,1.0,0.0
酒吧氣氛好，10點前180元以下酒買一送一,The atmosphere of the bar is good. Buy one get one free for wine for less than 180 yuan from 10 o'clock,0.237,0.0,0.763,0.7351
和老闆娘，店長多喝几杯 她就請你喝酒了,"With the boss, she invited you to drink a few more glasses of drinking a few more glasses",0.0,0.0,1.0,0.0
很棒的地方，大家都很和善，很舒服很棒的場所,"A great place, everyone is very kind, very comfortable and great place",0.667,0.0,0.333,0.9518
寂寞的酒鬼們，這是好地方，不用酒店那麼貴,"Lonely wines, this is a good place, not as expensive as the hotel",0.177,0.152,0.671,0.1027
9:00錢到買一送一,9:00 to buy one get one get one free,0.292,0.0,0.708,0.5106
酒便宜，不是熟客容易被當空氣,"The wine is cheap, not that cooked customers are easy to be used as air",0.172,0.0,0.828,0.4404
店家只招呼熟客   一般客人會被當作是空氣,店家只招呼熟客   一般客人會被當作是空氣,0.0,0.0,1.0,0.0
服務好，是下班喝酒聊天的好地方,Good service is a good place to drink and chat from get off work,0.326,0.0,0.674,0.7003
