Original,EN,Positive,Negative,Neutral,Compound
到訪兩次，外帶一次！飯Bar是我們家覺得CP值算高的餐廳！離家近，每每有節日就會想來這聚餐！環境舒適，服務也親切！菜色多樣，目前還沒踩到雷點，推推！👍👍,"Visit twice and take it once!Fan Bar is a restaurant with a high CP value in our family!Close to home, I always want to come to this dinner when there are festivals!The environment is comfortable and the service is also kind!There are diverse dishes, so I haven't stepped on the thunder point yet, push push!Bleak",0.136,0.0,0.864,0.8002
"份量恰當
肥腸太甜…
娃娃菜味道不夠
豆腐海鮮好吃
菜飯不錯
蝦鬆美味
東坡肉好吃
水煮牛也好吃
服務不錯
環境舒適
價位偏高","Proper amount
The fat intestines are too sweet ...
Doll vegetables are not enough
Tofu seafood delicious
Very good vegetable and rice
Shrimp pine delicious
Dongpo meat is delicious
Boiled cattle is also delicious
Good service
Environmental comfort
High price",0.452,0.0,0.548,0.9785
好到講不出缺點⋯硬要說一個的話就是上菜速度要控制一下，以下子全上吃到後面都有點冷了，除此之外餐點每一道都非常用心美味！服務人員也很夠，大推,"It's so good that you can't say the shortcomings. If you want to say one thing, you have to control the speed of serving. The following sons are a bit cold after eating all. In addition, each meal is very delicious!The service staff is also very enough, push",0.094,0.0,0.906,0.5838
"朋友聚餐，訂包廂低消8000。我們訂了套餐$5680。又加菜才達低消。
環境不錯，單餐點沒有驚艷、整體CP質不佳。
套餐裡好吃的是「美人茶東波肉」、金沙軟殼蟹」、「山藥雞湯」 三樣。其他都普普
加點的2樣地雷：
「金沙美人腿」、「糖醋排骨」兩樣都是裹粉太厚了、豬肉又太硬了。唉😮‍💨 感覺是想要將體積變大的結果。
甜點和飲料都是好看不好吃！
還有水煮牛味道不錯但上桌只有半鍋（感覺不佳）
以上，有興趣的朋友可以去試試哦！","Friends gathered for a meal, and the box reserved a lower 8000.We ordered a package $ 5680.Add vegetables to reaches low.
The environment is good, the single meal is not amazing and the overall CP is not good.
The delicious food is ""Beauty Tea East Pork"", Sands soft shell crab ""and"" yam chicken soup "".Others all Pupu
Add a little bit of mines:
""Golden Sand Beauty Legs"" and ""Sweet and Sour Pork Ribs"" are all wrapped too thick and pork too hard.体 I feel that I want to make the size bigger.
Desserts and drinks are good -looking or delicious!
There are also boiled beef tastes good, but only half pots on the table (I feel bad)
Above, interested friends can try it!",0.189,0.093,0.718,0.8989
"用餐環境明亮 不壓迫  寬敞
味道有做出來 該有的水準
份量和單價比例上 會略覺得偏高一點點

上湯娃娃菜 視覺很棒 口味偏淡 沒做出菜和湯汁的甜味

📍每個人的感受和價值觀
還有口感喜好都不一樣
純粹為個人的分享
我喜歡不代表你也喜歡
我不愛不表示你也不愛噢","The dining environment is bright and not compressed and spacious
The taste of the taste should be made
The weight and unit price ratio will feel a little higher

The visual vision of the soup doll is great, the taste is light, but the sweetness of the dishes and soups

和 Everyone's feelings and values
There are also different taste and preferences are different
Purely for personal sharing
I like it, it doesn't mean you like it too
I don’t love or mean that you don’t love it nor either",0.284,0.023,0.693,0.985
"每道菜都很有特色，口味適中不重鹹
服務非常好，店面乾淨寬敞，上菜速度快
現做的提拉米蘇非常好吃","Each dish is very distinctive, and the taste is moderate and not salty
The service is very good, the store is clean and spacious, and the food is fast
The current Tiramisu is very delicious",0.236,0.0,0.764,0.8716
"餐 真的一般般
東坡肉瘦肉太老
蚌蚌湯算不錯
其他真的一般般
一瓶可樂賣88元
還有限時90分鐘
這實在無法接受
當內科上班的人真的是收入豐厚嗎？","The meal is really like
Dongpo meat is too old
Ganglang soup is good
Other is really ordinary
A bottle of cola sells 88 yuan
Also limited time 90 minutes
This is really unacceptable
Is it really income when people who work in the Department of Internal Medicine?",0.104,0.095,0.802,0.128
價位中上，服務品質好，中式料理具有水準。,"In the middle of the price, the quality of service is good, and Chinese cuisine has a standard.",0.146,0.0,0.854,0.4404
"很適合多人聚餐的地方～
覺得最有特色料理之一非「鞦韆晾肉架」莫屬！
真的會有鞦韆擺動的感覺🤣
各項料理餐點也很美味，推推😋","It is very suitable for multi -person dinner ~
I feel that one of the most distinctive dishes is the ""Qiuqian dry meat shelf""!
There will be a feeling of swinging in the autumn and swinging 真的
Various food meals are also very delicious, push push",0.116,0.0,0.884,0.6989
舊照片，環境佳，餐點美觀，但味道口感不太有記憶點。,"Old photos, good environment, beautiful meals, but the taste is not very memorable.",0.286,0.0,0.714,0.5267
