Original,EN
"點了兩杯水果調酒都很不錯😍 推 奇異果仙人掌
友人點茶類調酒也很順口
菜單上有各別明確註記口味（甜度、酒感
氣氛放鬆不吵雜，酒很多特殊的搭配下次還想來嘗試","I ordered two glasses of fruit and alcohol.
Friends order tea and bartender, it's also very smooth
There are different notes on the menu (sweetness, wine feeling
The atmosphere is relaxed and not noisy. Many special combinations of wine will also try to try next time"
氣氛好，調酒有多樣選擇，今天和朋友一起點的調酒，每樣都好喝。各具特色，有獨特的香草風味。,"The atmosphere is good, there are diverse choices for bartending, and the bartending with friends today is delicious.Each has its own characteristics and has a unique vanilla flavor."
有趣的香草酒吧，老闆幽默風趣，滿足我思思念念的調酒，光靠原料名稱就能還原80%以上的熊本Yokoboku，必須給點掌聲👏奇異仙人掌也是滿滿的果香帶點酒感十分順口，做為夜幕第一杯非常適合，店如其名滿堂的香草氣息，整體氛圍舒適，值得再訪～,"Interesting vanilla bars, the boss is humorous and fun, satisfying the bartending of my thoughts. You can restore more than 80%of Kumamoto Yokoboku by relying on the name of the raw material. You must give some applause. Shunkou, as the first cup of the night, is very suitable. The shop is full of vanilla atmosphere, the overall atmosphere is comfortable, and it is worth visiting ~"
Bartender小哈親和力十足，有各式琴酒供選擇及特調，很適合輕鬆小品。,"Bartender is full of affinity, there are all kinds of piano wines for choices and special tunes, which are very suitable for easy sketches."
"特別喜歡有趣和好玩少見的酒
可以討論喜歡的口感點酒
香菜調酒真是太讚了喔喔喔喔
每ㄧ杯都漂亮很好拍👍","I especially like interesting and fun wines
You can discuss your favorite taste wine
Coriander bartender is really praised
Every cup is beautiful, very good to shoot 👍"
"香草窗是某次在另一間Bar跟Bartender閒聊時被推薦的店，看看地點不遠、評價也不差，就列入了待訪名單，結果因為覺得酒不錯，隔週又自己造訪一次，也算是挺有愛的。

該店的最大特色正如店名，是各式香草，第一眼就被門面的綠意吸引，內部空間不大，倒也坐得舒服；吃食水準一般，但酒不錯喝而且種類豐富，可以多來幾次也喝不完，很合我心意（笑）。

----------
【水餃】
還不錯吃，而且水餃皮挺厚，我很喜歡。

【鳥不踏乾拌麵】
帶點微辣的麻醬乾拌麵，也不錯吃。

【鹿野旋風卷】
可愛版的炸螺絲卷，沾醬是用帶有濃厚烏梅與茶香風味的酒調製而成，滋味酸甜Bartender還給我一小杯試飲，帶有濃厚烏梅與煙燻氣息，同一支酒也拿來製作這道小點的沾醬。

【鹿野QQ條】
吃著像是實心版的地瓜球，口感挺Q，甜甜的。

【雞塊】
普通的炸雞塊，趁熱才好吃。

【炸物三拼】
可從炸物中任選3樣做成拼盤，這次選的是香香雞 + 起司薯球 + 花枝圈，都挺好吃。

【瘋狂下午茶】
帶有九層塔的香氣與濃厚的柑橘甜味，茶感與酒感均輕。

【渡渡鳥】
柳橙風味濃厚，微偏甜，酒感中等。

【紅心皇后】
很夢幻的淡粉紅色澤，帶有酸甜調與胡椒香氣，挺特別，但滋味太重，致使酒感不甚明顯。

【迴蘇之森】
通寧水帶來氣泡口感與微甜滋味，香之琴酒與紫蘇讓香氣更甚，酒感輕。

【著涎茶紅】紅玉烏龍茶
除了通寧水的氣泡口感與微甜外，茶感和酒感都很明顯，挺不錯。

【烏啼夜，霜滿天】
茶感不明顯，倒更像帶有可可風味與奶蓋層卻沒有氣泡口感的Highball。

【音韻闡微】
檜木和炭香凸顯了茶感，酒感中等。

【蘋果兔腳】
白蘭地風味中帶有青蘋果酸甜與楓糖甜，酒感中等偏輕。

【奇異仙人掌】
完全是奇異果風味，略偏酸，酒感中等偏輕。","The vanilla window is a recommended shop when I chat with Bartender in another BAR. It is not far from the location and the evaluation is not bad. It is included in the list of visits. As a result, I feel that the wine is good. It is quite loving.

The biggest feature of the store is as the name of the store. It is all kinds of vanilla. At first glance, the greenness of the facade is attracted. The internal space is not large, but it is comfortable to sit. I couldn't finish drinking a few times, I was very good at my heart (laughs).

-----------
【Dumplings】
It's pretty good, and the dumpling skin is very thick, I like it very much.

[Birds do not step on dry noodles]
It is also good to eat with a little spicy hemp sauce.

【Luye Whirlwind Volume】
The cute version of the fried screw roll, the dipping sauce is made from the wine with strong black plums and tea flavor. The sweet and sour Bartender also gives me a small cup of test drink, with a strong black plum and smoky breath, the same wine, the same wine, the same wine It is also used to make this small dot sauce.

【Luye QQ strip】
Eating like a real version of sweet potato balls, the taste is very Q and sweet.

【Chicken Block】
Ordinary fried chicken pieces are delicious while it is hot.

【Three Forms of Fried Woods】
You can choose 3 to make a platter from the fried object.

【Crazy afternoon Tea】
With the aroma of nine -story tower and a strong citrus sweetness, the tea feel and wine are light.

【Dotu Bird】
The orange flavor is strong, slightly sweet, and the wine feels medium.

【Red Heart Queen】
Very dreamy light pink, with sweet and sour and pepper aroma, which is very special, but the taste is too heavy, which makes the wine feel not obvious.

【Back to Su Zhisen】
Tongning water brings a bubble taste and slightly sweet taste. The incense piano wine and the perilla make the aroma even better and the wine feels light.

[Water Tea Red] Red Jade Oolong Tea
In addition to the taste and slightly sweet taste and slightly sweet of Tong Ningshui, the tea feel and wine are obvious and pretty good.

[Black cry, frost full day]
The tea feel is not obvious, but it is more like Highball with a cocoa flavor and milk layer but no bubble taste.

【Yinyun 阐 阐】
The citrus and charcoal aroma highlight the tea, and the wine feels medium.

【Apple Rabbit Foot】
The flavor of Bailan Di has green apples and sweetness and maple sweets.

【Strange Fairy Palm】
It is a strange flavor, slightly sour, and the wine feel is medium and lighter."
"24/5 友人聚餐。
整體的氛圍蠻自然的，但是音樂搭配的感覺還好，對我而言比較沒特色…

有個bar tender很可愛！","24/5 friends dinner.
The overall atmosphere is quite natural, but the feeling of music is okay, and it is less unique to me ...

There is a Bar Tender very cute!"
很有人情味的，很好聊的一間店，以後會多來,"Very humane, a shop that is very good to talk about, there will be more in the future"
調酒很好喝，琴酒的愛好者可以來試試，各類琴酒都很多。整體氣氛給人舒服放鬆感，非常適合朋友來聊天。,"The bartender is very delicious. The lover of the piano wine can try it, and there are many types of piano wine.The overall atmosphere is comfortable and relaxed, and it is very suitable for friends to chat."
二訪，與香草窗夥伴度過了完美的黃金夜，好酒美食配麟洋，奧運金牌佈陣成功🏆🏅,"The second visit, the perfect golden night with the vanilla window partner, the good wine food and Linyang, the Olympic gold medal array was successful 🏆🏅"
