Original,EN,Positive,Negative,Neutral,Compound
"大概2點半才來這裡 快要打烊時間但是店員還是很熱情的服務 調酒好喝酒量低 怕醉的人可以喝👏
店長感覺人也很好 我要每週都來這裡 哈哈 …","It ’s about 2:30, I’ m going to snooze time, but the clerk is still very enthusiastic about service.
The manager feels that people are also very good. I want to come here every week haha ​​...",0.311,0.0,0.689,0.942
服務好 氣氛佳 生啤暢飲500 讚😻,"Serve a good atmosphere, Jiasheng Beer, drink 500 likes 😻 😻 😻 😻",0.435,0.0,0.565,0.9493
很棒的環境，唱歌音響蠻好的，生啤、調酒、雪莉桶好喝，還可以打標，員工態度也很好，會一起聊聊天，很多常客還會一起唱歌,"A great environment, the singing sound is pretty good, the raw beer, bartender, and Shirley bucket are delicious, you can also marched, the employee attitude is also very good, they will chat together, many regular customers will sing together",0.335,0.0,0.665,0.9524
這裡的酒友都能以歌會友，很容易打成一片，玩成一片，真得很喜歡這種氣氛，推推推👍👍👍 …,"The wine friends here can use song friends, it is easy to make a piece and play it. I really like this atmosphere. Push push ...",0.405,0.0,0.595,0.923
啤酒暢飲真的很划算，店員也很親切，是個能唱能喝的好店,"Beer drinking is really cost -effective, and the clerk is also very kind. It is a good shop that can sing and drink.",0.333,0.0,0.667,0.8742
真的太好玩了，可以射鏢可以唱歌，又可以認識隔壁桌的帥哥美女,"It's really fun, you can shoot darts to sing, and you can know the handsome guys and beautiful women who are next to the table",0.314,0.07,0.616,0.8516
"這裡老闆不錯，很會聊天
室內寬敞，可以玩飛鏢
也可以唱歌
整體來說滿不錯的😁","The boss here is good, I can chat very well
The room is spacious, you can play darts
You can also sing
Overall full of good 满",0.315,0.0,0.685,0.8622
環境寬敞、舒適，非常棒的地方,"The environment is spacious, comfortable, very great",0.606,0.0,0.394,0.8268
"無意間發現的店家
環境還ok如果對煙味敏感者可能不適合
店員跟客人都還不錯 喜歡一起唱歌一起喝酒的感覺
喔對了 如果不適應開放式包廂者需要三思","Inadvertently discovered shop
The environment is OK, if you are sensitive to the smell of smoke, you may not be suitable
The clerk and the guests are pretty good to sing together to drink together
Oh, if you are not adapted to an open box, you need to think twice",0.113,0.0,0.887,0.7269
唱出美好歌聲！音質能唱出各位想不到的優雅歌聲~服務態度很親切直得我們去喝酒休閒好地方““我會當常客~聽別人優雅歌聲~~唱出想不到的美聲！不要錯過有這麼好的服務態度可以常去捧常喔~~,"Singing a beautiful singing!The sound quality can sing the elegant singing that you think of ~ The attitude of service is very kind to us to drink and leisure. ""I will be a regular guest ~ Listen to others elegant singing ~~ Singing unexpected beauty!Don't miss such a good service attitude, you can go often ~~",0.272,0.0,0.728,0.9566
"起初看了評論後有點擔心
親自嚐鮮後發現其實還不錯耶！
消費方式在進門就會說明清楚
店員人都不錯！適合放鬆交朋友的地方
重點可以唱歌喔！（開放式","I was a little worried after watching the comment at first
After trying early, I found that it is actually pretty good!
The consumption method will explain clearly when entering the door
The clerk is good!Suitable for relaxing friends
The key point can sing!(Open",0.286,0.034,0.68,0.9333
朋友帶來玩的，ㄧ來就愛上這裡了，可以唱歌又可以跟其他人玩一起，感覺真的很棒,"Friends brought to play, I fell in love with it, you can sing with others, it feels really great",0.484,0.0,0.516,0.9336
華燈初上後，才開始認識林森北路的酒吧，店內的服務熱情，飛鏢也好玩，還可以大家一起歡唱喝酒的好地方,"After the lantern was at the beginning, I started to know the bar on Linsen North Road. The service in the store was enthusiastic and the darts were fun.",0.194,0.0,0.806,0.7579
服務好好聊天,Chat well in service,0.412,0.0,0.588,0.2732
"欸！不可愣欸！
調酒的女生也太美了吧！
很可以欸
喝的很舒服醬😌","Alas!Don't be stunned!
Girls who bartender are too beautiful!
Very 可以 欸
Drinking very comfortable sauce 舒",0.408,0.0,0.592,0.8646
"超級好玩,氣氛溫馨，一個禮拜就去個2～3次，很喜歡這裡，愛了愛了","Super fun, warm atmosphere, go 2 to 3 times a week, I like it here, love and love",0.625,0.0,0.375,0.9638
喝酒放鬆地方安全就像回到家一樣溫暖的感覺，店員也很親切，對人都很真誠👍🏼👍🏼👍🏼 …,"It feels as warm as returning home when drinking and relaxing. The clerk is also very kind, and he is sincere to others ...",0.365,0.0,0.635,0.8883
跟朋友來一次就愛上這裡了，歡迎來體驗這種氛圍☺️☺️☺️,"I fell in love with friends once, welcome to experience this atmosphere ☺️☺️☺️",0.617,0.0,0.383,0.9601
朋友介紹來一開始還有些遲疑但來體驗後感覺真的沒有後悔，很棒，讚,"Friends introduced some hesitation at the beginning, but I really didn't regret it after I came to experience.",0.248,0.07,0.681,0.6014
"可以唱歌，打飛鏢，調酒也很棒。
喜歡的地方當然要挺一下的🥳🥳🥳 …","You can sing, fight darts, and bartender.
Of course, you need to stand up ...",0.0,0.157,0.843,-0.3818
很喜歡的地區，就像家很溫馨安全，大推,"I like the area very much, just like the home is very warm and safe, push a big push",0.415,0.0,0.585,0.8631
"喝酒放鬆的好地方,謝謝朋友帶我來嘗試👍👍👍 …","A good place for drinking and relaxing, thank you friends for taking me to try ...",0.494,0.0,0.506,0.8934
"在這裡能夠喝到交很多朋友,讓我很開心,喜歡交朋友的很適合這裡🍻🍻🍻 …","I can drink a lot of friends here, making me very happy, those who like to make friends are very suitable here ...",0.4,0.0,0.6,0.9134
"帥氣吧台人員 可愛的妹子
超喜歡這裡的感覺…","Handsome bar staff cute girl
I like the feeling here ...",0.593,0.0,0.407,0.8481
"讚 讚 讚
妹子美 Tomo超帥
大家快來～
飛鏢 唱歌一起玩！！！","Praise
Girl Mimi Tomo Super handsome
Everyone is coming ~
Play darts singing together!IntersectionIntersection",0.573,0.0,0.427,0.9245
氣氛很好 人多玩在一起嗨到最高點！,"The atmosphere is very good, play together, hi to the highest point!",0.381,0.0,0.619,0.7322
氣氛好 妹仔服務很好(⁎⁍̴̛ᴗ⁍̴̛⁎),The atmosphere good girl service is very good (⁎⁍̴̛ᴗ⁍̴̛⁎),0.465,0.0,0.535,0.7264
讚讚讚 美美美 喝喝喝 爽爽爽,Zan Zi Zi Meimei drink and drink cool and refreshing,0.204,0.0,0.796,0.3182
很棒，都會顧到每個客人,"Great, I will take care of every guest",0.549,0.0,0.451,0.8074
老闆超親民 還可以免費唱歌 超讚,The boss is super close to the people and can sing freely for free,0.479,0.0,0.521,0.8779
服務態度很好 妹子很好相處聊天 超喜歡,"The service attitude is very good, the girl is very good to get along with each other",0.299,0.0,0.701,0.7496
跟朋友第一次來就愛了：）,Love with friends for the first time :),0.673,0.0,0.327,0.8834
暢飲酒吧，麥克風影響不錯，氣氛佳,"Drink a bartender, the microphone has a good impact, and the atmosphere is good",0.326,0.0,0.674,0.7003
自己常來的老地方，就家的溫暖＾＾,"The old place you often come, just the warmth of the home ＾＾",0.2,0.0,0.8,0.4588
"店員很親切
很會帶氣氛","The clerk is very kind
Very atmospheric",0.381,0.0,0.619,0.5709
可以跟朋友聊天、小酌、放鬆的好地方,"You can chat with friends, drink, and relax a good place",0.527,0.0,0.473,0.836
"來就對了沒有第二句話
94好玩","It's right, there is no second sentence
94 fun",0.259,0.269,0.472,0.2211
"能夠舒服自在的喝酒,就是開心🥳 …",Being comfortable and free to drink is happy ...,0.632,0.0,0.368,0.8834
最近可以酒無限暢飲方案，唱歌交友,"Recently, you can drink unlimited drinking plan, sing and make friends",0.237,0.0,0.763,0.4767
賞大酒的PUB，外國人來這還蠻多的。,There are quite a lot of foreigners who come to PUB for the big wine.,0.0,0.0,1.0,0.0
"喝酒講求的是一種感覺
感覺對了什麼都對了","Drinking is a feeling
I feel right, everything is right",0.143,0.0,0.857,0.128
環境好 氣氛佳 交朋友,"Good environment, good atmosphere, make friends",0.748,0.0,0.252,0.836
適合朋友聚會聊天的地方 讚讚,Praise the place suitable for friends to meet,0.528,0.0,0.472,0.7717
喝到後面才知道什麼叫好玩,I only know what fun after drinking,0.355,0.0,0.645,0.5106
讚讚！還可以射飛鏢,Praise!You can also shoot darts,0.0,0.402,0.598,-0.4003
休閒，玩樂，打鏢，不錯的地方👍 …,"Leisure, playing, darts, good places 👍 ...",0.439,0.0,0.561,0.5719
生啤暢飲很讚,Sheng Beer is very good,0.444,0.0,0.556,0.4927
自己很喜歡的老窩❤️❤️❤️,Lao Wo I like ❤️❤️❤️,0.217,0.0,0.783,0.3612
親切又好玩,Careful and fun,0.831,0.0,0.169,0.5994
喝兩杯800好便宜,It's cheap to drink two cups of 800,0.0,0.0,1.0,0.0
乾淨，歡樂氣氛,"Clean, joyful atmosphere",0.868,0.0,0.132,0.765
放鬆喝酒的好地方👍👍👍 …,A good place to relax and drink 的 ...,0.453,0.0,0.547,0.7003
我專屬的秘密基地🥰🥰🥰 …,My exclusive secret base ...,0.273,0.0,0.727,0.128
妹子很讚,Girl is great,0.672,0.0,0.328,0.6249
讚！,praise!,1.0,0.0,0.0,0.5983
連假快樂🥳🥳🥳 …,Happy fake 🥳🥳🥳 ...,0.618,0.167,0.215,0.8126
老闆娘很好,The boss is very good,0.444,0.0,0.556,0.4927
開心的好地方,Happy good place,0.868,0.0,0.132,0.765
喜歡！,like!,1.0,0.0,0.0,0.4199
不老實店家,Unreasonable shop,0.0,0.0,1.0,0.0
啤酒好貴！,Beer is so expensive!,0.0,0.0,1.0,0.0
開心喝酒的地方,Place where you are drinking happily,0.419,0.0,0.581,0.5574
讚的,Praise,1.0,0.0,0.0,0.5574
遇見了妳,Meet you,0.0,0.0,1.0,0.0
蘿絲媽媽,Rose Mom,0.0,0.0,1.0,0.0
溫馨的酒吧,Warm bar,0.655,0.0,0.345,0.2263
喜歡💙💙,Like,1.0,0.0,0.0,0.3612
隨機用谷歌搜尋了一下，來這裡是為了晚上放鬆。漂亮舒適而且價格合理。非常友好和樂於助人的員工。滄海遺珠（不易發覺的美。,Randomly searched with Google and came here to relax at night.Beautiful and comfortable and reasonable.Very friendly and helpful employees.Canghai is beaded (beauty that is not easy to find.,0.396,0.06,0.544,0.9273
"一男一女兩個人，當地人聚集的店是漢字。
感覺就像是年輕人聚集的酒吧！
有飛鏢🎯
提供酒水和付帳都很慢😂
下次可能不會去了😂","One man, one woman, two people, the shops gathered by the locals are Chinese characters.
It feels like a bar gathered by young people!
There are darts
It is very slow to provide drinks and accounts 😂
I may not go next time 会 会 会 会 会",0.115,0.033,0.852,0.69
"這是一家可以吵鬧到早上的卡拉OK吧！
這是一家自由度很高的店，強烈推薦(^_-)
我們有日本卡拉OK！
最低消費500元，盡情唱卡拉OK！","This is a karaoke that can be noisy in the morning!
This is a store with a high degree of freedom, highly recommended (^_-)
We have Japanese karaoke!
The minimum consumption is 500 yuan, and you can sing karaoke!",0.16,0.038,0.802,0.7557
很舒服很自在的地方，大推推特👍 …,"Very comfortable and comfortable place, push a lot of Twitter ...",0.443,0.0,0.557,0.7996
另人舒服自在的店家👏🏻 …,Another comfortable shop 👏🏻 ...,0.292,0.0,0.708,0.5106
喝1杯半 收800⋯⋯⋯。真便宜,Drink 1 cup and semi -ear 800 ...So cheap,0.0,0.0,1.0,0.0
三五好友小酌的好地方,A good place for three or five friends to drink,0.429,0.0,0.571,0.7184
很棒,great,1.0,0.0,0.0,0.6249
