Original,EN,Positive,Negative,Neutral,Compound
雙城街老字號的酒吧，有卡啦ok可以唱，老闆娘滿會聊天的。,"The old -fashioned bar in Shuangcheng Street, there is a card OK to sing, the boss will chat.",0.147,0.0,0.853,0.4466
"還沒關喔 ！
老闆娘說我唱歌難聽！
要我不要唱了！

服務也不好！
我住附近呀！
想放鬆！確遇到這種的！
嗯無言鞥

祝福老闆與老闆娘了  我們沒那麼熟
只能祝福了！","It's not closed yet!
The boss said that I sing unpleasant!
Want me don't sing anymore!

The service is not good!
I live nearby!
Want to relax!I really encounter this!
Well, speechless

Bless the boss and the boss, we are not so familiar
You can only bless!",0.21,0.096,0.695,0.6774
"老闆太有個性了
去那邊的顧客也絕非普通的顧客

調酒就真的soso

看起來公關只有一位年紀看起來30初 可能是太活潑的關係 有時候會很大聲跟你聊天 確實讓人嚇到

賞大酒的誠意這家店絕對是最有誠意的跟你喝
不會像前面的酒吧再喝茶飲

還是很值得去的","The boss is too personal
Customers who go there are not ordinary customers

Solding is really soso

It seems that there is only one when the public relations seem to be too lively at the beginning of the 30th. Sometimes it will be scared to chat with you very loudly.

The sincerity of enjoying the wine This shop is definitely the most sincere with you
Will not drink tea like a bar in front

Still worth going",0.156,0.056,0.787,0.8352
"氣氛不錯～有附設卡拉OK
滿棒的","The atmosphere is good ~ there is a karaoke karaoke
Mighty",0.225,0.0,0.775,0.4404
"燈光暗 煙味很重
而且在那邊不能讓老闆娘知道太多事情
不然他會亂生話 什麼都亂說","Dark light smoke is very heavy
And you can't let the boss know too much
Otherwise, he will talk nonsense",0.0,0.124,0.876,-0.4019
放鬆自由享受的好地方，但不喜歡煙味的人要考慮一下！,"Relax the good place to enjoy freely, but people who don't like the smell of smoke need to consider!",0.331,0.107,0.562,0.554
氣氛好，老闆娘人很棒,"The atmosphere is good, the boss is great",0.538,0.0,0.462,0.7906
老闆小楊哥跟老闆娘，都是俊男美女。👍 …,The boss Xiao Yang and the boss are both handsome men and women.👍 👍 ...,0.158,0.0,0.842,0.4939
不錯，喝酒好地方,"Not bad, drink a good place",0.59,0.0,0.41,0.6956
夜晚放鬆的好地方，喝喝小酒，唱唱歌！,"Relax at night, drink small wine, sing and sing!",0.285,0.0,0.715,0.4926
會灌單，要小心！！,"Will pour orders, be careful!Intersection",0.0,0.0,1.0,0.0
營業到零晨5：30划算,It is cost -effective to open at 5:30 in the morning,0.237,0.0,0.763,0.4767
會亂灌單，很糟,"It will be irrigated, it's bad",0.0,0.412,0.588,-0.5423
放鬆心情的好地方😎😎 …,A good place to relax 的 ...,0.537,0.0,0.463,0.7003
沒印象的酒吧,Unexpected bar,0.0,0.0,1.0,0.0
老板娘親切,The boss is cordial,0.0,0.0,1.0,0.0
讚讚,Praise,1.0,0.0,0.0,0.5574
親切的店家,Cordial store,0.0,0.0,1.0,0.0
如果你喜歡喝酒，這裡也有卡拉OK，所以如果你喜歡一點噪音也沒關係。,"If you like to drink, there are karaoke here, so it doesn't matter if you like a little noise.",0.224,0.06,0.716,0.5665
牛排好吃,Steak delicious,0.787,0.0,0.213,0.5719
這是一家有趣的酒吧嗎？,Is this an interesting bar?,0.403,0.0,0.597,0.4019
工作人員很漂亮,The staff is beautiful,0.565,0.0,0.435,0.5994
有feel 的老店,Old shop with Feel,0.0,0.0,1.0,0.0
舒適溫暖的小地方,A small place where comfortable and warm,0.51,0.0,0.49,0.6369
棒！,Great!,1.0,0.0,0.0,0.6588
漂亮,pretty,1.0,0.0,0.0,0.4939
