Original,EN,Needs Review
"讓人放鬆的地方,建議訂位總是客滿

避風塘雞口味雞翅
烤的酥脆軟嫩的雞翅搭配避風塘式的作法嚐起來入口即化且輕易就可以骨肉分離，味道帶有一點蜂蜜的甜還有蔥薑蒜及一些香料的香氣，也是雞翅裡蠻多人點的口味

泰國風情海鮮義大利麵
由白蝦、中卷、鮭魚塊、特製泰式醬料及店家自製焦糖肉桂核桃還有一些香料跟一小片檸檬丁烹制而成，用料豐富好吃不會太辣，擠上檸檬後又別有一番滋味蠻推的

北海道干貝蝦膏起司燉飯
店內人氣餐點，濃郁的蝦膏跟起司一起燉煮米飯加上上面五顆厚實有肉的干貝嚐起來粒粒分明鹹香可口
還有大大的干貝單吃或是搭配飯一起吃都好吃滿足","For places that make people relax, it is recommended that the reservation is always full

Fighting pond chicken flavor chicken wings
The grilled crispy and soft chicken wings with a shelter -asniced method tasted the entrance and it can be separated and easily separated. The taste with a little honey and the aroma of green onion ginger and garlic and some spices are also a lot of people in the chicken wings. taste

Thai style seafood pasta
It is made of white shrimp, medium rolls, salmon pieces, special Thai sauce and store homemade caramel cinnamon walnuts and some spices and a small piece of lemon diced. Don't have a taste of taste

Hokkaido dried scallion shrimp paste cheese stew rice
Popular meals in the store, the rich shrimp paste stewed rice with cheese, and the above five thick -meat shellfish can taste the grains clearly salty and delicious
There are also big scallops to eat or eat with rice are delicious and satisfied",False
"氣氛很好，店員音調很有活力感情，一整天都很開心，然後就一直加點🤣🤣🤣
當然餐點也是好吃的呦。
各種口味的雞翅可以嚐，選擇障礙也可以選品盤調三種口味，啤酒也有連續技可以選，直接全品項讓你知道下次回來喜歡哪種口味的啤酒❤️","The atmosphere is very good, the clerk's tone is very vibrant and emotional, I am very happy all day, and then I have been adding some 🤣🤣🤣
Of course, the meal is also delicious.
Chicken wings of various flavors can be tasted, and three flavors can be selected by choosing obstacles. Beer also has continuous techniques to choose from. Let you know which taste of beer who likes you will like it next time.",False
"餐點好吃，餐廳坐位舒適桌距夠大
非常適合聚會

雞翅跟洋蔥圈都好吃
沙拉的部分比較中規中矩
剛剛奶茶也好喝推薦（飲料點什麼都好喝）

店員部分就ㄧ般般
比起來內湖店店員熱情溫馨許多
平日生意很好，強烈建議訂位

整體來說仍然很滿意想再訪","The meal is delicious, the restaurant is comfortable to sit and the table is large enough
Very suitable for party

Chicken wings and onion rings are delicious
The section of the salad is more satisfactory
It is also recommended for milk tea just now (drinking everything is delicious)

The clerk is like it
Compared to Neihu shop clerk is much more enthusiastic and warm
The business is very good on weekdays, and it is strongly recommended to book a place

Overall, I am still very satisfied and want to visit again",False
真的是太棒了，在這個chill的靜巷中的寶藏餐廳慶生，雞翅是主角，超好吃😋，其他的餐點也非常有水準，松露沙拉、燉飯、椒麻薯條、白酒大蛤，都十分美味。最後感謝餐廳的Avar與yoyo招待的特調以及生日小蛋糕，還有所有工作人員美好的服務，讓我有個完美的生日夜晚。,"It's really great. In this CHILL's treasure restaurant in the quiet alley, the chicken wings are the protagonist, super delicious, and other meals are also very standard. Clads are very delicious.Finally, I would like to thank the restaurant's Avar and YOYO for their special tunes and birthday cakes, as well as the beautiful service of all staff members, so that I have a perfect birthday night.",False
"半年前第1次嚐鮮，即列入每月固定回訪的名單
雞翅跟海鮮都有一定水準，今天第1次踩雷～

剛剛雞翅三寶：可以任選口味，這次選bbq、微火蜜楓糖、金沙蛋黃，bbq可以說是把豬肋排的醬抹在雞翅上，豬肋排愛好者可以嘗試，楓糖不會太甜但也幾乎沒有辣感，最推薦的還是金沙蛋黃。

淡菜蒜中卷：淡菜很新鮮，很推薦！至於中卷就是點綴，感覺不到存在，如果喜歡中卷，建議可以改點中卷炒蔬菜。

舒肥鮭魚芥末義大利麵：千萬不要被「舒肥」二字給誤導，以為是很嫩的鮭魚，吃起來乾柴到不行（店家的說法表示舒肥是指去掉鮭魚的油脂⋯），雖然魚很厚很大塊，但反而更加深痛苦，至於義大利麵則是裹滿芥末味的白醬，膩到不行，跟鮭魚也搭不起來，勉強跟旅伴分食完，連雞翅都吃不下打包！如果想吃義大利麵還是鮮蝦的那款推薦很多，真不敢相信是同一間店做出來的⋯

最後酒類選了剛剛連續杯，除了蜂蜜很甜（應該比金色三麥甜蠻多），其他都算正常發揮。","The first adopters of the first half a year ago, that is, the list of fixed return visits monthly
Both chicken wings and seafood have a certain level, the first time I step on the thunder today ~

Just now the chicken wings: you can choose the flavor. This time, you can choose BBQ, micro -fire honey maple sugar, and golden sand egg yolk. BBQ can be said to use the pork ribs to wipe the pork ribs on the chicken wings. It's too sweet but there is almost no spicy feeling. The most recommended is golden sandstone.

Light vegetable garlic roll: light vegetables are very fresh, very recommended!As for the middle roll, it is embellishment and you can't feel existence. If you like the middle roll, it is recommended to change the stir -fried vegetables in the point.

Shu Fei Salmon Mustard Pasta: Don't be misleading by the word ""Shu Fei"", thinking that it is very tender salmon, it is not good to eat it (the store's statement indicates that Shu Fei refers to removing the oil of salmon), Although the fish is very thick, it is more deeply painful. As for the pasta, it is a white sauce covered with mustard flavor. Don't pack!If you want to eat Italian noodles, there are a lot of recommendations, so you can’t believe it is made by the same shop ...

In the end, the wine was chosen just a continuous cup. Except for the sweet honey (it should be much sweet than the golden three wheat), everything else was played normally.",False
"帶小朋友來用餐（2歲）。雖然無兒童座椅，但安排友善的座位很好（高度較的低座位。）
餐點好吃雞翅薯條都很有水準，燉飯也好吃，服務生友善，整體用餐體驗很好。","Take a child to dine (2 years old).Although there are no children's seats, the friendly seats are very good (low height.)
The delicious chicken wings and fries are very standard, the stew is also delicious, the service is friendly, and the overall meal experience is very good.",False
"第一次來到貴店吃飯慶生
整體的氣氛都很棒！
而且餐點完全都不踩雷！！！
每個東西都滿好吃的
牛肉義大利麵的牛肉非常嫩！！！
也真的很好吃 雞肉煎餅很推
很香也很有飽足感👍🏻

當天的店員也非常的好🥹🥹🥹
還有特別招待有酒精跟無酒精的shot

謝謝店員Yoyo 跟 Avar❤️
滿特別的驚喜！

壽星的話會免費送一個小蛋糕&一張拍立得！
下次有機會一定會在去第二次！
還有餐廳也離紅線101站很近 非常方便👍🏻👍🏻","The first time I came to Guidian for dinner and celebrating birthday
The overall atmosphere is great!
And the meal is not stepping on the thunder!IntersectionIntersection
Everything is delicious
Beef Italian beef is very tender!IntersectionIntersection
It's really delicious, chicken pancakes are very pushing
Very fragrant and full fullness 有

The clerk of the day is also very good
There are also specially entertaining alcohol and alcohol -free Shot

Thank you, the clerk yoyo and avar❤️
Special surprise!

Shouxing will send a small cake for free & one shot!
I will go to the second time next time you have a chance!
And the restaurant is also very close to the Red Line 101 stop, very convenient 👍🏻👍🏻",False
"高級的氣氛餐廳～～很熱鬧人很多！！

👍干貝起士燉飯、酪梨沙拉

番茄酒醋義大利麵（素）
莓果冰淇淋蛋糕
柚子酒提拉米蘇
普通～～","High -level atmosphere restaurant ~~ There are many lively people!Intersection

饭 饭 👍 👍 👍 stew, avocado salad

Tomato wine vinegar pasta (vegetarian)
Berry ice cream cake
Grapefruit Jiu Tiramisu
Ordinary ~~",False
"氣氛很好！靜巷，不好停車
東西好吃，擺盤也不錯
親子友善
算挺早開的啤酒吧！
開車無法喝一杯
值得回訪，人多餐點共食CP值高","The atmosphere is good!Jingxiang, not easy to park
The stuff is delicious, and the plate is also good
Parent -child friendliness
It's a beer bar that is early!
Can't drink a cup of driving
It is worth visiting, people eat more CP value to have a high CP value",False
"適合聚餐聊天，服務專業、東西都不錯吃
6個人吃了三寶雞翅、薯條一份、沙拉一份、開胃菜兩份、主食兩份，大家都算有吃夠，一個人$510（低消500）
食物都還不錯吃！
🩷起司嫩蛋雞肉煎餅
長得很好吃、實際上也蠻厚的，加了蛋、起司的雞肉薄餅咬起來口感跟味道都豐富，可以想像的味道但蠻好吃
🩷炒菇菇
為了增加蔬菜量點的，鍋氣和蒜香真的很夠，應該也有用酒去嗆，總之很香，自己在家炒不出來欸
🩷雞肉披薩
是用一整塊大大的炸雞胸肉排當基底，上面再加番茄跟起司之類的，沒有餅皮，這個很特別！而且雞肉超厚還是很嫩欸！喜歡！
🩷番茄雞肉義大利麵
偏向用番茄清炒的麵，吃起來酸酸蠻清爽，也算是濕潤好入口，不錯～～
🩷雞翅（酸鹹/蜜楓糖/金沙）
我平常沒在吃雞翅，可能評斷不來好壞，覺得就是不錯吃的雞翅XD 三寶拼盤的話是選三種口味、每種口味三翅三腿，加起來18隻，6個人嘗味道夠了啦

聽說生日的時候還會有免費蛋糕跟拍立得，可以在生日的時候來看，整體吃起來的感受都是蠻好的","Suitable for dinner and chatting, professional service, good things, good food
Six people ate Sanbao's chicken wings, a piece of fries, one salad, two appetizers, two staple foods. Everyone has enough food, one person $ 510
The food is pretty good!
鸡 cheese tender egg chicken pancake
It looks delicious and actually quite thick. The chicken cakes with eggs and cheese bite the taste and taste. It can be imagined but delicious
🩷 fried mushrooms
In order to increase the amount of vegetables, the pot gas and garlic are really enough. There should be useful wine to go. In short, it is very fragrant.
Chicken pizza
It uses a whole piece of large fried chicken chest and meat steak to be the base, adding tomatoes and cheese, and there is no cake skin. This is very special!And the chicken is super thick or tender!like!
Tomato chicken pasta
I prefer to stir -fry the tomato, it tastes sour and refreshing, it can be regarded as a moist entrance, good ~~
Chicken wings (sour salty/honey maple sugar/jinsha)
I usually do n’t eat chicken wings. I may not be able to judge. I feel that it ’s a good chicken wings XD Sanbao platter. I choose three flavors, each flavor, three wings and three legs.

I heard that there will be free cakes and standing on your birthday. You can look at it on your birthday. The overall feelings are quite good.",False
