Original,EN
客人01:30還拿著麥克風衝出來對著馬路唱歌 好像不太行☺️☺️ 「不該」唱的非常大聲真的很不該 希望你們可以改善 請關門。謝謝。,"The guests at 01:30 also rushed out of the microphone to sing at the road. I didn't seem to be too good. ☺️☺️ ""Don't"" sing very loudly. I really don't want you to improve. Please close the door.Thanks."
昨天剛去體驗過，感謝小婷跟apple陪我們聊天喝酒喔！這邊很放鬆想聊天和唱歌都很自由，適合續攤或是第一攤就過來哦!😁,"I just went to experience it yesterday. Thank you Xiaoting for chatting with Apple with Apple!It's very free to relax here, wanting to chat and sing, it is suitable for renewal or the first stall!"
店員熱情會聊天，喝酒來這就對了～,"The clerk will chat with enthusiasm, it's right to drink here ~"
昨日在這掉了一隻iphone手機，有人撿到嗎?謝謝,"A iPhone phone was dropped here yesterday, did anyone pick it up? Thank you"
"服務人員很親切  酒好喝
低消便宜","The service staff is very kind and drinks
Cheap"
公關熱情又好聊～打標喝酒聚會好去處～,Public relations enthusiasm and good chat ~ Playing a drinking party is good ~
Apple、Vicky、Nie正爆 來喝酒啦,"Apple, Vicky, Nie are exploding and drinking"
"調酒超好喝，店員親切熱情,店裡播的音樂很合我🤣🤣
值得再次造訪😍😍","The bartending is so delicious, the clerk is kind and enthusiastic, the music broadcast in the store is very suitable for me.
It is worth visiting again 次"
氣氛很好，會忍不住喝爛，公關Apple很讚😎 …,"The atmosphere is very good, I can’t help drinking, the public relations Apple is very good ..."
妹妹來跟新客要賞酒，要到後坐不到5分鐘就閃人，去跟熟客喝！就算不賞酒也坐好幾小時，想到要業績又來要賞酒！把新客當盤子，這素質真的很.....,"My sister is coming to enjoy the wine with the new guests. After sitting in 5 minutes, she will flash people and drink with mature customers!Even if you don't appreciate the wine for several hours, you want to enjoy the wine again when you want to show your performance!Taking the new customer as a plate, this quality is really very ..."
店家叫車不負責任,The store calls the car and is irresponsible
公關都很熱情 第一次來也不會有陌生的感覺,The public relations are very enthusiastic about the first time you come and you will not feel strange
Apple最可愛店花最好看,Apple is the cutest shop that looks best
調酒很好喝，公關apple人很親切，服務一級棒👍,"The bartending is delicious, the public relations Apple is very kind, and the service is a good level."
"店員每個都漂亮  可愛又逗趣
店內能唱歌又能玩飛鏢
價格適中   是個假日無聊想喝酒的好地方","Each clerk is beautiful, cute and funny
Can sing and play darts in the store
Moderate price is a good place for boring on holidays to drink"
"昨天是第一次來這邊喝酒
果就遇到酒促和客人打架....(下次去會先做好心裡準備🤣）
店內可以唱歌還不錯，不過好像都會一直被插歌🤣
服務態度很好～ …","Yesterday was the first time I came here to drink
If you encounter alcohol promotion and guest fight ... (next time you go, you will be prepared first)
It is not bad to sing in the store, but it seems that it will always be intervened 🤣
The service attitude is very good ~ ..."
"燈光醜 氣氛差 酒水難入喉

小姐長相謝謝再聯絡","Lighting ugly atmosphere Poor wine is difficult to enter the throat

Miss long -looking, thank you to contact again"
整體消費不貴還有招待東西，公關漂亮又好聊 推,"The overall consumption is not expensive and there are entertainment, the public relations are beautiful and easy to talk about"
"Vicky  Apple  佐佐讚👍
好玩會聊天 …","Vicky Apple
Can chat with fun ..."
氣氛棒👍自己來也不孤單,"The atmosphere is not alone, it's not alone"
公關漂亮好聊～氣氛不錯～,"The public relations are beautiful and good -to -be, the atmosphere is good ~"
"好歡樂的酒吧，越夜越美的概念🥰
每次朋友生日都會來這裡辦，不醉不歸💪🏻💪🏻💪🏻 …","What a happy bar, the more beautiful concepts at night 🥰
Every time my friend ’s birthday will come here, not drunk or return ..."
服務親切  價格適中  店內員工很熱情 一定會在來,"The service intimacy is moderate in the store, the employees in the store are very enthusiastic and will definitely come"
音響差 服務小姐 不熱絡 坐下就有想回家的感覺,"Sound difference service lady does not feel warm when I sit down, I feel like I want to go home"
唱歌門關起來啦  唱那麼難聽真的很丟臉,"Singing the door is close to singing so unhappy, it's really shameful"
服務很好，妹子打鏢都很厲害👍🏻 …,"The service is very good, the girl playing darts is very powerful ..."
只要Amis其餘免談@@,As long as AMIS is free to talk about @@
氛圍好氣氛佳,The atmosphere is good
氣氛好 服務棒,The atmosphere is good service
服務有夠差8個人來沒人理,The service is worse enough 8 people come to no one to ignore
服務生親切，環境不錯,The waiter is kind and the environment is good
很親切,Very kind
普通，服務態度好，沒下酒小菜,"Ordinary, good service attitude, no small dishes"
"梵谷服務好。
調酒大讚👍👍👍 …","Van Gogh service is good.
Bart -up and praise 👍👍👍 ..."
氣氛讚的啦,The atmosphere is praised
令人懷念 浪漫的老酒館,Missing romantic old tavern
老闆親切好客 服務員超級無敵正,The boss's kind hospitality waiter is super invincible
美女多 有鏢機又能唱歌👍🏻 …,There are many dart machines and can sing ...
氣氛很棒,The atmosphere is great
店員很可愛又很漂亮,The clerk is cute and beautiful
Apple 最可愛最正,Apple is the cutest and most positive
舒適，開心,"Comfortable, happy"
梵谷太好玩了吧⋯⋯妹超正！ cp值好高😂 …,Van Gogh is so fun ... Sister is super positive!CP is worth high ...
維維和維琪,Vivi and Viki
好玩👍🏻👍🏻都很敢玩 …,Fun 敢 dare to play ...
朋友環境不錯，啤酒便宜,"The friend environment is good, beer is cheap"
吵得要死,Noisy to die
快樂的,Happy
