Original,EN,Needs Review
"三峽北大特區開了一間別緻的高級酒吧，木質日式裝潢帶出典雅的氛圍，從門簾到桌椅都顯現出老闆對裝潢的執著與美感。
與調酒師淺談，得知酒單上這些創調都是出自於他們對調酒經年累月的品酌與經驗，也對我們侃侃而談他們的發想與這杯酒的味道。
從言談間可以感受到調酒師們對工作的熱誠。
這裡是一個很適合放鬆、約會的場域，舒適寬敞的空間配上恰好的光線，客人們也都很有品味，很推薦來這裡小酌一番。","The Three Gorges Beida Special Economic Zone opened a chic senior bar. The wooden Japanese -style decoration brought an elegant atmosphere. From the curtains to the table and chairs, the boss's dedication and aesthetics of the decoration showed.
Talking with the bartender, we learned that these tones on the wine list are from their discretion and experience of the bartender years, and they also talk about their thoughts and the taste of this glass of wine.
From the talks, you can feel the enthusiasm of the bartender to work.
This is a field that is very suitable for relaxation and dating. The comfortable and spacious space is matched with the right light. The guests are also very tasteful. It is recommended to come here to drink it.",False
"隱身在北大家樂福商圈附近，低調奢華的裝潢，一進門就有很香的木頭味，佈置非常質感。
簡單小餐點味道卻不簡單；酒單上將每一種調酒都有說明，不過調酒師還是會做詳細的介紹，依據你的喜好推薦最適合你的酒，讓有選擇困難或是喝酒小白可以安心點餐！還有無酒精特調！
適合下班後填飽肚子再小酌放鬆的好去處～","Hidden is near Beida Laifu Business District. The low -key and luxurious decoration has a very fragrant wood taste as soon as it enters the door. The layout is very textured.
Simple meals are not easy to taste; each bartending is explained on the wine list, but the bartender will still make a detailed introduction. It is recommended to the wine that is most suitable for you according to your preference. Drinking Xiaobai can order with peace of mind!Whether there is alcohol specialty!
Suitable for a good place to fill your stomach after get off work and relax ~",False
每款調酒都很有特色，口味也很特別。整體氣氛放鬆舒適，很適合約三五好友來坐坐，小酌一杯。調酒師很親切，非常詳細的為我們介紹不同酒款，是北大約朋友談天放鬆的好地方。,"Each alcohol is very distinctive, and the taste is very special.The overall atmosphere is relaxed and comfortable. It is very suitable for about three or five friends to sit and drink a drink.The bartender is very kind and introduced to us very detailedly. It is a good place to relax from friends of Beitao.",False
多種特殊調酒，每款特色不同，各具風味，值得ㄧㄧ品嚐。原木吧台散發淡淡木頭香，令人心曠神怡。會想要三不五時約三五好友相聚小酌放鬆聊天的好地方。,"A variety of special sake, each characteristic of different features, each has its own flavors, it is worthy of tasting.The original wood bar exudes a faint fragrance of wood, which is refreshing.Will want a good place to relax the chat from three or five friends from three or five friends.",False
汲寂酒吧真是個讓人驚喜的地方！這裡有優質的調酒，輕鬆的社交場所。酒吧的設計風格簡約而有質感，讓人一進門就感受到與眾不同的氛圍。座位間距寬敞，適合一群朋友熱鬧地聚會，也適合獨自一人來這裡享受片刻的寧靜。特別喜歡這裡的創意調酒，每一杯都充滿了驚喜，不僅口感豐富，還有獨特的擺盤設計，看起來非常有藝術感。店員都很熱情友好，對於酒品的介紹和服務都非常專業。無論是想找個地方放鬆，還是尋求新鮮的調酒體驗，汲寂都是個絕佳的選擇。下次一定還會帶更多朋友一起來！,"Silent bar is a surprising place!There are high -quality bartending, easy social places.The design style of the bar is simple and textured, which makes people feel a different atmosphere as soon as they enter the door.The seats are spacious, suitable for a group of friends to meet lively, and it is also suitable for a moment of tranquility to come here alone.I especially like the creative bartending here. Each cup is full of surprises. Not only is it rich, but it also has a unique set design, which looks very artistic.The clerks are very enthusiastic and friendly, and they are very professional about the introduction and service of wine.Whether you want to find a place to relax or find a fresh bartending experience, silence is an excellent choice.I will bring more friends together next time!",False
"北大特區的質感酒吧
每一款酒都極具巧思也好喝
適合朋友聚會放鬆小酌的好地方
非常推薦👍🏻👍🏻👍🏻","The texture bars of Peking University Special Economic Zone
Each wine is very ingenious and delicious
Suitable for friends to meet a good place to relax and drink
Very recommended 👍🏻👍🏻👍🏻",False
"很有氣氛的一家店~
比台北很多bar都來的有特色
原木裝潢高雅 看得出店主的用心與品味..
每一款調酒都很有特色
是在其他家店都沒嚐過的好味道~
12號調酒 一款特別順口好喝的奶酒 入口絲滑 ...
18號調酒也很棒 是用紅酒當基底+黑櫻桃成熟果實風味 順口極了

這次跟朋友點了蕃茄牛肉麵 水煮牛肉飯 非常驚豔

喝酒吃飯聚會的好場所 大推","A very atmospheric shop ~
Many BARs are more distinctive than Taipei
The original wood decoration can see the intention and taste of the owner ..
Each type of bartender is very distinctive
It's a good taste that I haven't tasted in other stores ~
No. 12 Blooming, a particularly delicious milk wine at the entrance to the smooth entrance ...
The 18th bartending is also great, using red wine as the base+black cherry mature fruit flavor is very smooth

This time I ordered the tomato beef noodles to boil beef rice.

A good place for drinking and eating party",False
木質日式裝潢非常典雅，座位間的距離也很放鬆舒適。每款調酒都很有特色，這次點了8、14、22號都超喜歡！三杯豬飯、微辣的蜜汁炸雞翅、薯條和老闆招待的威士忌剝皮辣椒雞湯又嫩又好吃！微辣的剛剛好！看得出來老闆非常用心有品味，也很親切幽默，是北大少有的特色質感酒吧，一定要來試試看！,"The Japanese -style decoration is very elegant, and the distance between the seats is also very relaxed and comfortable.Each alcohol is very distinctive. This time, I like 8, 14, and 22 this time!Three cups of pork rice, slightly spicy honey fried chicken wings, fries and whiskey entertaining the boss's peeling pepper chicken soup are tender and delicious!Slightly spicy!It can be seen that the boss is very intentional and tasteful, and he is very humorous. It is a rare texture bar of Peking University. Be sure to try it!",False
"2024.10.09 二訪

17號必點，太棒了，適合不愛「酒氣」，卻同時想要微醺的你/妳

很喜歡這裡的挑高與設計，顧客之間保持舒服的距離，沒有壓迫感，顛覆對酒吧傳統的印象。

Bartenders對於顧客的回饋很重視，難怪他們在味道上這麼傑出的原因吧！

在北大特區和台中市區嘗試過多間Bar，這間是我的最愛🧡
-
後記：剛進門時看到一個戴著眼鏡的小男孩，津津有味吃著麵，一邊喝著酒杯裝的果汁（？），好喜歡他跟著大人一起享受生活的畫面，希望他快樂平安長大。","2024.10.09 Two Visits

The 17th must be ordered, it's great, it is suitable for you/you who do not love ""wine"", but at the same time want

I like the high and design here, and the customer is comfortable to stay comfortably without a sense of oppression, and subverts the impression of the bar of the bar.

Bartenders attaches great importance to the feedback of customers. No wonder they are so outstanding in taste!

Trying too many BAR in Peking University Special Administrative Region and Taichung City, this is my favorite 🧡
-
Postscript: When I first entered the door, I saw a little boy wearing glasses. He had a taste of noodles and drinking the juice of wine glasses (?). He liked him to enjoy life with adults, and hoped that he would grow up happily and safely.",False
"風格很特別的酒吧，主打特色調酒，這裡的調酒沒有名字，只有編號和內涵，藉由和調酒師的對話，很快就能為自己安排好每一杯的層次。
7號酸鹹感適合第一杯、23號茶酒作為中繼、12號的香濃甜點感做結尾。
店裡環境有著淡淡的原木香味，充滿自由自在的氛圍，挑高又略微明亮的空間，其實讓人可以清爽的享受放鬆的夜晚。","Bar with a very special style, the main specialty bartender. The bartending here has no name, only the number and connotation. With the conversation with the bartender, you can quickly arrange the level of each cup for yourself.
No. 7 sour salty feeling is suitable for the first cup, No. 23 tea, as a relay and No. 12 fragrant dessert.
The environment in the store has a faint raw wood aroma, full of free atmosphere, and a slightly bright and slightly bright space, which actually allows people to enjoy the relaxed night in a refreshing manner.",False
