Original,EN,Needs Review,Positive,Negative,Neutral,Compound
"（多次更）
這裡以自然酒為主，來這不喝酒是一種罪！對了如果有人想問〔草頭西〕的由來，其實沒啥大道理，老闆的女友叫 茜茜，that's it 🤣

....................................
如果你是老饕，這裡被戲稱台北最難訂位「餐酒館」！開在非市中心的住宅小巷內，吸引成群美食家慕名排隊，吃了才知箇中道理！

老闆阿祥以前在「貓下去」廚房坐鎮，無限的料理創意、對餐酒搭配的邏輯可想而知。自己開店後從餐酒館出發，想做自己喜歡的料理；漸漸地，從餐酒館變成板前料理模式，唯一不變的是，這裡是單點、不是套餐；老闆一個人工作、不要逼他！

葛瑪蘭豬，台北前二、逼近頂天的好吃；深海魚，料理手法費時搞工、值得點來吃！這麼好吃的殿堂當然不好訂位，訂不到 ... 繼續訂就好！","(More times)
It is mainly natural wine, and it is a sin to come here without drinking!By the way, if someone wants to ask the origin of [Grass Head West], there is actually no reason. The boss's girlfriend is Qian Qian, that's it 🤣

...............................
If you are an old lady, here is the most difficult to reservation in Taipei!Open in the alleys of the non -city center, attracting a group of gourmets to queue up.

The boss Axiang used to sit in the kitchen of ""Cat goes down"". Infinite cooking creativity and logic of meal wine matching can be imagined.After opening the shop by yourself, you want to make your favorite cuisine; gradually, from the dining tavern to the pre -board cooking mode, the only thing that is unchanged is that this is a single point, not a package; the boss work alone, do not force him!

Gimaland pig, the first two in Taipei, the deliciousness of the top of the sky; deep sea fish, the cooking method is spent timely work, worthy of eating!Of course, such a delicious temple is not good, and you can't order ... Just continue to book!",False,0.126,0.058,0.816,0.9333
少少的座位，每道料理精緻好吃😋,"There are few seats, each dishes are delicate and delicious 😋",False,0.308,0.0,0.692,0.5994
"超級難訂的餐廳🥹好不容易搶到中午的位置，請了特休也要來吃！

餐點好吃到沒話說，有讓人回到西班牙的感覺。真的會忍不住把菜單從頭到尾點一遍🤣

我們點了：
絲綢乳酪.酒煮水果 🥇第一名大推
烤蕈菇.紅酒醬
佛卡夏.蝦子.青醬
炸雞.辣美乃滋醬
半凍冰糕 🍰

吃完已準備下次再來搶訂位😉😉
真的是搶到訂位就值得排除萬難來的餐廳🥰","The super difficult restaurant 订 finally grabbed the position of noon, and invited a special break to eat!

The meal is delicious than nothing to say, it feels like returning to Spain.I really can’t help but point the menu from beginning to end 🤣 🤣 🤣

We ordered:
Silk cheese. Boil fruit 🥇 🥇 🥇 🥇 🥇
Grilled mushroom. Red wine sauce
Foxia. Shrimp. Green sauce
Fried Chicken. Spicy Mei Nonizes Sauce
Semi -frozen ice cream 糕

After eating, I am ready to grab the reservation next time 😉😉
It's really worthwhile to eliminate the restaurant that is difficult to get.",False,0.31,0.03,0.66,0.9932
由於四個人去吃我們就把全部菜單都點，上菜節奏覺得很剛好，以義大利菜來說價位便宜又美味，主廚真的是萬能，一個人可以hold全場，菜色依然處理的很好，只能說難訂有他的道理，有機會必須回訪。,"Since the four people go to eat, we can order all the menu. The rhythm of the food feels very good. In terms of Italian vegetables, the price is cheap and delicious. The chef is really almighty. Well, it can only be said that it is difficult to make his truth and have the opportunity to return to visit.",False,0.206,0.036,0.759,0.8973
"食物比酒出色許多
低消是1人2杯酒，1杯$480元","Food is much better than wine
Low eliminates 1 person, 2 glasses of wine, 1 cup of $ 480",False,0.132,0.095,0.773,0.2023
"👉 布拉塔/甜瓜：經典的布拉塔，淡淡的橄欖油香氣 ，還有清甜的甜瓜，十分合拍，好吃。
👉 鯷魚/馬背起司/長棍麵包：整條緹魚鹹香很過癮，搭橄欖也好吃，不錯。
👉 絲綢乳酪/酒煮水果：酒煮水果很甜，搭絲綢乳酪很搭，佐以少許橄欖油味點綴很棒，好吃。
👉 烏魚子/蛋沙拉/酸麵包：酸麵包香，搭配蛋沙拉本身就無敵，烏魚子粉，帶來很多香氣，大塊烏魚子提供鹹度，個人認為大塊烏魚子有點多了，不錯。
👉 海鮮蛋煎/香草：蝦子半熟甜的好吃，整體以胡椒為主接著是茴香，蛋是優秀的半熟，不錯。
👉 烤蔬菜/香料杜卡/鷹嘴豆泥：鷹嘴豆泥細膩，炭烤蘆筍香氣迷人，中東風味的杜卡香料味道複雜很強，帶點微辣，好吃。
👉 透抽/芝麻葉/青醬莎莎：稍有辣度，透抽全熟，炭烤香味很足，醬汁帶一點酸度，好吃。
👉 酥炸羊肉/塔塔醬：外層很酥不過略油，羊肉嫩香與芥末塔塔很搭，蠻不錯。
👉 炒鴨胸/抱子甘藍：鴨肉比較結實一點，皮原始油脂感都還在，醬汁不錯，還可以。
👉 葛瑪蘭豬/蘋果泥：豬肉嫩的地方很嫩，該焦香的地方焦香，搭配細膩甜蘋果泥也是另一個好味道，好吃。","甜 Bulata/Gormeter: Classic Blata, a faint olive oil aroma, and sweet melon, which is very good and delicious.
起 背 背 背/horse back cheese/long stick: The whole fish salty fragrance is very enjoyable, and it is delicious with olives.
/Silk cheese/wine boiled fruit: The fruits of wine are very sweet, and the silk cheese is very good. It is great and delicious with a little olive oil.
蛋 蛋 👉 👉/egg salad/sour bread: sour bread fragrance, with egg salad itself is invincible, mullet powder brings a lot of aroma, large pieces of mulberry provides saltiness. Personally think that the big mullet is a bit much, not bad.
香 Seafood egg fried/vanilla: Shrimp is semi -cooked and sweet. The overall pepper is the main fennel. The egg is excellent half -familiar, good.
香 Baked vegetables/spices Duka/Eagle Mouth beans: Eagle -mouth beans are delicate, charcoal -grilled asparagus aroma is charming, Middle East -style Duca spice is complicated, with slightly spicy and delicious.
叶 Through the pump/sesame leaves/green sauce Salsa: slightly spicy, all -pumping is cooked, charcoal grilled flavor is sufficient, and the sauce is a bit of acidity, which is delicious.
肉 Crispy fried mutton/tower sauce: The outer layer is very crispy but slightly oily. The tender fragrance of the lamb is very good with the mustard tower, which is pretty good.
抱 Frying duck breasts/Haozi cabbage: The duck meat is more solid, and the original oil of the skin is still there.
Gemalan pig/apple puree: The pork is tender and tender. The scorching place is scorched. It is also a good taste with delicate sweet apple puree. It is delicious.",False,0.221,0.0,0.779,0.9961
"餐點好吃，搭餐的酒也很棒，店裡位置不多因此可以想像每個月不好訂的原因，店裡只有老闆和另一名店員。
老闆不會主動搭話聊天，可以安安靜靜的用餐
缺點除了不好訂位，就是店裡音樂有點大聲

推薦：佛卡夏、豬排","The meal is delicious, and the meal is also great. There are not many locations in the store. Therefore, you can imagine the reason why it is difficult to order every month. There is only the boss and another clerk in the store.
The boss will not take the initiative to talk and chat, you can dine quietly
The disadvantage is that the reservation is not good, that is, the music in the store is a bit loud

Recommendation: Foxia, pork chop",False,0.084,0.083,0.832,0.2718
"1.最期待的麵疙瘩，有點小失望，個人喜好偏有嚼勁的，加上鴨肉醬汁的調味有點偏台式沒有很合胃口
2.炸牛肚很好吃！讚！
3.葡萄蝦料理得滿鮮甜
4.大家狂推的烤春雞，是很多汁，也可以吃得到特別的香料，但好像沒有到非常驚艷
5.烤玉米筍雖然很好吃，可惜太鹹
兩個人點了四道前菜+兩道主菜還沒有飽....
（一般來說我的食量是很小的....）
口味不錯，但份量好像可以再作調整！！","1. The most anticipated noodles are a little disappointed. Personal preferences are chewy, plus the seasoning of duck meat sauce is a bit partial.
2. The fried beef belly is delicious!praise!
3. Grape shrimp is full of sweet and sweet
4. Everyone pushed the roasted spring chicken, which is a lot of juice, and you can also eat special spices, but it seems that it is not very amazing
5. Although the roasted corn bamboo shoots are delicious, it is too salty
Two people ordered four front dishes+two main dishes have not been full ...
(Generally speaking, my food is very small ....)
The taste is good, but the weight seems to be adjusted again!Intersection",False,0.12,0.049,0.831,0.8515
"炸牡蠣皮不太酥脆，軟軟的，但醃漬的佛手瓜蠻好吃的。
手工麵疙瘩應該是南瓜口味的，口感還可以，只可惜調味有點太甜！
牛舌麵包只有一個苦字，不知道是麵包還是牛舌在苦，真的是太苦了！甜椒泥的調味不足。
最後的旗魚腹肉最令人失望，780元這樣的份量、口感、調味都不大能接受。

我不是非常注重CP值，因為只要東西好吃價格不是重點，但是這間以這樣的價格外面有更多更好的選擇。","Fried oyster skin is not crispy and soft, but the pickled bergamot melon is delicious.
The handmade noodles should be pumpkin flavor, and the taste is okay, but unfortunately the seasoning is a bit too sweet!
There is only one bitter word for beef tongue bread. I don't know if it is bread or beef tongue.The seasoning of sweet peppers is insufficient.
The last flagfish belly meat is the most disappointing, and 780 yuan such weight, taste, and seasoning are not acceptable.

I don't pay much attention to the CP value, because as long as things are delicious, the price is not the point, but there are more and better choices outside this price.",False,0.203,0.096,0.701,0.9483
"2022.06.09 晚餐(包場)

先跟主廚說聲抱歉
突然其來的大暴雨
讓大家沒有到那麼準時到場

這裡真的是非常有溫度的一間小酒館
沒有特別的裝潢但是卻很溫馨
老闆也特意都是用傳統燈泡來營造整體空間感 只有內場真的需要亮度的地方才會用比較刺眼的LED , 不得不說現在成功製造出這種溫度感的餐廳越來越少了！其實照亮該照的地方就好了。

老闆真的非常厲害, 以前是工程師。雖然沒有專業廚師底子, 但是依然創造出很多很特別的搭配跟調味。 這裡也許沒有fine dining 那種很浮誇的擺盤, 但每一道菜都好吃極了。
甚至比好幾間米其林餐廳好吃。

再來是餐酒的部分, 多以自然酒為主,
照片在後面懂的人就懂。常在業界品酒會看見老闆的身影, 真的都是親力親為。
不像很多餐廳，酒都隨便挑……。

這種對於料理澆不滅熱情的老闆。
草頭西能不好吃嗎","2022.06.09 Dinner (charter)

Sorry to the chef first, sorry
Sudden heavy rainstorm
Let everyone not be on time on time

This is really a very temperature of a small tavern
There is no special decoration, but it is very warm
The boss also deliberately uses traditional light bulbs to create a sense of space. Only places that really need brightness in the field will use more dazzling LEDs. I have to say that there are fewer and fewer restaurants that have successfully created this kind of temperature now!In fact, just light up the place.

The boss is really amazing, and was an engineer before.Although there are no professional chefs, they still create a lot of special matching and seasoning.There may be no exaggerated plates of Fine Dining here, but every dish is delicious.
It is even better than several Michelin restaurants.

Then there is the part of the meal wine, mostly natural wine,
People who understand the photos later will understand.I often see the boss's figure in the industry's wine tasting.
Unlike many restaurants, wines are casual ...

This kind of boss who is not immortal and enthusiastic about cooking.
Can the grass head west not delicious?",False,0.194,0.068,0.738,0.986
