Original,EN,Needs Review
"很適合看運動賽事的酒吧，餐點也滿多
建議提早訂位
轉播比賽都有聲音，店裡不會開音樂，這點很棒","It's very suitable for bars to watch sports events, and there are many meals
It is recommended to book early
There are sounds for broadcast competitions, and the store will not open music, which is great",False
"氣氛超好 非常適合聚在一起看球賽的地方，酒單品項也都蠻好喝的，店內有charge spot借電站也不用擔心手機沒電的問題
大推！！","The atmosphere is very good, it is very suitable for the place where the game is gathered together. The wine items are also pretty good. There is a CHARGE Spot borrowing station in the store.
Push!Intersection",False
"原本看人不多所以有點害怕，但應該是因為近期沒什麼運動賽事的緣故
覺得這家算是寶藏酒吧，調酒很好喝！隨意點的幾杯屬於清爽系調酒但又不會酒感不足，人少的好處就是有種包場的爽感😍 …","I did n’t have many people, so I was a little scared, but it should be because there is no sports event in the near future.
I think this one is a treasure bar, and the bartender is very delicious!A few cups that are randomly ordered are refreshing bartending but not insufficient wine.",False
食物好吃！環境也很讚！！,The food is delicious!The environment is also very good!Intersection,False
"食物划算實惠，最常點炸物拼盤組合，調酒可以客製化調整👍🏼👍🏼
這次比賽是店內自辦的首屆電競比賽","Food is cost -effective, the most commonly -fried frying platter combination, bartending can be customized and adjusted 👍🏼👍🏼
This competition is the first e -sports competition in the store",False
調酒也很好喝的運動酒吧!聽說有比賽的時候會非常爆滿，但我們剛好是在一個沒有比賽的周五晚上去店裡非常空曠安靜。點的調酒其實都意外的很有層次跟水準，比起一般的運動酒吧的酒好太多了!!!會是個續攤跟隨時想walk 調酒也很好喝的運動酒吧!聽說有比賽的時候會非常爆滿，但我們剛好是在一個沒有比賽的周五晚上去店裡非常空曠安靜。點的調酒其實都意外的很有層次跟水準，比起一般的運動酒吧的酒好太多了!!!會是個續攤跟隨時想walk in的好選擇!! 一定會再訪!!,"I heard that it is very full when there is a game, but we happen to be very empty and quiet in a Friday night without a game.The order of bartending is actually unexpectedly very layered and standard, which is much better than the alcohol of the average sports bar !!! It will be a sports bar that is also a good way to follow the bartender at any time! It will be very full during the game, but we happen to be very empty and quiet in the store on Friday night without a game.The order of bartending is actually unexpectedly very layered and standard, much better than the wine in the average sports bar !!! It will be a good choice to follow the Walk in at any time !! I will definitely visit again !!",False
這家酒吧的大部分客人好像都是為了去看球賽轉播，如果是想感受球賽氣氛可以來，但如果是想要喝好喝的酒，就相對沒有那麼推薦，因為我們點了四杯酒，喝起來都普普通通，炸物還比較好吃。,"Most of the guests in this bar seem to be to watch the game broadcast. If you want to feel the atmosphere of the game, but if you want to drink delicious wine, it is relatively not so recommended, because we ordered four glasses of wine. Drinking is ordinary, and the fried objects are delicious.",False
"昨天是為了看溫網四強而去的，第一次來，本來也想試試吃的，但因為感冒了實在沒什麼胃口，所以就點了一瓶不冰的啤酒。老闆人很好，知道我不舒服，就請服務人員裝一杯溫水給我，後來服務人員也一直幫我裝溫水，讓我減緩喉嚨痛的不適感，非常感謝他們。

老闆本身也是球迷，很會帶動氣氛，看球的氣氛很好，環境也很棒，有半獨立包廂也有吧台和桌子的位置，螢幕很多不怕座位角度偏看不到球賽，播放各式球賽，除了啤酒還有調酒，啤酒的價格很平價，是適合看球賽的好地方！","Yesterday, I went to see the semi -semi -semi -semi -semi -semi -seminar. For the first time, I wanted to try it, but because I had a cold, I had no appetite, so I ordered a bottle of beer.The boss is very good and knows that I am uncomfortable. I ask the service staff to install a cup of warm water to me. Later, the service staff also helped me to install warm water to let me slow down the discomfort of sore throat. Thank you very much.

The boss itself is also a fan. It will drive the atmosphere. The atmosphere of watching the ball is very good, and the environment is also great. There are half independent boxes and tables and tables. Many screens are not afraid of the seat angle. Beer also has bartending. The price of beer is very affordable. It is a good place for watching the game!",False
歐洲杯冠軍賽之夜！現場大螢幕看球賽真的過癮，氣氛非常的棒！餐點價格稍微貴了些，炸牡蠣很好吃,"The European Cup Championship Night!The big screen on the scene is really enjoyable, and the atmosphere is great!The price of meals is slightly more expensive, fried oysters are delicious",False
新的調酒菜單很好喝！沒想到在運動酒吧也可以喝到如此有水準的調酒～食物也好吃，氣氛又好，很適合下班之後跟朋友小酌一杯、輕鬆聊天的地方～很推～,The new winemaking menu is delicious!I did not expect that you can drink such a standard bartending in a sports bar ~ the food is also delicious and the atmosphere is good. It is suitable for a drink with friends after get off work and chatting easily ~ Very pushing ~,False
店內裝潢設備都是不錯的 但 這次體驗真的太差 早上八點半來看NBA總冠軍賽G6(有定位）8:45左右點餐 點了三份帕尼尼套餐，第一份9:40左右才上，第二份中場休息都要結束了（10:15左右）才來-薯條完全涼了，最後一份10:50左右吧… 這間隔時間… 也沒什麼好講的了… 那天我記得大約有30-40人在店裡吧.. 只有一個人在bar台服務 另外一位早上進來後就沒看到了（不知道是不是在內場）不知道老闆知不知道這事？人手不足 也不讓人帶外食 說實話這次體驗不是很好 如果沒能力出餐就讓客人帶外食著收清潔費我想客人也是可以體諒的吧,"The interior decoration equipment of the store is good, but this time the experience is really too bad to see the NBA Championship G6 (positioning) at 8:00 in the morning (with positioning) at about 8:45 or ordering three Panini package, the first 9:40 Only the left and right, the second intermediate break is ended (around 10:15) to come-French fries are completely cold, the last one is around 10:50 ... This time ... There is nothing to say ... That day ... That day ... That day ... That day ... That day ... That day ... That day ... That day ... That day ... That day ... That day ... That day ... That day ... That day ... That day ... That day I remember about 30-40 people in the store .. Only one person did not see it after serving the other in the morning (I do n’t know if it was in the inside). I do n’t know if the boss knows it?The person's lack of hand does not let people take food to tell the truth.",False
"台北看球賽的好地方。
今天平日來看NBA final，店內大部分人都為預約，位子幾乎坐滿。
球賽期間早上低消爲300，可點早餐套餐（有各式貝果、三明治等輕食，飲料有基本咖啡和奶茶，也有調酒），也有基本炸物（炸物要和詢問老闆）。
🥣唯一比較可惜是早餐種類不多，希望可以再多些選項，但是當天點的巧克力和起司貝果很好吃😋
⏰非營業時間也會因應各大球賽開放店面營業，建議可先FB粉專預約，也可指定有插頭位子。","The good place to watch the game in Taipei.
Today, I look at the NBA FINAL. Most of the people in the store make an appointment, and the seats are almost full.
During the ball, the low consumption was 300 in the morning. You can order breakfast sets (there are all kinds of bellies, sandwiches and other light food, drinks such as basic coffee and milk tea, and bartender), and there are basic fried materials (fried objects and asking bosses).
是 The only one is that there are not many types of breakfast. I hope there can be more options, but the chocolate and cheese that day are delicious.
因 Non -operating hours will also open store business in response to major goals. It is recommended that FB fans can make an appointment first, or there can be a plug seat.",False
調酒很好喝、位置舒適，看運動轉播的視野很棒。（感覺座椅沒有那麼新，高一點點舒適感更好，無傷大雅）,"The bartending is delicious and comfortable, and the field of view of sports broadcast is great.(I feel that the seat is not so new, a little higher comfortable, no harmless)",False
有別於投影幕轉播，超級清楚的螢幕是運動酒吧中的清流，舒適的吧檯位，場場直播的世足，專門於各大運動賽事，想好好體驗純純的運動吧，跟球友為支持的隊伍或運動員大聲歡呼，查理是很棒的選擇；第二次造訪，八天的搖酒搖到手都舉不起來，希望下次有機會喝到調酒，餐點方面個人推薦牡蠣，飽滿新鮮，適合下酒。,"Different from the projection screen broadcast, the super clear screen is the clear flow in the sports bar, the comfortable bar site, the world's football team, dedicated to major sports events. The supported teams or athletes cheer loudly. Charlie is a great choice. For the second visit, the eight -day shaking wine can not be lifted. I hope that the next time I have the opportunity to drink bartender. I personally recommend oysters in the meal. Fresh, suitable for wine.",False
推薦看體育賽事的好地方,Recommended a good place to watch sports events,False
"20230902
有包廂 人數8人左右
有運動轉播
有吧台
有飛鏢
食物不錯
調酒好喝","20230902
There are about 8 people in the box
Sports broadcast
Have a bar
Dart
Good food
Blooming is delicious",False
台北極少數主打足球的運動酒吧，是足球迷們的精神綠洲。,A small number of sports bars that focus on football are the spiritual oasis of football fans.,False
看球的氣氛不錯，但酒的價格偏高，長髮男店員態度不佳,"The atmosphere of watching the ball is good, but the price of wine is high, and the long -haired male shop assistant attitude",False
台北看體育轉播比賽最讚的地方，酒和餐點cp很高，極力推薦大家來這裡看看！,"Taipei watching sports broadcast competitions is the most good place, wine and meals are very high, I strongly recommend everyone to come here!",False
"看球的好地方
螢幕夠大
吃的東西略微單調就是都炸物而已
飲料食物價格稍高
但酒吧畢竟不限時
還算能接受","Good place to watch the ball
The screen is big enough
Slightly monotonous food is all fried objects
Drink food price is slightly higher
But the bar is not limited after all
Be acceptable",False
氣氛很好 店家人很親切！是很適合看運動比賽的酒吧,"The atmosphere is very good, the shopkeeper is very kind!It's a bar that is very suitable for sports competitions",False
足球迷必須要來的地方！現場還有1：1的歐冠獎盃跟世界盃獎盃可以摸！！,Where football fans must come!There is also the 1: 1 Champions League trophy and the World Cup trophy at the scene to touch!Intersection,False
看橄欖球世界盃，氛圍不錯！店內電視也夠多，很適合一群人來喝酒看運動賽事！,"Look at the Rugby World Cup, the atmosphere is good!There are enough TVs in the store, which is very suitable for a group of people to drink and watch sports events!",False
空間寬敞而舒適，調酒很便宜而且有專業度，也有提供啤酒類，電視很多台可以清楚在各個角度觀賞比賽，也有小包廂有沙發看起來很舒適，服務人員也很親切。食物很大份也好吃cp值不錯，特別推薦炸雞。,"The space is spacious and comfortable. The bartending is very cheap and professional. There are also beer. Many TVs can clearly watch the competition at all angles. There are also small boxes and sofas look comfortable, and the service staff is very kind.The food is very good or delicious. It is specially recommended that fried chicken is particularly recommended.",False
"空間寬敞，價格ok,，酒不錯，電視超大超爽","The space is spacious, the price is OK, the wine is good, the TV is very large and cool",False
"非常適合看球賽的體育餐廳
店裡超級多大台電視
非常滿意
NBA總決賽的時候早上有開
然後店裡有賣早餐大約200多塊
價格合理氣氛好","Very suitable for sports restaurants to watch the game
How many large TVs in the store
Very satisfied
In the NBA Finals, I opened in the morning
Then there are about 200 breakfast in the store
Good price atmosphere",False
"換團隊後調酒大升級，好喝
不只是運動吧的酒吧","After changing the team, the bartender upgrade, it is delicious
It's not just a sports bar",False
調酒超好喝，一個放鬆聚會的好地方,"The bartending is super delicious, a good place to relax the party",False
很棒的運動酒吧，調酒種類巨多。已回訪多次，很適合晚餐後小酌一杯的地方。,"A great sports bar, there are many types of alcohol.It has been visited many times and is very suitable for a drink after dinner.",False
"第一次去運動酒吧看比賽，氣氛很讚。
慶祝Max拿世界冠軍給五星^^","For the first time to go to the sports bar to watch the game, the atmosphere was great.
Celebrate MAX with the world championship to five stars ^^",False
看球的好地方 而且環境漂亮又舒適 老闆人很客氣,"The good place to watch the ball and the environment is beautiful and comfortable, the boss is very polite",False
"來參與UFC轉播活動，現場擁擠混亂，大概100多個人擠在不大的店裡，體驗非常差， 如果店沒有那麼大就真的不要硬要收那麼多人
然後一星主要送給負責點飲料的女服務員，臉臭的跟什麼一樣  問什麼都愛理不理的，如果不想做可以回家真的，一副欠你錢的死樣子 拒絕再來","Come to participate in UFC broadcast activities, crowded and chaotic on the spot, about 100 people crowded into small stores, and the experience was very poor. If the store is not so big
Then one star was mainly given to the female waiter responsible for drinking drinks. The face was smelly and asked what was rational. If you don’t want to do it, you can go home.",False
世足訂位很滿 店員很實在的說明位子狀況 有空位都會幫忙安排🤙🏻 …,The bookmaker is very full of the clerk.,False
超棒的場地及音響，推薦熱愛球賽的大家,"The great venue and audio, recommended everyone who loves the game",False
調酒很特別，好喝！,"Blooming is very special, delicious!",False
