Original,EN,Positive,Negative,Neutral,Compound
"在條通裡，一個地下室的清幽空間
有著豐富琴酒的選擇，再依照自己喜歡的調性，調配出一個適合你的風味，琴酒愛好者一定會愛上這邊。
有趣的是，店裡還自帶了兩隻狗勾🤭 …","In the Tonglitong, a quiet space in a basement
With the choice of rich piano wine, and according to your favorite tone, mix a flavor that suits you, piano lover will definitely fall in love with this.
Interestingly, the store also brought two dog hooks ...",0.333,0.0,0.667,0.9638
"各式的經典twist都好喝～可以告訴bartender 個人喜好做客制（如不要冰杯、去冰、甜度）
當日order gin tonic, aviation, gimlet , sidecar(can be improved)","All kinds of classic Twist are delicious ~ You can tell Bartender personal preferences to make customs (such as ice cups, ice, sweetness)
Order Gin Tonic, Aviation, Gimlet, Sidecar (Can Be Improved)",0.256,0.0,0.744,0.875
"老闆老頭十分的健談，一個人來也不需要擔心覺得孤單，也非常適合兩三位朋友一起來，適合週五下班後小酌的地方。
這裡沒有酒單，只需要把你今天的心情或是想喝的口味跟老頭講，絕對不會讓你失望！","The boss's old man is very talkative, and a person does not need to worry about feeling lonely. It is also very suitable for two or three friends to come together, suitable for the place where you drink after get off work on Friday.
There is no wine list here, just tell your old man today's mood or the taste you want to drink, it will never disappoint you!",0.14,0.061,0.799,0.6317
"Ps. 只收現金和純信用卡
Ps. 沒有任何行動支付！
無菜單真是讓人傷腦筋，還好家在是今天晚上不太多客人，我們還可以輕鬆的和店員以及調酒師討論，非常令人緊張，但還好店裡面的專家，都很有耐心。但令人困擾的，還有價錢XD，不過本來就規劃以及做好心理準備了，所以怎樣都不奇怪，就是了。旁邊就是通化夜市，肚子餓，可以走出去餵飽肚子，也不知道店內有沒有可以點吃的，不過有被serve巧方蘇吃，但好像只有酒精類的飲料可以點選就是了。但是，無論如何，都是一個滿美好的夜晚，和經驗。","Ps. Only cash and pure credit cards
PS. No action payment!
No menu is really hurting. Fortunately, the good family is not too many guests tonight. We can also discuss with the clerk and the bartender. Fortunately, the experts in the shop are very patient. EssenceBut it is disturbing, and there is a price XD, but it was originally planned and prepared for psychological preparation, so it is not surprising, that is.Next to it is the Tonghua Night Market, who is hungry, you can go out to feed your stomach. I do n’t know if there is any food in the store, but there are Serve Qiao Fang Su, but it seems that only drinks with wine can be selected.However, in any case, it is a beautiful night and experience.",0.083,0.067,0.85,0.6339
氣氛舒服，酒保幽默，對於客人的口味很注重，會仔細的聆聽你想要的味道，調出來都超讚的！很喜歡那天的水果系列(火龍果和荔枝都很棒),氣氛舒服，酒保幽默，對於客人的口味很注重，會仔細的聆聽你想要的味道，調出來都超讚的！很喜歡那天的水果系列(火龍果和荔枝都很棒),0.0,0.0,1.0,0.0
"很日式，可吸菸，燈光偏暗。
酒很猛（種類、數量、味道），有signature、classic，也可以請bartender客製。
食物表現可圈可點，週年還有互動遊戲！","Very Japanese -style, smoking, dark light.
The wine is very fierce (type, quantity, taste), with Signature and Classic, you can also ask Bartender to customize.
Food performance is remarkable, and there are interactive games on the anniversary!",0.098,0.0,0.902,0.5983
在網美酒吧充斥著的這區中，一個清新特殊的存在，狹長的空間與不好坐的位置稱不上舒適，調酒也稱不上有特殊的必訪特色，然而明亮又專業的解說與調酒，絕對是個能找尋安靜的角落，逛累了夜市來這裡享受一杯適合的調酒很不錯。,"In this area full of the net bar, a fresh and special existence, the narrow space and the position of the bad sitting are not comfortable, and the bartender is not a special visits. However, bright and professional commentary. With bartending, it is definitely a quiet corner. I am tired of visiting the night market to enjoy a suitable cup of alcohol.",0.177,0.145,0.678,0.3485
不錯的一間酒吧。服務人員態度很好，果汁調酒非常不錯（有果泥）。,"A good bar.The service staff attitude is very good, and the juice is very good (with fruit mud).",0.382,0.0,0.618,0.8514
氣氛很棒，酒很好喝,"The atmosphere is great, the wine is delicious",0.565,0.0,0.435,0.8316
"價格中高
但杯具和用的水果是有質感的
當天點的草莓調酒剛好不合我的口味，下次再點別的！
裡面可以吸菸","High price
But cups and fruits used are textured
The strawberry bartending that day is just inconsistent with my taste, next time I order something else!
Can smoke",0.0,0.0,1.0,0.0
