Original,EN,Needs Review,Positive,Negative,Neutral,Compound
非常棒的朋友聚會場所！餐點好吃，氣氛佳，價位合理。會再約朋友來聚會聊天！,"A great friend meeting place!The meal is delicious, the atmosphere is good, and the price is reasonable.Will ask friends to come and chat again!",False,0.481,0.0,0.519,0.9558
"🌟 Sea Cup Island Bistro & Bar 👉🏻👉🏻👉🏻 今年開在士林捷運站附近的寵物友善餐酒館，午餐時間餐點也有提供好貼心！（不知道有沒有人一大早的就在買醉就是了Xd），店面以海灘的風格設計，小堂果很喜歡他們的飲料吧台就好像去墾丁海邊的露天吧一樣chillchill的！店內位子也不少，適合跟朋友聚餐喝一杯都不錯。
💰 明太子奶油鮮蝦義大利麵350 推推
粉紅泡泡雞肉麵330
松一下野菇骰子牛燉飯330 推推
墨西哥海鮮燉飯 380
炸物拼盤小399  推推
焦糖鮮奶茶250
葡萄柚水果風味氣泡飲220 推推
愛情海 380 推推
New York Sour 300

主食部分都表現的不錯挺有水準！雞肉麵的麵體小堂果很喜歡，麵條較粗有嚼勁又入味，不過有點鹹就是了，但店家說明主打沒有加鹽巴下去作調味，都是本身食材的鹹度！

明太子奶油鮮蝦味道很濃郁的很喜歡，只要這兩種食材的搭配我就給過咧！蝦子數量還是透過甩骰子來決定？（當天甩到8），是最近買有趣的活動-..-！

小堂果也很愛松露野菇牛這道，松露香氣很夠，搭上奶油帶出來的甜味還有軟嫩的牛排，這真的沒有人可以說不喜歡呀！

炸物拼盤裡面有薯餅、炸魚條、洋蔥圈、花枝丸、雞塊，份量來說真的滿多的，但拼盤的內容好像也會隨著店家提供的品項內容物有所不同。

酒品推薦愛情海，酒感不會太重，味道偏甜，是一款少女的酒！第一次不知道喝什麼的推薦這一個（但是好像沒有在酒單上）。New York Sour用威士忌當基底，喝起來有一種莓果的酸甜味，如果是愛好者一定會喜歡！
💎
美味程度 4/5
CP  3.5/5
回訪 3.5/5
驚呆📍
地址：台北市士林區中正路389號 營業時間：平日1130-1500、1700-0100，週一公休，假日1130-0100
#小堂果吃吃在台北

#台北 #台北景點 #台北美食 #台北餐酒館 #台北餐廳 #士林 #士林景點 #士林美食推薦 #士林美食 #士林站 #士林站美食 #seacupisland #seacupisland餐酒館 #酒吧 #台北酒吧 #台北酒吧推薦 #台北酒吧地圖 #士林酒吧 #士林酒吧推薦 #taipei #taipeifood #taipeitravel #taipeifoodie #taiwan #taiwanfood #taiwantrip #bistro #bar","I SEA Cup Island Bistro & Bar 👉🏻👉🏻👉🏻 Pet friend -friendly dining tavern opened at Shilin MRT Station this year. The lunch time also provides good intimate meals!(I don't know if anyone is buying drunk early in the morning. XD is designed in the style of the store. Xiaotangguo likes their drink bar as it is as Chillchill like the open -air bar on the Kenting seaside!There are also a lot of seats in the store, which is suitable for drinking a drink with friends.
💰 💰 💰 💰 💰 💰 💰 350 push
Pink bubble chicken noodles 330
Loose a mushroom dice cow stew rice 330 push push
Mexican seafood stewed rice 380
Fried Packs Small 399 Push Push
Caramel fresh milk tea 250
Grapefruit fruit flavor bubble drink 220 push push
Love Sea 380 Push Push
New York Sour 300

The staple food parts are well performed very well!The noodle noodle noodle small hall fruit is very liked, the noodles are thicker, chewy and delicious, but it is a bit salty, but the store explains that the main feature does not add salt to season, it is the saltiness of its own ingredients!

Monka Cream Fresh Shrimp tastes very strong, and I like it as long as these two ingredients are mixed!The number of shrimp is still determined by shaking the dice?(Required to 8 that day), it is a recent interesting activity-!-!

Xiaotangguo also loves the Tulu wild mushroom cow. The aroma of truffle is enough. The sweetness brought by cream and the soft steak. No one can say that you don't like it!

There are potato cakes, fried fish bar, onion rings, flowers pills, and chicken nuggets in the fried platter.

The wine is recommended for the sea of ​​love, the wine will not feel too heavy, the taste is sweet, it is a girl's wine!I don't know what to drink for the first time (but it doesn't seem to be on the wine list).New York Sour uses whiskey as the base, and it has a sweet and sour taste of berries. If it is a enthusiast, you will like it!
Bleak
Delicate 4/5
CP 3.5/5
Back to visit 3.5/5
Shocking 📍 📍 📍 📍
Address: No. 389, Zhongzheng Road, Shilin District, Taipei City: 1130-1500, 1700-0100 on weekdays, closed on Monday, holiday 1130-0100
#小 台 台 in Taipei

#Taipei#Taipei Scenic Spot#Taipei Food#Taipei Restaurant#Taipei Restaurant####Shilin Food###SEACUPISLAND #Seacupisland Dinner Bar #Taipei Bar Recommended #Taipei Bar Map #酒 酒 #Shilin Bar Recommended #Taipei #TaipeiFood #Taipeitravel #TaipeiFoodie #Taiwanfood #Taiwantrip #bistro #bist",False,0.158,0.027,0.815,0.9961
感謝招待的炸物～這邊氣氛很不錯 和朋友來聚聚很開心，推一個👍🏻,"Thanks for the hospitality, the atmosphere here is very good to get together with friends, push a push",False,0.38,0.0,0.62,0.8479
"餐點好吃、服務親切、調酒也很好喝～
奶油小生連女生接受度也好高唷！
這次活動是擲骰子，幾點幾隻蝦～好玩喲","The meal is delicious, the service is kind, and the bartender is also delicious ~
The cream niche even has a high degree of acceptance of girls!
This activity is rolling the dice, what time is the shrimp ~ fun",False,0.332,0.0,0.668,0.9545
"把海灘和海邊的藍天白雲一起搬進餐廳，好酷！還有美美的心形海蝕洞、高級VILLA發呆亭、茅頂沙灘酒吧，是一家非常適合拍照的網美餐廳。
經典調酒-性慾海灘，以伏特加為基底，加入蔓越莓汁、水蜜桃汁，喝起來像一杯香甜的果汁，很好喝，但後勁有點強，要小心不要過量。粉紅色的酒液，紫色果汁，在發光的杯墊的襯托下，暈染出紫、粉、藍漸層的夢幻光彩，非常漂亮！
我們叫了明太子奶油鮮蝦義大利麵和松一下野菇骰子牛燉飯，這兩道主食，用料口味都很不錯。
熱情蝦威夷有滿滿的蝦子、鳳梨、紅椒和洋蔥，清甜爽口。主廚還加入檸檬汁，開胃的效果很棒，但是口味有點重，要叫白飯比較好。
總結來說，氣氛悠閒、裝潢漂亮、餐點、調酒都很有水準，還是寵物友善餐廳，值得推薦。","Move the beach and the blue sky and white clouds on the beach into the restaurant together, cool!There are also beautiful heart -shaped sea erosion caves, high -end Villa's daze pavilions, and Mao Tung beach bars.
Classic bartending-sexual desire beach, based on vodka as the base, add cranberry juice and peach juice, drink like a cup of sweet juice, which is delicious, but the stamina is a bit strong, so be careful not to excess.Pink wine, purple fruit juice, with the luminous coasters, the fantastic light of purple, powder, and blue layer is very beautiful!
We called Prince Ming Cream Cream Shrimp and loosen the wild mushroom dice beef stew rice. These two staple foods are very good with ingredients.
The enthusiastic Shrimp is full of shrimp, pineapple, red pepper and onion, which is sweet and refreshing.The chef also adds lemon juice. The appetite effect is great, but the taste is a bit heavy. It is better to call rice.
In summary, the atmosphere is leisurely, beautiful decoration, meals, and bartending is very standard. It is still pet -friendly restaurant, which is worth recommending.",False,0.291,0.006,0.703,0.9968
服務非常好，漢堡非常美式道地，明太子義大利麵也非常美味，還有壽星和點餐擲骰子等活動，非常推薦，一定還會再回訪~~~,"The service is very good, the burger is very American, and the Prince Ming's pasta is also very delicious. There are also activities such as Shouxing and ordering dice. It is very recommended to visit again ~~~",False,0.214,0.0,0.786,0.8511
"野菇骰子牛燉飯，牛肉熟度剛好，吃起來不會乾柴，味道也很香，本人不喜歡過硬的飯覺得這個剛剛好。
德式馬鈴薯，吃起來香味十足，很適合當下酒菜吃。
座位寬敞舒適，適合朋友聚餐聊天！","The mushroom dice is stewed rice, the beef is just right, it will not dry the firewood, and the taste is very fragrant. I don't like the hard meal that I think this is just right.
German potato is full of fragrance, which is very suitable for the current wine and vegetables.
The seats are spacious and comfortable, suitable for friends to eat and chat!",False,0.112,0.03,0.858,0.7076
"這次跟一眾好友小聚（店家給我們安排了約9人的座位，7個人去綽綽有餘）

比較特別的是餐酒館外面掛早餐布條🫨一問之下，原來他們早上也有賣早餐（挺特別的）

吃飯喝酒之餘，店內還有桌遊🃏可以借來玩，我們借的是阿瓦隆（這點很加分➕，菜單上竟然沒有，在訂位的時候問才知道）

在等各自餐點前，炸物拼盤還有薯條先上場了，炸拼有兩種醬，沾完以後櫃檯的小哥哥給續（太加分了），至於主食，我是吃松露野菇骰子牛燉飯，本來這個價位沒有太期望骰子牛的部分，但是送上來看到每一塊還算大，就挺開心的，因為夜市骰子牛一份都不便宜，而且才幾塊而已，重點是，他們骰子牛是好吃的🤣

店裡面的氣氛很不錯，音樂聲音不會太大，也是舒適輕鬆型的。

雖然沒有捷運站附近的複合式咖啡廳那樣便宜，但是餐點+飲料，大約五百上下左右而已，份量足夠，是值的（特別是，他們的餐點並不是加熱食品！沒有點義大利麵真心遺憾，看大家吃的很香嗷嗷嗷🥺）

然後我真的看菜單看了很久，選項蠻多的，選擇困難症🥶

有問題的部分或是有什麼需求的時候，去問店裡的人，他們都很有耐心，也會盡可能的照我們的需求調整。

整體而言，這次的桌遊聚會很快樂🤩口袋名單++","This time I was with a group of friends Xiaolu (the store arranged for us about 9 people, and 7 people went to more than enough)

The more special thing is that after a breakfast cloth from the restaurant and the breakfast, it turns out that they also sell breakfast in the morning (very special)

After eating and drinking, there are still board games in the store to borrow to play. We borrowed Awaron (this is very extra points, and there is no on the menu. Ask when you order)

Before waiting for their respective meals, the fried pads and fries are coming first. There are two kinds of sauce in fried. Dice beef stew rice. Originally, the price did not expect the dice beef, but it was very happy to see each piece, because the night market dice cow was not cheap, and only a few pieces. The point is that the point is that the point is that the point is , Their dice beef is delicious ，

The atmosphere in the store is very good, the sound of music will not be too loud, and it is comfortable and relaxed.

Although there is no composite coffee shop near the MRT station, the meal+drink is only about 500, up and down, and the portion is sufficient. It is worth it (especially, their meals are not heated food! There is no Italian Italy! Face is really regrettable, it depends on everyone to eat very fragrant.)

Then I really watched the menu for a long time, there are quite a lot of options, choosing difficulties 🥶

When there is a problem or a need, the people in the shop are very patient and will be adjusted as much as possible as much as possible.

Overall, this board game party is very happy 🤩 pocket list ++",False,0.126,0.053,0.821,0.9796
"下班的好去處
真的很榮幸吃到老闆親自煮的美食
每一道都讓我很驚艷
👍👍👍👍👍
調酒🍹更不用說了👍
下班放鬆的地方","Good place to get off work
I am really honored to eat the food cooked by the boss personally
Everyway makes me amazing
Bleak
Blooming 说 Not to mention 🍹
Relaxed place",False,0.325,0.0,0.675,0.9324
明太子，骰子牛超讚👍主打原食唷！shot超好喝^_^超用心,"Prince Ming, Dice Niu Chaozai, the main original food!shot is super delicious^_^Super intentions",False,0.371,0.0,0.629,0.7574
