Original,EN,Positive,Negative,Neutral,Compound
一開始音樂有點失望，但後來12點過後有音樂變不同氣氛也炒熱起來，因為當天有遊行，所以人爆多，入場費不便宜，雖然說免費續酒但排隊動向已經因為人潮淹沒，看不出到底該怎麼排只好放棄續酒，調酒人員已經應該希望自己有章魚的觸手了吧，這種狀況下其實多數人應該不在乎哪一種口味的調酒，也許可以直接調多一點讓排隊的人自取，反正酒是助興，重點還是DJ和主持人與節目安排，總結以遊行當日整體還是不錯的。,"At first, the music was a bit disappointed, but after 12 o'clock, the music became different at the atmosphere. Because there was a parade that day, there were a lot of people and the entry fee was not cheap. I can't see how to lift the alcohol. The bartender should already want to have the tentacles of the octopus. In this case, most people should not care about which taste of bartender. The queuing person takes himself. Anyway, wine is helpful, and the focus is on DJ and the host and the program arrangement. It is still good to summarize the overall as a whole on the day of the parade.",0.075,0.046,0.88,0.5435
很舒服的體驗，謝謝薔薇帶來的精彩表演！,"Very comfortable experience, thank you for the wonderful performance brought by Rose!",0.535,0.0,0.465,0.8847
"真的超喜歡taboo的💗💗
公關NN在真的超好玩的！他會細心的照顧每烙單的客人💗💗","I really like taboo a a a
Public relations NN is really fun!He will take care of each of the guests with carefully",0.28,0.0,0.72,0.7773
第一次來，超級好玩～表演超級好看，尤其是鋼管！！！主持人S超可愛超好笑～酒也很好喝，女生都會喜歡的那種～～,"For the first time, it is super fun ~ performance is super beautiful, especially steel pipes!IntersectionIntersectionModerator S is super cute and funny ~ wine is also very delicious, the kind that girls will like ~~",0.585,0.0,0.415,0.9884
不建議抱着期待過來，因為一到入口已會被售票那個偽娘(?破壞心情😅，態度很差，趕客，先前光顧過一次，但經過這次體驗不會再想去，看到還是想去的自求多福。Gay bar好玩很多🥰,"It is not recommended to come and look forward to it, because the pseudo -mood of the ticket sales will have been sold at the entrance (? Destroyed mood, the attitude is very poor, and the guest has been packed once, but after this experience Gay Bar is a lot of fun.",0.077,0.096,0.827,0.2162
"那個工作人員整個都屌爆了 櫃檯親切幽默，
外場人員超級認真 ，地板有一滴酒都立馬出現拖地！！調酒師無敵會讀唇語😂😂 但是我最最最愛的還是主持人 ，那個愛是無法用言語形容的。
08第一次估狗評論打那麼多 有沒有感動到","That staff member burst into the counter humor at the counter,
The staff of the field are super serious, and a drop of wine on the floor immediately mop!IntersectionThe bartender is invincible to read lips, but my favorite is the host. That love cannot be described in words.
08 The first estimated dog comment is so moved, is it touched?",0.225,0.038,0.737,0.9381
第一次來這間夜店，整個體驗的感覺是還蠻不錯的，因為去其他間的夜店到後面地板整個都會黏黏的，但是在這間居然完全都沒有，公關看到有灑出來就會馬上拖地，環境都保持的很好，而且玩到後面身邊的人都漸漸開始有點醉了，但公關也都很有耐心的照顧大家，並且結束要離開的時候，公關還一路保護我們大家也幫忙打電話叫車，甚至看到我們大家坐上車平安才離開，雖然我們這群都是聾啞人士，但公關並沒有因為我們的身份就嫌棄或是不耐煩，反而是很細心的照顧我們大家 🫶🏻,"For the first time I came to this nightclub, the whole experience feels pretty good, because it will be sticky to other nightclubs to other nightclubs, but there is no one in this room. Immediately drag the floor, the environment remains very good, and the people around you are gradually getting drunk, but the public relations also take care of everyone patiently. When the public relations are about to leave, we will also protect us all the way. Help to call the car, and even see that we all left in the car before leaving. Although our group are deaf people, the public relations are not disgusted or impatient because of our identity. Everyone",0.187,0.07,0.744,0.9519
"2022.10.29.Sat
少數的女同志夜店
無論如何，大力支持這樣的存在
而我自己也終於在同志遊行晚上踏進塔布，有種解鎖人生成就的感覺。
追蹤IG，在喜歡的主題活動前往
一起看辣妹、喝酒、盡情搖擺。","2022.10.29.sat
A few female gay nightclubs
In any case, vigorously support such existence
And I finally stepped into Tabu at night at the comrade parade at night, and I felt like to unlock the achievements.
Track ig, go to the theme activity you like
Watch the hot girl, drink, and sway.",0.164,0.0,0.836,0.802
"五星給我的青春

單點的酒品質其實不錯
最愛Mojito
喝到飽的酒的確沒那麼好喝
但如果單純喝酒其實可以去酒吧

真的要選時間來，一間店的氛圍
主要也跟客人組成有很大的相關

年輕的時候真的在這花了不少錢","Five -star youth for me

The quality of the single -point wine is actually good
Favorite Mojito
Drinking full wine is really not so delicious
But if you drink purely, you can go to the bar

I really have to choose time, the atmosphere of a shop
It is mainly related to the guest composition

When I was young, I really spent a lot of money here",0.056,0.036,0.908,0.103
調酒挺好喝，活動一百分，主持人很可愛，氣氛很好，推薦大家來玩,"The bartending is very delicious, the activity is 100 points, the host is very cute, the atmosphere is very good, I recommend everyone to play",0.439,0.0,0.561,0.9397
